0,1,2,3,4,5,6,7,8,9,10,11
0.027,170.579,8.516,-29.251,56.64,-50.197,15.521,4.84,-27.126,1.228,-10.935,-7.178
29.494,78.516,95.952,-69.321,32.239,19.684,-6.487,-24.66,-15.648,18.821,16.544,15.944
39.583,65.573,118.717,-4.384,5.763,-2.862,17.234,20.714,-18.946,-20.622,-1.688,22.192
41.883,138.342,123.31,30.687,4.734,0.705,-14.342,13.901,-11.264,-18.863,1.923,-11.708
39.865,126.667,138.74,39.028,1.657,-10.616,8.255,-15.378,-31.891,-3.887,-11.999,1.802
40.681,141.989,138.151,39.034,21.089,19.172,-14.775,-10.021,-25.574,-10.474,21.357,-5.934
40.178,110.005,147.614,30.497,16.828,-15.436,0.49,6.435,-26.905,13.134,2.753,3.587
40.724,81.951,121.84,58.328,26.539,-22.635,27.29,-20.416,-26.781,1.091,-11.104,13.77
40.124,53.352,112.762,13.879,-7.45,-34.69,20.823,12.769,-35.393,-11.228,16.654,34.34
41.729,124.833,130.183,38.612,1.397,-46.85,3.922,-3.29,-20.102,-2.9,-13.782,10.329
41.99,161.775,126.843,53.737,8.323,-26.554,-22.528,-21.579,-14.882,-2.867,-8.684,-0.699
39.117,98.891,123.654,29.2,13.909,-26.633,3.944,2.905,-31.775,12.78,-0.386,13.241
40.022,71.699,144.574,37.446,15.897,-28.876,-9.009,15.572,-37.398,-13.41,3.64,23.497
40.863,130.047,137.178,22.526,13.315,-0.08,-3.371,-8.671,-22.328,-30.23,11.957,-0.039
40.029,98.349,150.441,41.014,13.822,-19.764,18.27,11.332,-31.778,-4.406,1.866,14.577
39.907,94.581,144.989,30.733,17.785,-16.233,15.7,9.255,-34.513,19.383,-7.043,12.022
38.614,101.794,143.429,20.442,7.623,-23.854,0.728,0.676,-41.081,-9.314,8.133,8.284
40.391,117.897,144.42,46.607,13.894,-46.981,-8.341,-26.557,-29.865,1.123,-5.859,-2.402
39.675,111.716,144.703,21.508,1.453,-13.325,12.962,20.097,-32.94,-22.464,8.551,11.599
40.186,73.571,133.512,45.968,12.759,-42.123,16.147,-15.054,-41.972,-0.014,-13.04,30.012
39.56,57.813,126.797,21.414,8.938,-31.881,14.641,10.337,-28.28,-13.577,-5.981,8.212
41.472,130.44,136.211,45.043,-1.647,-41.698,8.953,-20.154,-28.715,-1.457,-7.605,-1.824
39.168,46.622,125.444,42.88,4.413,-18.56,19.15,-16.876,-36.686,1.262,-13.28,3.508
40.699,98.3,117.368,5.879,25.056,13.281,14.567,-4.628,-23.544,-36.83,-7.544,5.02
41.274,117.298,111.589,31.534,21.565,-19.414,-8.738,-17.43,-11.193,3.14,-4.403,-0.672
40.987,102.437,125.152,24.689,15.21,-27.65,2.576,8.934,-18.465,10.713,-9.995,-0.761
40.977,154.685,129.322,42.249,3.409,-14.732,6.711,-1.397,-15.419,-8.143,8.587,-11.78
39.716,127.954,165.897,52.273,3.821,-41.576,9.829,4.513,-33.187,-3.287,-8.355,-15.869
39.251,90.052,157.903,56.995,20.524,-43.611,3.917,2.22,-47.863,0.998,-3.079,12.513
38.933,138.447,161.41,45.834,-0.492,-18.2,25.213,18.772,-27.725,-14.984,6.54,1.503
40.261,88.56,154.397,58.281,25.395,-34.247,13.078,-2.436,-43.194,5.286,10.136,17.465
40.251,108.249,163.153,26.241,25.775,-32.136,15.309,14.802,-35.391,-0.959,-7.183,7.078
44.072,9.751,19.663,38.725,-26.303,-52.355,24.625,9.633,-16.284,7.51,11.31,4.212
39.275,32.501,114.076,14.18,7.76,-23.422,43.167,11.839,-13.426,-15.198,-8.017,29.842
47.231,39.081,14.53,28.309,0.013,11.032,-16.013,1.268,-25.001,-5.959,31.518,-5.268
42.459,118.672,102.762,47.753,-13.527,-29.098,2.303,-9.931,-9.641,-16.982,12.279,-11.253
42.581,37.813,67.358,33.605,-16.236,1.381,18.201,-7.17,-48.11,25.095,-10.156,7.597
44.847,53.276,59.429,18.386,0.099,60.675,-6.367,9.871,-23.041,-12.547,-1.057,-2.98
