0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
40.412,84.72,165.188,36.993,53.915,-22.363,-10.435,10.516,-9.99,-10.733,17.663,-6.021
46.568,21.635,121.502,13.882,24.004,-7.384,-14.843,-3.141,-33.909,15.646,11.272,0.933
47.899,59.854,135.169,56.472,37.646,-44.283,-17.825,9.972,-6.912,-13.1,20.065,-19.778
46.294,120.116,172.256,31.269,59.119,0.213,-30.119,29.885,-0.073,-30.902,-16.112,-5.63
47.787,151.644,178.643,42.27,75.894,-3.78,-9.06,-15.82,-11.943,40.864,15.778,12.679
46.712,126.904,207.925,80.317,89.203,-17.11,7.435,-13.397,0.372,-8.542,-26.934,8.681
44.998,141.565,192.465,52.492,70.393,-12.284,-14.644,-13.649,-2.712,-8.881,-10.925,-9.267
46.399,105.348,153.183,31.002,66.803,-24.282,-45.168,9.496,8.076,-12.837,14.248,-22.159
46.1,116.362,201.891,75.21,70.81,-33.693,4.905,-9.534,-34.049,12.664,1.328,11.248
45.064,99.131,221.905,63.361,93.006,-10.689,-4.16,-25.097,-18.991,-8.963,-15.075,-4.776
46.226,59.863,178.776,57.118,117.687,-29.075,-18.625,-12.605,31.086,-7.38,-10.216,-13.705
46.827,95.636,168.021,37.952,89.733,-12.695,0.858,21.165,12.777,-10.202,11.92,-0.09
41.741,141.632,181.742,63.325,62.245,-6.539,-12.238,-5.653,-11.147,-6.74,1.19,-0.425
47.778,118.078,168.192,9.598,81.824,15.955,-23.792,20.142,6.461,12.674,6.923,-10.248
48.551,168.748,118.887,34.44,14.405,-19.389,-48.513,5.698,5.062,-24.044,8.473,-2.437
45.081,233.419,165.534,22.374,53.489,-22.804,-8.087,-8.274,8.215,16.14,5.556,14.102
48.162,140.129,117.8,6.466,25.937,-20.864,-53.698,8.478,-2.795,3.93,4.338,-13.185
47.756,135.337,167.212,48.306,52.767,-10.267,-48.293,-22.4,-4.999,-4.471,-19.08,-28.603
47.569,129.838,166.195,62.29,69.02,1.264,-36.551,-16.891,-3.092,-12.506,-26.89,-19.628
46.734,151.647,185.363,39.865,59.722,8.23,-12.292,-50.875,-9.833,-3.109,1.257,-5.962
48.105,56.501,110.172,27.503,13.346,-36.334,37.025,31.254,9.367,15.248,-11.105,-21.924
47.705,71.89,141.307,17.211,38.379,-10.663,36.874,34.785,-13.27,2.913,4.122,8.501
50.883,98.282,65.689,9.031,1.71,-14.629,0.895,-23.465,8.744,-6.53,-7.912,2.725
48.137,41.743,163.923,14.441,78.274,-36.023,1.19,18.562,14.928,6.605,-4.112,-18.639
49.722,58.163,109.045,19.475,15.509,-51.33,54.227,17.815,1.725,7.83,-10.123,-17.845
47.708,94.128,114.694,67.369,51.771,-24.132,-5.184,-2.331,18.709,10.016,-27.583,-40.5
48.236,99.094,131.875,3.702,34.639,7.061,39.046,17.134,-22.35,16.005,-6.56,0.143
50.0,76.079,64.827,4.879,1.114,-0.378,5.604,-11.923,3.565,-8.861,9.241,-6.182
