0,1,2,3,4,5,6,7,8,9,10,11
0.02,170.602,9.454,-29.077,57.737,-50.112,14.299,4.494,-27.465,0.764,-10.275,-7.036
1.466,133.797,2.262,-48.424,78.239,-41.6,-26.099,-16.827,-39.46,1.072,-5.209,-2.131
5.879,42.064,4.97,-86.196,123.25,-34.037,-44.244,-54.539,-33.087,12.641,-1.279,-3.785
10.46,-38.029,-10.196,-46.107,138.672,-50.673,-54.105,-9.007,-27.71,-10.128,5.739,-0.39
11.737,-53.757,21.273,-44.963,157.024,-46.204,-36.724,-12.354,-30.803,-5.697,5.796,-2.61
15.925,-106.789,57.492,-30.724,167.123,-43.84,-9.777,-7.615,-35.83,-4.32,3.581,-5.948
18.536,-109.558,98.395,-19.742,139.008,-46.07,3.893,-0.686,-43.104,-14.659,17.362,-6.598
23.342,-78.773,184.109,-18.208,100.613,-28.508,13.635,7.782,-38.782,-11.35,27.201,2.771
33.929,-54.583,81.259,-30.195,3.116,-22.541,52.245,1.148,-37.776,-2.43,1.786,31.666
44.188,-4.304,9.024,-49.324,49.497,27.555,21.165,-1.232,4.556,-12.056,-1.653,16.387
44.552,18.05,-9.262,-5.726,31.693,-47.048,0.176,-8.42,16.12,8.164,-20.599,43.457
39.335,17.56,-44.179,25.541,22.305,-28.43,-35.645,9.667,13.31,3.586,-28.32,21.24
30.756,5.159,26.61,-14.199,29.717,-25.609,-5.698,-17.69,-11.65,13.709,10.081,20.096
33.925,-10.775,47.971,-0.514,31.976,-27.729,31.561,0.253,-23.458,10.532,5.027,-6.702
40.462,-9.554,-20.565,-76.017,39.678,25.784,10.855,16.694,21.979,-24.792,-18.299,32.366
41.213,-69.999,-17.323,-16.308,28.499,-43.632,0.417,-5.686,7.817,3.56,-5.546,50.314
38.781,-77.734,-50.938,26.46,20.489,-43.295,1.651,-31.463,3.3,2.017,4.623,43.097
38.687,-28.254,-39.657,-29.551,14.955,-22.984,-3.122,-15.599,0.122,-1.057,-10.181,25.641
34.825,-61.484,-35.385,-22.662,-15.033,-39.842,-9.157,1.66,-7.739,0.046,8.679,13.673
35.506,-60.823,8.414,-16.046,-16.638,-60.665,2.586,14.503,-13.423,1.989,-2.95,8.422
39.904,61.216,39.485,36.444,62.068,-59.642,20.448,12.263,-2.639,-16.348,4.282,36.592
36.631,42.231,90.669,45.358,72.039,-45.4,22.435,19.071,-7.424,-13.983,-7.195,45.565
34.977,5.602,94.62,32.453,58.755,-41.205,44.177,-5.637,-3.082,13.379,12.783,42.957
39.122,-44.212,61.204,-5.425,37.825,-15.417,84.474,14.587,-5.67,-3.456,-0.034,36.606
45.102,-1.01,-11.616,-8.03,49.318,-3.413,-1.251,-15.225,15.886,3.234,11.994,29.451
42.679,9.032,-47.065,-2.605,46.382,-33.143,-47.464,-32.625,32.888,-4.493,-24.184,23.1
40.414,17.164,-42.831,21.556,31.538,-20.437,-46.055,-15.716,19.154,-13.95,1.722,-9.117
43.404,28.138,-48.626,-0.575,23.061,6.028,-10.866,-33.051,3.773,3.611,7.559,16.713
41.586,-27.86,-44.597,-11.438,7.643,-42.553,-5.626,-33.088,-3.622,-0.009,-10.373,19.877
40.524,-12.955,-71.167,-9.516,30.391,-49.205,-7.576,-16.694,15.762,-1.462,-13.847,28.897
39.534,5.082,-70.401,-32.599,-6.976,-43.075,-30.769,-15.922,12.518,4.367,-13.466,15.156
40.787,-11.371,-75.188,7.816,25.25,-52.032,0.497,-33.374,25.246,10.052,-19.459,29.293
39.476,-22.906,-39.84,-29.268,40.891,-53.265,19.102,3.512,22.826,4.76,6.63,26.354
41.731,97.021,25.288,29.098,64.998,-32.899,15.517,3.504,7.839,-9.206,14.253,-6.997
39.193,39.415,104.597,22.202,79.909,-36.436,18.749,5.386,-10.191,0.671,-8.473,-11.378
40.248,73.784,82.041,61.764,119.859,-57.952,20.777,-17.311,-22.826,-4.291,-9.445,-20.597
40.034,-11.526,99.655,33.987,82.055,-46.09,42.396,-4.858,11.329,11.301,-4.761,-10.434
46.316,-1.378,-4.871,-5.879,55.11,-40.428,-2.028,-13.712,6.297,13.583,-0.633,18.404
45.458,26.65,4.719,-15.56,28.977,-54.691,11.579,-12.854,9.394,8.586,-5.067,40.326
44.083,5.017,-10.909,18.183,6.857,-67.268,-18.366,-2.136,0.192,2.138,-9.056,35.325
39.525,17.615,-42.398,30.256,19.846,-31.589,-34.921,11.994,12.607,-0.199,-29.895,20.761
31.387,9.01,27.074,-3.655,18.42,-24.307,-3.814,-20.071,-14.977,12.005,13.561,11.458
34.028,-7.735,55.019,5.35,30.411,-41.597,30.636,0.658,-24.251,11.03,0.465,-4.719
