0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
21.721,-166.132,-92.518,-82.776,38.156,80.615,32.241,18.24,-28.718,99.244,7.018,-3.945
28.309,-171.554,-91.839,45.201,-21.67,-96.763,-6.526,28.245,-2.73,-10.241,-12.841,-0.13
24.189,-151.755,-104.244,13.265,-10.362,-10.664,-3.227,53.422,-2.123,4.209,-41.836,-6.222
18.768,-129.791,-86.957,-37.723,37.771,37.787,39.118,55.316,-37.339,60.584,-40.625,10.864
16.222,-92.722,-80.356,-127.02,31.505,23.782,44.0,-2.398,-28.573,53.645,-55.275,11.847
21.507,-137.349,-116.222,-26.956,29.65,63.759,16.774,16.269,-12.778,48.453,-27.034,2.645
20.6,-143.206,-101.574,12.001,27.136,-4.905,14.035,81.429,-12.944,10.513,-39.887,1.954
12.392,-39.977,-50.193,-207.307,33.578,22.069,57.313,-121.242,-41.603,73.829,-61.328,22.183
24.518,-207.68,-130.708,-30.213,-1.03,-75.265,0.024,10.759,2.819,-6.598,-7.027,-15.579
26.216,-156.395,-109.078,-13.303,-7.813,36.279,4.054,29.003,5.826,-12.809,-31.239,-8.707
24.23,-113.803,-74.932,29.323,8.778,65.629,22.369,48.068,-17.761,41.296,6.891,4.179
18.94,-129.454,-94.492,-47.075,26.847,12.915,26.815,36.055,-31.64,63.487,-45.369,5.12
23.953,-141.494,-123.677,46.318,29.431,55.851,12.57,22.033,-12.086,58.215,16.987,2.198
22.735,-186.729,-110.461,-53.565,16.762,-41.741,15.186,12.636,-7.709,12.245,-25.348,3.967
21.452,-7.42,-76.017,126.468,-58.78,-64.983,-13.687,64.88,-26.849,-40.846,13.442,-31.985
32.034,39.653,-136.613,-71.486,48.339,183.023,42.413,-37.371,-3.2,10.044,-44.896,-2.999
32.342,-73.849,-156.377,-109.888,43.15,2.431,7.392,-1.758,16.097,-15.976,-55.042,0.813
39.091,13.51,-186.997,108.136,30.322,58.832,0.77,41.905,11.159,-26.276,9.365,-11.547
31.953,-109.319,-135.386,-83.007,40.11,-62.176,-4.306,11.861,5.758,8.065,-1.119,-2.34
39.074,-2.136,-169.971,-15.107,37.484,73.931,6.544,-3.598,8.364,-23.95,-55.679,-4.91
33.379,-73.933,-113.876,30.992,-2.74,-77.559,-11.619,40.507,-6.656,-9.014,-19.06,1.442
36.654,18.099,-174.6,22.67,39.574,103.697,18.361,-23.032,-4.106,22.573,-27.084,-1.413
39.623,-10.148,-204.725,91.18,31.909,20.88,-2.338,-26.636,2.297,27.47,14.481,-13.464
41.23,4.671,-193.247,135.758,12.415,-78.915,-29.036,-14.924,-7.79,33.269,-8.701,7.574
35.048,15.926,-200.255,38.881,49.291,97.8,0.701,29.809,7.66,-23.34,-55.613,-15.477
26.48,-5.669,-126.292,-178.643,43.482,16.868,19.931,-29.873,-9.26,30.97,-67.298,4.295
41.959,4.242,-164.558,95.956,-0.734,-131.778,-33.787,-3.824,-12.748,27.075,-48.513,11.065
32.97,-93.11,-124.157,-35.996,5.604,-74.995,-5.402,8.937,-7.708,8.761,-10.984,-7.631
40.358,20.769,-175.665,128.661,15.062,-59.61,-23.932,8.861,-12.224,37.602,-8.623,0.984
35.063,-78.503,-95.927,-7.721,22.968,-11.438,14.654,28.083,-25.353,49.68,24.391,2.829
40.988,26.344,-179.514,70.331,22.991,29.741,-10.859,-12.979,-0.696,16.591,-16.422,0.809
30.772,-69.267,-136.936,-5.943,14.417,-67.612,-5.72,37.454,-6.547,-0.384,-17.965,2.045
38.743,7.356,-171.126,74.923,32.833,43.805,10.783,-22.829,-6.615,30.886,7.961,-4.008
39.789,-9.341,-204.42,84.663,25.838,59.911,1.265,-22.058,14.943,-0.343,28.496,-11.048
37.33,-0.304,-137.793,-82.162,36.41,84.887,16.679,25.853,16.765,-34.606,-76.55,2.357
41.478,112.945,-79.928,22.066,-20.725,-35.699,-19.793,-55.008,5.507,44.273,-48.52,26.064
42.775,79.773,-114.93,35.165,9.442,95.333,-4.096,28.679,27.835,13.625,-5.227,2.645
46.526,67.442,-90.316,68.095,26.357,33.772,5.773,-2.618,34.892,17.528,-25.028,8.558
45.2,34.105,-107.278,52.086,18.451,9.306,18.687,-14.127,24.776,2.916,-26.57,16.554
35.327,30.657,-155.956,-49.487,36.905,29.503,-0.668,16.074,-8.189,8.002,-75.797,6.573
28.895,-21.417,-135.49,-128.387,47.978,-25.071,-2.586,-23.155,1.33,43.683,-21.402,3.666
42.858,30.715,-169.459,93.183,9.051,-104.108,-31.575,5.217,-21.304,30.797,-32.635,9.676
30.701,-23.141,-166.824,-27.432,39.778,-80.081,-22.528,39.828,11.976,-7.101,-19.611,-8.502
41.491,34.66,-180.828,116.6,27.042,-2.514,-13.832,-11.055,-11.803,64.123,36.917,2.458
41.931,58.689,-158.921,49.131,22.53,55.955,0.282,4.474,-13.571,22.695,-17.561,-4.934
38.454,99.926,-128.552,-140.107,34.121,13.312,-20.778,83.264,51.082,-7.395,-36.57,16.572
