0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
46.299,209.896,-86.867,24.078,-17.638,-51.466,-32.663,68.945,10.092,3.63,17.079,12.698
42.352,227.816,-60.551,-73.988,1.022,5.667,-11.394,-46.529,-9.749,51.987,-57.353,37.87
42.684,292.883,-28.94,-5.825,23.808,-29.14,-14.488,4.891,17.789,3.754,-12.348,1.958
44.98,181.891,-105.626,5.392,-34.309,-56.299,-44.743,34.925,13.735,32.516,5.58,21.217
45.072,165.411,-102.864,-9.596,-30.513,-69.68,-36.437,25.435,-6.151,30.873,14.885,14.02
49.717,137.601,-66.961,15.057,-0.958,-73.635,-72.157,43.315,0.287,-31.547,-8.654,23.506
49.239,151.324,-56.946,35.463,10.574,-75.219,-80.841,77.877,5.617,-8.055,9.024,10.776
43.69,181.295,-94.686,17.757,-36.073,-99.397,-47.733,59.167,11.541,0.169,-0.964,11.872
45.588,225.405,-71.255,24.218,-15.274,-51.838,-25.455,65.932,3.258,22.862,27.725,13.977
44.625,150.49,-110.588,-1.868,-31.457,-102.16,-44.642,50.847,9.192,10.535,-8.95,19.436
42.826,267.545,-40.399,-25.742,15.418,-52.748,-22.763,10.905,14.939,3.865,-13.672,13.893
46.515,177.144,-76.128,-57.254,5.576,-53.892,-58.516,2.232,-0.071,-4.606,10.54,15.978
50.992,102.492,-64.188,-12.177,-10.627,-86.33,-47.886,33.556,-2.561,-18.341,-5.428,11.528
50.674,105.856,-58.185,-2.862,-7.989,-77.859,-42.483,18.702,-0.938,-18.89,-3.997,13.208
49.775,93.88,-77.024,16.693,-23.967,-73.177,-58.502,20.241,-4.929,-3.356,-18.326,16.733
43.886,101.193,-90.36,-29.201,-39.992,-87.959,-40.273,11.071,1.276,17.798,-15.369,13.724
42.997,84.16,-109.913,17.114,-51.452,-108.445,-45.266,0.662,-3.929,32.565,-18.0,17.171
50.747,93.973,-61.415,10.484,-12.226,-65.416,-45.237,26.556,-5.405,1.244,3.372,15.887
48.506,177.898,-53.338,-3.854,-12.919,-41.395,-0.793,-16.004,10.587,-1.499,4.922,10.439
50.517,103.022,5.443,-64.356,-12.286,-12.553,0.764,48.015,13.835,-17.259,2.564,9.649
51.916,138.056,-32.836,-38.861,-17.115,-46.748,-9.583,10.955,11.555,1.54,-11.705,-1.137
51.817,148.371,-43.159,-34.934,-21.703,-42.396,-24.516,3.794,10.532,0.791,-13.834,-0.505
52.771,76.9,-42.13,-20.615,-11.271,-64.969,-36.28,18.711,5.726,-2.668,-5.057,-5.127
52.952,86.351,-44.024,-8.037,-23.655,-62.281,-35.686,17.472,-6.551,3.468,3.759,14.491
52.28,74.144,-49.201,-17.625,-16.51,-67.538,-36.364,10.62,6.136,3.194,0.616,12.865
51.946,82.628,-49.439,-10.235,-24.424,-48.257,-38.177,18.769,-5.671,11.542,17.79,10.014
52.678,76.559,-56.371,-16.192,-17.748,-36.235,-26.448,13.014,-0.864,24.806,15.196,14.47
52.253,98.735,-48.884,-29.376,-20.035,-71.787,-43.243,13.924,-2.698,4.098,0.543,3.539
51.994,131.62,-42.448,-41.585,-23.153,-47.292,-11.312,11.751,10.92,12.083,-5.899,10.998
52.385,107.052,-43.379,-34.382,-1.901,-7.798,-22.489,-5.044,-8.824,31.211,-15.627,4.448
52.743,64.016,-54.827,-22.828,-16.548,-33.823,-34.466,10.592,-5.549,21.084,14.254,-1.431
52.169,69.76,-44.738,-18.923,-2.607,-28.824,-26.125,8.971,4.972,15.147,10.689,-7.376
51.934,68.56,-23.054,-22.6,-2.758,-71.458,-32.127,2.732,13.508,5.219,-8.381,1.25
52.628,70.67,-36.907,-17.259,2.495,-72.095,-32.067,3.561,4.681,3.338,-9.62,2.42
51.866,70.544,-53.367,-18.98,-7.256,-72.48,-35.246,1.745,4.888,5.182,-11.892,7.245
52.427,105.693,-40.089,-17.576,-13.366,-50.322,-29.447,14.907,1.616,11.848,28.781,7.929
52.377,100.5,-49.93,-21.485,-18.554,-63.142,-33.641,10.687,-6.784,-17.154,-2.521,5.944
54.386,93.129,-12.413,-21.406,4.331,6.035,-32.556,48.119,-10.798,-10.097,-1.233,15.567
53.713,140.557,36.459,-54.352,-1.54,-17.521,-6.703,-14.141,-26.491,23.089,-3.855,8.522
55.733,102.042,27.225,10.414,-4.622,-51.793,5.138,12.669,-21.617,-0.589,3.612,14.385
54.286,119.278,11.797,5.199,-24.369,-31.487,1.011,5.294,-6.815,16.917,0.607,1.966
54.205,111.906,-31.555,16.664,-19.291,-22.205,-31.847,33.864,-37.369,6.933,4.706,2.708
53.27,130.95,15.395,-31.505,-29.328,-17.31,-5.342,0.644,-22.472,29.262,0.08,-22.74
54.26,124.054,-18.68,-0.374,-29.878,-50.198,-37.977,18.844,-13.878,-9.187,-4.6,-1.796
55.017,116.4,-5.998,-26.067,-19.487,-41.964,-13.7,5.708,-32.874,-23.546,4.163,7.548
54.305,87.11,39.039,-9.042,-35.777,-38.86,27.697,-11.492,-17.036,5.443,-16.999,12.954
54.077,84.661,-32.223,9.423,0.948,-59.061,-23.748,26.459,11.227,-8.821,-20.561,12.245
52.311,135.315,-5.086,-74.801,-1.356,-8.311,-5.07,-10.881,-31.66,-14.767,8.944,5.559
54.115,122.313,38.415,-5.253,-36.968,-33.122,21.007,-3.845,-19.48,21.408,-0.199,6.187
53.882,118.94,-11.14,7.295,-21.18,-6.714,-18.761,40.916,-29.951,-1.138,-21.218,6.021
53.466,101.637,28.159,-20.741,-19.319,-9.963,14.931,-7.459,-32.219,14.025,-4.472,0.358
54.908,93.587,-18.48,9.101,-6.609,-49.959,-8.895,31.951,-5.367,-15.39,-27.801,21.322
52.698,99.13,19.01,-51.256,-2.609,-12.446,16.676,11.432,-11.207,21.737,-8.58,1.641
54.003,121.579,-22.322,-1.718,-32.263,-45.44,-40.22,23.077,-19.739,-29.152,-13.482,-4.467
52.925,73.2,10.779,-28.014,9.776,-34.556,17.968,-8.489,-19.424,37.807,-11.136,11.684
54.933,119.712,-5.592,-7.884,-39.381,-38.132,-38.813,19.17,-23.97,-26.392,-8.029,-7.944
53.246,140.908,5.119,-16.523,-48.379,-23.178,-9.814,14.126,-22.702,7.233,9.279,-19.423
53.17,110.745,-44.928,-30.756,-18.533,-59.673,-28.703,35.212,-13.175,-11.269,1.813,10.413
53.93,125.676,-0.954,4.156,-12.01,-19.139,6.636,-15.523,-14.598,28.223,-25.964,3.831
54.759,109.278,-15.964,-27.042,-30.915,-19.061,-26.278,28.18,-20.997,0.732,26.816,-1.941
54.325,112.884,25.384,-12.489,-14.995,-47.01,-3.581,41.418,-1.923,-5.841,-4.899,-2.999
54.284,113.133,-20.227,-3.215,-36.417,-52.179,-41.663,20.183,-26.103,-17.79,-10.057,-0.144
53.974,112.023,14.656,-21.814,-26.235,-18.251,5.132,6.535,-29.022,17.814,-8.91,-7.943
54.038,130.013,-19.717,-18.915,-36.406,-43.624,-39.258,8.234,-26.953,-12.463,9.432,-0.269
53.65,124.525,17.048,-24.151,-12.143,-26.853,5.952,-16.073,-28.941,9.263,-4.964,-1.854
53.247,107.088,-45.183,-5.451,-13.438,-72.216,-28.585,24.1,-8.438,-22.156,8.816,13.704
50.499,110.031,-25.435,-35.497,-20.836,-63.819,-5.815,-3.688,-2.592,2.47,-10.216,10.615
54.547,97.358,-19.975,5.684,6.759,-47.867,-19.137,46.328,-6.903,-13.584,-10.787,24.491
52.426,139.514,4.007,5.587,-32.996,-18.815,-25.191,1.468,-36.175,-11.59,-19.464,6.128
53.765,121.397,-27.304,-1.657,-3.164,-21.096,-23.19,32.111,-25.719,2.235,10.634,7.756
52.563,138.979,-20.816,-32.129,-22.713,-19.254,-11.467,0.604,-26.134,22.628,-4.475,4.863
54.738,113.231,-26.204,-48.505,-10.525,-30.715,-26.369,18.176,-20.76,4.212,25.353,2.745
53.995,110.517,42.695,-22.152,-4.014,-23.704,20.432,-6.399,-11.204,8.529,-14.974,13.288
55.113,100.053,17.424,-0.096,-27.053,-43.01,-16.65,23.507,-21.635,-2.029,14.25,13.09
54.757,112.329,34.384,1.801,-29.089,-50.716,12.906,-3.808,-29.571,15.027,-8.101,10.03
53.719,135.471,11.414,2.08,-31.135,-16.554,-10.868,21.683,6.009,-3.07,-17.233,-8.633
55.12,104.159,2.208,-15.753,-18.747,-16.14,-15.902,-2.084,-16.615,6.033,13.197,4.566
53.764,77.837,19.291,-3.991,11.828,-28.316,39.861,-2.271,-14.617,4.339,-7.735,24.242
53.854,87.679,-32.999,10.245,15.47,-39.981,-20.575,45.431,20.805,-4.609,11.863,2.251
50.819,108.702,-26.474,-25.81,-29.907,-51.992,-3.756,-11.91,-19.94,1.086,-1.882,7.898
53.156,65.893,32.43,-40.623,23.135,-16.988,18.002,30.267,-6.555,3.729,-11.654,22.377
54.364,82.756,40.707,-4.18,-6.239,-55.534,37.128,8.101,-7.992,-4.285,-12.746,13.571
55.048,103.653,-10.286,0.242,-46.986,-18.819,-31.147,17.472,-21.003,-11.668,13.588,-12.962
52.948,115.963,20.074,-7.593,-49.998,-27.105,-7.651,0.616,-42.513,-7.463,-17.074,-0.425
53.009,94.095,-3.576,-21.777,-2.038,4.153,1.837,62.086,-23.964,6.137,-15.227,9.913
52.913,122.921,2.948,-13.846,-48.57,-13.752,-21.554,1.521,-30.629,-20.028,-18.291,-4.327
54.066,112.489,-12.934,-13.548,-26.314,-14.822,-34.489,20.648,-16.828,2.358,22.319,-5.74
53.342,101.931,1.43,-5.297,-14.052,-17.019,-18.151,7.351,-28.741,-6.724,-10.978,0.318
53.372,122.811,-32.624,-18.507,-10.848,-8.156,-39.946,25.977,-22.226,15.208,15.229,-3.657
54.465,107.729,17.664,-40.658,6.152,-33.28,28.0,4.221,-17.932,33.264,-16.353,-4.182
54.644,97.543,-29.69,5.829,-15.235,-62.404,-22.283,49.821,-5.822,-9.753,-10.803,-5.646
53.467,107.219,3.217,-43.919,0.94,-9.51,-7.816,18.578,-25.181,23.624,-17.201,5.371
55.146,83.92,-15.678,-51.811,-6.363,-54.028,-7.881,-2.106,-3.502,-7.77,-15.584,19.248
56.535,94.849,2.316,-15.334,-21.458,-44.64,-8.289,29.571,-12.751,-1.677,-2.479,9.271
55.6,84.781,-34.852,-19.471,-16.583,-47.936,-34.352,15.398,-18.16,-5.064,-12.905,5.214
55.808,85.556,2.348,-27.118,-27.891,-35.848,-23.356,4.101,-29.48,-3.631,-7.279,-2.836
56.352,92.05,25.203,-6.705,-20.768,-44.63,-2.166,25.582,-20.071,-6.019,16.763,16.059
56.888,61.738,-5.859,-14.668,5.205,-36.865,-10.185,-7.303,2.692,-3.869,-14.34,19.259
54.793,100.408,5.634,-14.305,12.699,-36.409,-5.676,36.056,11.525,0.209,-0.515,6.478
53.669,107.882,2.775,-26.867,9.75,-37.753,-5.459,12.801,7.212,19.107,-7.777,26.414
54.408,122.806,57.596,-11.53,-8.695,-35.776,-16.494,9.349,-21.707,1.106,1.755,1.685
55.121,120.093,35.758,-11.377,-45.972,-24.829,11.101,-6.113,-23.381,9.222,-6.222,4.621
55.677,127.073,5.213,12.119,-1.906,-21.42,-16.557,19.943,-14.655,14.366,-11.979,8.583
54.155,92.923,49.472,-5.397,18.321,-25.158,15.941,-0.843,6.275,19.879,-4.768,8.263
54.727,109.647,20.065,-6.869,-4.53,-26.948,-9.8,26.239,-4.777,-6.071,3.013,2.736
53.86,120.735,30.672,-32.201,-8.376,-22.806,23.576,-20.608,-18.535,18.202,1.909,-2.265
55.348,105.581,0.651,1.758,-31.733,-49.693,-26.289,26.81,-14.227,-14.043,-9.476,0.767
53.425,121.338,25.39,-38.227,2.392,-23.448,11.164,-17.506,-6.066,-2.212,-8.645,4.871
55.479,82.089,22.018,1.249,0.992,-55.563,10.567,19.561,-21.305,-2.695,-0.63,27.86
54.203,125.705,2.682,-12.553,-16.132,-30.093,-3.259,25.986,-2.052,11.755,-22.312,-1.588
55.659,61.327,8.246,-12.173,25.414,-53.468,5.516,-4.759,16.35,-2.277,-9.227,-0.048
54.181,104.361,-33.523,-4.97,2.358,-55.097,-26.93,29.249,-3.256,-18.578,9.179,-0.296
51.643,117.052,-19.165,-22.892,-27.365,-49.495,7.778,4.348,-13.913,13.264,9.508,5.831
