0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
43.096,-40.439,-3.845,-13.264,-0.87,-1.97,11.822,-26.894,-10.489,45.292,54.732,-3.455
46.97,28.43,83.097,-32.691,7.821,-10.406,25.596,28.014,-17.049,-33.494,18.284,9.968
46.378,47.498,89.327,60.229,29.82,-23.672,-7.155,-15.49,-29.842,10.351,-20.502,15.099
44.56,-7.843,0.116,8.869,-13.616,-43.6,0.973,17.342,-8.131,21.647,13.107,4.348
47.077,8.69,48.289,-30.289,23.347,-3.255,-17.966,17.943,-5.085,18.695,12.342,-7.701
48.707,111.727,19.688,40.945,13.483,-21.235,-15.256,-12.279,-6.835,-12.874,-23.39,18.371
43.364,-5.102,-38.167,33.447,-22.189,-74.294,-18.868,-0.173,-13.775,20.604,7.321,21.808
47.377,121.347,-32.86,40.737,6.142,-13.206,-17.137,-21.128,-21.732,-33.368,-24.916,37.881
42.474,-3.161,-48.474,8.978,-32.094,-99.157,-33.485,13.27,-13.237,20.25,-5.962,11.681
46.58,42.553,17.989,-20.872,24.195,-39.443,-59.135,33.202,-8.501,-14.17,-2.729,-10.007
45.79,87.404,-55.426,-7.8,-6.021,-64.612,-21.528,20.713,-28.008,16.224,15.347,12.022
47.083,152.313,-26.939,-23.684,17.382,-35.907,-11.503,-15.844,-27.401,-33.515,6.2,27.392
51.432,128.875,-12.143,-69.798,43.43,-23.877,-16.66,-47.971,-17.024,-2.629,-17.874,31.528
53.856,57.349,-23.176,-16.38,48.469,-75.591,-30.003,-2.267,-5.518,-3.564,-10.454,3.418
55.639,78.195,28.54,-18.88,41.346,-51.219,-9.092,4.307,15.89,20.213,5.663,-18.797
55.622,128.803,34.095,4.6,0.063,-24.619,-62.514,16.028,-1.931,1.667,12.966,-16.088
51.484,96.408,-17.678,40.507,1.785,-14.264,-42.835,-7.161,-30.542,-7.4,-46.538,-14.684
51.547,74.613,-32.215,67.349,35.587,-13.456,-26.607,21.561,0.896,-2.622,4.812,-6.737
49.314,95.681,-45.681,46.054,-29.128,-47.702,-3.014,3.885,-7.074,5.444,-56.305,17.709
51.421,69.471,-42.612,-5.267,-29.059,-43.495,-51.839,-6.89,-26.376,31.026,-24.683,-12.753
52.864,164.969,-13.581,-38.006,32.524,25.443,-25.295,-29.556,-26.212,51.578,-36.233,7.43
54.058,138.089,44.539,-29.255,75.788,-13.454,-6.877,-24.279,-25.073,26.112,1.585,11.373
55.531,107.848,31.828,-8.713,-16.315,-48.906,10.509,6.826,-13.393,-6.567,-1.567,-18.014
53.018,47.252,-30.751,71.63,35.523,-43.016,28.506,-4.187,5.342,2.732,-73.692,21.408
56.314,102.676,12.548,8.356,23.682,14.442,-26.432,15.553,-24.787,-7.686,27.544,-23.199
55.942,89.376,15.911,-10.179,66.896,-40.88,22.197,-15.506,-13.974,14.065,-8.555,26.56
54.839,90.929,12.601,21.812,40.79,-31.867,27.748,14.606,13.053,1.29,-16.96,9.505
54.717,103.38,53.753,-18.101,30.569,-23.037,-22.43,-27.771,-44.437,19.927,-7.632,-1.059
55.187,45.59,17.745,22.725,57.339,-77.88,-25.844,5.114,-15.942,8.654,-13.057,-22.192
