0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
27.112,-123.765,17.738,41.31,76.723,-84.987,-8.36,-31.079,21.576,3.871,-14.249,-21.193
27.465,-200.259,133.707,-48.237,147.293,-25.789,-12.907,-19.995,-14.751,3.636,12.472,-26.075
32.166,-154.689,89.078,27.985,117.287,-75.774,-12.183,-36.746,1.762,19.106,-7.568,-19.41
32.21,-149.008,191.094,21.656,140.074,-22.315,8.374,17.88,14.938,-10.867,-8.626,-28.831
27.344,-200.516,120.915,5.937,150.121,-20.769,-29.648,4.158,-13.881,-1.183,-9.213,-20.357
23.911,-136.225,156.504,36.637,157.049,-15.979,7.103,19.751,-4.517,-6.817,-26.231,-30.358
21.421,-161.493,93.044,19.496,172.597,-37.471,-30.784,19.229,-24.456,-7.121,-13.883,-25.319
18.193,-91.929,87.043,-11.131,141.117,-40.23,-6.616,-3.808,-5.675,10.698,-2.368,-22.246
20.552,-78.681,73.158,-22.141,93.366,-42.923,-44.556,-16.561,10.02,-1.472,6.152,-26.361
22.975,-52.037,64.473,-20.76,39.564,-31.523,-62.782,-6.365,-9.688,-5.969,6.059,-23.219
24.612,-38.243,51.275,-19.075,36.927,-28.265,-57.293,-4.11,-11.114,-5.293,13.614,-6.974
26.656,-48.287,36.806,-31.987,35.204,-27.213,-56.425,-13.79,-8.693,-10.402,10.625,0.328
29.206,-39.446,42.21,-46.188,23.617,-9.642,-61.205,-0.954,-10.784,-5.622,0.494,-4.562
32.088,-7.672,43.035,-58.036,23.249,-9.011,-56.466,8.111,-7.215,-15.182,9.72,2.973
36.712,22.562,48.981,-63.799,30.749,-21.811,-51.599,-20.13,-3.458,1.679,17.358,7.051
47.58,45.817,45.216,-88.248,31.472,0.665,-41.83,10.648,-15.254,-7.294,17.477,-0.57
50.828,128.397,62.289,-57.561,53.456,-10.789,-23.566,-58.81,-21.795,8.217,-14.783,2.874
49.997,111.184,84.098,-8.392,101.904,-33.656,2.077,16.644,-4.479,-18.074,-3.712,-14.701
54.09,90.668,95.811,0.069,55.308,0.515,-11.325,-1.281,-1.662,-5.858,1.447,9.068
49.301,123.158,75.299,54.106,91.021,-24.491,-11.379,2.722,13.0,-16.843,-40.0,-12.931
54.498,95.683,66.497,25.732,38.858,27.995,-39.53,-3.763,-10.263,8.127,3.537,-7.651
52.434,24.002,17.573,37.855,8.922,-23.538,-21.904,13.922,-5.768,-7.466,-14.399,-1.527
50.812,47.455,-3.246,37.082,-6.848,-26.322,-4.319,-6.002,2.714,-7.46,1.639,-12.585
48.592,14.018,-63.104,43.847,1.564,-30.643,2.31,3.185,0.729,15.387,25.2,4.795
49.083,46.418,-24.362,42.515,-13.075,-20.989,-19.276,2.326,-6.715,-0.897,-10.755,-4.425
50.424,55.7,-23.514,44.167,-6.721,-39.646,-31.068,-3.211,8.806,3.068,-5.901,14.5
47.091,67.831,8.11,-20.376,-17.605,-23.43,-23.352,-17.697,-4.823,11.79,11.094,1.056
48.443,-2.692,-29.828,49.146,-6.679,-51.918,-27.733,-20.929,-13.096,-6.412,3.505,-4.799
46.478,88.002,10.506,-12.402,-9.844,-0.025,-34.257,-3.162,13.405,-0.215,17.464,-8.166
47.693,55.748,44.53,-45.845,9.467,2.522,-35.367,6.299,-0.415,12.246,-28.016,2.171
48.83,12.464,-55.939,43.749,-3.847,-68.19,-7.737,-1.616,-3.303,18.179,20.1,6.514
48.967,51.06,-24.244,38.446,-9.614,-30.407,-24.868,10.312,-0.178,-2.024,-10.133,-5.812
50.689,75.832,-22.415,36.863,-12.614,-6.897,-25.785,10.444,12.753,4.793,17.901,9.226
46.908,87.562,21.343,-6.807,-18.34,-25.274,-22.9,-14.361,-0.549,-5.855,-3.766,7.28
49.568,34.913,-20.926,35.318,-14.654,-55.539,-32.427,-9.627,2.7,-13.201,-15.054,2.976
48.737,71.785,9.082,-22.027,-2.493,50.863,-5.592,32.969,14.505,2.772,-6.273,-1.532
48.707,10.885,-54.437,43.525,11.386,-23.422,-3.081,-5.794,-3.19,21.334,25.189,3.883
49.123,43.59,-28.121,44.711,-18.388,-36.868,-22.502,-1.088,-0.891,-3.79,-13.549,-3.376
48.515,49.491,-19.22,23.538,8.455,52.794,-8.642,5.732,8.024,3.89,23.096,5.582
47.879,85.838,21.537,-28.26,-9.567,-21.395,-48.339,-12.623,-3.656,11.255,11.847,3.439
49.681,13.892,-13.513,32.605,-1.651,-38.928,-35.939,-7.691,-5.363,-6.698,11.302,-3.539
