0,1,2,3,4,5,6,7,8,9,10,11
28.635,50.663,73.746,-255.87,37.97,267.741,54.111,-30.516,-39.432,71.466,-76.866,13.017
41.935,-85.386,-42.17,60.725,-14.606,-58.196,-62.546,-40.281,-26.134,39.192,-21.599,15.067
41.544,-19.681,-11.038,29.843,-2.252,42.673,-49.893,-10.891,-5.143,-16.665,-16.683,-6.608
40.205,-62.208,-43.074,105.402,-15.519,-21.378,-46.33,-53.626,-25.582,21.302,4.645,11.896
44.568,8.296,-1.229,-23.532,4.876,95.869,-28.523,-39.496,5.548,-28.877,-5.58,-3.657
43.412,-80.407,-56.734,25.654,-34.658,-50.287,-34.538,-43.984,-22.625,38.85,-13.94,16.112
41.32,-85.287,-69.841,36.935,-29.889,-4.153,-22.185,-45.237,6.311,-15.081,9.051,-6.821
41.663,-91.375,-57.166,-44.342,-30.756,38.369,-31.205,-28.238,7.959,-34.417,-33.562,-8.131
42.993,-92.876,-66.854,33.783,-31.886,-44.011,-39.227,-41.012,-11.433,9.7,-6.677,7.102
42.195,-65.467,-46.338,-11.752,-26.894,31.11,-35.48,-14.827,5.697,-36.752,-26.167,-9.179
41.605,-63.662,-53.52,40.36,-31.852,16.323,-21.113,-18.91,-1.888,-7.084,24.9,-0.936
45.999,9.361,26.521,-29.2,4.108,55.274,-6.191,11.95,14.985,-36.671,-1.604,-20.5
44.299,-73.54,-47.666,4.848,-21.907,4.749,-23.616,-41.621,-1.863,7.804,0.727,-0.412
44.326,-77.633,-61.427,-5.942,-24.698,-8.345,-37.972,-27.115,2.965,-5.877,11.968,-1.462
44.094,-62.248,-55.713,12.307,-25.943,-15.788,-35.953,-45.43,-4.439,1.799,7.149,0.863
44.089,-58.786,-50.717,-5.791,-20.18,2.031,-31.334,-22.468,0.904,-18.619,11.005,5.074
44.455,-92.391,-66.227,2.419,-29.365,-65.294,-57.047,-47.321,-9.7,35.691,-16.072,3.194
43.857,-79.591,-34.869,-47.386,-28.273,36.821,-40.075,3.769,8.646,-51.337,-38.353,-9.507
44.542,-46.672,5.306,-110.07,-11.688,10.268,-47.29,1.061,-2.164,-13.602,-22.417,0.316
43.986,-61.837,-49.329,22.497,-25.696,-42.627,-44.062,-42.912,-20.036,40.804,-8.009,12.186
44.439,-81.726,-47.718,-34.871,-8.291,45.625,-42.305,-26.206,13.036,-47.325,-36.601,0.193
