0,1,2,3,4,5,6,7,8,9,10,11
49.356,48.22,-96.959,41.88,-4.659,-97.937,-41.406,3.97,-3.952,-10.251,-21.821,3.166
42.07,-4.183,-144.523,44.715,-29.287,-110.058,-42.194,-5.789,-3.184,13.848,-20.989,4.165
48.437,65.327,-93.368,32.294,-4.241,-82.105,-26.653,-0.679,-5.914,-3.11,-19.412,10.331
41.515,1.687,-121.885,13.939,-27.104,-114.345,-39.824,12.34,-5.127,2.41,-16.892,1.047
44.168,40.132,-3.045,-186.318,-26.079,21.814,0.532,24.881,-3.71,13.6,-8.079,-4.133
52.181,87.597,-28.324,-10.529,-12.856,-47.151,-17.308,-9.336,-14.455,-0.403,4.384,-1.037
50.795,68.909,-9.328,-17.978,-24.393,-29.018,-18.259,-6.947,-2.577,-1.943,-11.184,-0.862
50.297,64.367,-37.11,-28.943,-18.055,-54.474,-26.804,-8.296,0.332,-3.605,-10.628,-0.496
49.816,74.282,-35.297,-30.999,-13.22,-27.985,-5.04,-24.78,-9.937,-8.268,-7.318,-1.644
51.129,58.629,-38.359,0.185,-10.933,-34.576,-11.374,-11.42,-4.173,-8.435,12.039,-2.686
49.495,57.129,-20.067,-48.813,-37.246,-23.259,-21.486,4.055,-5.694,3.164,-9.619,0.988
49.665,42.724,-54.204,-38.765,-30.288,-54.27,-22.72,-8.865,-14.044,-9.063,-7.167,-5.117
48.65,29.24,-37.087,-39.617,-42.987,-60.319,-26.391,-4.868,-8.973,9.726,-15.109,0.916
49.001,51.487,-3.662,-50.867,-15.532,-13.87,-12.896,11.898,0.087,-5.741,-20.953,9.124
48.248,36.568,-7.81,-30.887,-17.168,-24.885,-17.855,-3.103,1.327,5.61,-7.739,8.759
49.44,57.856,-30.602,-32.421,-12.679,-20.423,-14.097,21.552,-2.045,-2.158,-12.642,10.575
48.971,77.546,-32.948,-46.96,-3.221,-30.806,-16.562,7.446,-24.111,-15.788,-17.087,9.569
49.783,62.984,-37.103,-28.539,-9.739,-32.708,-9.344,-2.097,-17.152,-2.021,-6.487,9.291
51.081,83.573,-17.512,-46.821,-18.312,-10.13,-8.972,17.139,-0.436,3.022,-2.686,3.276
51.403,69.704,-20.439,-10.347,-3.73,-76.452,-11.095,-4.888,-12.852,-13.961,-5.22,8.432
51.957,61.568,-48.025,-25.772,-19.077,-34.503,-15.11,-2.868,-5.651,-2.149,-8.758,6.536
51.272,57.386,-22.009,8.364,-8.288,-20.721,-14.783,-14.724,-5.167,-1.217,14.962,1.733
50.653,79.016,-38.005,-22.079,-4.771,-13.11,-11.737,-15.066,3.522,-4.708,18.609,5.998
50.097,55.843,-13.632,-35.219,-9.535,-25.577,-15.339,2.489,-9.627,-15.885,-4.678,5.965
48.858,54.209,-47.117,-22.07,-36.674,-49.015,-22.05,-8.452,-2.305,6.031,5.994,4.818
49.75,62.928,-21.719,-27.145,-15.127,-0.634,-16.864,1.772,2.074,-16.932,0.698,2.729
50.288,55.332,-39.905,-34.354,-19.417,-51.791,-29.572,-7.153,-5.407,-4.334,-16.515,0.714
48.216,54.752,-17.699,-31.568,-47.113,-36.103,-22.391,2.455,-5.983,-4.861,-12.252,16.176
49.155,73.612,-4.962,-25.842,-30.792,-8.015,-2.867,5.237,-11.026,-4.388,-20.61,20.043
49.234,68.897,-26.481,-16.066,-28.076,-30.942,-3.428,15.147,-10.233,0.402,0.248,15.918
48.958,79.589,-26.495,-40.498,-9.797,-31.281,4.063,-0.596,-19.325,-11.109,-19.992,22.153
49.28,51.98,-33.034,-34.768,-19.703,-26.469,-16.92,23.627,-11.286,-3.748,-4.307,20.974
51.852,81.35,-26.001,-36.743,-21.919,-28.981,-9.571,10.976,-8.484,4.569,11.273,8.889
51.813,67.15,-20.176,-13.063,-11.701,-65.137,-12.898,3.95,-9.174,-9.533,-9.821,-0.416
51.832,84.672,-23.374,-41.089,-28.634,-33.896,-7.667,14.68,-1.325,10.926,4.411,-1.889
51.488,90.52,-32.644,-27.947,-7.844,-26.35,-11.976,-31.016,-17.028,8.381,-14.29,-1.801
51.578,73.216,-19.441,-5.079,-16.213,-60.298,-17.623,-15.281,-3.323,-1.538,-15.47,1.661
50.912,75.096,-25.656,-25.521,-12.867,-67.691,-26.594,-3.674,-1.91,0.266,-7.958,2.095
49.99,45.381,-36.208,-17.563,-20.146,-54.777,-30.217,-12.295,-3.841,-12.142,-14.427,-2.258
50.953,60.111,-34.628,-2.752,-8.037,-48.154,-26.379,-20.0,1.577,-3.843,5.796,-6.059
48.449,59.475,-31.917,-38.861,-18.336,-26.213,-26.272,-0.434,2.438,-10.366,-13.423,-10.762
48.786,33.128,-54.49,-39.331,-27.825,-61.84,-36.456,-17.572,-4.587,4.743,-11.334,-8.427
47.691,48.306,-49.555,-24.304,-36.441,-61.479,-20.386,-3.966,-1.093,19.727,8.923,-12.759
50.657,66.387,-33.134,6.483,-7.298,-69.238,-27.021,-11.94,0.344,-12.37,-15.625,4.417
48.146,70.45,-21.47,-45.42,-19.802,-17.329,0.187,20.585,-4.501,-1.203,-6.938,11.381
48.997,70.309,-47.416,-46.004,-18.926,-32.976,-15.878,12.589,-5.251,-9.676,7.71,5.036
51.004,80.417,-20.351,-47.958,-16.534,-24.464,-5.581,21.122,-0.555,15.673,4.432,2.605
51.651,80.575,-8.908,-13.879,-4.46,-58.688,-12.329,-1.024,-1.768,-2.719,-8.978,5.162
51.576,69.634,-34.896,-28.543,-33.751,-36.454,-13.734,7.376,-2.728,1.729,8.876,-0.057
51.013,95.059,-27.51,-28.786,1.69,-31.564,-3.904,-9.358,-5.805,1.173,-8.259,8.796
49.666,62.142,-34.464,-45.567,-28.719,-70.877,-11.437,4.482,-11.749,10.068,-17.014,4.066
49.581,74.7,-20.045,-49.986,-15.106,-28.306,-8.852,-3.822,-5.173,10.374,-20.809,-2.291
49.44,62.746,-38.222,-33.631,-14.922,-55.046,-31.871,-5.418,-0.576,-7.876,-2.521,-2.845
49.399,73.512,-21.893,-46.197,-10.822,-29.579,-15.307,-7.259,-9.482,-11.436,-9.052,0.452
48.694,49.805,-42.981,-27.013,-36.689,-53.084,-16.931,0.662,2.478,6.485,10.406,0.516
51.192,77.268,-31.642,-9.85,-19.994,-52.781,-29.286,-13.908,-7.495,-8.756,-17.212,-1.535
49.094,34.249,-31.706,-17.251,-34.555,-52.405,-4.335,2.996,-3.217,12.148,15.137,-8.443
49.246,73.196,13.785,-56.323,-40.715,-14.667,-9.98,5.838,-5.444,12.719,-16.538,-1.404
51.313,78.1,-23.763,-25.459,-28.671,-22.096,-5.096,1.068,6.771,0.846,-1.161,-7.922
50.709,77.68,-48.446,-35.422,1.938,-50.638,-6.252,-21.06,-19.928,3.241,-1.852,4.581
51.077,64.28,-42.053,-27.047,-29.218,-48.486,-17.761,-6.986,-1.993,-21.0,-14.104,4.509
49.231,52.268,-20.629,-25.061,-41.583,-24.164,-13.935,-11.658,2.768,10.877,-13.214,-0.927
51.233,83.191,-40.02,-19.312,-15.46,-67.986,-17.818,-5.674,-1.862,0.114,-10.771,4.832
50.986,77.254,-43.089,-51.172,-14.776,-36.885,-17.873,4.785,-11.505,5.663,0.072,0.59
50.92,79.42,-42.448,-15.21,-19.435,-58.085,-18.781,-6.785,-6.304,-9.947,-11.007,5.133
51.361,71.261,-36.55,-56.79,-43.919,-40.639,-38.644,5.701,-0.258,1.969,0.088,3.981
52.742,79.481,-28.662,-6.784,-13.162,-7.061,-32.174,-14.056,-3.711,16.118,-13.456,6.22
52.723,22.288,14.915,-23.298,-20.213,-5.157,-10.24,-20.786,-11.797,18.52,-25.761,-25.786
53.964,40.088,-8.684,-35.999,-3.565,-37.774,-9.054,14.687,23.493,5.431,-5.217,-32.644
51.408,97.185,-16.083,-52.546,-17.721,-28.355,-32.869,-7.637,2.999,2.399,-12.229,-7.606
54.871,68.443,-3.231,-4.311,27.365,-20.416,-20.048,6.401,13.163,14.906,-2.918,1.726
51.793,55.824,-4.888,-45.787,14.615,-11.121,-11.027,-12.269,25.868,9.616,-21.659,5.773
52.413,51.807,14.629,8.365,-26.027,-14.172,-9.077,-0.382,-7.759,-4.301,-29.125,-9.088
52.342,63.103,-11.741,-40.492,16.255,14.577,0.38,-8.173,-16.393,5.446,-7.199,-4.328
51.912,71.753,-11.963,-23.641,-20.981,-6.007,-34.019,4.177,19.622,-29.356,-13.6,1.386
52.811,21.71,38.03,-5.685,9.6,-19.536,25.802,24.239,13.606,2.38,-8.254,-3.117
52.984,54.427,29.914,24.371,-4.958,-26.777,15.891,10.78,2.49,2.689,-25.341,-24.591
51.337,47.658,19.96,-78.315,-1.086,-2.903,16.213,8.961,9.176,7.366,-3.534,17.196
52.122,63.709,-7.844,41.771,4.716,-43.988,10.824,18.092,11.055,2.95,-14.353,15.701
53.017,60.636,-6.888,21.871,1.456,-19.717,-26.244,26.061,4.452,0.877,-19.439,-15.74
50.234,100.769,-7.242,-72.832,-20.47,-15.869,12.859,-29.055,-6.222,6.711,-14.927,26.998
50.705,52.901,-41.768,17.374,9.14,-75.28,-0.529,-4.083,-19.463,-10.445,-11.789,16.489
51.467,11.862,10.34,-58.693,-2.431,-0.37,19.203,2.254,11.443,-7.768,6.422,-7.493
52.676,32.204,16.353,-8.414,19.246,-42.549,5.948,18.921,35.59,8.815,-18.937,-12.934
53.631,43.962,-2.012,-21.074,-3.959,-20.114,-18.812,12.845,1.529,11.929,-26.64,-24.527
53.141,55.434,-0.349,-46.654,16.755,10.742,-4.002,19.945,12.862,10.274,8.378,-0.956
52.247,107.35,-12.244,-22.303,3.237,-8.156,-30.21,-29.589,9.951,32.297,-41.53,-4.986
49.971,108.367,-29.891,-42.051,-19.964,-12.587,-23.315,-43.552,-7.323,9.817,-22.739,4.464
52.699,87.886,-37.518,-30.407,1.743,4.268,-38.347,-28.014,13.347,1.069,-13.146,15.65
50.537,16.826,-11.868,-1.682,4.877,-8.328,-33.39,18.147,-2.292,-3.653,-23.569,3.423
50.819,84.225,6.189,-84.478,11.557,-13.11,11.543,-35.672,-13.493,-1.074,-14.647,-5.09
52.766,63.971,28.973,14.171,9.205,-17.949,32.957,11.933,2.872,-3.66,-33.527,14.939
