0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
34.371,-22.618,-63.158,35.447,-36.352,87.233,-5.343,-0.277,-15.153,9.668,8.691,-6.582
41.463,88.589,10.994,22.372,-24.645,7.437,-5.727,-9.733,0.235,-5.877,-33.081,3.422
42.238,112.362,55.759,-9.774,-16.522,-14.001,-15.344,-3.662,-8.933,-7.146,6.114,1.869
41.325,103.441,32.546,21.133,1.944,-14.942,-25.461,-19.995,-2.053,-4.622,-31.006,9.481
41.298,85.791,31.261,20.848,-11.116,-17.032,-16.31,-22.318,-6.725,-13.327,-26.78,7.75
39.89,94.853,47.095,-65.912,-17.952,49.227,0.734,14.204,-5.915,-14.948,23.122,-6.46
39.303,85.114,36.44,-27.8,-18.689,67.474,12.065,3.345,-1.288,-16.907,15.39,-5.76
39.108,54.267,35.141,-84.166,-30.245,42.032,1.024,31.22,2.15,-35.591,2.519,-1.209
41.887,103.374,40.714,-2.296,-8.915,-21.323,-24.743,-11.909,-6.418,-11.511,-9.2,13.231
41.302,94.386,29.903,23.074,-15.98,-20.31,-8.31,-17.244,-10.005,4.327,-33.606,5.851
42.027,108.628,47.969,1.561,-13.013,-21.719,-4.23,-12.04,-5.057,4.074,-3.726,2.472
41.895,88.805,40.158,-8.426,-3.337,-27.779,-27.517,-11.456,-10.022,-8.951,5.601,8.079
41.778,85.186,41.709,-18.167,-1.47,-25.756,-32.992,-3.484,-9.019,0.814,-1.751,8.286
40.765,70.23,15.225,8.116,-3.379,-3.236,-21.441,-10.572,-0.841,-18.509,-40.291,11.986
41.687,76.817,14.836,17.359,-21.264,-17.486,-16.526,-16.054,4.325,-14.091,-42.29,-4.695
42.142,90.473,44.503,-25.656,1.418,13.264,-1.603,1.73,14.212,-13.485,37.603,-11.558
41.813,58.869,22.994,-20.598,-8.515,21.781,7.578,7.726,14.631,-19.735,-11.582,-7.881
43.849,64.644,42.814,-22.573,-0.083,-14.283,-6.531,-2.915,7.644,-2.405,14.352,-16.851
44.379,27.32,45.507,-17.82,19.672,10.091,-11.66,3.258,21.523,-12.949,-5.028,-22.514
45.878,30.631,46.286,-26.428,16.925,-18.301,-10.253,-2.323,20.881,-8.499,6.993,-19.248
47.502,26.216,65.893,-12.141,22.419,-26.25,7.211,6.828,8.582,-4.07,10.747,-0.81
49.238,55.381,57.196,-25.26,29.991,-34.889,14.371,8.979,2.71,-1.148,2.421,26.269
53.684,117.355,-0.023,-24.364,-14.524,-53.72,-0.52,17.949,0.768,2.357,-7.525,4.171
53.861,109.235,-2.269,-15.842,-1.415,-38.338,-19.316,10.041,-17.394,1.146,9.464,3.182
53.366,120.391,12.857,-5.117,-4.28,-30.194,12.751,-6.123,-10.641,12.69,-0.887,12.986
53.12,121.294,13.687,-13.541,-18.907,-51.249,24.209,17.947,-10.811,-4.778,-15.639,19.268
52.109,117.919,-11.148,-4.842,-36.596,-34.434,12.563,-2.689,-21.073,3.541,1.951,7.291
52.691,111.204,0.878,-19.547,-9.258,-11.784,0.604,16.688,-5.582,3.529,-10.19,9.173
51.678,134.745,1.397,-9.987,-20.67,-25.706,22.836,-5.789,-18.526,7.991,2.169,14.271
53.419,112.658,-29.826,-12.609,3.211,-50.11,-28.47,21.742,-4.54,7.499,7.829,14.904
52.804,127.182,-7.438,-20.994,-17.435,-38.594,12.264,9.336,-20.441,17.891,0.739,13.476
51.136,113.179,-18.294,-8.632,-40.463,-56.806,4.323,-4.23,-11.195,5.788,-6.348,7.037
52.286,108.319,5.034,-59.164,-7.506,-11.936,-3.551,6.622,-2.181,5.958,-16.344,12.822
52.222,133.085,-0.235,-21.464,-1.973,-30.757,12.427,5.668,0.114,5.011,-8.334,17.963
51.695,126.967,-5.191,-13.959,-16.878,-15.575,20.658,-7.905,-7.175,20.081,-4.687,8.531
53.377,99.468,-32.08,-6.154,4.127,-53.88,-28.541,23.763,-7.956,9.09,-8.852,19.42
50.628,128.68,-10.943,-23.213,-20.084,-16.639,2.428,-8.573,-12.75,2.313,-15.285,16.887
51.588,118.399,3.167,-38.614,-20.782,-20.356,21.088,7.836,-0.956,-1.1,-15.369,17.462
52.021,98.225,-14.336,-23.633,-26.905,-60.119,11.51,-7.553,5.057,10.767,-9.479,20.633
54.15,112.494,-9.443,-13.811,7.937,-51.788,-12.618,29.751,-16.767,-6.047,-10.374,12.888
52.878,117.254,-5.448,-17.766,-15.123,-42.782,13.536,11.559,-7.363,15.289,2.35,8.597
52.692,126.493,-8.78,-15.791,-16.638,-51.29,21.16,1.062,-8.566,14.397,-5.465,10.258
53.589,108.166,-8.206,-23.807,-9.866,-58.275,-12.497,12.419,-14.533,-27.1,-4.837,18.711
52.153,113.185,-26.142,-4.863,-19.453,-53.671,-5.78,-11.071,-6.042,14.144,4.269,-0.755
53.966,79.808,-17.991,-20.006,-27.644,-45.459,-24.201,17.026,-17.19,1.766,-1.56,8.154
52.693,84.024,4.15,-17.835,-18.867,-9.975,7.59,-0.363,-11.676,-1.838,-17.821,11.492
52.448,106.39,-0.99,-23.09,-14.711,-22.594,13.406,21.547,1.442,-17.965,6.929,5.917
52.701,105.682,0.313,-22.043,-13.967,-62.975,13.283,5.345,-5.785,5.715,-8.048,8.129
54.028,101.089,-19.962,-31.003,-11.813,-54.966,-25.485,15.057,-11.715,-1.507,1.117,17.294
52.934,134.372,-5.167,-9.239,-9.084,-32.267,19.635,5.495,-9.575,3.778,-4.586,17.099
52.457,129.173,-2.795,-20.237,-21.805,-30.83,25.208,-4.285,-8.361,8.328,-4.364,19.574
53.704,99.944,-5.376,-8.231,-8.689,-41.403,-5.752,20.935,-5.252,11.28,16.435,12.245
52.81,109.446,7.364,-4.892,-8.66,-26.846,27.509,-2.802,-11.89,9.652,5.78,13.882
53.734,103.533,0.646,-4.365,1.494,-63.311,-4.082,16.496,-13.303,-11.009,4.176,14.132
52.115,116.793,11.056,-10.536,-33.126,-57.71,22.311,-0.643,-19.562,13.24,-8.928,7.002
52.477,110.7,-4.096,-7.62,-4.196,-30.665,21.25,4.115,4.796,1.827,-1.862,17.714
51.241,109.483,-9.673,-12.851,-43.494,-39.619,9.015,-13.823,-20.647,5.288,9.319,9.189
52.792,105.241,-2.512,-32.003,-5.678,-13.152,-4.838,11.64,-9.767,5.598,-9.44,23.27
52.552,120.819,-5.253,-19.663,-21.989,-55.382,13.247,9.312,-14.134,3.989,-8.272,13.032
51.873,115.417,-1.778,-4.663,-26.093,-36.328,22.894,-4.065,-17.928,16.968,4.426,16.078
53.761,93.911,-6.79,-10.108,-9.267,-57.331,-10.753,10.677,-9.3,-6.591,-7.474,11.815
52.41,113.999,-10.638,-12.972,-22.977,-53.516,12.167,0.331,-1.482,10.43,-5.079,9.544
53.358,92.224,-15.162,-12.375,-14.2,-59.23,-18.172,15.691,-4.933,-1.013,-13.092,13.326
51.505,138.693,29.577,-8.421,-1.171,-38.554,20.563,7.918,-14.413,-11.721,-5.959,15.142
51.968,103.573,-5.787,-14.054,-22.413,-51.264,26.051,-0.158,-16.77,22.751,-1.566,15.79
53.315,100.075,-19.239,-1.784,-14.024,-22.475,-1.067,-3.693,-19.156,0.242,13.581,15.221
53.96,103.473,-15.913,-18.307,-3.419,-44.153,-9.73,32.25,-0.809,10.396,20.631,13.377
53.399,129.236,-33.779,-24.794,-0.512,-13.942,1.11,18.814,-20.256,20.493,-13.548,8.709
54.704,84.027,17.378,-19.634,10.037,-42.868,5.075,-19.242,-4.949,22.593,-11.714,7.025
55.538,112.038,3.632,-8.364,-38.651,-17.635,2.366,-7.154,-4.098,-7.614,8.485,6.241
55.023,109.15,1.278,5.575,8.641,-28.13,-9.238,54.334,-13.938,-3.834,3.49,24.837
50.887,123.843,17.47,15.534,15.22,-39.158,-29.695,48.24,-40.419,-13.448,11.749,13.388
53.009,123.562,33.982,8.457,-29.385,-5.63,-25.792,-1.427,-39.548,15.15,-10.168,6.104
50.721,75.926,7.037,-24.91,10.852,-30.284,-1.642,-36.162,-34.489,23.84,-20.983,26.522
53.583,77.736,-21.776,9.175,7.13,-73.447,-15.343,18.49,-10.017,13.01,4.769,23.281
51.882,33.953,23.276,-13.36,32.588,-41.977,15.863,-21.134,-2.932,22.639,-9.738,18.977
50.239,4.227,75.815,-10.689,39.027,-37.709,23.639,31.505,-5.62,1.629,-13.6,17.635
52.16,44.554,-0.02,34.44,0.628,-78.639,-12.956,-11.049,-2.625,0.642,-11.644,15.424
46.984,4.487,61.452,15.77,1.305,-23.083,41.437,-5.29,-1.621,-12.236,-22.96,1.018
50.457,49.432,9.061,-3.801,22.315,33.371,26.836,13.627,3.109,-28.389,22.631,7.347
49.686,60.276,39.969,19.268,24.732,-30.854,48.301,-15.674,-5.954,-8.054,-23.006,16.504
52.378,92.288,11.7,-9.898,33.312,7.87,11.87,13.96,-4.085,-10.343,0.322,6.257
55.212,100.051,20.716,-21.116,10.667,-20.5,-1.014,6.999,-18.46,13.543,38.961,3.77
54.716,119.033,35.277,24.238,18.866,-20.364,14.229,-13.108,17.42,6.882,-30.527,38.708
51.649,87.069,40.671,-18.415,27.983,-21.768,21.944,-29.837,-19.149,-8.357,-0.974,10.264
53.73,65.979,44.67,-1.602,18.65,-28.626,15.738,-0.927,24.337,-10.185,-0.373,10.824
52.644,73.516,2.217,40.461,-11.961,-90.712,-22.408,13.488,-11.87,-3.61,-13.084,2.645
50.204,72.086,16.608,-28.604,11.273,-31.181,-9.013,-35.911,-15.136,-0.602,-6.783,5.539
51.974,85.427,46.534,-25.641,-32.943,-15.317,-36.78,17.503,-14.514,-32.232,-0.974,-1.886
52.164,68.951,30.955,-33.615,24.588,-12.468,-16.865,25.103,10.009,-9.977,-7.295,21.66
49.406,110.595,-3.414,-75.811,15.254,-17.098,41.684,-43.283,-26.748,1.849,-22.383,1.752
50.412,117.398,-51.028,0.171,-26.837,-26.899,-9.889,-38.214,-25.043,3.823,-8.859,8.358
51.868,112.01,-31.052,16.842,-19.68,-7.809,-32.265,4.086,-28.713,8.029,10.139,-1.965
50.003,140.012,27.296,-51.482,-31.917,9.17,-16.816,-1.632,-48.821,23.449,2.941,-6.442
52.165,137.877,24.95,4.479,6.829,-8.338,-11.522,8.355,2.388,8.219,-37.838,31.418
51.918,77.049,-14.303,0.085,5.238,18.829,-15.644,-1.676,-19.898,-26.955,17.807,-4.685
50.065,9.244,63.952,25.534,34.603,-62.638,26.29,-16.74,10.433,24.036,-8.932,4.753
51.299,41.314,74.89,-25.597,36.458,-31.28,26.88,38.661,29.71,-8.064,3.757,-6.2
