0,1,2,3,4,5,6,7,8,9,10,11
20.02,74.804,187.27,-406.103,69.163,47.63,89.109,-135.51,-39.227,86.436,-10.164,-8.877
47.865,-27.359,113.183,-49.029,54.281,-25.229,-3.891,43.022,33.79,-6.122,-5.244,-35.085
49.126,35.063,106.28,3.2,38.523,-28.134,-21.265,23.376,15.064,0.825,-1.498,-35.271
49.151,10.732,85.607,41.666,44.571,-25.707,-36.859,-8.619,15.639,15.985,-23.791,-31.966
46.208,-40.347,54.321,55.307,42.925,18.465,-8.654,-29.568,27.833,-14.216,-8.66,-43.131
41.493,-128.944,56.252,28.425,47.885,-48.212,3.9,-1.889,32.122,-3.249,4.207,-36.188
47.257,15.232,91.519,-52.851,44.364,58.539,-1.548,35.252,29.77,-71.935,-11.533,-36.737
47.293,40.794,63.133,10.462,-5.876,-42.294,-44.206,-2.477,-1.597,19.632,-11.989,-34.595
46.028,33.917,46.417,-1.261,-0.889,1.53,-30.704,-9.673,7.76,-9.733,-32.217,-19.129
49.921,80.272,89.577,41.93,-8.793,-41.209,-7.847,-21.776,-41.499,-8.178,-22.301,0.904
48.606,82.063,87.972,3.909,-19.796,-11.141,-13.134,-3.514,-26.719,-19.06,-2.837,-5.923
47.309,89.495,66.88,2.779,-36.362,-16.543,-23.975,-6.856,-34.68,-4.494,-14.486,-3.513
45.433,66.739,19.754,22.254,-28.054,-43.461,-42.303,11.68,-2.214,2.925,-8.127,-15.75
43.594,50.784,18.189,8.394,-26.573,-7.659,-47.723,-22.043,-14.07,1.237,-10.728,-10.839
46.441,45.079,14.529,56.466,-11.325,-8.979,-31.011,-40.709,-12.435,15.217,3.732,7.317
50.681,74.993,54.457,-79.516,27.848,62.586,-28.816,-6.984,6.389,-13.87,38.787,-34.592
53.325,74.546,119.347,46.094,46.585,-20.306,-4.066,11.911,2.75,-8.953,-29.197,1.499
51.024,99.359,35.457,11.971,5.509,-3.52,-45.072,-16.022,-12.169,-16.606,-35.213,0.862
54.841,52.996,23.164,0.307,24.006,-22.961,25.119,-2.446,5.018,12.294,18.502,-15.414
53.638,58.981,101.623,20.418,43.155,-20.417,28.789,-0.849,2.426,18.379,4.835,15.863
53.738,31.515,89.205,4.882,34.895,-32.185,46.574,4.774,-9.829,10.527,-4.763,16.962
54.519,52.679,104.688,28.122,43.603,-39.793,44.332,13.279,2.108,-1.011,9.518,17.769
54.554,33.486,45.481,14.104,40.917,-40.215,40.102,21.92,-12.366,12.764,0.747,4.285
53.36,68.175,61.317,17.396,51.547,-41.14,56.214,24.377,-17.528,-4.1,-11.213,15.967
53.207,79.31,73.881,10.341,33.358,-32.111,15.58,7.479,-19.21,2.279,-19.044,-11.671
53.782,79.094,84.872,-7.436,20.564,-19.997,-3.402,-28.987,-18.856,23.095,-2.089,-14.557
53.533,21.768,11.975,40.005,17.388,-44.715,22.51,9.225,-5.129,-9.562,-36.193,-12.482
53.011,98.257,35.974,13.29,13.569,16.395,-27.116,9.474,-45.898,-13.613,15.834,-10.635
55.052,39.823,42.448,4.286,26.056,-56.284,11.264,19.986,11.083,6.65,-5.388,10.04
53.53,85.677,49.353,-41.24,54.732,-28.455,-1.071,-3.918,18.713,10.282,-3.65,37.729
53.063,93.334,71.183,-35.423,16.838,-19.294,-46.034,20.403,-2.044,-0.883,-12.974,-21.856
54.573,86.838,44.079,1.57,22.095,-29.27,-28.251,-7.357,1.217,2.366,1.098,-10.728
54.026,83.721,77.057,-0.866,35.518,-18.204,-1.42,-14.318,-3.327,4.803,3.391,-7.588
53.651,65.097,54.531,24.611,51.176,-28.265,28.48,10.098,-12.655,-7.895,-42.296,-18.613
52.178,76.169,43.647,-17.121,20.845,26.236,-26.707,3.198,-17.189,-22.592,-1.255,-13.014
53.704,87.032,40.163,-21.891,37.514,-13.437,-11.703,-19.012,-20.421,25.202,-6.189,-19.273
51.223,116.954,0.877,3.742,32.817,-15.094,-45.261,8.185,-25.517,-4.905,-32.173,-6.539
55.003,38.047,10.258,21.186,21.857,-40.629,7.76,-15.845,15.292,16.199,-13.233,-15.538
51.914,52.288,35.627,11.062,45.222,-51.702,-12.901,-16.619,33.581,13.274,-14.1,0.996
52.538,77.509,49.793,-24.157,37.52,-16.529,2.331,17.933,-2.001,-6.82,-21.197,13.812
53.368,38.45,66.573,18.405,33.096,-21.298,-39.854,-16.314,-13.991,5.354,-1.409,-33.095
52.702,30.597,2.169,35.699,-15.068,-50.092,-4.595,5.349,8.569,-12.792,-23.877,-21.917
51.335,105.62,33.685,-76.309,50.716,-30.452,1.371,-1.784,-37.114,-0.242,-2.265,-8.006
54.83,93.993,18.225,8.526,18.012,-39.887,-0.489,19.224,-39.406,-2.49,3.521,2.341
50.911,47.221,-14.227,22.602,-21.235,-73.524,-10.327,18.195,6.487,4.141,-3.758,-3.177
49.04,93.957,31.159,-2.659,-4.365,-33.079,-42.38,-7.595,-11.551,9.283,-1.028,-27.037
52.592,100.625,67.146,0.03,38.61,-2.995,-11.176,2.487,12.589,2.31,6.089,-19.988
52.739,80.457,26.905,12.061,2.065,-29.343,-15.819,24.009,5.638,13.939,3.634,-9.969
49.109,103.374,27.633,-10.542,32.945,-26.58,-11.568,8.087,-27.251,0.561,7.458,7.393
51.127,93.876,-39.759,0.173,1.127,-33.865,-25.361,69.342,-5.033,12.611,20.586,-13.213
54.554,75.91,15.473,-18.836,31.408,-16.664,36.965,7.507,-10.178,25.364,-3.682,1.556
54.274,66.903,21.739,-16.396,7.853,-41.781,3.423,4.104,-8.752,-5.016,-2.093,-19.338
53.093,60.926,10.743,16.43,-19.886,-36.662,-31.088,-0.583,-7.592,6.669,-15.42,-29.577
53.468,50.142,-11.751,7.954,35.483,-16.641,0.269,-12.758,-5.582,26.849,-18.204,-29.322
50.88,145.819,-84.058,-70.289,16.071,-41.671,-38.735,-10.421,0.673,4.657,3.097,8.349
52.325,107.805,-56.327,-58.837,-28.278,-27.118,-59.919,-8.168,-16.177,21.887,-0.456,-4.841
53.909,106.315,-13.75,-34.224,-36.083,-46.632,-56.51,-12.928,-4.983,-0.287,-11.527,-20.733
53.578,72.988,11.64,-14.895,2.57,-32.051,-23.62,-18.211,-9.955,11.569,-15.283,-37.237
52.197,72.463,-11.317,-12.09,-27.508,-44.567,-29.52,16.803,-37.044,-5.025,-4.067,-8.73
54.172,75.797,-1.053,21.715,-27.491,-18.366,-19.048,23.488,-8.299,-27.222,-23.415,-21.765
50.969,123.807,-12.678,-102.386,-2.124,-10.578,10.065,-34.925,-35.649,5.373,-20.217,-19.334
51.936,50.95,10.971,11.796,-6.741,-8.642,-4.868,-22.349,5.817,25.468,-61.397,-25.33
52.665,76.587,12.081,-66.73,-1.573,16.835,-10.2,-1.711,9.151,-8.009,12.034,-17.078
52.363,7.685,-17.522,46.357,18.262,-48.337,-10.624,-1.563,33.647,11.76,-14.226,-3.164
51.564,73.999,-2.666,-25.331,-38.419,-32.577,-25.391,2.085,-4.981,13.053,19.045,-16.36
50.498,51.248,-6.54,51.443,-40.374,-43.759,-7.728,7.067,21.003,-21.96,-34.773,-4.162
51.1,45.658,3.522,-13.809,-45.118,-27.873,-30.078,23.739,-11.695,-11.65,-3.953,0.416
51.627,82.898,-47.099,37.343,-7.163,-32.256,-5.276,14.66,12.901,-34.291,-25.818,5.67
52.174,8.775,-19.632,-16.542,23.04,-18.78,-1.265,48.693,-18.245,-18.949,-1.123,0.717
52.755,33.614,1.271,-33.447,-9.248,-14.128,-18.357,-5.685,6.059,20.713,-11.374,10.624
53.456,71.813,-9.194,18.608,8.475,-21.497,-12.711,47.221,-5.488,-15.767,-11.473,-3.03
53.812,57.991,38.662,-3.335,15.218,2.186,0.447,-9.177,-15.659,43.638,7.652,-5.413
54.585,64.156,24.597,-15.598,15.359,-30.77,1.132,46.404,15.728,12.931,-13.217,-1.504
50.914,43.071,-32.128,8.241,-34.01,1.487,-47.033,-31.106,-14.751,3.341,-11.062,-17.038
53.681,113.516,-8.638,-35.227,-25.511,-29.023,-43.336,2.269,-1.361,-6.641,4.287,-32.708
54.869,62.434,-0.427,20.816,12.362,-35.834,-6.383,22.897,1.645,-12.791,-21.666,-0.531
52.337,83.886,-0.825,-51.515,22.122,4.424,5.749,-28.018,-19.182,15.284,-14.341,3.262
53.011,40.952,18.068,-37.647,12.981,-23.231,15.48,-7.403,-26.058,20.183,-14.346,6.872
52.934,98.063,-4.819,-66.923,18.842,-24.677,5.146,-1.524,-16.435,3.85,-15.056,1.95
54.864,101.613,-19.143,-34.431,-3.54,-46.492,-50.688,0.757,1.738,11.475,-15.802,-47.159
54.122,60.094,20.144,9.145,16.432,-17.3,0.619,-10.389,-10.408,23.967,-34.72,-35.422
51.417,95.561,10.179,-73.292,-31.215,17.806,-18.898,10.891,-4.853,-13.137,8.875,-10.781
50.252,21.695,-60.254,42.195,-3.888,-56.472,-38.356,-5.599,6.511,-18.092,-47.389,6.848
45.316,-17.245,-35.838,-28.327,-47.584,4.936,-24.274,-11.348,1.782,-10.381,6.484,-13.322
51.693,69.796,2.299,-31.439,-41.536,-38.614,-28.831,-2.798,-11.293,15.438,15.613,-11.937
51.814,65.602,-1.066,10.971,-47.001,-52.669,-11.691,14.976,20.422,-8.658,-12.994,-5.531
50.832,101.483,1.4,-41.153,-19.598,6.374,6.081,-20.473,-19.742,-8.416,-20.002,-6.245
54.253,19.021,34.482,0.281,14.586,-63.44,26.494,11.183,3.28,7.378,-8.367,-23.6
54.221,42.584,12.651,-38.125,26.122,-35.348,20.05,8.915,0.46,-10.212,-2.789,-13.807
54.468,23.764,33.32,26.141,14.558,-34.001,25.635,-9.242,-6.421,6.851,-19.681,-9.129
52.717,18.528,38.927,-11.163,23.538,4.412,1.773,71.685,-8.642,-6.239,8.961,-2.421
53.724,50.57,-13.263,18.492,17.814,-51.351,-5.888,13.495,-18.519,28.697,-38.93,-25.765
55.077,50.818,22.55,-11.028,14.061,-26.763,-0.687,14.4,5.815,35.829,-3.444,-24.272
54.854,61.738,3.791,21.048,20.052,-32.938,-10.573,-14.249,23.95,-14.521,-6.137,-30.871
54.184,44.452,38.334,-24.74,9.819,5.022,24.01,7.41,-12.253,10.774,-2.544,-15.51
53.987,32.29,22.788,34.728,-4.846,-39.086,18.378,2.457,-3.309,-3.749,-22.062,-15.57
52.415,84.751,0.504,-18.154,-48.697,-23.457,-32.558,-11.731,15.159,10.547,-4.267,-22.164
50.782,65.265,5.14,21.519,-43.227,-19.032,-9.877,-27.082,-13.317,5.963,-47.911,-14.339
49.334,24.216,19.472,-39.652,-45.097,-8.739,-7.795,3.559,-12.134,4.33,14.603,-9.738
48.714,-4.517,-25.174,74.661,-25.07,-27.267,5.798,-9.811,13.639,6.185,4.821,0.761
45.816,-21.947,-22.261,-17.067,-49.908,-15.097,0.487,-7.139,1.689,-4.42,13.914,-5.102
51.314,70.82,-5.868,-27.084,-45.185,-29.384,-20.633,1.272,-10.041,13.622,25.696,-15.874
50.482,46.832,-7.506,51.175,-40.287,-39.279,-4.895,4.36,20.862,-21.061,-38.046,-6.01
50.139,45.828,3.669,-29.245,-45.548,7.485,-4.22,26.694,-10.062,-17.82,12.488,4.554
49.947,63.672,-32.806,9.106,-27.574,-1.785,-17.809,33.808,7.676,16.55,-34.338,-3.352
51.201,140.993,-37.169,-55.819,-18.561,3.711,-1.675,-47.856,-11.431,10.963,14.205,0.862
53.392,23.846,13.21,12.631,28.51,-32.412,17.83,2.902,0.35,-0.758,-16.399,16.23
53.246,60.296,18.071,-3.982,0.127,20.375,-11.886,-18.022,-8.435,14.348,-11.744,-5.832
52.632,11.444,21.827,-11.643,23.665,-3.814,25.855,-17.842,-4.079,33.239,-40.931,6.496
