0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
4.496,77.137,-19.896,-61.168,77.126,-27.539,-13.433,-11.831,-47.409,16.839,-3.013,9.89
11.859,-25.319,19.222,-100.771,91.502,-14.434,-4.454,-35.265,-46.528,24.039,6.111,-10.625
18.593,-72.012,42.372,-47.711,56.425,-25.377,-21.332,-22.361,-34.334,3.845,-5.638,-10.287
22.735,-74.577,60.4,-40.669,36.814,-24.471,-28.796,3.47,-19.902,-7.474,13.514,-7.127
26.765,-60.927,66.742,-54.895,27.612,-28.117,-33.147,-10.934,-18.009,11.631,12.792,-6.562
30.975,-56.315,64.756,-17.291,22.754,-24.305,-38.44,-21.381,-20.109,-3.385,0.64,-11.598
33.334,-59.475,65.964,-50.804,50.849,-32.051,-42.4,-0.051,-0.636,-7.353,16.391,-6.353
38.407,-26.128,68.074,-56.355,45.659,-28.565,-43.332,1.977,-4.386,-2.285,12.87,-1.859
42.272,-20.045,50.722,-24.39,36.522,-26.295,-39.061,-7.993,-5.567,-8.819,1.697,-0.949
43.748,-3.862,46.272,-29.579,41.16,-29.866,-48.152,-0.318,-8.011,-6.39,6.085,-8.905
45.283,18.872,68.293,-32.394,52.924,-24.818,-57.996,-1.989,-5.51,-6.865,3.347,-4.704
47.415,40.401,72.232,-24.179,50.56,-23.676,-65.848,-15.132,4.03,-5.534,3.301,-8.12
49.527,54.208,89.474,-29.473,44.355,-30.982,-40.243,2.9,-15.111,-2.224,15.148,8.509
52.017,76.742,81.84,-9.395,40.883,-32.775,-12.826,0.408,-1.957,-1.636,7.763,23.655
51.489,76.218,38.886,30.716,1.464,-22.844,-2.639,-13.16,-16.434,-10.126,-26.621,20.27
48.045,15.464,-11.982,-11.807,1.55,-31.855,-12.436,-1.008,-6.61,-10.545,1.182,-7.302
52.433,75.617,4.941,-7.595,-18.794,-43.718,-36.204,3.237,-6.184,3.952,-2.191,-11.227
