0,1,2,3,4,5,6,7,8,9,10,11
0.009,170.925,9.492,-28.72,57.576,-50.14,14.806,5.017,-27.186,0.933,-10.505,-7.287
34.297,-74.652,40.633,-196.549,49.555,212.972,66.416,-19.034,-38.326,56.202,-13.006,5.903
41.364,-149.087,-0.516,-50.253,0.561,-29.349,-17.051,-2.864,11.533,-2.503,1.211,-21.189
44.347,-97.431,-28.765,43.129,-2.795,-30.58,-24.099,-31.765,1.964,-7.327,-19.263,3.973
40.648,-93.009,-14.354,-46.103,31.584,-18.527,-35.808,31.56,16.242,-25.596,5.76,-6.809
45.232,-94.395,1.625,26.991,19.835,19.587,12.82,-26.23,-28.737,5.41,-4.006,8.984
38.817,-183.134,-1.288,-12.958,13.573,-19.235,-5.418,-20.502,-24.509,-13.354,-23.144,8.185
37.696,-200.133,-5.685,-29.733,18.405,-40.483,-16.2,-5.363,-16.181,7.583,3.772,-0.27
43.422,-109.369,-9.01,7.898,24.187,14.507,4.943,9.798,-16.742,-21.161,14.756,16.899
37.969,-131.314,0.596,-54.402,6.134,-37.293,-15.54,11.506,-6.519,-14.276,8.426,0.749
40.414,-70.599,-21.523,-13.645,-5.187,-14.934,-19.936,-6.407,-0.153,-29.94,-31.052,-1.134
43.454,-77.847,-43.033,9.86,6.481,-0.131,-17.085,-24.523,3.862,9.21,0.551,-16.168
37.705,-172.133,-26.345,-45.798,8.327,-37.282,-2.848,-13.805,10.572,24.211,1.06,-18.946
47.064,-77.137,12.348,52.15,7.23,-28.502,22.528,-26.205,-47.014,-8.381,-16.21,20.201
45.472,-65.934,-12.061,18.588,-12.944,-49.377,-20.634,-16.906,-17.07,16.492,-8.312,1.694
38.837,-118.631,-7.441,-64.471,-10.8,-28.256,-24.243,19.783,2.674,0.2,16.99,-17.068
45.691,-91.425,21.718,9.893,12.618,32.052,17.627,-17.281,-32.05,-1.341,9.82,13.561
43.101,-123.893,-3.573,-18.074,1.1,-27.835,27.265,-13.526,-27.543,-18.564,21.424,22.326
44.649,-90.995,29.052,-10.803,-17.02,-10.952,-9.481,-3.294,-21.141,-22.05,-4.118,-0.775
45.707,-74.73,4.111,11.83,5.431,-5.79,-27.75,-24.997,-7.816,-8.146,-2.238,-11.129
43.643,-91.538,-22.097,-45.285,4.319,-39.525,-24.815,-3.48,10.46,-5.43,-8.254,-1.839
44.921,-101.537,12.302,-32.146,16.095,-12.54,-6.576,19.375,4.035,-8.373,5.351,9.965
45.817,-111.192,-9.187,-16.349,-4.49,-35.996,-15.256,2.464,-11.402,1.114,-6.565,0.873
46.28,-81.435,-28.897,16.845,16.299,-1.099,-0.084,-36.372,-6.109,-31.812,7.702,-17.63
43.414,-97.198,0.371,-3.899,27.559,-18.07,-11.78,-22.349,0.171,-15.967,-15.704,-2.262
45.099,-104.273,1.661,29.77,9.642,-21.146,-0.965,-25.919,-28.055,4.431,-20.745,5.407
39.786,-192.713,5.809,-9.761,16.559,-20.263,-18.396,-7.391,-17.84,-20.259,-15.278,-0.202
