0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
26.879,156.677,68.977,-141.047,95.252,172.847,22.52,46.457,-9.421,18.782,33.234,-37.905
31.882,95.738,-47.157,19.922,54.958,-18.01,-31.874,-70.149,-14.202,27.174,-72.317,16.55
26.703,-99.366,-115.555,-23.309,14.039,-74.163,-37.238,2.095,14.392,-0.469,-14.426,8.302
31.992,-32.968,-74.583,-7.956,12.675,118.786,8.477,1.68,8.341,-41.705,-47.146,1.775
25.942,-144.266,-86.816,-13.063,-15.152,-83.576,-28.356,9.479,-4.104,1.691,-2.764,-4.643
26.296,-102.826,-134.63,7.273,22.857,-83.947,-33.288,-29.892,-1.999,15.534,-19.967,6.231
23.804,-107.735,-135.229,49.173,-9.809,-89.973,-24.089,11.138,2.012,-21.342,-17.968,-1.975
25.929,146.752,-55.522,123.691,-86.019,29.075,-16.661,24.113,-21.125,-41.091,-34.912,-19.648
11.358,148.411,-15.539,23.779,-37.484,-51.548,6.525,-12.266,-30.213,15.819,-26.503,-21.057
23.946,-50.866,-97.915,-55.324,53.018,105.936,20.9,-39.894,-14.113,18.039,-41.572,2.719
24.684,-122.096,-134.527,-10.438,33.051,-34.19,-16.328,-31.335,-13.539,20.724,-31.738,-1.134
37.168,5.735,-58.399,118.26,-2.566,6.295,1.12,-24.371,-19.889,4.639,-47.072,10.455
26.704,-125.374,-84.448,-2.242,-22.969,-89.284,-27.405,4.965,-8.549,4.806,-2.986,-1.079
26.92,-92.197,-144.442,21.1,31.612,-93.018,-28.854,-39.503,-11.04,15.47,-24.877,5.051
23.278,-111.977,-135.051,45.457,-11.178,-98.041,-23.494,12.351,-9.408,-12.225,-12.212,-7.032
36.454,107.133,84.787,160.666,50.649,6.654,62.79,33.639,13.207,29.144,-31.662,-8.026
29.824,13.44,44.601,-63.549,33.187,17.152,62.866,-41.964,7.512,29.27,-70.857,30.221
34.815,-17.612,-53.863,71.098,-4.476,82.546,22.28,-24.685,-7.911,-17.729,-16.955,3.663
26.102,-131.082,-63.431,-21.495,-34.015,-56.248,-23.451,-3.588,-22.311,7.642,3.767,-15.684
26.785,-102.568,-124.451,15.778,11.89,-82.142,-25.017,-38.433,-22.882,2.699,-20.589,-6.961
24.362,-117.226,-110.957,39.202,-16.859,-91.434,-16.709,5.747,-13.602,-6.84,-7.931,3.906
25.338,142.479,-26.547,87.949,-36.413,57.025,18.477,-7.551,-8.159,-55.417,-22.759,-30.648
15.652,102.071,17.738,26.327,35.658,-64.336,17.535,-39.459,2.325,36.18,-30.855,-31.091
21.207,-58.088,-58.055,-90.69,46.819,52.406,25.858,-27.835,-7.577,-2.791,-87.603,4.361
23.871,-133.474,-123.192,-14.851,22.309,-12.799,-13.63,-20.791,-7.748,16.808,-36.838,7.123
36.525,-3.256,-63.245,121.962,5.844,17.544,-0.376,-27.894,-12.778,9.861,-39.078,9.933
26.452,-121.893,-85.305,-8.262,-16.856,-86.233,-28.489,-2.76,-1.667,8.344,0.582,2.021
27.715,-73.527,-140.582,22.994,19.024,-91.282,-36.27,-47.498,-3.447,12.562,-18.415,2.107
23.629,-91.748,-140.922,20.375,5.655,-6.486,-12.629,1.411,-4.005,4.913,-20.051,-5.807
37.037,77.572,64.747,70.002,55.472,112.755,81.682,30.678,20.889,27.375,37.273,-29.663
37.521,156.069,113.69,92.473,77.676,-25.033,-28.693,22.143,-8.22,-6.142,5.781,-14.901
35.322,31.058,-1.011,14.918,44.64,16.041,16.265,-54.122,-13.769,39.448,-75.575,10.482
37.84,-1.426,-39.471,86.572,11.681,28.901,8.914,-18.716,-10.564,0.777,-30.548,0.537
28.196,-112.71,-74.702,-16.223,0.608,-60.287,-9.337,-10.625,-17.117,25.049,10.719,-1.226
26.809,-124.418,-61.963,-13.722,-28.174,-72.962,-25.914,-7.367,-20.743,1.663,-5.318,-12.221
28.128,-82.949,-126.15,31.54,16.026,-85.097,-26.778,-44.983,-24.902,8.077,-21.57,-2.285
25.206,-100.325,-121.005,44.744,-3.672,-22.298,-7.329,1.848,-20.515,25.657,-6.884,1.851
25.608,128.243,-36.949,155.401,-34.457,4.956,6.423,-14.476,-12.734,-35.675,3.726,-27.57
20.497,-68.759,-51.046,-103.59,44.061,28.086,24.02,-22.123,-2.925,6.603,-82.403,10.396
24.523,-115.151,-129.289,-19.669,34.162,11.057,-5.136,-39.118,-3.055,2.638,-37.587,3.856
31.958,-41.46,-34.441,-57.549,12.281,125.083,18.972,38.842,11.792,-55.284,-63.166,-1.026
25.36,-75.128,-77.622,-15.162,-19.996,-82.86,-40.962,26.237,3.686,-1.574,3.75,-1.315
27.805,-130.201,-82.042,10.527,-4.04,-79.287,-32.158,1.727,-10.966,11.784,1.882,2.382
