0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
32.512,66.148,98.516,-116.899,101.32,181.636,-16.878,-0.756,-1.846,35.554,32.626,-4.594
36.916,8.459,72.456,18.046,95.936,-34.487,-93.357,-1.151,12.036,-7.558,-11.983,-26.991
34.528,-17.439,95.484,-5.692,116.952,-20.991,-67.798,-23.34,-3.867,38.477,6.711,-26.433
35.307,14.788,96.804,22.983,115.121,-18.813,-74.994,2.652,18.538,-4.908,-22.809,-16.662
38.536,-11.674,85.744,-0.882,155.501,43.003,-28.161,-16.248,10.994,23.354,25.829,-12.753
37.973,-48.28,104.871,13.152,148.259,-41.377,-62.328,14.235,15.053,-12.911,6.392,-19.915
34.673,37.382,74.909,53.183,126.294,-62.594,-48.86,-39.33,21.958,-11.874,-10.134,-27.39
35.425,9.615,130.373,-28.13,138.174,26.884,-29.007,-8.332,39.387,-6.869,-11.548,-27.642
39.561,53.887,129.379,31.963,158.102,-49.569,-23.254,5.804,34.037,6.063,-2.656,-30.812
35.674,35.718,105.651,73.252,131.435,-77.509,-18.966,-47.512,25.372,30.373,-16.104,-21.697
31.95,19.045,102.716,10.701,141.922,-45.695,-34.312,0.307,-0.953,-7.95,-1.609,-23.804
37.029,-36.209,73.432,-5.378,127.957,-9.141,-60.348,-23.769,-1.976,26.119,19.811,-19.079
37.301,-13.991,75.613,5.592,144.406,-31.718,-65.685,-34.454,18.12,-1.803,-2.277,-7.728
36.12,5.427,88.213,5.264,161.825,-42.463,-63.669,-10.903,15.421,31.664,8.402,-4.733
36.257,-8.777,94.859,8.4,146.068,-30.27,-60.196,-31.435,16.987,-4.417,-9.442,-11.107
39.237,32.157,6.031,30.318,128.985,-37.745,-77.288,-23.377,8.869,2.572,-7.187,19.372
35.227,-3.98,62.691,-29.135,126.175,-36.289,-65.83,-31.166,7.409,6.973,-10.868,-0.513
35.745,-2.907,46.282,-7.938,124.926,-38.657,-60.619,-4.97,28.018,-1.683,-7.681,-2.649
33.541,-46.081,67.191,16.515,109.368,-34.737,-64.66,12.81,12.69,4.762,-1.634,6.344
40.017,24.861,70.82,31.277,94.025,-32.529,-72.692,-19.668,10.7,-2.126,-6.356,3.858
36.011,10.164,64.419,7.651,138.984,-24.081,-65.094,-20.586,25.311,-2.973,-7.114,-1.606
36.324,-45.227,81.129,44.228,157.111,-33.243,-47.414,-4.318,6.786,-2.541,3.532,-5.939
32.888,-38.833,104.164,13.807,143.478,-35.749,-52.98,-9.403,7.097,5.734,5.353,-4.647
35.518,12.227,101.49,-44.247,132.003,-17.841,-60.011,17.452,21.303,16.176,1.779,-10.67
38.232,31.599,102.964,4.856,104.459,-33.887,-68.071,-19.923,24.187,12.021,5.66,-11.234
37.521,30.034,86.612,46.541,103.452,-35.215,-61.188,-35.356,14.477,5.933,3.668,-4.65
37.554,6.539,128.083,40.407,115.502,2.566,-20.19,-1.184,22.179,-2.08,-7.134,-13.82
38.598,87.861,109.414,24.504,106.754,13.343,-28.345,-0.972,29.378,-20.292,-1.781,-30.367
39.154,25.697,131.359,32.614,92.661,-51.539,-25.0,-14.894,41.044,20.228,-11.84,-27.541
38.622,49.34,119.278,26.193,151.897,-34.688,-24.668,-10.948,34.439,-11.353,-15.981,-11.349
38.41,20.493,133.701,43.855,112.866,-39.964,-29.775,1.923,31.265,18.405,-23.165,-27.85
36.585,36.088,106.047,-26.001,149.436,-11.597,-22.544,-9.993,27.126,5.64,-29.392,0.64
39.478,29.365,43.754,40.848,133.932,-31.423,-74.034,-37.2,17.053,-0.818,-5.821,-4.31
38.103,38.418,14.668,-9.397,137.501,2.71,-75.041,-32.616,19.078,-5.766,13.687,4.306
36.345,4.236,64.912,19.767,123.125,-16.614,-64.05,5.353,23.963,-13.962,-17.872,13.91
36.769,-49.783,22.289,-50.428,45.362,-22.026,-34.243,-9.715,18.616,25.319,-7.998,-3.529
37.835,-99.539,-33.872,-39.572,40.891,-41.296,16.32,-14.616,7.206,10.367,-11.005,-1.501
45.248,8.667,-32.822,-63.374,27.809,42.28,13.165,38.379,37.331,-24.98,7.152,6.319
44.724,24.872,-28.205,-18.352,21.385,-16.128,-1.626,-5.306,29.135,-4.687,-26.346,-2.288
45.35,-6.867,-31.482,16.405,-4.661,-70.135,-5.119,-8.327,1.597,52.63,-4.587,2.062
42.917,15.9,-39.222,20.04,-14.1,-83.017,-19.76,-33.535,5.834,16.842,-29.354,4.36
40.418,-37.299,64.056,-35.101,46.274,-27.291,63.574,-6.614,-16.068,28.233,-16.777,6.465
46.955,-44.535,-7.311,27.357,49.433,-77.236,3.49,-19.89,3.954,35.847,-11.4,-3.609
45.27,-38.423,-6.376,41.748,51.489,-100.012,-22.922,-6.301,18.791,29.435,-27.939,-21.437
42.075,-15.952,-8.27,29.886,43.25,6.447,15.586,4.944,23.803,-22.46,-37.092,7.235
42.155,-22.823,14.755,0.503,61.503,-16.078,6.156,-21.65,42.645,23.92,3.135,-30.616
44.873,-22.495,-23.705,16.307,43.719,-38.024,8.672,-14.412,31.596,36.083,13.416,-18.898
46.643,-11.818,-15.116,21.034,44.033,3.513,40.712,18.889,32.804,-4.557,6.065,-11.294
40.676,-24.995,11.394,27.772,54.344,-76.266,16.081,-38.247,18.354,27.389,-23.925,-8.405
44.738,12.336,-46.143,19.075,9.254,-93.039,-1.176,-3.626,10.855,39.078,-27.44,12.696
45.031,-42.841,-50.642,34.014,35.49,-17.063,-2.758,-36.801,5.391,34.585,18.151,-10.57
41.776,-44.015,2.814,-26.0,73.115,-12.926,-14.533,-22.844,25.75,-16.398,-27.376,-19.967
45.54,-26.943,-11.312,33.589,30.349,-81.423,16.787,-8.422,-5.926,43.459,-9.955,14.291
44.783,-0.909,-24.887,16.702,53.095,-18.739,19.736,-7.294,18.069,19.312,25.836,-8.469
44.181,-36.445,-22.265,17.717,30.985,-79.416,-15.788,-32.348,8.491,23.935,-24.999,-9.677
45.786,-4.258,-72.873,26.989,11.947,-75.455,-15.059,-32.607,9.102,19.162,-21.68,13.144
40.822,-54.143,-25.492,-37.436,47.253,-56.856,3.803,-23.44,7.048,4.274,-5.157,-2.493
41.297,-58.283,-21.258,-26.167,35.869,-26.374,26.033,7.04,10.805,11.401,-41.321,10.237
42.359,-26.695,-0.85,-90.201,27.047,10.518,3.657,9.762,27.108,-19.311,4.444,5.44
47.196,-2.642,-21.025,26.182,27.931,-23.517,19.452,-22.015,16.259,8.595,13.135,6.354
44.97,-33.957,-42.402,-1.891,18.168,-99.771,7.463,-12.482,0.158,30.319,-21.114,10.244
45.937,-23.312,-28.846,36.031,35.506,-68.994,-3.561,-33.495,-6.263,42.634,-29.9,11.314
41.43,-112.221,15.055,23.468,49.754,-47.844,20.563,17.129,-20.754,8.902,-3.844,10.616
45.123,-34.161,-35.119,33.212,15.654,-34.616,42.859,-38.723,-16.791,19.181,10.539,9.053
39.946,-88.124,16.894,-8.911,39.57,-40.39,24.332,-0.217,12.576,2.967,-10.746,-0.23
45.067,6.413,-15.026,16.972,10.113,-78.876,-13.58,-24.322,16.748,30.42,-13.814,-11.55
44.03,-7.191,17.632,-2.036,41.503,-34.149,15.175,-9.718,5.844,21.016,1.395,14.259
46.299,-11.502,-22.847,26.249,-2.058,-74.929,2.351,-37.761,1.825,20.677,-19.145,-0.414
44.386,40.522,23.502,-12.751,40.258,-10.667,17.062,6.513,24.351,-1.877,-11.277,-26.755
45.306,16.425,-11.257,-20.229,13.982,-58.527,18.16,0.57,20.085,35.157,-18.203,0.543
47.472,1.255,-37.693,28.638,5.741,-77.148,3.631,-26.781,15.633,36.375,1.645,-8.32
48.4,20.194,-9.8,-19.081,29.176,-91.534,9.962,9.923,27.951,29.076,-12.323,7.172
46.976,2.095,-50.035,-6.673,35.257,-69.429,-16.584,-14.649,34.409,8.335,-38.318,-1.025
47.102,24.027,-44.976,-12.47,34.945,-48.23,-36.89,-12.494,22.382,24.305,-11.899,-11.647
47.019,36.08,2.653,-13.102,65.778,-55.86,0.029,9.765,-0.945,-0.321,-1.557,5.637
46.958,32.916,-41.452,6.427,33.568,-23.436,-1.067,-7.599,10.126,8.677,-10.651,-2.927
