0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
25.27,83.253,124.173,-321.084,38.448,53.737,54.251,23.102,-32.954,48.452,14.899,-11.842
42.212,54.726,15.922,7.111,5.058,-32.021,-40.337,21.026,3.901,-0.853,0.113,2.951
42.57,61.502,18.073,-10.018,12.189,2.471,-26.693,15.205,2.878,24.534,-5.957,2.367
41.377,129.765,65.789,-0.398,7.142,-39.793,-22.461,-3.766,2.958,11.991,-7.354,5.697
43.273,57.211,12.292,20.461,2.627,-33.433,-30.043,30.905,9.845,-1.805,6.64,1.512
42.256,104.305,43.792,-10.912,9.642,-0.03,-22.171,16.783,0.699,13.37,1.068,-4.07
42.967,74.004,14.364,19.356,15.792,-11.126,-37.248,22.514,9.356,10.077,-3.276,1.782
41.675,78.12,32.981,-24.908,16.078,9.004,-26.029,1.284,2.653,15.934,-20.177,3.751
40.5,108.706,51.37,-7.354,12.812,-32.703,-37.652,-10.604,10.791,7.563,-5.217,-6.312
41.813,104.948,33.841,-22.431,15.178,-6.061,-32.366,-3.434,1.679,12.247,-20.31,18.741
38.96,166.029,73.687,-18.859,14.485,-24.714,-25.237,-8.04,-2.003,-7.938,-1.609,19.858
44.534,86.467,10.521,16.823,-2.173,-33.83,-35.419,31.931,-5.387,0.982,8.838,4.795
40.882,145.01,60.388,-10.331,15.188,-25.65,-22.508,4.528,8.734,4.573,-7.299,10.534
42.796,84.016,26.036,19.853,13.98,-13.921,-37.416,26.272,-1.743,23.464,-4.121,5.792
42.483,80.039,36.115,-3.692,10.019,-11.837,-27.525,46.257,-0.061,10.186,29.235,2.592
43.315,71.772,13.978,28.088,10.644,-25.475,-42.586,23.77,1.613,3.215,-0.096,7.236
43.436,86.908,21.306,6.475,11.697,-12.832,-31.013,36.702,3.65,-3.328,18.663,-2.26
42.534,75.808,32.22,26.458,14.468,-21.624,-38.505,22.341,-1.686,12.217,-0.585,4.099
43.454,66.215,13.674,7.415,13.679,-8.756,-27.887,27.406,8.57,15.223,5.036,-2.374
43.128,88.02,-9.712,-8.851,-26.094,-32.996,-12.484,25.625,-5.885,-3.938,17.346,13.823
42.921,96.584,35.218,-1.554,4.589,-11.335,-31.017,33.492,-10.514,14.518,-0.072,3.871
40.311,183.68,72.654,-5.533,12.236,-20.058,-19.298,-14.352,-8.333,-8.333,-2.711,32.46
45.788,127.852,65.729,-3.656,10.689,7.569,-24.713,32.217,-11.347,6.186,13.362,-0.111
44.213,147.092,74.815,7.507,25.802,-14.628,-54.261,0.119,-8.816,-3.545,-4.732,6.213
44.4,61.316,13.466,8.838,6.115,-25.78,-41.421,11.351,-2.436,-5.331,3.118,8.492
44.585,76.41,37.995,-21.514,17.666,-11.207,-35.725,4.782,4.562,13.815,-7.445,7.747
44.081,133.289,66.092,-24.466,9.545,-27.067,-47.241,-3.147,-11.363,1.34,-5.565,8.925
44.717,96.771,40.493,6.123,27.927,-13.848,-55.995,3.935,-3.214,4.094,-5.166,11.369
45.0,109.375,43.099,-12.909,18.273,2.074,-20.046,21.445,7.142,21.432,9.301,2.337
44.72,128.838,52.772,5.724,15.8,-16.807,-77.993,-13.996,-15.696,-5.065,6.661,12.298
44.226,80.419,15.756,14.664,6.898,-12.185,-44.13,19.921,-2.294,12.53,-15.61,6.274
44.538,102.67,44.84,-13.803,18.864,14.498,-26.059,13.688,4.085,5.453,13.793,-0.55
45.024,109.906,45.136,-8.19,22.248,-18.864,-55.153,24.094,-8.918,11.144,-0.175,6.527
47.032,111.981,43.489,15.146,12.679,-9.378,-23.174,18.221,8.321,-9.497,25.608,1.698
43.84,115.077,49.833,-4.467,32.168,-21.247,-52.689,-8.816,5.719,5.828,-12.374,10.219
45.716,80.309,14.951,12.135,1.758,-18.866,-38.844,14.153,-0.238,1.941,0.82,9.545
41.863,73.201,6.897,-11.489,6.529,-34.033,-43.175,7.535,17.267,-2.355,-3.371,-8.12
44.922,77.893,24.387,-16.182,2.574,15.291,-8.468,15.156,2.798,16.74,-8.654,-0.381
44.118,113.018,39.022,-30.784,19.91,-7.733,-56.959,-17.572,-2.864,-3.469,-1.286,9.218
45.26,64.216,1.93,26.259,10.401,-29.676,-48.308,8.017,3.923,6.055,-4.44,13.656
46.226,121.814,48.984,4.223,19.557,-0.678,-35.203,11.915,2.264,-1.415,6.849,-2.331
46.426,69.879,18.979,17.979,11.435,-23.614,-44.899,18.337,-3.324,2.892,1.025,6.488
41.159,73.476,16.55,-8.771,2.92,-24.936,-42.163,-0.065,2.467,4.097,2.558,3.083
44.839,37.516,2.692,-24.966,-0.367,-36.923,-13.686,10.551,4.98,16.633,11.684,10.986
48.699,52.802,-0.268,-8.08,-5.193,-21.757,-2.521,12.731,10.632,9.128,2.665,15.924
47.235,61.768,-11.355,-3.304,-9.791,-24.771,-11.576,7.862,12.127,4.012,-0.936,-0.744
46.102,94.794,7.678,-27.203,-20.661,-22.32,-26.034,16.429,-6.293,16.867,-7.998,0.466
47.205,111.644,0.692,-30.308,-29.063,2.317,2.058,10.904,-6.153,23.302,3.981,4.375
46.582,128.278,22.26,-16.91,-3.617,-29.701,-16.208,-12.936,9.118,9.267,-13.845,0.011
47.234,85.253,-24.126,16.136,-9.613,-7.228,-24.724,24.379,8.475,12.284,-8.753,8.923
45.021,84.702,-8.028,-66.093,-25.719,-5.251,0.817,-1.463,15.209,18.099,-17.973,-6.206
46.646,90.539,-11.16,-35.807,-30.059,-11.698,-8.243,-6.525,6.316,15.947,-4.643,0.867
46.71,51.956,-22.837,8.33,-10.997,-35.322,-26.223,17.832,2.937,9.02,-4.734,-5.071
46.46,96.181,-4.103,-27.989,-18.868,-8.735,-5.463,22.197,12.219,3.46,18.59,2.051
45.838,85.091,-3.514,0.844,-5.205,-4.873,-17.601,21.548,1.799,24.819,-5.499,2.111
43.677,94.037,8.259,-69.547,-24.837,-23.955,12.36,-7.958,8.697,21.758,-23.331,-3.864
