0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
50.03,63.485,8.152,-33.311,11.911,41.145,14.058,33.673,4.366,4.23,7.846,6.467
50.708,67.295,-7.183,-18.436,-11.38,-24.28,21.53,4.623,0.48,11.811,3.856,4.952
51.104,84.292,9.713,-30.228,-4.51,-22.452,10.057,-0.857,-2.972,3.539,-18.147,3.152
54.078,87.555,10.411,-28.182,8.45,9.708,-0.782,1.346,-15.489,0.872,6.273,0.639
54.273,107.729,2.757,-33.092,-8.972,-29.47,-9.128,-16.272,-13.097,25.022,2.445,-11.47
54.722,87.211,15.94,-4.364,-19.819,-22.579,-34.76,-13.174,-16.047,3.058,-4.691,-6.942
53.494,95.586,10.458,-10.731,6.06,-28.917,-1.981,15.251,-45.398,10.637,-2.778,2.506
54.325,69.726,4.962,-7.008,29.759,-53.063,-9.382,28.974,-14.463,23.371,-11.341,11.415
52.829,112.083,-14.112,-33.46,13.251,-28.87,3.538,-26.55,-14.726,5.746,0.758,-7.296
52.0,61.762,-9.703,-26.586,4.244,-30.456,-27.054,24.591,-19.718,-1.382,-12.444,11.207
53.653,51.261,1.015,-16.435,6.166,-30.02,-11.137,-7.133,-19.514,9.479,9.895,13.284
53.721,61.535,47.472,-9.883,23.636,-31.63,10.158,13.25,8.174,2.64,-0.096,3.414
52.464,63.45,0.97,-47.417,0.098,-25.252,-5.148,-15.467,-3.955,14.11,-0.681,8.442
53.786,93.688,-1.204,-17.793,17.837,-56.11,-11.212,33.479,-25.354,-2.883,-11.982,-2.023
53.557,64.124,-1.433,-8.464,-7.365,-49.83,-16.212,1.504,-25.889,9.904,10.211,4.506
53.827,80.102,-9.213,-28.409,-11.764,-9.563,-33.373,11.318,-10.749,0.062,-12.746,5.455
52.905,115.024,0.803,-37.921,5.401,-18.735,5.88,-19.134,-15.004,9.699,1.639,-4.783
52.78,57.397,9.454,-13.857,-10.895,-26.287,-6.849,-2.146,-21.123,-1.738,-14.007,11.418
54.314,90.838,-10.632,-13.852,-14.877,-31.851,-29.301,13.52,1.075,-3.775,1.733,8.329
53.119,93.362,16.344,-25.07,7.338,-6.847,-6.316,-5.007,-4.7,-0.704,-20.288,-8.763
54.267,105.156,3.822,-36.028,-8.682,-14.845,5.942,1.892,-23.65,19.948,-12.373,1.103
51.859,104.686,7.672,-31.661,-1.661,-16.509,-4.606,-20.872,-21.34,14.329,-20.436,1.704
54.648,90.788,11.289,-24.307,6.914,-39.515,-24.129,-5.848,-7.92,16.901,0.981,-2.127
53.218,70.61,9.369,18.358,-9.623,-29.991,-11.35,-7.733,5.168,5.441,-28.122,-17.246
50.304,76.926,29.552,-40.043,15.992,-35.766,5.171,7.369,-5.961,-0.236,-1.723,1.496
51.74,71.479,-15.297,-12.553,-6.208,-43.043,0.01,-9.908,-21.694,7.789,-1.007,1.009
53.104,57.989,-5.031,-23.076,5.708,-50.995,-32.912,-3.747,-4.926,5.324,-33.872,11.51
53.038,52.424,20.87,-14.857,26.193,-12.77,-5.015,33.914,1.903,-0.983,-10.131,12.737
53.697,65.291,24.858,-29.834,-21.1,-15.467,-20.926,-0.524,-12.946,-6.991,8.139,-15.279
54.797,59.351,22.43,1.424,37.817,-45.488,16.198,6.356,25.095,16.597,13.85,9.991
53.411,80.842,24.971,11.213,18.469,-37.364,12.981,27.326,7.536,4.345,-17.269,5.144
52.567,81.524,-10.366,5.908,-25.918,-20.489,-17.936,1.606,-4.388,-3.828,-17.479,7.545
53.767,101.773,-10.829,-7.546,27.408,-59.677,-2.098,25.182,-18.84,-6.073,4.161,-0.528
53.443,93.214,22.927,-12.299,-45.688,-31.465,-5.505,2.035,-28.468,2.014,1.471,-15.395
53.549,98.879,40.54,-17.205,-47.197,-41.934,-13.07,2.787,-24.587,12.465,-3.151,-19.465
53.725,78.874,40.512,-10.243,-45.693,-34.618,-0.624,5.498,-25.151,4.783,-7.068,-23.068
54.495,88.056,44.759,-6.772,-23.913,-22.01,-8.926,10.398,-39.927,-3.283,5.947,-9.796
54.03,68.417,20.554,1.219,17.502,-21.95,-18.291,-2.902,-11.835,8.247,-14.199,5.903
50.566,75.116,1.495,-22.59,-9.029,-54.062,17.464,5.353,-12.027,11.286,16.294,6.113
50.767,95.177,-6.678,-8.56,6.993,-41.206,19.161,-0.979,-7.95,16.031,-21.867,12.496
53.846,86.156,14.456,-28.065,14.478,10.899,-3.752,-18.853,-10.716,13.519,10.725,3.237
53.454,73.709,15.783,16.246,12.33,-48.38,13.83,50.447,8.401,2.269,-25.603,5.817
52.513,83.404,4.836,-47.103,-23.462,-25.541,-12.763,5.183,-22.806,13.73,13.822,-9.786
54.842,115.631,37.5,-3.118,-39.806,-33.79,-38.578,0.835,-26.629,1.585,9.764,-21.288
54.42,102.657,37.208,-17.148,-63.539,-25.343,-19.956,5.234,-27.718,-3.085,-9.574,-33.394
54.834,82.317,13.183,19.503,-20.698,-26.29,-26.637,-6.85,-26.908,8.665,-14.811,4.789
54.623,83.325,26.337,-36.834,17.3,-9.738,16.277,2.253,-19.165,-1.129,-2.854,4.129
54.251,99.877,48.563,7.038,-11.995,-22.728,7.967,20.057,-9.685,6.499,-20.451,-1.841
53.975,94.539,18.501,-36.829,45.256,-8.291,31.049,-14.473,-17.685,25.136,-13.733,-2.772
54.313,104.251,84.286,17.274,5.089,-43.8,40.587,1.981,7.462,4.353,-5.478,5.361
55.296,97.932,45.078,-3.063,-12.325,-34.422,2.082,2.404,1.195,2.508,5.157,-22.767
54.703,84.371,65.233,25.209,-14.648,-31.301,35.535,-13.811,-5.395,19.48,-9.983,-18.14
54.34,85.497,7.094,25.402,11.622,-67.309,-9.465,37.43,-11.202,-1.029,-18.86,-5.644
53.086,74.765,41.029,-28.643,33.729,-6.693,33.332,-8.898,-27.079,9.34,-10.332,1.841
52.557,70.983,3.093,24.956,-11.916,-48.883,15.78,7.794,-25.105,-6.439,5.394,-10.571
54.735,130.659,26.193,-28.351,16.204,-11.689,11.298,-21.483,-9.595,31.919,0.421,3.455
54.98,139.141,33.332,-7.364,-52.644,-27.021,-5.664,13.149,-0.467,-16.303,10.122,-14.64
54.246,124.369,23.777,-5.766,-39.183,-28.96,-18.015,-1.998,-3.874,11.107,-14.297,-10.997
55.107,101.85,9.934,26.384,-29.455,-46.957,-25.476,-4.989,-33.078,4.584,-29.975,1.539
55.714,63.92,31.584,-28.896,12.759,-16.251,-8.444,16.917,1.882,23.442,7.147,-9.767
54.824,109.424,24.007,19.16,-10.784,-25.546,5.834,4.231,-6.48,17.677,-28.916,6.058
54.396,70.655,-20.663,-34.635,36.764,-44.616,1.169,-10.316,-17.991,11.917,10.634,5.216
55.238,81.156,55.499,-31.489,6.41,-34.542,7.983,31.505,-8.483,-7.584,-0.013,1.941
56.182,115.754,38.983,-7.161,-15.804,-44.205,-24.147,5.711,5.231,-0.112,-4.188,1.469
55.455,122.872,43.807,-14.357,-21.414,-42.085,14.92,5.28,13.129,5.612,-2.207,-1.653
55.41,122.71,35.224,-12.285,-40.02,-47.198,7.164,6.036,7.877,8.808,-10.503,-12.139
56.147,127.744,50.568,-7.31,-3.29,-15.884,-13.841,0.207,-0.052,17.785,-11.183,4.974
54.572,104.896,18.681,21.756,-4.18,-27.601,-0.914,1.648,1.675,9.171,-30.005,7.266
51.651,55.102,-1.965,-12.498,-1.899,-46.336,9.926,2.849,-13.733,10.977,9.613,10.347
53.565,77.748,0.702,-5.327,7.709,-27.666,-1.127,8.957,-11.632,1.154,25.496,6.686
53.348,105.163,-11.238,-19.602,2.9,-12.604,-21.937,16.041,-18.817,-1.162,-10.94,-2.91
54.76,80.022,31.626,-19.368,17.66,-34.694,-8.327,-0.89,-8.668,1.588,-18.453,0.773
54.234,83.047,15.864,-24.205,3.317,-34.841,3.114,21.06,-10.59,3.64,0.146,-11.312
54.121,107.093,23.745,-6.935,-34.086,-18.192,-9.924,-21.861,-22.267,2.066,-28.698,-17.165
54.11,94.322,10.646,-20.727,25.695,-16.371,-10.643,6.283,-11.789,2.038,-18.241,6.478
55.186,74.675,24.631,-15.991,1.21,7.336,-3.244,-13.365,4.847,-12.934,2.858,8.522
54.351,69.244,66.051,-11.36,11.614,-33.079,5.51,15.806,18.017,0.549,8.529,12.831
54.793,55.17,43.265,-12.139,2.143,-62.365,33.517,15.068,27.221,7.058,-14.446,3.924
55.1,74.603,30.125,7.387,0.677,-26.814,8.254,7.85,-15.384,-1.545,-4.261,18.032
54.877,103.092,24.431,-15.767,-31.832,-42.093,-33.103,27.808,-36.301,-3.534,8.748,-15.563
54.601,92.437,13.295,-12.163,-21.565,-25.485,-15.457,-27.629,-12.171,9.644,-16.283,-6.762
55.612,54.829,35.747,-1.754,22.561,-38.713,16.431,6.425,-8.024,11.441,15.11,11.232
54.485,81.406,68.198,-0.42,35.494,-35.783,44.291,15.756,4.719,-0.05,0.854,21.871
54.496,72.348,27.52,7.011,-17.679,-38.875,15.732,15.586,-3.024,-9.67,-27.845,2.749
54.624,77.646,5.084,6.981,14.673,-28.105,-19.741,18.264,-14.208,11.066,-3.543,11.247
53.705,70.158,37.474,-46.55,15.155,-24.339,5.354,26.157,-19.169,16.801,-14.2,4.131
56.065,87.371,27.672,-24.197,33.492,-29.602,20.722,18.753,33.751,3.797,4.415,2.078
55.834,103.349,2.621,20.845,14.204,-53.186,-15.028,38.335,-10.208,0.068,-9.03,3.911
