0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
49.614,64.519,68.728,10.476,107.629,28.878,-3.285,-8.188,18.913,-20.211,45.612,10.869
51.003,55.167,74.521,39.196,83.715,-32.265,5.639,-33.738,-2.595,-5.529,1.971,27.986
50.419,64.321,57.452,62.857,75.318,-38.249,-2.721,-44.523,3.01,-15.652,-28.149,27.699
50.548,65.459,63.04,35.991,90.284,-21.87,-5.371,-27.491,9.647,-11.259,4.039,22.935
42.568,75.695,-54.259,249.831,72.304,-12.327,-32.117,22.088,14.192,-32.383,-103.595,25.475
30.679,155.748,28.036,64.129,38.272,40.239,2.615,-4.784,31.965,-7.563,5.343,-12.058
50.484,70.806,74.965,53.159,94.819,-2.027,-2.842,-36.732,10.352,-0.566,24.129,10.69
50.608,46.496,54.244,47.939,73.181,-32.304,4.556,-35.883,-7.09,-17.613,-6.914,33.674
51.39,83.555,51.263,43.767,82.972,-29.416,6.449,-40.204,5.885,-16.539,-2.026,35.29
51.026,82.793,62.792,38.24,77.361,-32.364,1.854,-33.94,-1.907,-8.77,-2.624,32.14
42.935,62.232,-41.682,240.227,76.346,-20.804,-38.164,8.151,5.742,-19.127,-97.437,30.953
48.073,28.275,-22.84,19.0,60.63,111.099,-17.792,19.815,-6.202,24.427,54.985,-10.93
52.401,63.335,18.452,21.389,48.52,-0.492,27.662,-24.951,13.724,23.054,15.263,10.128
52.983,54.047,-10.902,-14.418,48.908,-16.65,44.129,5.405,16.734,-38.333,-10.423,13.297
52.025,63.952,14.541,3.58,51.749,-26.722,22.368,-6.845,11.197,-0.75,-16.233,17.326
53.33,81.915,-5.027,7.673,59.133,-14.257,21.838,-16.474,10.302,-19.942,-18.723,6.793
46.849,52.037,-42.671,69.721,53.566,-29.508,13.105,82.326,-0.331,-0.522,-61.938,11.021
48.961,94.162,-45.679,48.158,83.662,-39.547,-32.824,48.859,6.768,-34.067,-7.163,-2.393
52.204,70.816,20.007,26.67,58.644,-24.761,15.339,-21.533,7.09,4.76,-5.605,21.828
52.597,64.764,-15.449,-6.876,49.144,-38.9,19.705,-22.043,11.634,-16.15,4.281,17.361
52.39,73.818,-5.607,15.365,47.196,-47.748,13.477,-31.032,16.741,3.89,-10.347,18.621
52.156,64.376,-21.141,12.736,52.146,-29.978,25.345,-28.032,8.89,3.072,-11.217,9.721
49.399,58.25,-69.186,60.893,43.403,-14.695,11.238,43.121,13.817,-18.177,-59.104,13.611
36.188,75.8,-104.532,-54.37,54.043,-32.282,12.515,20.944,-14.763,-12.956,-4.795,-15.439
50.188,83.872,-30.995,32.827,67.862,-32.323,-34.596,40.517,-18.293,22.668,-8.157,3.202
52.07,71.717,4.337,20.691,50.336,-42.208,4.095,-25.352,8.63,26.205,-19.27,15.308
53.274,57.752,-9.062,-23.504,32.844,-28.372,17.653,-31.371,0.158,-7.76,-2.09,-4.78
53.339,31.491,19.058,-7.082,38.505,-37.411,14.553,-8.134,13.615,-8.145,-14.833,-15.771
50.676,18.04,5.573,31.94,67.421,-13.52,-0.708,24.333,5.184,-3.479,-56.602,-9.863
49.076,44.158,57.512,-6.414,28.582,-13.376,-61.99,-29.052,-46.415,9.747,-3.692,-9.596
52.603,111.076,62.831,-48.753,46.875,-10.33,-27.815,-8.134,-36.114,-9.391,11.473,-0.292
53.519,76.187,18.234,42.185,-3.622,-24.606,-29.173,-9.145,-17.029,-1.525,-49.947,-25.178
53.873,72.728,28.568,9.722,3.322,-7.207,14.151,-0.326,-17.075,10.226,-26.932,-21.342
49.818,27.473,-17.564,-5.424,13.209,-4.638,-17.924,9.207,0.099,1.945,-34.023,-10.215
52.558,31.81,7.81,-0.407,61.013,-35.715,4.196,-12.727,-8.341,11.496,-12.868,-0.093
49.832,30.347,-36.974,52.436,47.467,-35.763,-18.798,49.972,4.446,-1.687,-52.32,-14.565
47.405,79.239,21.534,28.062,34.488,-0.806,-86.426,-0.547,-28.435,-14.187,-27.954,-13.173
49.153,95.846,55.513,-39.701,72.766,77.493,7.76,-17.872,-33.158,35.544,5.187,-17.79
51.23,92.103,-19.608,-45.766,55.16,-5.063,-18.049,38.275,5.888,-8.056,-5.504,2.537
54.109,52.514,18.47,4.507,51.386,-43.666,38.253,-15.185,-6.643,-6.383,-3.453,-17.431
53.39,38.89,43.985,5.859,27.379,-35.938,35.784,24.422,6.616,11.048,-31.869,3.939
53.141,38.707,15.697,20.357,53.138,-20.804,12.676,2.012,-15.379,-8.359,-22.748,10.076
