0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
39.148,64.58,117.856,-141.495,32.802,93.963,34.31,38.257,-28.567,35.137,62.951,24.332
48.827,110.724,75.968,9.874,41.615,-8.746,-46.565,-14.728,-14.474,-34.277,-4.321,-2.006
49.012,118.709,81.9,9.614,49.234,-27.072,-41.288,-14.176,-21.323,-11.384,21.896,24.819
48.648,93.929,82.959,16.12,72.12,-34.356,-49.763,-28.195,19.772,-1.547,-1.706,-8.809
47.53,102.096,85.3,10.174,58.987,-13.052,-62.399,-17.063,-15.512,-22.538,7.561,17.312
47.742,141.286,115.841,-3.333,90.601,-40.633,-42.562,20.673,51.249,-8.416,-1.385,-33.261
47.535,103.667,73.223,7.907,59.802,-45.09,-77.553,-22.17,-15.847,-4.591,-3.401,27.299
48.077,105.65,59.671,14.198,28.902,-32.527,-37.743,-22.179,-26.695,-5.323,15.719,19.521
48.763,147.428,93.782,18.022,54.555,-35.396,-59.888,-20.451,-27.678,-12.35,17.166,33.939
48.455,131.969,86.869,13.181,45.003,-38.22,-48.593,-21.433,-22.628,-7.087,-3.875,29.92
47.072,124.947,119.163,22.457,90.472,-36.333,-39.402,6.858,19.282,-1.94,10.408,-22.153
47.385,127.925,78.065,17.884,66.092,-42.762,-69.644,-24.167,-17.208,3.862,14.756,24.673
46.647,154.723,124.682,17.579,98.679,-30.234,-48.799,8.386,49.06,-13.055,14.063,-33.035
47.005,120.091,88.445,11.286,63.86,-26.58,-60.04,-20.0,-11.32,-2.854,15.609,18.029
47.562,121.431,77.497,5.456,11.285,-23.194,-30.752,-0.704,-44.574,-26.547,2.698,32.862
47.026,134.647,102.477,8.238,67.847,-47.791,-72.426,-1.969,-2.803,1.668,-7.513,-17.38
47.804,121.477,88.574,16.773,39.277,-18.216,-27.158,-4.122,-23.03,-13.114,0.038,33.623
47.604,145.153,100.108,18.265,61.75,-15.732,-31.129,-13.405,1.878,-5.987,5.632,17.046
47.107,136.585,103.299,13.839,79.278,-50.545,-58.865,0.315,0.581,0.075,6.73,14.837
46.898,126.476,105.116,4.623,72.506,-18.333,-49.213,-7.294,-4.936,10.39,1.134,17.811
46.758,128.145,73.723,-13.395,13.488,-8.794,-38.862,5.204,-42.983,-26.996,7.039,34.425
47.683,137.761,91.083,-11.487,47.347,-10.854,-51.98,11.087,-12.377,-18.503,11.268,-5.894
47.487,122.624,72.124,18.415,52.605,-29.841,-62.066,-27.783,-24.861,-6.995,-14.817,40.152
45.505,87.71,92.662,-47.256,70.899,-10.234,-51.345,18.151,12.235,-4.85,15.388,-9.408
46.987,154.856,136.191,19.168,95.962,-27.023,-45.678,-6.184,16.429,9.014,-4.362,-15.301
48.235,139.364,93.34,17.76,60.212,-41.124,-64.299,-15.248,-24.079,-10.283,-2.81,34.963
48.429,147.075,94.074,15.273,58.986,-25.113,-43.276,-13.244,-6.764,1.008,20.942,23.616
47.964,126.533,88.168,2.664,48.307,-22.424,-40.408,-4.971,-8.498,-7.546,0.096,0.242
47.325,116.616,91.537,-4.334,46.269,-10.202,-54.643,3.048,-20.857,-13.033,-7.871,9.04
47.82,116.123,72.827,15.177,47.65,-16.877,-52.704,-19.314,-7.904,-4.301,11.273,19.2
47.3,122.303,130.912,21.264,82.305,-45.111,-40.326,0.016,24.936,-11.058,0.888,-35.314
47.373,129.986,96.169,2.542,76.761,-42.489,-57.222,1.717,2.932,3.308,9.167,13.705
47.618,141.657,111.423,15.522,76.441,-11.894,-43.367,-1.539,-5.429,12.742,-4.464,14.529
48.337,141.634,95.6,7.813,59.513,-27.823,-40.052,-7.999,-6.317,-1.817,15.368,22.263
47.985,144.235,100.583,26.215,55.446,-38.053,-57.087,-27.972,-10.74,5.403,-6.051,-10.695
47.304,125.672,83.286,5.63,51.596,-38.341,-69.822,-17.925,-28.319,-0.678,3.047,38.549
48.067,142.808,94.884,7.641,53.489,-19.208,-37.557,-8.846,-10.315,-7.839,12.805,31.619
47.193,120.423,110.126,8.555,68.713,-30.682,-43.77,3.477,6.063,3.698,6.639,-8.325
47.272,136.737,104.89,20.36,81.992,-42.456,-55.252,0.263,0.992,12.954,23.991,8.88
47.807,133.42,87.0,6.437,59.709,-32.723,-56.703,-7.206,-13.514,-11.694,12.772,27.971
47.481,101.507,61.544,3.423,45.293,-11.408,-23.915,-13.703,-9.397,-15.484,1.319,28.118
48.855,154.135,79.293,14.858,35.368,-31.586,-50.053,-22.877,-8.162,-8.406,-12.369,-1.673
48.131,137.558,82.09,8.815,35.943,-28.007,-27.619,-6.456,-22.52,-21.612,9.165,43.73
47.838,145.251,96.628,-1.42,45.74,-21.768,-15.785,9.789,0.659,-18.46,18.758,34.744
47.218,146.468,113.417,28.515,76.008,-26.807,-33.295,-10.943,6.41,5.253,0.448,4.753
48.065,142.541,112.628,11.23,72.778,-22.998,-38.277,-9.974,-11.905,-8.271,3.032,33.727
47.605,155.587,113.836,16.017,92.915,-44.82,-49.83,-6.11,29.481,10.118,3.304,-29.364
47.325,141.848,108.532,16.363,44.828,-35.658,-4.867,7.997,-12.898,-23.575,11.73,35.719
47.756,94.452,59.752,6.875,40.68,-38.743,-18.262,-20.71,-3.179,7.86,-10.395,26.657
47.431,89.382,68.155,0.124,43.413,-31.644,-47.515,0.129,5.01,-8.759,-11.001,-8.54
47.918,136.742,100.579,10.982,53.229,-8.562,-28.135,7.486,-18.308,-27.021,17.325,28.354
47.881,132.022,105.553,5.42,66.257,-25.244,-31.44,-6.992,0.491,-4.271,13.827,13.433
49.011,120.768,74.318,-13.436,39.223,-33.879,-19.788,-9.086,9.879,23.996,-12.244,2.674
50.885,94.524,46.689,-21.408,11.639,-31.423,11.545,10.541,-19.349,4.339,-10.197,18.327
50.993,84.552,22.386,-10.138,17.12,-52.435,-43.793,-17.546,3.005,15.582,-9.472,6.07
50.895,105.651,45.829,0.531,4.458,-38.889,-7.393,-15.543,-19.172,-8.813,-3.79,32.707
50.505,73.063,28.74,-10.934,10.225,-26.844,-8.826,-8.161,4.2,-4.612,1.034,8.822
50.219,89.371,14.483,-8.486,0.523,-52.635,-31.012,-22.223,-10.833,-10.214,7.018,13.632
50.798,91.385,40.416,-16.641,33.052,-46.276,-42.244,-9.943,14.84,4.264,-1.83,-6.564
49.942,84.862,23.977,-2.496,21.596,-27.352,-26.209,-17.365,-6.422,16.708,-4.597,16.1
51.081,99.519,30.374,-10.668,13.375,-16.604,-23.45,-13.397,1.693,-6.359,10.397,2.82
50.525,93.479,70.01,-1.305,40.048,-30.783,-29.707,6.269,-18.755,-24.647,13.77,23.576
50.365,71.669,39.527,-1.926,25.367,-24.735,-14.429,3.701,9.951,3.949,0.248,-5.228
49.753,77.352,19.445,-15.839,20.119,-47.796,-16.156,-14.471,4.203,-1.269,3.147,22.126
49.535,61.19,15.069,-37.118,17.438,-37.546,-24.668,8.556,9.652,19.298,5.899,13.122
49.765,68.014,16.584,-29.178,9.447,-23.879,-26.45,5.597,-11.32,-6.53,-3.793,8.003
49.374,90.785,48.738,-13.835,13.913,-21.16,-9.076,-7.027,-6.266,-10.425,3.42,20.921
50.38,85.306,21.639,-12.641,4.853,-18.449,-20.294,-0.366,-7.72,1.612,12.576,14.416
49.723,49.113,16.02,-23.866,13.365,-30.752,-15.994,-1.697,16.388,11.501,-20.817,-8.857
49.906,84.138,3.956,-24.973,2.359,-53.851,-26.294,-2.972,-11.886,-0.241,-14.24,29.524
49.317,84.606,17.706,-31.84,23.386,-33.128,-13.568,7.724,22.058,-12.404,4.822,-8.184
50.048,66.541,37.393,-30.696,19.825,-26.161,-39.931,13.301,-11.045,-13.929,1.583,11.757
50.613,77.526,29.281,-7.13,14.213,-38.091,-39.85,-9.82,-7.897,-0.988,5.861,14.354
49.292,58.419,39.597,13.416,16.718,-57.513,-30.743,-0.369,12.032,4.067,-5.942,-22.418
48.862,42.259,15.192,-14.022,33.633,-29.457,-37.169,-9.46,13.399,-17.117,-1.284,4.25
49.077,84.92,29.669,-33.677,40.107,-25.262,-44.126,23.205,29.36,-10.13,12.83,-7.492
50.398,79.889,21.541,-22.978,2.949,-36.997,-7.845,-17.767,-1.657,-9.103,11.52,26.434
51.015,74.516,-11.202,-12.758,-4.42,-33.25,-9.796,-9.365,3.61,-10.019,-1.564,0.131
50.292,91.795,-4.244,-7.061,4.587,-31.126,-15.59,-18.513,-7.344,0.036,-2.987,46.525
49.968,88.776,13.732,-18.341,-2.797,-36.75,-11.867,1.576,-1.171,1.504,6.284,21.203
49.739,66.672,16.878,-7.199,11.266,-30.89,-8.208,3.332,25.174,15.167,-5.917,-14.861
48.902,74.343,19.738,-5.932,5.207,-43.588,-21.932,9.562,-6.267,-4.513,3.564,17.825
48.572,123.767,34.297,-10.36,49.954,-23.948,-13.442,-25.425,24.615,3.749,-14.963,1.638
49.555,65.605,14.934,-18.686,-0.761,-21.286,-21.898,4.197,-7.379,-7.678,-6.408,7.317
49.499,91.299,-0.472,-28.119,-4.2,-34.328,-4.729,-5.84,2.969,-6.486,8.181,27.391
49.409,95.569,9.271,-19.315,0.024,-45.548,-10.771,-8.028,-4.461,-9.358,1.683,31.205
48.856,167.1,43.438,-34.033,46.016,-42.372,-22.97,17.803,57.83,3.76,-5.666,-16.677
49.964,108.007,36.888,-8.517,16.54,-43.252,-30.476,-26.937,-12.438,40.972,-7.419,14.009
52.548,70.556,-14.41,5.034,12.047,-32.403,-28.924,9.475,-11.079,-5.482,9.217,6.779
49.822,68.476,10.27,-37.344,-0.041,-15.142,-13.402,23.152,-4.402,-10.805,-2.51,24.879
50.334,65.845,2.77,-30.829,-3.585,-9.818,-6.073,9.562,8.907,-1.867,15.421,6.499
50.097,52.982,0.336,-4.216,-0.84,-40.727,-10.552,6.685,11.583,-8.692,-22.443,6.837
50.342,96.692,4.83,-48.805,1.833,-27.958,-20.967,16.131,32.649,-15.404,0.612,-1.674
50.499,106.282,5.216,-4.703,1.429,-32.662,-18.225,-3.513,-5.565,-13.095,-6.799,40.811
49.442,67.166,6.784,-11.299,2.119,-15.481,-0.67,4.279,12.236,-19.012,-4.401,22.511
50.087,67.275,2.333,-32.965,-3.02,-22.589,-25.85,0.172,12.104,-9.367,-7.676,-5.022
51.687,75.025,6.075,-3.903,-4.199,-32.723,0.119,8.63,1.86,-14.844,3.022,21.756
51.572,90.719,1.432,-8.838,0.934,-42.406,-6.438,10.745,11.204,-0.862,6.392,21.485
50.525,80.687,26.675,-13.095,20.606,-30.176,-1.372,11.841,3.997,21.14,-11.819,10.916
52.862,63.892,-1.76,-0.013,20.105,-45.85,-29.681,25.241,10.157,-16.861,-3.293,9.181
51.408,91.294,14.092,-2.491,-0.559,-44.071,-0.595,17.886,12.767,-10.574,-5.531,1.795
52.103,71.683,-4.639,-0.299,4.415,-44.532,-19.9,16.63,2.463,-13.118,5.624,15.833
50.819,82.606,14.117,-28.87,-2.641,-34.696,1.205,13.658,0.392,6.646,-5.703,18.594
50.437,67.154,16.134,-8.324,2.606,-35.419,3.284,1.036,17.223,14.478,-3.995,-8.614
50.634,94.904,25.712,-15.822,4.656,-38.563,-5.993,2.526,-0.592,2.755,-18.804,26.029
49.972,63.177,17.342,-53.288,16.121,-18.319,-16.21,11.72,5.259,-0.239,0.455,14.329
49.873,56.147,8.358,-4.66,-18.269,-39.503,2.625,3.48,3.254,4.102,-3.513,13.211
47.948,82.942,26.327,-23.805,8.241,-32.652,-15.685,4.737,10.924,0.044,-4.352,-7.651
52.241,68.136,-1.349,-13.436,0.867,-45.826,-27.344,8.493,-0.766,-23.367,5.192,15.389
51.427,72.167,11.902,-19.101,12.566,-41.117,-2.694,4.812,14.096,-17.223,-2.864,-10.739
52.216,62.843,0.001,-15.607,2.173,-52.767,-31.843,16.651,9.313,-14.704,6.209,5.485
50.719,75.474,6.102,-13.997,-16.293,-42.582,-18.52,5.442,-6.804,5.769,-6.879,12.59
51.7,74.157,3.557,-12.356,5.598,-51.06,-5.408,14.159,-12.996,-12.097,2.948,21.968
