0,1,2,3,4,5,6,7,8,9,10,11
0.068,169.86,6.791,-30.238,55.113,-50.442,17.19,4.404,-26.702,1.947,-11.633,-7.708
26.789,25.021,43.312,-397.024,17.684,125.292,81.808,-0.481,-36.008,110.338,-32.497,14.088
47.962,25.336,-74.328,20.456,-27.677,-70.827,-1.954,5.81,-1.598,29.256,15.056,13.109
44.475,-15.563,-50.497,-1.172,-14.261,-56.951,3.507,9.898,16.342,6.842,-15.92,12.097
49.031,34.287,-91.907,53.23,-7.251,-59.07,-24.469,-6.028,2.375,-12.66,-26.453,14.222
40.352,-27.75,-87.21,-2.782,0.74,-52.102,29.895,-30.976,-10.961,8.137,-16.902,22.944
43.279,-54.86,-117.726,70.661,-9.814,17.32,18.985,-21.126,2.005,4.362,29.033,-2.412
39.088,-64.142,-79.828,-0.565,5.947,6.127,41.885,-25.187,3.794,-21.481,-15.942,-11.363
40.081,-75.557,-83.11,37.214,-7.866,-14.889,15.396,-42.412,-7.526,45.292,-48.39,0.848
44.76,-5.727,-112.025,15.313,-7.36,18.135,13.926,18.956,2.748,-1.113,63.465,-10.523
40.071,-47.14,-94.779,-17.089,27.038,-81.28,21.653,9.342,6.39,-0.5,-17.714,11.261
48.309,35.897,-79.646,-3.52,14.375,62.578,-0.584,34.376,9.4,-24.721,36.067,-3.314
42.856,-26.302,-57.18,-4.414,15.137,-55.218,14.33,11.119,14.247,10.342,-12.123,9.358
40.32,-45.85,-88.219,25.031,23.098,-61.008,32.781,-35.802,2.589,4.413,-19.995,11.526
42.904,-7.058,-78.79,-21.435,13.049,-29.847,18.025,15.419,22.357,-0.694,37.253,4.064
49.863,-29.018,-32.514,19.723,-21.42,-29.184,16.786,-34.8,-3.935,16.755,5.394,-0.11
48.713,-60.877,-36.369,51.725,-23.827,-80.608,-6.224,-46.724,-9.057,20.722,-43.281,3.495
45.986,-57.112,-33.647,19.938,15.684,-34.137,10.439,-26.42,-7.245,0.335,-25.886,-13.911
41.902,-100.542,-33.846,2.632,-12.129,-17.174,20.926,-15.658,5.047,-2.216,-7.58,-15.418
46.595,-11.18,-69.369,7.26,7.986,66.471,16.0,20.533,20.346,-42.723,14.218,1.635
41.802,-39.372,-86.022,31.235,-0.621,-58.125,23.962,-26.438,-7.516,0.357,-23.467,-1.567
44.598,-27.423,-120.418,77.439,-27.602,-59.961,-15.446,-7.611,9.007,24.401,0.069,4.898
40.794,-57.926,-68.021,-5.305,13.146,2.668,43.472,-25.383,-4.802,-20.061,-20.394,-0.113
40.086,-50.117,-81.954,23.858,8.785,-1.778,35.567,-40.709,17.33,-19.01,-13.288,14.08
44.993,-40.533,-113.203,56.193,-2.266,-31.146,14.52,-18.146,21.233,8.297,16.316,6.095
37.53,-143.826,-64.771,19.05,-22.034,-36.841,19.185,-12.64,1.537,28.539,-13.228,-7.048
43.726,-28.972,-76.775,-31.351,4.984,97.112,19.325,48.028,36.018,-50.581,-20.588,2.254
40.873,-48.742,-93.569,12.239,23.512,-38.979,39.29,-45.178,-21.877,22.507,-23.502,20.408
45.106,26.262,-95.427,-39.666,31.288,-0.872,25.239,41.754,21.707,-21.693,41.16,-6.297
42.376,-81.762,-101.471,55.044,-32.757,-116.941,-4.066,-36.66,-15.953,9.8,-42.459,12.443
43.706,-47.753,-123.601,85.453,-11.013,-28.103,11.562,-27.02,7.985,3.281,20.82,10.239
38.858,-87.58,-87.031,-7.029,14.878,22.592,47.998,-11.312,10.689,-47.007,-39.988,0.83
35.511,-151.936,-68.442,17.294,-7.083,-11.181,40.118,-24.656,-7.59,26.191,-16.119,9.285
45.314,-14.756,-94.816,16.207,9.95,115.055,20.875,32.56,34.672,-50.684,39.478,-6.465
40.024,-58.077,-106.794,24.269,10.582,-42.459,30.771,-25.479,-5.39,19.38,-5.592,2.901
44.265,-35.422,-108.694,56.831,-24.014,-113.667,-16.21,-16.744,17.285,13.432,-30.532,16.979
38.195,-98.756,-67.062,-35.705,4.182,0.259,35.556,-23.471,6.59,-26.681,-46.254,-3.77
39.859,-45.163,-105.324,42.477,14.94,-19.316,19.9,-34.218,22.465,2.586,-7.943,5.576
43.736,-47.23,-116.941,66.536,-20.058,-108.006,-14.805,-33.471,4.62,23.776,-34.112,15.534
35.423,-191.784,-53.127,19.271,-29.907,-80.171,29.028,-12.663,-8.348,14.345,-25.261,10.644
43.13,-23.515,-60.26,-65.311,1.527,92.876,12.548,56.946,27.107,-52.422,-34.811,4.908
41.414,-63.333,-78.547,4.526,12.888,-60.346,23.656,-31.349,-10.989,15.064,-13.02,2.603
43.2,-49.595,-127.59,73.065,-17.082,-58.221,-12.79,-17.812,18.479,13.406,5.319,-1.726
42.695,-65.906,-106.758,30.571,-8.281,57.048,33.696,-10.581,19.982,-27.979,4.466,-3.146
43.533,-50.116,-129.713,94.687,-19.081,-19.66,0.094,-31.134,6.937,9.289,28.427,-2.134
39.256,-77.564,-84.869,9.427,24.896,22.698,56.243,-27.305,19.661,-30.457,-20.175,-0.359
36.291,-139.629,-44.753,-4.477,-9.192,-33.093,35.621,-10.359,-9.341,41.564,-8.383,0.464
43.532,-15.776,-35.241,-86.073,-8.877,43.398,12.087,47.749,21.795,-36.13,-40.527,6.363
49.16,16.918,32.319,-61.031,-29.097,9.123,45.947,-0.449,-9.093,-15.195,-27.083,3.014
52.208,10.801,-6.293,-12.534,-26.666,-23.927,31.505,-16.571,-2.225,-4.498,2.428,-0.765
52.857,14.165,-14.623,-3.895,16.856,-5.971,7.179,-5.672,-3.413,-31.947,25.744,5.734
50.081,11.771,-64.402,-12.917,7.518,-78.657,-12.338,5.659,-12.644,3.158,-36.402,-9.349
47.925,-11.972,-69.691,17.206,-14.007,-36.39,3.566,-20.634,-2.621,18.553,16.932,-11.138
51.129,38.481,26.038,-55.625,-10.06,1.413,14.159,23.384,5.896,0.763,2.215,-4.375
52.767,51.937,15.4,-19.836,-17.771,-34.699,14.177,-5.132,-0.434,3.829,-7.598,-4.564
53.582,67.052,-2.76,-35.791,-19.713,-43.695,15.791,28.285,5.074,10.419,8.819,-5.959
53.368,67.468,-24.606,-20.51,-24.347,-56.723,-6.399,6.128,16.306,14.41,-6.186,-12.457
53.129,74.942,-2.591,-27.706,-3.739,-30.743,-5.341,5.129,-1.886,9.966,-19.068,-0.255
51.144,65.043,-59.251,9.422,-3.652,-22.23,-14.938,14.254,9.536,20.747,-1.989,17.368
47.069,24.463,-78.413,-23.297,-37.828,-93.652,-26.281,17.669,20.98,4.84,-10.606,14.174
45.282,33.588,-48.745,-17.767,-13.393,-52.08,-0.253,-6.693,21.259,23.182,-8.453,14.735
44.443,18.715,-57.508,-18.816,-5.288,-53.792,-0.905,-0.336,20.615,15.684,-4.856,10.397
48.317,37.542,-74.789,-1.901,-20.66,-92.525,-10.892,18.192,7.881,-0.575,-19.355,7.737
45.64,21.384,-39.247,-61.093,-10.513,-53.158,15.046,-5.999,-0.477,-2.607,-4.74,-3.447
52.085,49.093,19.734,-53.56,-17.725,3.544,10.149,20.132,6.088,-2.296,-2.517,-10.234
53.053,58.683,-10.498,-44.909,-12.593,-29.107,6.982,18.732,4.745,11.378,-4.05,-11.574
53.186,65.958,-23.482,-28.762,-27.253,-57.637,-2.184,7.582,1.54,3.143,-2.049,-5.352
53.236,83.468,3.07,-19.399,-10.314,-27.521,10.893,10.162,1.316,9.818,-17.076,1.744
51.311,75.161,-56.38,14.372,-7.217,-25.805,-22.011,22.546,7.939,21.339,2.969,17.253
47.171,70.007,-39.471,-33.671,-4.861,-47.492,3.133,3.392,25.203,7.392,-14.082,12.351
47.61,38.834,-72.397,-0.684,-25.85,-37.15,-3.683,18.862,9.654,28.565,16.369,12.47
45.613,26.016,-61.458,-5.53,-27.06,-67.463,3.31,1.017,5.444,13.135,-11.249,29.746
47.703,87.113,-47.83,-45.484,-16.753,-35.728,2.599,18.303,7.917,12.506,14.258,13.67
47.222,24.951,-92.229,36.971,-28.506,-63.882,-6.258,0.681,0.987,19.044,6.277,11.879
46.164,-6.117,-80.411,30.754,-41.614,-100.312,-13.789,-4.143,3.593,25.2,-6.324,13.479
48.327,29.105,17.021,-126.161,-26.42,-1.992,11.593,15.769,6.259,15.468,3.485,-9.375
53.615,54.508,-14.909,-29.527,-19.504,-49.711,-5.496,19.308,8.894,-0.73,-12.271,-7.457
51.257,77.537,-63.143,3.136,-4.475,-20.79,-17.813,11.358,8.623,19.879,-2.813,12.197
46.942,67.039,-52.65,-43.413,-16.106,-39.628,3.1,5.148,17.64,7.487,-1.776,13.779
47.231,32.388,-76.175,-11.333,-47.409,-96.7,-24.281,23.247,9.963,12.025,-11.839,19.251
45.262,24.032,-72.089,-15.629,-20.505,-65.542,-7.325,-3.723,16.228,16.991,-10.516,14.515
46.113,36.47,-41.858,-100.327,-14.939,1.364,-0.023,11.988,9.87,8.96,-40.434,16.263
48.269,46.34,-81.905,5.546,-25.433,-101.299,-12.943,19.945,2.166,1.352,-10.659,7.358
47.006,2.461,-71.709,-11.369,-33.874,-116.151,-8.358,6.843,-2.161,5.563,-4.195,6.058
52.535,47.294,17.014,-53.259,-14.335,5.145,5.269,21.607,-0.089,-0.555,-2.362,-4.036
53.385,72.142,17.244,-16.105,-4.315,-41.663,15.885,-3.384,4.95,21.089,-3.418,-18.502
53.546,64.251,-16.301,-27.207,-30.953,-62.075,11.574,16.146,0.229,4.257,-12.836,-11.734
53.154,82.563,-5.647,-31.781,-7.971,-34.085,6.0,16.687,14.751,12.104,-19.408,-4.258
51.191,81.339,-54.769,9.425,-5.648,-13.708,-14.905,17.643,0.497,29.088,3.638,15.044
47.136,66.947,-39.961,-30.329,-2.841,-43.025,-4.279,7.609,24.571,14.012,-5.262,-0.401
47.914,30.522,-77.892,4.036,-32.513,-72.49,-19.219,17.296,17.77,27.21,9.746,16.763
45.065,33.255,-59.336,-22.323,-15.993,-26.94,2.129,-9.528,13.676,26.081,-10.597,16.363
49.673,52.525,-69.986,6.5,-2.615,33.081,-8.836,22.904,7.127,-2.357,11.469,11.794
45.171,31.577,-69.24,-5.659,-16.132,-61.922,17.72,-13.695,-2.124,3.287,-11.3,6.863
47.029,-4.973,-63.121,-2.031,-37.056,-88.608,-3.076,-3.816,-2.475,29.168,18.023,1.755
51.586,37.244,20.324,-65.484,-21.145,4.155,12.685,23.713,7.274,-10.313,1.29,2.821
53.364,69.429,5.799,-23.111,3.254,-27.595,21.391,-4.435,0.529,-12.038,-3.383,-0.313
52.116,14.055,-6.809,-5.604,-29.026,-66.507,7.218,-7.463,7.785,15.08,-18.717,-6.899
51.54,-19.571,-12.26,14.925,-0.077,-33.149,38.988,3.52,15.695,21.576,12.738,10.457
49.839,-48.664,26.564,-9.421,31.004,-47.048,29.638,25.642,17.902,9.213,-4.078,15.774
50.079,19.834,17.883,-19.343,-7.235,-46.656,11.811,16.37,18.504,0.355,-2.157,9.368
52.257,2.292,55.875,2.497,1.322,-36.311,71.417,8.15,3.074,13.797,-4.906,9.588
54.341,-2.273,19.613,26.452,17.638,-8.831,40.143,26.403,7.055,-13.753,-14.206,8.189
49.325,-52.137,19.579,-8.557,-0.018,-25.078,19.034,3.552,-21.249,6.098,-35.202,-16.55
46.778,-88.641,6.433,-88.333,34.401,-2.69,40.234,37.527,11.964,-2.282,-1.82,-14.14
47.315,18.132,-29.581,20.116,-45.987,-36.203,-2.463,-50.137,-13.985,-6.029,-38.089,-7.741
49.137,-23.77,27.387,-29.437,4.911,-28.964,60.156,-38.07,12.603,22.681,0.353,12.168
49.879,-14.008,-50.858,25.566,-4.678,-71.477,23.773,-7.404,12.245,-29.361,-31.469,7.551
48.816,-19.77,27.964,-97.01,-8.085,10.59,38.66,29.512,-30.729,7.924,-16.83,4.634
47.116,-31.303,-7.865,-22.256,1.188,-14.24,41.032,-9.223,-20.864,-3.067,-26.02,-1.159
45.035,-26.103,-82.647,7.461,-27.506,-114.331,-13.073,-1.935,-4.832,16.718,-16.463,7.745
45.288,-8.704,-91.007,-21.469,-27.451,40.174,3.261,5.822,0.976,-7.73,-45.112,10.028
45.456,141.686,-110.437,-88.174,29.9,-43.848,12.847,33.621,0.795,-8.342,11.498,-6.263
48.143,42.966,-115.392,31.748,-10.713,-48.139,-7.127,-24.675,-6.861,28.591,-16.392,7.975
