0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
32.394,50.706,-14.354,-191.804,35.638,190.708,45.424,-30.353,-9.508,46.864,33.746,1.804
46.005,16.037,-36.505,-0.577,23.495,0.183,-6.022,-21.179,-13.569,0.059,20.113,-5.323
46.228,21.077,8.406,47.796,13.209,-79.436,24.534,-41.053,-31.67,41.43,-10.713,51.0
44.456,-13.15,-26.452,16.082,25.803,-8.772,-4.366,-18.538,-11.82,-25.971,15.812,19.346
41.529,-37.847,-12.55,-52.297,46.261,-19.634,-29.683,-0.837,-4.163,-32.609,0.547,12.329
44.598,2.973,-43.276,11.867,26.733,-8.301,-36.935,-24.505,3.515,-8.407,-10.495,1.731
40.461,-21.781,-11.403,-24.97,56.091,-37.114,-41.289,-27.279,-17.737,11.256,-2.325,13.068
43.024,-0.188,-28.089,-31.545,46.443,-14.809,-40.284,-6.584,-9.978,-5.242,16.228,-0.451
43.158,22.508,-15.311,-24.104,37.296,-39.336,-49.88,-37.829,-19.684,21.587,9.302,6.037
43.601,-10.563,-40.365,-16.776,59.308,-21.226,-62.405,-15.641,11.101,2.129,-6.064,15.588
40.321,-34.38,-14.199,-36.517,31.785,-45.384,-40.68,-23.913,-14.656,11.868,-1.056,19.603
44.321,17.545,-30.927,-26.342,30.655,7.841,-28.227,-4.297,0.362,-24.537,12.763,14.046
44.045,-10.332,16.651,11.194,8.484,-20.049,-16.939,-32.319,-35.36,-0.572,-4.215,22.347
43.231,-38.415,-5.124,-7.178,25.732,-18.228,-38.094,-24.747,-8.541,-29.912,10.499,16.21
44.162,31.735,-15.985,-31.277,25.434,-19.956,-8.375,-1.954,2.605,-20.854,18.045,7.255
43.354,20.199,-10.003,-6.008,19.839,-45.294,-7.795,-11.326,11.815,1.978,-3.924,24.669
44.244,27.241,-11.543,-20.159,18.846,5.093,-16.993,-27.888,-20.294,-11.377,-18.93,19.839
45.001,5.073,-47.798,-11.438,-1.184,-16.242,-13.453,-12.09,-15.418,-3.655,3.282,13.549
44.31,-9.113,-20.024,-12.345,1.722,4.742,2.716,-7.945,-16.559,-18.01,12.913,14.428
43.167,-12.041,-0.716,-7.72,15.685,-42.701,3.653,-7.391,-26.764,-8.182,-1.379,29.876
44.874,16.602,-30.535,-15.321,33.837,-15.563,-10.053,-8.93,-9.386,-17.799,11.151,17.648
43.187,-3.68,-43.643,-4.982,31.711,-28.732,-35.557,-11.976,-10.099,-11.953,-6.157,1.217
