0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
44.743,34.788,44.222,-18.987,23.668,26.199,0.998,-2.622,-0.719,41.47,49.131,-15.314
44.509,-1.173,18.28,28.481,18.246,-0.927,-15.701,-17.234,-7.372,-14.103,-48.126,9.99
39.883,-45.178,-34.851,109.001,-2.12,-11.847,-15.929,-21.325,2.677,-11.667,-63.127,18.051
39.238,-54.297,57.879,-157.432,11.484,47.169,11.931,60.874,19.457,-33.357,-5.072,-11.923
39.793,-48.957,-35.625,111.326,-1.222,-11.749,-16.043,-25.866,2.916,-11.028,-63.098,16.477
41.648,-9.933,50.489,-108.584,24.932,86.859,16.83,38.613,19.829,-45.27,19.759,-21.613
46.18,43.108,45.67,-2.122,25.923,-31.277,-7.195,-15.444,1.872,-1.823,-12.764,-15.857
39.598,-46.224,-27.205,84.232,4.697,30.793,-5.317,-16.958,-2.133,-10.715,-61.34,6.604
40.333,-49.726,44.906,-139.364,9.762,61.806,16.515,57.989,19.077,-37.123,10.777,-13.927
38.345,-54.998,-27.249,128.138,-2.077,11.178,0.563,-28.242,-9.811,0.99,-49.822,4.504
34.244,13.524,-66.6,202.414,24.872,83.759,-18.099,63.737,0.409,-53.084,-101.505,11.446
45.411,37.642,81.897,-139.786,25.263,119.668,52.285,46.639,-13.639,36.229,56.704,-3.71
54.9,66.763,6.574,-20.063,11.813,-33.524,-2.211,-6.471,-0.188,0.593,-7.193,-1.604
55.397,60.829,-20.623,-7.596,9.622,-50.799,-20.72,15.95,-12.26,-7.217,6.768,16.783
54.045,61.157,1.305,-16.909,5.659,-41.175,-19.031,3.041,-6.16,0.24,-7.87,-3.059
55.305,73.008,16.914,-32.699,1.401,-15.495,2.07,-3.287,7.268,12.279,-5.444,-3.005
56.083,61.37,12.754,-24.595,11.704,-30.617,-10.545,6.843,6.813,11.523,4.263,-13.806
56.462,66.616,15.396,-19.215,4.318,-28.827,-0.679,14.231,6.836,12.964,12.39,3.991
56.57,75.263,34.374,-19.005,6.918,-53.169,2.483,-2.406,16.257,16.841,-13.512,-24.69
56.665,59.19,0.64,-16.804,5.782,-47.013,-16.958,-1.163,-6.603,-2.915,-2.307,-1.746
56.36,77.824,16.025,-19.331,10.374,-42.943,-4.151,-0.674,6.357,14.525,-10.313,-14.464
56.085,81.864,30.686,-15.832,18.03,-29.149,5.272,3.511,6.891,3.118,-15.115,-20.556
56.185,58.852,-4.504,-4.204,10.942,-50.177,-15.458,11.285,-2.332,-4.349,-0.524,0.95
