0,1,2,3,4,5,6,7,8,9,10,11
31.114,-213.479,-85.93,-16.954,-33.863,-50.209,20.954,-8.386,-25.051,24.875,8.475,-9.787
36.216,-230.942,5.058,-46.77,6.398,-12.11,66.998,19.555,13.177,-3.465,-6.744,-14.762
38.535,-199.254,31.683,-48.225,3.942,-36.078,54.645,23.583,7.511,-12.88,10.511,-10.508
41.593,-111.202,29.69,-15.45,-12.484,-22.094,35.79,57.732,-0.564,-12.979,-30.301,8.39
38.05,-39.232,5.097,-4.519,-47.007,-19.783,-5.583,-14.044,-17.624,14.772,-32.942,-38.958
35.387,-98.462,62.442,-13.719,-15.0,4.994,56.863,-0.493,-27.171,-12.813,-36.333,-6.796
38.57,-117.958,101.938,-26.424,40.0,2.649,20.625,43.437,-5.993,-0.532,-19.753,-15.013
41.95,-63.628,113.928,38.233,26.821,-6.155,19.595,15.974,-25.982,-7.8,-28.732,-18.212
40.107,-14.755,77.868,29.049,17.785,-26.492,-53.826,22.403,-23.411,-0.273,-7.059,-25.163
35.185,11.896,72.825,49.161,26.595,-4.585,-69.96,-14.558,-27.643,-9.76,-33.715,-5.451
32.125,-46.046,102.958,-40.608,14.386,-15.782,7.891,-31.74,-48.213,33.008,-5.206,4.427
34.36,-39.326,131.581,-13.228,38.105,-0.46,17.138,15.082,-16.494,-12.468,-51.252,21.775
35.434,-144.452,78.897,-17.52,45.226,23.622,20.67,30.326,-15.242,5.986,8.994,-1.511
33.22,34.605,56.787,13.767,-3.969,71.73,-12.927,6.624,-4.318,-37.097,-15.117,-31.503
32.927,-69.421,82.183,-53.7,14.961,58.189,6.223,-32.232,-47.647,28.538,-5.88,0.533
34.896,-196.723,96.512,7.728,71.102,-37.824,17.579,4.86,0.202,-6.329,8.38,0.925
37.172,-106.568,104.254,-8.969,62.071,-14.015,0.843,45.771,9.869,-21.155,14.829,-0.959
36.52,-67.492,87.752,57.0,35.8,-12.755,-13.981,-32.713,-37.676,-5.458,-23.146,19.071
36.37,-110.507,108.357,-0.623,37.998,-20.45,25.401,-7.256,-30.613,16.415,-16.496,9.301
34.84,-102.08,108.312,26.416,30.373,-28.459,30.903,32.139,-21.373,-27.242,4.015,9.377
35.194,-25.318,84.686,-8.894,14.729,-5.084,-32.249,31.355,-14.347,-23.634,-14.702,-7.078
35.444,-71.174,102.208,-8.684,35.14,-8.347,-30.53,-25.706,-44.563,0.404,5.092,-1.779
37.23,-141.591,86.149,12.162,45.449,-15.305,3.332,0.981,-28.877,-5.412,-4.174,15.681
38.898,-155.241,87.251,-5.031,44.239,-11.731,12.088,10.24,-15.314,-17.366,13.361,-7.679
40.284,-67.663,77.827,63.145,55.045,-17.3,-0.773,-2.692,0.316,-7.672,-24.971,13.827
37.955,75.006,79.728,18.4,-25.953,24.648,-31.024,-6.326,-30.577,-20.348,23.318,-43.548
38.75,150.532,48.249,56.394,-0.544,-11.781,-90.217,-49.054,4.23,-0.212,-42.367,-36.624
33.224,52.628,81.993,-16.544,24.504,-21.022,-49.666,0.066,2.414,-20.131,2.602,20.847
40.172,-63.839,85.075,11.871,17.303,8.419,7.359,-13.982,-37.085,32.162,2.613,-17.838
38.524,-144.086,71.874,33.692,31.479,-34.928,2.405,8.097,-26.864,-6.843,0.627,-1.012
43.673,47.612,51.891,35.983,14.271,15.754,-49.383,2.625,5.66,-13.489,-6.956,-20.372
35.553,-62.451,54.62,-0.475,-2.129,13.401,20.303,-55.562,-41.586,30.56,-26.201,8.477
37.424,9.912,121.849,-99.097,8.089,-3.663,0.217,35.984,-1.639,-31.163,-33.047,-3.24
31.277,-92.705,26.696,5.428,7.758,-37.298,-6.612,-45.2,-30.977,39.181,-10.839,-5.639
32.352,-138.038,45.356,-12.598,20.282,-47.17,-37.189,6.204,-17.765,2.113,8.843,-18.294
31.877,-110.515,33.264,4.939,21.707,-66.239,-57.804,-9.563,-9.538,-3.952,-3.977,-12.236
40.481,100.147,51.997,57.343,10.645,-13.797,-78.454,-0.189,-31.406,-14.723,-19.806,-14.986
39.007,151.921,107.037,49.118,12.931,-22.589,-32.839,-7.48,-25.715,-5.881,-9.417,2.11
40.611,119.038,136.541,-12.0,37.473,37.788,-43.546,-0.57,-23.679,-10.589,-15.04,-0.921
42.322,50.682,134.637,13.204,76.767,-31.644,-47.862,-7.195,14.186,9.233,0.605,-12.125
41.159,-35.946,101.096,73.205,59.286,-56.906,-36.229,-46.233,-13.402,40.385,-28.613,0.132
