0,1,2,3,4,5,6,7,8,9,10,11
0.142,167.663,6.593,-32.698,55.921,-50.072,13.996,1.012,-28.551,0.631,-10.191,-4.441
3.02,100.38,-51.383,-66.774,45.561,-39.741,-22.752,-12.134,-43.629,2.598,-3.039,14.094
6.168,31.69,-87.766,-93.824,52.665,-42.966,-32.206,-28.144,-28.294,8.681,-4.448,-0.524
10.443,-46.693,-112.601,-97.413,57.814,-50.382,-15.983,-13.555,-14.722,5.313,-2.673,2.57
13.482,-86.531,-116.742,-92.118,38.255,-50.804,0.702,-7.006,-26.023,1.469,-3.729,-4.176
16.021,-112.192,-92.631,-95.43,32.098,-49.632,13.724,-9.487,-32.167,-0.633,-0.025,-15.525
19.331,-135.257,-78.004,-75.437,17.852,-47.778,-10.448,-6.709,-27.66,-5.29,1.906,-15.901
32.841,71.765,-2.644,-107.84,-35.942,23.28,-33.685,21.886,-8.766,-20.491,24.875,-13.625
37.518,210.824,-102.222,-68.148,60.045,-41.31,-32.768,-19.215,-24.702,-15.267,-11.849,1.802
46.573,108.034,35.081,7.558,60.34,36.216,-18.11,22.633,-35.866,27.816,3.901,7.544
47.184,72.26,94.923,1.152,54.527,24.65,11.057,-8.828,-31.277,23.437,-19.205,1.008
46.529,138.119,77.557,-40.627,35.182,-13.657,16.354,-34.097,-4.309,-17.928,-7.184,0.314
46.887,21.932,126.569,7.859,17.03,-3.587,54.676,-3.936,-33.687,-7.335,-35.034,17.797
48.226,29.207,108.72,-26.043,48.054,4.669,42.85,24.939,-7.31,-17.678,2.709,1.859
48.157,24.504,93.099,20.472,41.029,-14.874,29.074,1.704,-4.147,-4.356,-28.425,-23.283
39.813,-38.964,40.218,13.747,-15.51,-41.81,38.997,1.199,-1.311,-5.218,-17.594,-20.078
38.067,-52.63,35.971,13.359,-24.116,-38.776,43.989,-16.337,-9.403,-3.424,-19.282,-7.334
44.492,117.589,-10.659,-83.685,26.322,10.967,29.819,52.28,41.54,-44.659,26.335,-10.734
49.242,82.624,19.873,-39.572,32.548,-27.908,7.021,-61.086,-6.694,52.43,-21.318,-12.738
48.885,48.126,47.021,-16.771,56.82,-43.976,49.638,12.861,-16.766,9.575,-15.115,4.88
48.487,56.263,50.67,-45.01,23.811,-15.878,26.326,-22.685,-19.734,8.438,-21.284,-22.514
50.837,35.014,87.342,-8.078,6.614,-34.178,46.252,39.908,11.243,-5.019,5.512,-18.287
51.766,64.247,87.38,28.6,-6.791,-19.856,47.998,-3.554,3.323,5.821,-28.239,-37.797
49.302,-0.715,69.84,41.283,25.545,-28.778,39.985,20.536,3.363,2.216,-40.007,-24.145
42.037,-24.803,7.207,-10.851,-32.009,-33.252,21.204,5.168,-6.773,-2.109,-17.938,-12.654
41.847,-45.421,16.744,-35.759,-20.039,-36.55,37.549,21.3,-0.206,7.619,-5.485,-12.134
42.617,4.661,15.193,-10.776,-9.893,-55.895,35.127,-1.298,3.953,-1.599,-12.434,-7.551
44.433,92.47,-33.435,-47.813,44.371,-45.25,37.619,19.979,-2.866,-27.151,-7.008,-25.233
47.956,64.803,5.176,-52.459,30.63,-1.317,26.533,17.377,-27.958,20.099,-31.9,-13.418
50.735,27.608,51.77,-19.23,16.758,-0.963,43.682,4.112,-8.05,29.716,-12.835,-9.338
48.967,67.629,27.198,-32.801,8.034,-8.575,38.568,-15.767,7.053,-34.033,-21.574,-5.525
48.752,-0.746,73.097,-2.527,-7.332,-0.998,58.136,15.134,-23.269,5.017,-33.545,-1.357
49.979,-6.297,70.642,-38.152,19.641,-10.851,46.273,33.489,-0.208,5.493,-10.379,-5.404
51.018,7.111,66.15,0.817,23.627,-36.75,44.818,15.876,0.727,25.711,-26.109,-22.15
50.392,1.013,61.405,9.864,16.418,-45.391,24.004,24.222,17.781,18.677,-19.027,-41.412
49.215,17.67,43.769,-33.349,8.022,-21.9,30.589,-6.893,5.103,15.561,-19.32,-19.268
49.487,66.374,-7.573,-1.323,44.682,-34.777,30.75,-1.853,18.878,-6.126,-16.113,-26.834
50.239,18.75,61.34,-35.167,3.093,-32.389,51.587,6.049,-9.201,13.323,3.391,0.343
51.723,59.211,43.251,34.766,-3.239,-59.203,55.465,37.632,-7.171,-4.214,-6.355,2.58
51.874,69.495,66.037,-15.488,-21.012,-25.553,42.632,20.657,12.053,13.438,-11.082,6.299
51.89,96.848,33.49,22.622,-16.632,-32.57,18.684,-16.427,15.089,11.433,-31.195,-3.472
50.629,28.36,54.145,-18.118,17.857,-19.399,59.331,11.251,3.182,14.236,-6.953,2.064
45.418,34.341,-16.408,175.523,35.1,15.714,30.044,85.23,16.926,-7.804,-145.444,26.94
49.764,113.125,170.954,80.361,115.354,-8.558,56.566,-42.065,-35.259,9.523,-23.303,18.707
50.327,73.204,161.44,1.171,42.55,0.891,24.733,29.495,-61.016,-38.057,18.444,-6.556
49.538,63.475,208.164,110.496,116.461,-53.736,29.575,-5.994,-21.634,-0.78,-14.96,-32.961
46.266,-2.688,62.953,85.169,82.233,-19.471,-51.877,-6.91,-18.637,1.079,-50.215,-21.604
45.899,114.76,-19.517,-110.245,77.305,30.181,55.833,-87.619,-36.032,-14.682,-42.377,-12.387
49.5,62.683,-30.261,52.039,23.467,-46.218,-17.003,20.988,-0.718,15.849,-26.214,1.284
48.599,162.815,-103.071,-42.364,11.326,40.002,-7.032,-28.238,1.133,19.201,-42.007,8.436
44.129,31.499,-61.218,121.861,-18.592,-48.732,-21.449,-49.118,-17.951,3.634,-76.392,13.061
47.062,47.285,-94.769,84.688,-27.454,-43.782,-6.202,-21.597,-28.451,13.09,-44.473,9.236
47.786,11.816,-61.652,97.471,5.16,-6.702,-49.567,-29.885,-28.239,5.316,-50.461,0.436
47.117,26.315,-33.651,-86.887,28.906,41.709,10.056,100.282,-10.576,-23.067,-45.83,15.604
52.119,76.06,18.801,-6.842,49.619,8.033,43.138,-83.902,-39.145,41.493,-5.766,-22.16
52.469,-1.636,12.302,41.696,46.62,-5.623,59.385,15.825,11.07,-16.795,-40.217,-4.977
47.825,92.048,-16.793,31.741,-17.474,-50.121,-12.492,-22.956,-27.059,-2.924,-11.879,1.513
45.466,29.514,-115.548,112.436,-40.269,-60.022,-28.596,-42.25,-16.762,17.568,-49.379,8.171
46.942,-1.963,-54.446,108.785,8.705,37.464,-15.931,-41.1,-22.312,18.176,-39.365,4.713
49.068,126.175,-68.13,-67.616,8.668,48.208,-18.88,-50.883,20.119,-7.359,-20.146,-4.038
52.903,86.445,29.679,-16.196,13.31,-20.565,-23.886,4.092,13.514,5.432,-5.401,-14.848
53.891,60.318,1.349,-7.946,-4.17,-40.824,-2.42,-22.53,2.222,21.448,-19.075,-38.383
53.316,23.895,43.73,17.665,69.608,-45.122,19.81,2.103,-21.352,11.436,-36.142,-9.595
54.331,17.982,15.874,16.49,38.218,-56.895,17.213,-13.43,0.221,38.909,6.827,-35.116
50.174,8.653,24.124,60.789,41.456,-71.142,-29.207,-23.242,1.602,13.356,-34.436,-44.19
48.268,24.004,-29.755,12.281,-0.291,-8.279,-18.901,21.832,-1.334,-31.029,-44.935,-15.438
42.562,33.99,-30.618,-10.673,-31.196,76.331,11.131,-18.034,4.209,-45.517,-59.166,0.108
44.544,55.509,-39.703,-94.691,-21.969,54.087,13.295,0.628,-15.158,-24.673,-43.065,-2.779
49.034,107.824,-21.839,-85.433,16.259,-11.029,2.839,-22.831,-34.412,13.028,-24.476,-4.191
53.359,57.123,-12.941,-32.321,23.814,19.364,4.78,-26.231,9.13,19.049,-0.619,-17.752
53.418,23.808,96.536,25.915,17.809,-67.902,50.175,-7.364,-20.791,23.037,-11.087,-16.911
53.156,-20.141,44.584,57.789,6.184,-89.903,80.389,-29.658,-7.629,35.867,-17.167,14.483
48.55,-11.652,13.34,51.749,18.81,-33.517,33.404,90.855,-16.674,-21.436,-51.046,7.84
45.31,18.67,-111.866,112.985,-46.841,-29.317,-17.978,-59.61,-20.892,18.399,-21.508,5.961
49.454,39.9,-9.627,-44.41,30.817,68.964,9.404,-32.29,12.011,17.252,34.457,-15.749
53.815,54.11,30.945,34.951,-18.2,-39.587,23.464,23.57,-26.652,30.975,-2.991,3.271
50.912,5.063,-11.174,-5.958,47.979,22.245,34.686,32.207,-15.928,-18.374,-3.534,-2.695
50.663,123.672,-37.945,-22.4,13.464,19.357,11.817,-48.894,-51.562,20.191,-56.852,-12.908
52.858,33.148,11.224,-19.879,-11.235,29.289,25.055,-38.821,-10.454,15.832,55.66,-32.145
54.754,51.916,100.889,17.984,-13.006,-33.227,55.266,2.744,-20.237,-12.391,-6.98,-14.818
53.379,85.708,-14.756,19.944,-12.822,-43.132,-20.287,35.724,14.554,-1.975,-17.387,-27.265
47.892,169.975,-104.088,19.364,56.205,-85.974,-21.784,20.949,-35.164,-11.724,-28.374,-8.799
50.966,85.409,-39.104,-39.25,6.026,33.016,9.088,-48.328,-22.55,44.209,0.577,-32.722
52.321,57.498,21.82,-5.42,4.138,-2.498,-26.848,-3.478,11.07,-8.263,-11.019,-34.578
45.219,23.224,-105.579,116.391,-51.496,-48.76,-25.633,-57.254,-19.121,7.389,-45.768,6.337
43.425,19.174,-66.589,112.308,-32.145,-49.569,-26.637,-68.703,-16.315,8.455,-29.647,2.798
52.229,67.608,15.901,7.564,-37.373,21.863,38.842,-7.591,-4.594,-10.981,29.795,-2.087
51.796,87.893,39.236,23.315,-15.783,-30.031,4.948,-35.264,14.977,-0.751,-35.697,-15.308
51.339,33.79,36.304,-14.108,-12.104,-13.64,44.63,2.403,4.311,-7.799,-27.2,13.904
50.171,61.406,43.762,13.312,-17.558,-52.145,11.091,-6.988,-19.349,20.945,-9.868,-5.882
52.385,59.015,25.909,3.82,-43.402,-51.796,32.203,-23.557,-29.065,36.691,-7.845,3.5
47.806,49.811,17.253,55.065,-27.733,-88.591,-0.983,-16.033,-7.511,4.627,-14.767,5.291
