0,1,2,3,4,5,6,7,8,9,10,11
0.049,170.759,10.464,-29.58,56.926,-50.712,16.046,4.331,-27.91,0.45,-9.289,-7.085
12.031,127.554,117.301,-151.059,-26.212,-22.535,68.45,-30.924,-72.199,18.197,39.02,-4.51
25.191,80.259,110.196,16.676,-8.249,-22.705,24.947,-12.029,-47.468,-7.755,10.488,21.717
26.596,97.775,136.221,16.981,-24.703,-23.616,17.486,16.354,-44.868,-19.352,5.639,-0.783
27.573,152.243,147.431,26.43,-18.195,-26.271,34.264,13.139,-36.499,-10.823,-9.754,-0.465
28.518,135.681,130.707,29.03,-2.154,-28.15,20.403,-18.099,-36.038,4.276,-11.254,16.078
30.361,97.21,129.344,-6.083,0.589,-18.399,4.07,-3.457,-37.664,-15.333,8.438,17.686
33.122,119.426,126.147,17.348,-22.639,-23.325,23.849,-0.943,-37.476,-10.439,-3.22,8.152
38.236,34.957,109.313,-45.748,12.838,20.219,15.082,-49.916,-39.403,26.817,-31.775,9.355
40.895,15.986,45.121,11.898,6.496,-29.039,-21.235,-6.021,-21.09,-14.98,-4.571,-4.428
40.863,27.296,54.316,1.59,16.338,-30.986,-29.711,-34.181,-33.516,-3.33,-5.365,30.436
39.997,9.497,46.142,6.746,5.217,-30.521,-41.919,-14.023,-34.237,-20.221,7.717,24.52
39.51,-3.61,46.306,-7.421,-1.915,-22.013,-45.859,-26.46,-30.934,-9.202,-2.665,-1.874
39.619,-22.067,26.129,-22.4,-17.091,-21.664,-29.484,-6.818,-29.766,-11.477,-6.62,-15.188
40.446,20.241,9.841,-11.364,-3.996,-43.334,-5.932,1.587,-21.217,0.225,-3.444,18.086
39.497,33.657,39.503,0.365,-23.203,-26.033,-10.816,-10.137,-29.686,-8.644,-6.268,10.874
39.171,-19.658,27.145,-18.846,-13.634,-20.815,-30.311,-13.2,-31.961,3.126,3.472,-7.371
43.132,33.145,32.421,-2.823,2.511,-19.789,-3.971,-11.024,-21.274,-2.943,6.443,1.095
43.843,-32.456,45.983,-2.419,12.069,-16.755,-36.779,-16.923,-20.38,4.292,-3.943,6.166
43.265,-13.727,21.876,-6.871,14.928,-43.037,-11.605,-14.838,2.453,7.293,-11.298,-18.533
42.104,0.259,32.404,0.552,-8.776,-21.933,-14.363,1.71,-18.66,-14.865,-0.042,-4.257
42.102,49.543,36.228,0.238,4.895,-25.296,7.308,-36.364,-28.514,-4.74,9.929,11.525
42.047,-21.445,42.624,2.899,16.802,-32.051,-19.281,-15.645,-5.574,-11.421,-1.526,-10.282
40.846,-24.171,58.347,-18.334,-1.634,-27.296,-27.605,4.119,-23.713,-1.84,-1.186,-18.189
42.996,20.284,36.214,27.211,-8.908,-41.998,-7.117,-8.422,-27.09,6.803,-2.65,8.018
42.799,20.612,45.893,-17.396,-12.131,-13.483,-13.027,6.887,-39.528,-15.667,14.016,-2.094
42.832,10.358,36.486,-26.02,-19.633,-20.115,-6.242,-25.809,-27.803,4.628,-10.183,10.707
44.004,-18.015,50.98,-5.215,-19.407,-30.431,-6.003,-10.166,-21.632,-7.496,-6.319,-26.613
44.835,24.898,33.704,-2.172,17.833,-40.189,-16.36,-15.445,-33.994,-8.991,-4.155,-7.823
43.34,-1.218,54.91,-9.527,-9.817,-25.842,-19.271,6.701,-17.333,-21.589,-10.816,-15.9
43.538,16.707,32.969,4.777,-10.587,-20.049,4.822,7.422,-27.427,-13.085,-3.051,-3.914
