0,1,2,3,4,5,6,7,8,9,10,11
44.003,61.71,-17.152,-21.587,53.063,173.672,53.27,-20.21,-26.735,83.347,116.336,-15.059
48.539,40.716,-4.891,-6.405,19.656,2.902,26.481,-14.893,-18.89,-9.023,7.003,-9.353
45.989,4.182,-13.704,20.704,16.279,-34.487,25.588,-0.888,-18.351,-1.893,-15.132,3.722
46.467,-5.847,2.425,-5.468,26.9,-1.159,39.325,-17.523,-18.373,10.798,5.8,-1.021
48.126,23.579,-11.073,7.919,17.643,3.767,34.886,-5.764,-11.848,-20.378,0.597,11.804
42.173,14.047,-28.538,18.974,1.964,-21.986,10.074,-26.991,-13.725,-2.081,-11.687,-4.27
48.643,34.51,-40.911,23.87,20.117,3.973,22.241,-26.007,-15.166,26.022,2.518,-5.219
43.697,-22.803,-16.74,-60.538,9.071,-27.219,42.996,-1.141,-19.432,-18.622,-11.55,6.661
49.279,15.074,-32.015,21.411,4.101,-35.641,18.012,-21.817,-31.065,13.748,-3.967,1.843
45.149,-28.827,-28.352,24.294,-22.263,-36.725,11.072,-2.764,-47.424,11.241,-5.95,15.6
48.24,31.867,-25.196,34.056,6.868,-26.632,14.849,-9.112,-22.792,19.941,-16.804,16.417
45.935,-9.627,4.549,-45.8,4.587,3.229,53.936,17.519,-8.066,-20.309,-12.003,12.175
49.043,49.601,-11.532,25.016,24.016,-28.467,8.548,-13.82,-15.062,6.432,-1.687,-0.155
43.871,-16.021,-37.421,-0.951,-17.131,-34.352,-9.902,-18.404,-18.377,10.456,-16.328,-3.453
48.606,27.255,-29.131,22.748,22.796,19.53,29.093,-26.623,-15.754,5.266,-0.852,5.354
43.907,-34.284,-10.394,-59.447,-3.618,-29.364,31.629,10.021,-15.115,-13.464,-11.838,21.108
48.509,18.64,-30.263,-9.884,5.872,5.656,30.505,-18.745,-13.253,-19.256,10.673,12.968
44.697,-21.163,-59.07,33.994,-19.21,-41.896,-4.525,-33.28,-21.629,1.053,-15.207,6.912
47.672,18.058,-33.25,29.63,23.703,17.408,22.391,-24.223,-18.605,8.864,9.878,-1.651
44.747,-20.239,-12.6,-8.074,35.12,-22.651,41.925,-13.473,-18.792,10.673,9.099,15.703
48.186,4.982,-45.769,11.338,0.214,-40.334,1.995,-4.081,-30.983,8.255,-13.391,11.732
40.478,2.958,-33.01,3.207,-18.735,-35.962,9.603,-11.282,-29.41,-18.043,-12.861,-6.236
48.609,32.432,-36.235,18.984,14.26,15.265,29.839,-24.432,-23.103,17.136,8.046,-0.575
46.144,-2.199,-6.611,-17.365,22.456,-11.728,25.284,-9.879,-15.156,5.05,-11.504,-5.504
49.11,32.219,-22.945,12.034,11.639,-41.673,11.434,-18.976,-17.68,14.466,-14.699,9.097
44.331,-4.827,-61.023,57.002,-10.227,-38.396,3.309,-33.234,-25.811,8.058,-11.262,-8.376
47.651,14.49,-40.894,39.613,13.126,0.336,13.339,-26.552,-11.768,21.596,-13.934,-1.343
43.663,-40.956,-52.281,-37.821,3.9,-3.747,19.938,-10.065,5.206,-14.908,-13.437,-1.084
48.177,15.718,-20.105,20.885,9.439,-40.779,15.889,-11.259,-24.764,17.831,-14.577,1.375
44.087,10.582,-24.828,9.865,6.65,-24.565,10.191,-12.838,-13.09,-18.398,-20.569,6.361
43.172,22.195,-4.757,-101.048,10.495,-52.127,7.414,48.284,14.711,-2.392,36.061,3.946
51.667,88.139,6.512,-53.463,9.445,7.931,-5.0,-41.777,-7.52,8.157,-27.503,20.886
53.716,11.693,72.067,-0.837,54.376,-27.347,27.717,12.786,12.478,-12.101,-16.784,22.106
50.855,122.598,-57.074,-33.498,80.115,-34.993,50.15,-3.076,-30.67,-22.157,-7.968,27.414
52.521,33.968,33.72,-26.331,19.085,5.952,25.933,1.379,-26.14,20.529,-28.793,-4.613
