0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
13.463,-71.371,26.702,-31.738,145.871,-35.729,7.78,-5.839,-29.727,18.385,-4.389,-9.007
17.725,-126.185,33.509,-38.972,137.86,-12.137,16.396,8.212,-30.369,20.032,-6.016,-17.454
17.467,-110.083,73.032,7.58,153.6,-53.138,10.406,12.939,-19.616,-3.974,-1.614,-31.282
20.632,-130.702,93.152,47.218,153.393,-33.859,1.473,30.413,-9.429,1.156,-9.41,-30.216
18.517,-130.096,38.234,22.667,137.544,-69.39,1.218,26.489,-13.57,-15.446,-6.419,-18.368
17.807,-125.999,42.169,-10.428,143.758,-47.17,12.931,13.907,-18.755,-4.155,-6.917,-21.745
21.684,-149.039,96.23,-11.294,151.256,-5.43,15.114,8.385,-15.073,18.263,-13.277,-31.584
39.549,66.102,-20.752,60.469,-33.265,29.318,-67.268,-43.241,-12.465,4.067,4.972,-30.796
32.302,-31.904,-32.095,10.131,-29.578,-32.321,-33.648,-20.051,17.484,13.533,-6.142,-26.805
45.81,59.387,-37.074,-21.736,31.596,-3.412,-66.11,41.083,1.592,71.54,18.015,-6.25
43.01,167.137,-26.478,-4.955,-31.945,-44.15,-64.004,-37.17,-23.255,9.65,-1.144,-9.344
44.881,22.343,-49.572,-43.301,18.921,-26.664,-65.442,-15.684,-2.993,6.191,-20.121,-18.967
41.638,125.934,-75.768,-58.382,67.945,20.116,-28.036,-107.267,10.564,10.872,-42.489,-2.331
41.417,47.045,-24.7,-89.864,2.49,36.848,-30.375,0.63,-12.409,22.376,-8.969,6.289
45.257,65.263,-77.46,-59.372,14.974,-2.423,-52.556,-12.317,-5.799,6.295,-25.504,-7.494
41.487,-33.431,-80.996,-24.145,13.2,-31.831,-35.284,-23.193,-9.872,3.506,-16.024,-2.316
41.951,-0.565,-54.923,-99.172,10.87,-19.531,-44.391,1.199,13.935,-28.765,-10.083,-4.998
42.403,9.805,-59.639,42.626,-29.101,35.433,-62.055,-16.051,4.589,-25.682,-49.514,-14.287
41.936,13.363,13.354,-89.311,23.785,11.762,10.265,-37.949,-9.147,58.103,-27.137,-0.523
45.996,30.596,-17.202,-15.3,8.073,-9.589,-42.678,-0.065,-7.556,10.69,-8.979,-5.737
46.364,17.667,16.799,-78.185,30.168,-31.435,-28.441,-23.285,9.451,11.637,5.778,1.028
44.736,54.275,15.61,47.28,6.803,-11.461,-54.964,14.758,3.874,-27.125,-47.394,-15.745
37.506,-35.3,-30.77,-16.851,-5.377,39.645,-32.502,-7.856,-3.411,3.771,-63.666,-9.236
44.622,19.777,-27.116,-18.746,35.39,9.658,-31.991,-34.914,14.254,49.102,36.263,-3.36
44.797,36.02,-52.547,-25.234,46.932,-22.816,-54.886,-3.981,45.937,4.378,-17.46,34.103
46.258,41.519,-6.69,-30.776,-7.189,-9.336,-47.721,-23.507,5.823,25.481,18.003,-16.937
45.158,2.263,20.504,11.862,47.07,-14.651,-11.544,7.555,16.051,-3.462,-47.758,12.932
44.007,159.461,-44.941,-70.191,30.171,1.063,-18.089,-119.687,-7.375,8.864,-10.919,-3.615
47.259,58.049,-33.276,-29.378,-12.592,-15.699,-75.446,24.987,-15.643,12.677,-17.088,-16.448
44.49,88.61,-64.652,-71.799,10.434,-28.369,-43.136,-34.567,-28.154,59.412,-9.485,-12.329
46.461,77.904,-68.391,-24.385,3.386,-37.221,-46.895,-27.03,-14.472,-7.881,-4.107,-6.44
45.096,5.065,-51.185,12.239,7.21,-32.768,-59.629,-23.68,7.31,-5.551,-2.926,5.572
46.605,44.725,-28.569,-5.574,8.116,15.484,-75.109,-14.455,-0.465,-6.001,-5.701,-23.192
41.783,21.911,-64.765,62.386,-31.775,38.514,-69.425,-19.977,-15.255,23.08,-31.427,-21.805
45.106,57.745,-68.265,-30.337,29.25,-6.954,-70.824,69.062,-4.788,25.717,-12.145,-3.373
43.721,36.259,-54.025,-9.32,-12.379,28.381,-70.836,24.699,-7.783,15.252,-24.502,-19.155
46.47,51.692,28.881,-50.216,0.887,45.337,-14.46,-35.85,-5.581,18.795,3.963,-21.199
45.026,54.308,3.666,61.895,-2.82,-23.656,-54.507,15.352,6.437,-26.473,-25.451,-19.932
47.202,19.412,12.938,3.913,63.114,-31.648,22.082,-8.816,1.555,4.067,16.261,-10.662
45.982,64.208,13.858,9.287,9.853,-8.72,-52.749,18.866,-3.408,-17.371,-28.277,-20.347
43.618,14.79,-15.284,-74.814,45.186,17.278,-23.489,114.557,-7.577,1.692,-0.43,18.724
45.302,66.393,-41.602,48.916,38.115,-5.158,-53.383,17.865,-14.063,-12.867,-43.318,7.621
40.464,-6.846,-76.149,79.455,-4.822,-0.14,-52.395,-19.516,-14.007,18.593,9.907,-2.889
45.539,57.706,-35.789,61.057,24.338,-4.596,-73.42,-4.516,-2.362,-5.106,-38.192,-9.543
40.942,127.934,-27.867,-122.209,4.157,51.132,-42.133,-29.333,-11.636,-20.976,-10.214,-31.354
39.645,-4.61,-66.566,41.082,14.504,57.26,-52.085,-18.327,12.594,13.729,0.076,-26.162
45.486,32.706,6.254,-0.228,67.154,-28.327,10.307,-39.092,-13.321,45.664,16.701,32.818
45.684,51.899,19.738,-30.532,-3.68,-46.414,-59.717,-44.419,-18.364,43.333,-16.274,5.345
45.56,8.71,-17.649,-8.733,22.66,-10.267,-40.948,0.866,-7.837,-12.791,-21.474,12.951
44.423,108.339,-64.176,-67.106,8.379,-14.505,-89.29,90.916,25.581,-12.86,4.765,-17.908
46.818,190.505,-26.801,-59.024,-11.271,12.284,-73.606,-38.622,-33.369,58.277,-8.794,-18.318
45.524,101.722,-37.765,19.753,-30.192,-10.816,-76.901,-36.44,-18.944,3.501,-31.005,-16.981
45.387,-1.637,20.228,-13.053,60.572,34.257,1.328,-0.149,4.928,19.619,16.161,-5.184
45.34,52.421,-11.892,8.616,64.225,-48.415,-53.408,89.518,8.426,5.081,2.198,10.05
45.878,49.868,-30.19,-4.0,-8.954,-31.134,-54.472,-37.346,-30.008,70.998,-1.625,8.027
44.696,2.957,-54.735,-36.947,30.4,-47.59,-36.107,-0.016,7.236,4.178,5.653,16.94
44.791,29.361,-52.878,-61.564,29.287,-30.184,-35.248,4.707,-0.166,1.486,-13.771,13.38
44.181,88.765,-48.546,-10.727,-22.312,7.53,-75.357,12.705,-9.44,-25.949,-22.938,-27.371
41.635,79.241,-81.619,-55.668,61.273,13.304,-58.345,105.837,-5.896,9.224,6.943,-7.143
45.296,138.635,-10.971,-88.332,38.564,50.752,-41.495,-71.603,-41.901,45.874,-24.914,-18.214
45.748,107.035,-23.901,-83.453,-28.61,31.736,-44.735,-8.782,-23.76,-14.061,-6.688,-25.408
47.218,91.951,-5.82,-71.662,-9.725,-14.706,-56.091,-24.596,-12.082,9.06,-13.663,-1.545
45.307,6.559,-44.214,-11.216,9.58,-11.149,-55.756,-21.274,-12.491,0.861,-19.475,-4.902
45.864,134.85,-70.951,-100.216,44.267,-25.621,-49.448,-53.124,5.901,-24.63,12.412,-19.212
44.933,71.103,-25.449,29.917,-29.113,-8.924,-78.833,-7.298,-14.716,-12.4,-39.2,-26.429
46.249,25.005,-9.407,42.211,37.626,-8.591,-13.599,-27.499,-28.533,52.509,-34.832,24.918
44.298,60.418,4.244,-114.979,6.321,51.31,-29.084,30.059,10.637,-15.593,-3.813,-3.404
46.185,107.412,-38.004,5.753,5.389,-29.813,-49.591,-86.311,-40.084,33.411,-18.588,-12.142
46.481,27.759,-3.732,-31.333,17.037,6.107,-37.104,-21.352,9.876,-17.185,-10.693,10.531
48.183,28.648,8.197,-32.676,46.943,-6.736,-39.741,12.128,10.448,-1.852,19.96,18.372
48.963,40.39,40.664,-11.616,48.132,-11.174,-58.007,-4.51,-1.134,-7.593,-1.564,9.422
46.756,17.314,3.197,-9.128,32.055,-18.821,-60.318,15.8,7.321,-21.769,-19.834,17.07
41.42,71.577,-26.065,46.234,-35.284,-71.634,-76.524,-31.598,-16.601,-0.477,-10.013,-14.45
45.964,22.359,0.028,-52.108,56.388,15.846,-25.17,34.735,24.546,34.201,50.335,-1.647
48.214,80.919,-2.351,24.438,-8.059,-10.311,-67.001,-16.031,-11.154,-6.203,-13.496,-2.54
45.961,128.755,-8.221,-65.476,47.422,-19.234,0.03,-89.187,-20.571,19.134,-4.337,-12.768
48.272,43.683,31.41,-4.52,38.802,-22.922,-27.399,-21.625,16.94,3.717,-10.688,-5.286
49.23,58.22,53.596,-2.25,13.127,-4.423,-40.514,-3.943,2.474,-6.817,-5.529,-29.379
47.734,24.941,-2.393,-14.514,-3.849,-20.81,-86.145,-16.598,0.337,5.051,-15.488,-26.794
44.955,79.357,-64.615,-62.025,29.962,-30.482,-64.07,71.082,-9.767,-34.91,6.18,-18.876
46.351,9.396,-11.03,17.768,40.749,-27.343,-18.289,-20.002,-11.259,7.173,-19.207,15.846
43.375,-19.621,-2.083,-46.867,14.604,6.966,-10.947,0.362,-1.09,-20.887,-17.061,9.562
43.375,73.147,-30.904,-32.675,24.804,62.193,-44.958,37.163,-5.408,-7.976,-24.027,-21.351
43.209,74.771,-62.183,-55.34,51.568,-2.699,-40.406,1.635,-43.183,66.873,-20.957,0.439
46.862,74.414,-20.027,-47.638,28.143,1.282,-53.385,-20.129,-17.481,54.216,24.584,-13.131
