0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
32.966,148.278,40.836,27.445,119.479,55.705,-43.133,-55.082,18.086,38.74,28.571,-35.427
37.006,145.519,47.434,12.297,126.751,-7.02,-45.868,-32.522,31.604,11.187,-4.218,-44.771
33.258,86.896,61.4,-1.917,71.367,-29.078,-35.554,-47.262,14.841,35.616,-27.711,-31.256
37.393,132.485,41.891,22.484,70.664,-21.612,-38.509,-48.389,8.864,19.134,-14.385,-25.464
37.751,143.665,32.629,25.629,63.142,-20.826,-13.009,-40.043,-1.341,-4.63,-6.772,-23.684
36.055,84.233,73.578,-27.494,49.685,-30.607,-7.746,10.382,6.745,1.103,-26.873,-28.504
36.781,58.897,39.821,-3.754,81.949,-23.227,-21.967,6.387,46.483,-14.931,-23.845,-47.784
36.585,74.11,46.296,-24.426,58.979,-4.896,-8.694,-3.458,34.455,-5.511,-26.312,-43.591
34.871,55.591,44.779,-11.521,22.649,-18.504,-17.936,1.63,39.783,-5.52,-9.29,-32.636
36.505,94.173,33.722,-26.529,41.95,-10.929,3.797,4.556,-2.063,-27.088,-29.715,-29.005
37.105,96.499,13.263,-4.27,66.823,-6.071,7.946,-52.758,28.62,-3.129,-6.676,-33.231
37.012,86.699,2.025,-1.142,72.45,-9.809,8.227,-40.049,28.13,-16.752,-6.55,-44.026
38.284,91.355,8.582,15.64,59.329,-28.671,-16.813,-30.736,33.975,9.461,-20.175,-36.613
34.714,28.237,37.062,-7.063,28.323,-47.568,-4.336,13.972,23.386,25.135,-9.731,-31.634
35.285,67.404,18.124,7.287,14.114,-28.757,-21.119,1.534,27.229,35.066,-26.333,-32.191
36.049,70.805,-5.106,-6.968,61.484,6.58,6.663,-49.119,26.831,-17.04,-26.291,-28.162
36.697,98.027,8.573,-51.637,73.281,16.73,5.494,-6.622,48.241,-41.591,-11.409,-57.912
35.584,43.719,23.64,-9.7,59.053,-46.184,-21.058,13.497,39.661,41.807,-23.306,-36.915
36.631,110.411,8.211,0.96,39.537,-45.025,-22.057,-48.616,12.309,28.208,-30.152,-39.104
37.001,103.629,31.9,-11.036,56.195,-1.189,9.72,2.461,21.392,-20.375,-31.993,-37.994
36.715,125.34,24.602,6.574,58.908,-8.006,28.222,-42.208,3.188,-19.956,-11.092,-14.782
37.811,106.279,34.166,6.602,69.601,-25.433,-19.894,-42.508,35.243,13.363,-20.967,-29.7
37.243,93.612,34.62,24.261,63.619,-27.342,-16.329,-51.374,7.028,17.407,-22.922,-10.814
46.1,144.638,112.796,-13.292,29.966,-13.735,-2.922,-22.397,-7.685,16.531,6.903,15.769
49.299,114.86,87.493,-11.326,22.206,-28.197,-27.73,-6.203,-6.282,3.175,1.823,13.586
50.167,126.293,80.224,3.47,11.786,-10.938,-25.246,1.217,-14.029,-19.066,-18.135,9.984
43.828,145.201,45.518,-9.213,49.456,-33.13,-24.329,17.014,16.293,-10.568,-22.179,-2.56
43.575,149.759,54.335,23.188,33.954,-19.076,-24.562,-13.584,-6.105,12.72,-30.809,-0.403
42.53,102.628,54.656,-7.397,45.788,-13.78,-27.776,-6.785,0.072,-5.781,5.661,3.89
41.246,76.835,38.393,17.32,58.863,-37.569,-57.137,20.666,17.602,-8.398,-15.771,-9.608
38.682,71.822,56.358,-39.028,49.918,7.543,-19.873,-7.857,2.841,1.287,-20.967,5.791
35.449,71.415,59.664,16.749,63.936,-24.235,-37.057,-24.757,5.24,4.396,-10.875,-1.294
35.235,12.344,60.448,-24.488,48.665,-27.135,-29.345,-21.535,5.7,10.012,-6.223,-2.21
38.659,132.085,43.131,-7.254,87.237,-31.594,-37.592,-18.127,20.172,1.805,-9.231,-40.819
37.445,92.424,48.56,-21.014,84.034,-40.971,-53.658,4.864,15.663,26.636,-0.339,-33.63
37.686,51.102,38.54,-37.08,54.949,-36.475,-58.231,21.886,27.579,6.073,1.002,-11.679
38.146,44.262,28.862,-22.761,39.28,-28.461,-32.056,-22.145,0.983,17.212,-5.109,7.864
38.657,133.102,48.638,-16.36,70.267,-29.901,-30.464,8.602,29.192,-21.79,-2.388,-18.169
37.801,86.517,35.494,-49.783,50.104,-2.55,0.361,16.759,16.86,-29.076,-6.352,-6.635
38.592,10.84,14.727,-12.791,46.003,-50.142,-43.065,3.231,7.513,6.905,2.331,-3.87
37.965,119.708,17.267,17.557,77.787,-26.141,-20.873,-40.038,6.722,10.359,-18.501,-30.048
37.747,18.476,35.834,-47.659,60.231,-25.25,-51.088,17.945,16.112,-6.294,-8.659,-4.953
45.682,105.76,70.404,-32.011,20.413,20.713,3.527,-4.404,11.012,-5.707,35.668,-3.267
49.243,113.297,88.929,-18.722,22.274,-26.395,-32.609,-4.739,-7.337,4.157,2.408,11.121
51.246,116.838,39.066,-0.276,-10.732,-16.993,-10.013,-3.097,-16.074,6.53,-9.087,6.371
45.128,48.857,-14.654,-18.562,-21.019,-43.236,-3.698,1.085,13.533,19.57,0.015,2.461
46.551,82.029,-35.744,0.828,-22.399,-33.492,-6.066,-9.811,4.151,4.951,-20.675,-2.458
