0,1,2,3,4,5,6,7,8,9,10,11
0.007,171.017,9.345,-28.618,57.427,-49.992,14.714,5.302,-27.268,0.97,-10.615,-7.031
49.203,35.108,-31.041,55.923,-1.433,-18.197,-16.983,-20.43,-0.079,4.705,-22.296,0.875
46.983,13.338,-56.45,29.021,-23.865,-15.024,-7.722,-35.143,4.086,4.478,-35.177,8.843
48.812,36.094,-17.415,-33.238,-10.068,29.009,6.881,-5.334,15.174,-17.494,-20.396,9.906
45.705,-10.933,-64.67,-1.358,-18.958,30.494,-19.259,-14.49,4.631,-20.992,-30.786,2.346
47.737,36.332,-3.309,-49.211,-8.789,20.796,6.338,0.402,7.829,-17.754,-27.526,6.79
46.257,2.733,-40.489,-10.629,-18.863,9.921,-8.161,0.539,14.457,-23.453,-14.671,5.112
48.96,40.388,-16.363,-21.815,-5.974,-0.89,1.005,-0.641,10.373,-7.829,-29.266,11.386
44.378,-38.179,-81.709,21.109,-33.493,-34.284,-12.289,-36.074,0.781,10.378,-9.319,1.658
48.128,34.763,-30.233,-32.907,-13.764,16.08,9.316,1.274,15.506,-15.028,-30.289,10.075
45.495,0.918,-43.707,0.22,-13.449,18.337,0.747,-21.676,10.306,-16.511,-9.871,3.633
49.027,43.347,-11.17,-23.823,-2.561,0.002,-0.021,9.301,16.545,-7.074,-21.878,9.283
45.217,0.193,-36.78,5.464,-14.286,29.316,-1.802,-9.656,10.712,-18.775,-47.235,5.456
47.546,39.523,-19.799,-52.229,-16.256,17.261,8.117,3.915,8.724,-8.678,-23.096,12.058
45.436,-2.324,-57.22,9.233,-27.179,6.758,-3.953,-17.655,4.251,-19.394,-29.933,5.757
47.912,35.949,-16.192,-42.588,-4.564,15.315,16.445,3.413,17.954,-14.341,-18.019,12.021
44.802,8.857,-55.284,37.64,-13.55,-5.454,-16.971,-21.334,3.632,-20.504,-24.078,6.436
48.172,54.695,4.657,-66.424,-4.139,15.874,21.083,10.834,11.058,-2.782,-1.988,12.137
48.716,46.093,-2.323,-50.278,-4.936,-4.52,3.875,3.721,3.029,3.833,-18.299,19.768
48.833,50.684,-3.572,-75.914,-18.225,2.765,13.842,21.007,13.003,-11.445,4.969,3.449
48.787,20.1,-34.58,25.095,-8.795,-17.457,-10.365,-23.927,1.99,7.497,-34.838,5.824
46.614,6.367,-61.547,19.192,-25.259,-8.558,-14.537,-35.353,2.234,-1.367,-34.253,6.195
48.502,33.545,-28.024,-36.808,-14.455,22.18,7.489,-1.202,13.885,-16.083,-25.62,13.246
44.983,-20.686,-55.202,-28.186,-22.405,32.908,-13.622,-16.215,9.656,-23.642,-40.098,-7.258
46.087,3.857,-23.037,-93.717,-14.771,37.362,6.011,18.61,14.84,-30.909,-7.828,-0.234
45.863,-3.256,-46.392,-15.239,-22.177,12.172,-8.32,2.17,12.09,-19.844,-17.901,0.235
49.019,44.992,-11.738,-24.957,-3.753,-1.328,5.133,-4.184,16.614,-12.279,-32.129,8.282
45.408,-12.577,-58.165,15.311,-17.575,2.709,-15.35,-22.327,17.368,-11.539,-18.694,-2.795
46.716,19.271,-22.529,-64.495,-10.752,39.805,13.33,9.639,16.127,-27.212,-13.969,10.356
46.166,-7.287,-61.906,6.041,-17.409,-0.975,-7.589,-25.153,9.408,-12.352,-9.293,1.977
