0,1,2,3,4,5,6,7,8,9,10,11
0.001,171.106,9.431,-28.514,57.457,-50.072,14.856,5.334,-27.226,0.981,-10.65,-7.22
24.733,49.627,113.366,-322.959,36.7,145.716,50.307,-70.948,-37.463,85.465,-36.002,15.8
45.732,97.688,46.019,44.289,-6.546,19.971,-13.258,33.472,-21.944,-42.263,8.453,12.114
36.1,83.421,9.832,66.061,-17.404,-24.721,4.778,-14.072,-9.223,-16.974,4.01,0.157
38.82,67.43,90.852,-141.595,-11.105,20.708,40.854,-32.354,-21.985,14.39,-14.564,11.709
46.967,32.667,43.369,-9.622,8.691,-5.219,-1.697,-3.599,7.053,-18.788,-8.107,-6.27
46.401,10.617,23.673,15.688,0.622,-23.853,-0.493,-18.809,-8.063,-10.431,-9.922,3.409
46.335,20.412,0.953,31.933,-7.547,-22.75,-16.305,-28.077,-0.848,10.385,-24.093,11.895
41.242,9.975,-11.275,16.143,-4.856,30.27,-26.751,46.906,17.136,-46.218,-27.546,-2.354
44.717,108.268,52.023,38.845,-29.617,40.505,1.097,20.072,-30.757,10.55,-42.227,4.076
39.809,46.162,9.149,70.014,-34.417,-17.632,-5.275,15.764,-11.799,21.098,15.73,-3.916
48.124,68.841,56.144,28.391,7.138,-13.353,11.458,-27.283,1.382,-2.47,-5.508,-16.987
47.41,60.962,36.893,46.017,-27.293,-28.326,-8.324,-14.377,-23.894,8.335,-35.734,3.933
45.293,52.315,42.03,-23.964,-43.092,32.761,32.88,-26.809,-20.658,4.645,-16.294,-7.564
49.213,126.965,91.179,19.053,-19.646,-8.722,9.495,1.575,-5.088,-29.536,14.971,-11.971
49.052,125.776,113.842,4.818,-18.155,-19.235,-11.587,-2.06,-17.761,-1.829,-4.552,-21.995
49.202,133.817,85.511,6.267,1.536,-23.194,-7.255,-19.482,-10.96,-6.07,-11.945,7.743
48.944,160.339,61.311,14.367,-36.649,-11.545,-17.69,-21.14,-19.385,-33.725,-18.03,-6.684
