0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
33.409,47.928,26.793,38.912,22.246,171.162,-2.424,6.53,-11.535,41.127,6.214,4.828
46.489,95.385,107.094,19.355,21.319,37.108,-9.525,-31.418,-31.567,18.982,20.286,19.696
45.328,19.332,50.018,57.355,20.17,-17.46,-13.476,-29.498,-18.806,-4.745,-31.238,27.86
45.682,32.064,48.456,50.181,26.621,12.882,-1.059,-15.764,-1.897,-10.417,-7.7,11.061
44.081,11.693,44.555,1.655,18.269,54.241,5.836,-9.454,-9.848,-32.412,-0.581,31.174
42.144,-29.478,53.031,-69.437,27.43,41.673,-12.43,23.452,11.846,-47.807,-28.737,9.19
44.672,5.609,40.07,6.514,13.066,-29.043,-18.583,-28.017,2.069,3.624,0.412,3.755
45.228,70.56,38.148,52.882,5.756,17.351,-29.633,16.531,1.415,-18.124,-38.794,7.636
39.036,-2.002,30.464,44.312,14.071,54.587,-4.451,-37.889,-12.274,12.656,4.81,8.348
39.451,8.689,-0.424,85.699,10.91,-28.04,-55.065,-18.019,0.996,-13.492,-44.416,22.576
46.892,91.744,105.451,23.385,18.541,18.865,-11.637,-31.573,-30.2,14.064,8.577,20.112
45.39,26.234,65.634,54.858,21.464,-0.479,-26.321,-19.067,-10.481,-18.371,-45.242,12.49
45.47,37.488,52.832,56.576,4.605,-4.939,-22.137,-28.297,-6.629,-7.237,-35.676,-10.829
46.256,55.867,50.859,45.451,14.573,-1.02,-4.053,-39.79,-1.674,-9.88,-12.24,22.423
45.981,42.152,46.489,18.979,34.983,24.282,-7.979,-18.483,18.328,-11.669,0.445,-2.557
44.556,10.788,38.476,5.034,8.539,-22.362,-11.367,-27.236,4.857,-7.046,1.251,4.562
45.414,70.266,39.088,41.491,2.947,17.752,-26.134,15.992,2.469,-18.59,-35.183,6.456
37.176,4.4,46.324,-2.063,11.108,66.592,3.846,-17.436,-4.267,6.642,-28.629,4.498
39.575,43.364,-10.066,88.457,-19.414,-33.124,-52.541,1.209,5.14,-10.868,-25.573,1.831
47.014,93.697,111.735,30.417,19.929,12.337,-14.711,-31.362,-31.056,13.505,9.369,21.249
45.156,18.579,50.09,58.55,20.079,-17.36,-13.221,-29.705,-19.407,-4.633,-31.533,28.334
45.538,31.533,48.4,52.491,25.947,12.05,-1.469,-16.811,-1.647,-9.724,-10.145,12.066
43.987,12.502,43.556,3.304,18.704,54.536,5.488,-9.555,-9.537,-31.87,-0.367,31.615
42.079,-28.941,53.28,-68.888,27.892,43.211,-12.011,22.953,12.254,-48.614,-28.237,8.887
44.575,5.898,40.379,5.97,12.968,-29.544,-17.908,-28.222,2.523,3.386,0.317,4.137
45.302,70.719,39.313,48.13,5.07,15.644,-28.611,16.292,1.425,-16.273,-35.932,7.279
38.223,0.422,45.332,21.795,17.558,68.513,1.828,-38.519,-9.784,6.757,-14.372,6.696
40.811,25.303,19.392,50.428,8.324,-35.02,-44.956,-6.745,6.756,-11.451,-25.904,19.296
44.599,85.793,90.973,-22.344,26.835,61.163,-6.457,-21.163,-4.0,17.921,12.414,-5.866
45.755,30.444,82.001,2.282,23.099,-11.793,-11.579,-7.109,-6.924,-3.941,-5.684,5.763
47.296,108.311,94.725,38.365,11.138,-20.268,-12.046,3.762,-23.27,-19.302,-7.653,8.622
42.651,10.643,-0.535,92.685,-14.422,-20.53,-29.235,-24.112,-11.81,14.697,-43.436,9.114
43.946,24.157,29.216,28.284,27.382,45.661,-27.035,-22.845,4.837,15.895,20.947,-10.666
36.699,-85.585,22.876,106.371,18.548,-32.383,-18.697,-7.608,-30.328,23.405,-0.316,23.352
39.802,43.467,-22.125,107.369,-14.332,-18.743,-48.908,5.663,6.818,-10.873,-42.46,-1.409
47.927,111.021,118.4,9.354,21.132,31.322,-12.368,-21.47,-29.004,17.289,26.753,12.575
51.361,81.613,-0.364,11.033,-5.413,-91.942,-0.43,4.842,-26.062,12.396,-27.021,33.072
53.197,58.648,-38.668,45.314,21.967,-51.502,-28.941,11.517,-7.392,-9.752,-16.999,12.498
48.005,45.097,56.026,8.497,12.373,-11.437,-4.483,-4.631,-16.788,-18.523,7.389,40.71
48.098,36.114,-43.284,0.678,3.087,-79.667,-2.024,-1.456,-24.282,22.684,-16.391,39.819
50.267,73.758,-29.067,5.672,-16.714,-57.162,2.136,-36.489,-6.277,39.243,1.414,-4.472
