0,1,2,3,4,5,6,7,8,9,10,11
10.684,56.88,56.374,-32.593,34.293,-23.88,-16.925,-14.015,-65.173,-3.813,8.69,5.669
13.764,24.739,61.961,-20.042,59.461,-35.493,-18.127,-10.011,-25.871,1.163,-0.085,-1.372
15.96,23.405,68.01,-8.789,52.023,-26.209,-19.2,-12.136,-4.188,-4.154,1.848,-6.154
16.765,34.792,60.841,-4.388,25.407,-29.54,-13.767,-3.536,-7.814,-5.045,-0.371,-12.837
17.91,32.746,75.711,-19.053,33.675,-33.688,-8.391,-1.012,-4.24,0.048,5.488,-2.285
19.459,33.046,54.916,6.069,40.74,-28.926,-19.339,-8.698,8.488,9.913,-19.301,-22.184
19.484,0.862,80.151,-33.657,32.425,-24.713,6.604,6.823,-4.535,0.695,1.899,-19.624
21.03,30.688,82.091,-4.012,22.617,-17.409,4.923,9.476,-0.977,-12.72,0.211,-5.768
22.042,15.201,68.229,-10.857,20.753,-23.606,10.435,-5.049,-10.725,-3.894,-3.999,-3.016
23.4,-3.249,59.067,-3.851,26.68,-39.549,29.104,-10.482,4.422,7.113,-4.504,-17.279
24.931,-0.015,69.759,2.532,22.816,-20.822,30.633,4.781,17.911,-11.95,-12.469,-11.201
23.907,-7.954,67.677,4.865,14.084,-34.795,0.488,-12.987,-6.724,1.244,-5.381,-15.718
24.31,-26.089,72.737,-1.472,11.268,-23.95,4.421,-4.846,-11.65,-6.138,-9.728,-13.951
24.918,-18.01,57.081,-18.325,25.266,-31.391,12.284,-3.133,11.547,-7.851,-0.772,-1.502
24.978,-14.271,46.582,24.226,25.408,-42.543,0.37,-7.531,1.064,1.625,-11.427,-4.49
24.192,8.967,69.622,-16.345,21.329,-20.08,-19.049,8.335,-7.07,-21.054,8.449,-1.371
23.728,39.523,72.752,-15.685,57.144,-28.495,-23.791,-8.276,-44.871,-19.98,9.289,15.898
24.712,29.882,81.716,0.15,19.409,-18.774,-25.226,-0.131,-35.849,-12.85,-3.649,29.352
25.568,31.043,74.776,-2.243,33.948,-24.618,-11.384,-23.181,-17.942,-20.321,-2.746,2.506
25.225,-13.307,88.603,14.776,19.859,-33.587,9.224,11.439,-28.013,-17.643,-2.6,2.79
24.877,-14.988,62.785,-8.237,31.994,-33.439,16.528,-2.294,14.022,5.481,-4.894,-13.61
25.475,-14.858,62.534,-6.017,31.633,-34.171,28.183,-6.545,19.885,2.136,2.542,-7.023
24.063,-15.091,64.636,-16.043,41.082,-33.029,11.429,1.962,22.901,2.53,-9.059,-14.562
24.791,-18.495,67.792,1.571,32.628,-37.704,8.038,-0.397,-2.002,1.863,-8.821,-18.442
25.175,6.28,72.787,-1.425,33.076,-23.22,6.078,5.004,4.176,-9.822,-15.039,-7.594
24.605,-12.809,72.651,4.43,54.585,-33.409,-1.016,-7.315,6.223,-1.878,-11.748,-10.468
25.983,-8.904,98.075,7.609,24.89,-15.31,7.425,-0.963,-17.915,-14.82,-8.771,-26.761
25.455,35.463,98.071,9.16,30.484,-19.574,-5.95,-4.274,-12.449,-22.084,1.398,-22.325
26.423,47.519,94.113,24.848,34.202,-19.176,-18.066,-30.838,-21.183,-9.639,-8.124,-4.189
27.694,38.499,74.059,-12.588,28.787,-4.697,-3.836,-4.024,-17.374,-22.037,-0.961,22.265
26.795,14.006,72.847,-10.28,43.126,-30.973,-21.545,-3.336,-0.212,-9.696,3.149,-2.074
27.073,14.138,68.555,-25.15,-7.99,-25.518,-21.906,0.223,-10.726,-2.743,0.507,-28.863
28.34,17.513,66.455,2.231,17.412,-18.101,-7.248,3.398,2.605,-14.181,-2.154,-16.572
27.985,2.256,66.766,-2.327,22.036,-12.958,-3.588,-11.723,13.831,-2.227,-6.447,-7.298
28.034,9.741,87.911,-2.88,21.394,-22.694,13.422,5.407,-4.375,-11.544,-2.403,-7.36
28.306,19.318,66.717,13.768,12.099,-30.142,5.097,-3.99,2.542,-2.857,-18.581,-20.157
27.285,11.613,102.53,-1.722,41.452,-32.729,4.023,-3.857,-15.624,-5.954,2.752,-7.421
28.117,28.353,102.99,4.048,42.881,-25.191,-11.617,-8.162,-20.423,-15.741,-4.797,-3.819
27.35,-4.799,75.501,-16.976,59.557,-32.077,2.37,-3.735,-16.093,-10.643,-4.5,0.151
28.149,-1.63,65.993,1.745,21.749,-23.437,-2.513,10.945,-1.947,-11.719,-4.463,13.34
33.11,4.042,14.057,0.735,32.238,43.002,22.679,-46.886,-26.145,-23.106,-21.811,11.493
40.09,70.722,-22.14,-32.666,16.834,22.882,8.329,-19.735,-16.378,-8.846,-5.276,12.422
39.451,47.065,-48.059,-37.068,13.125,-30.212,0.217,-6.173,-22.538,1.024,-7.878,12.714
40.599,74.218,-36.046,-33.798,12.24,-23.832,12.535,-23.956,-11.881,-1.966,-11.886,1.558
40.583,51.18,-36.162,-21.464,7.515,-7.939,2.955,-29.841,-19.973,-11.912,-15.37,4.586
36.986,25.845,-62.147,-38.198,9.423,-28.853,-21.782,-9.148,-2.527,-9.016,-6.666,1.624
38.133,49.745,-33.894,-56.945,9.764,-12.081,7.447,-1.057,-16.097,-28.261,-4.433,-1.573
40.144,76.5,-51.494,5.557,4.166,-4.04,-7.978,-31.27,-32.851,-9.591,-16.423,15.967
36.708,47.687,-43.198,-41.904,17.948,-28.739,2.65,1.025,-25.462,-12.279,-8.44,4.889
38.921,94.091,-25.455,-69.227,10.471,-8.994,13.638,-0.728,-8.197,-15.015,-2.411,-0.326
42.046,75.803,-37.787,-36.018,7.644,-6.736,12.738,-5.741,-22.393,-12.791,-17.747,11.803
41.443,90.277,-33.443,-33.335,7.097,-36.595,4.965,4.778,-9.615,-8.579,3.329,10.751
40.962,77.721,-31.62,31.153,0.317,-6.652,4.307,-24.355,-33.821,-2.346,-12.9,34.668
40.886,65.839,-39.109,-32.018,9.481,22.785,15.166,-18.964,-22.795,-9.446,-3.631,1.432
40.127,47.732,-38.795,-37.902,4.451,-16.055,-5.171,-10.651,-27.567,-8.44,13.011,11.334
41.603,81.072,-37.624,-37.196,18.544,-19.137,-9.094,-3.549,-7.892,-0.17,-7.399,25.206
40.802,93.265,-41.215,2.357,25.475,-20.033,1.154,-23.173,-30.125,-9.81,-25.409,10.987
37.329,67.289,-19.222,-36.631,28.933,-36.668,-19.923,0.966,-28.615,-1.041,2.998,11.499
39.211,92.913,-24.532,-43.7,16.688,-20.524,-13.386,-13.422,-20.271,2.538,-9.22,4.904
41.841,79.56,-42.816,-5.101,13.156,-10.272,-9.522,-18.089,-24.267,11.068,-19.12,0.63
38.526,80.991,-60.095,-33.997,10.573,-42.92,-3.718,7.828,-20.658,-9.045,-6.061,22.072
