0,1,2,3,4,5,6,7,8,9,10,11
0.008,170.923,9.319,-28.735,57.419,-50.076,14.735,5.079,-27.327,0.905,-10.572,-7.001
32.745,94.686,-18.601,-160.313,47.088,266.359,46.97,29.87,-21.66,43.098,0.523,7.458
51.042,102.59,-56.247,0.233,-9.719,-38.816,-9.628,-1.477,-3.2,-3.018,7.644,14.039
50.502,80.971,-52.415,1.639,-8.042,-45.272,2.492,-7.474,-18.944,-3.543,10.378,24.818
45.383,63.29,-94.004,75.558,32.708,-109.735,-25.638,20.215,-41.16,-18.665,-34.78,3.957
47.631,89.144,-24.543,-13.189,0.508,-8.189,23.557,-18.335,-69.554,23.775,4.591,35.953
48.89,59.621,-54.845,8.5,-16.774,-62.694,1.309,8.562,-37.904,-17.096,0.924,21.135
47.712,53.507,-66.016,3.043,5.992,-74.96,4.834,6.471,-24.999,-10.915,-6.464,14.103
46.314,34.005,-34.028,-61.961,4.676,7.614,20.92,9.628,-26.781,-6.657,-15.332,21.093
50.345,97.081,-42.083,2.313,20.4,-74.242,-23.375,11.447,-24.135,-6.355,-5.146,16.691
46.39,55.465,-89.699,21.74,1.775,-57.186,1.597,23.76,-22.989,-9.609,-29.072,30.841
48.92,81.573,-29.819,-11.466,-14.548,-41.418,1.023,17.484,-31.915,-20.092,-3.598,9.172
49.57,69.673,-52.152,6.819,-26.759,-47.686,-5.582,9.263,-28.482,-8.261,-25.541,12.797
50.401,83.586,-42.183,28.846,20.128,-15.678,-13.91,1.5,-26.781,3.846,12.44,-2.747
47.674,84.643,-69.824,54.058,-14.911,-11.894,8.035,29.707,-41.221,-7.451,-30.474,9.586
49.006,106.6,-71.469,6.478,-8.333,23.083,7.407,29.31,-38.624,-0.273,34.138,2.244
49.359,95.151,-68.507,17.595,-19.82,-10.924,0.58,-1.171,-37.405,-8.884,-12.642,13.142
51.08,109.11,-20.461,2.734,-2.577,-65.381,-32.661,18.658,-27.994,1.428,11.782,-5.863
48.159,98.678,-31.682,18.592,-23.304,-7.271,-4.147,13.546,-41.589,-1.426,-37.621,30.809
49.939,90.433,-53.183,-23.465,-4.784,-31.216,12.301,17.938,-28.087,-20.713,4.881,13.735
50.386,90.446,-60.427,-4.699,-13.278,-62.686,3.401,2.852,-36.404,-13.966,-6.619,31.77
