0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
18.454,-186.777,-160.441,-107.991,58.877,6.571,33.278,5.594,-29.547,84.487,24.334,-4.867
19.519,-206.015,-163.482,-105.813,51.115,-67.594,28.307,2.171,-3.992,2.523,-4.538,-5.544
22.295,-225.472,-136.021,-57.932,39.164,-67.48,22.252,21.599,-23.321,-7.651,-9.768,-1.381
20.927,-226.32,-167.001,-94.762,47.987,-61.797,27.809,13.872,-9.403,3.161,-5.181,-7.405
22.638,-227.617,-122.659,-93.627,39.884,-45.306,33.957,7.508,-22.728,-2.914,-21.813,-4.313
23.06,-234.96,-136.657,-60.761,35.832,-65.96,16.336,25.447,-24.703,-3.134,-6.192,-8.599
22.945,-238.443,-120.696,-107.75,47.021,-47.971,37.868,-7.617,-24.182,2.562,-8.692,-5.733
24.748,-245.307,-117.331,-43.631,32.736,-55.368,19.087,33.522,-24.029,-13.288,-0.18,-5.298
27.61,-260.751,-100.013,-46.965,37.996,-58.874,-6.24,3.258,-10.998,6.384,-16.58,1.156
25.31,-261.038,-125.357,-72.905,45.41,-33.85,10.126,19.018,-16.774,-6.916,-32.598,-4.639
24.445,-237.295,-111.267,-57.205,23.776,-61.422,32.44,19.858,-28.982,-10.676,-4.524,-3.276
23.925,-210.431,-110.063,-57.049,-4.091,-64.301,30.63,3.765,-34.839,-8.535,-17.212,-8.706
26.824,-226.363,-105.189,18.057,7.624,-36.414,28.369,36.24,-19.982,-2.889,-7.651,10.365
25.118,-239.272,-103.476,-55.124,20.505,-62.06,33.07,12.767,-29.847,-7.217,-4.397,-0.08
24.825,-216.745,-105.857,-45.061,1.356,-43.068,34.029,18.056,-23.668,-12.904,-7.156,-7.663
28.433,-236.364,-90.973,8.857,2.412,-58.17,26.314,17.375,-16.229,-10.713,-7.08,10.287
25.661,-242.318,-112.633,-53.872,3.287,-72.327,40.037,18.701,-24.7,-14.802,-7.307,-4.13
27.229,-208.506,-86.435,-27.379,-24.006,-56.331,33.464,8.127,-23.362,-1.93,-6.985,-1.854
30.285,-240.03,-69.263,-29.807,-9.935,-48.451,29.953,-1.453,-15.668,-2.171,13.231,3.762
29.276,-205.346,-86.155,-23.337,-25.238,-29.265,32.237,13.055,-1.045,-25.804,-2.07,1.128
30.27,-242.331,-83.872,-25.095,4.338,-48.884,-3.188,1.213,-12.648,16.23,-0.545,-4.114
31.955,-240.666,-74.924,-22.934,20.336,-68.009,-12.397,-28.264,0.467,14.045,-13.476,6.766
42.289,20.963,-122.946,50.314,-1.924,-72.612,-32.808,-21.537,4.491,-1.773,-17.208,16.391
37.052,6.588,-110.031,-18.742,6.266,-54.897,5.721,-19.251,8.111,17.513,-0.422,17.047
37.488,-55.711,-73.682,-23.267,23.705,-65.516,25.41,27.352,-7.151,-2.968,0.376,28.244
36.673,12.396,-121.389,-34.274,3.212,-73.448,-4.122,-6.625,4.711,19.375,-12.598,16.898
36.707,-29.021,-108.726,-65.973,28.975,-61.883,-6.2,10.397,7.652,11.696,-1.453,20.296
37.799,17.922,-102.265,-37.046,3.442,-59.645,6.857,-9.134,0.522,16.313,-3.921,10.877
39.943,-25.304,-81.76,-37.316,24.484,-59.782,11.091,25.037,-2.576,4.542,-1.947,26.28
41.129,-5.219,-111.803,-39.658,14.525,-82.003,-35.833,-1.269,2.864,3.482,-10.814,12.266
39.744,14.159,-118.28,-23.662,6.214,-53.933,-16.536,12.219,5.393,11.852,-2.695,12.52
39.114,19.27,-101.901,-45.097,9.371,-64.895,-4.602,-12.651,4.53,11.158,-9.351,10.05
40.584,33.414,-84.07,-28.508,4.86,-74.603,-2.325,0.044,-7.304,5.957,-10.23,12.78
39.679,13.143,-92.976,-38.461,16.152,-75.992,-10.744,-7.352,6.992,0.986,-15.612,3.229
41.831,-6.263,-89.177,-28.191,27.567,-37.944,-5.104,2.372,-2.67,10.964,5.28,15.873
42.647,-5.903,-84.339,-36.779,33.094,-45.347,-10.329,6.179,-1.384,4.304,17.245,14.826
41.902,8.443,-68.397,-5.712,8.739,-72.321,6.908,19.422,-8.155,9.707,-18.876,12.773
42.158,5.057,-77.715,-29.46,14.981,-60.327,0.815,-8.28,-5.899,9.511,1.552,8.548
44.318,-13.442,-74.44,-35.53,28.343,-65.846,-33.589,-11.788,-5.941,9.831,-4.634,14.965
44.055,20.067,-80.262,-19.745,15.625,-84.64,-22.674,-10.932,3.308,6.263,-12.42,14.911
43.036,-5.721,-84.903,-37.91,19.774,-70.235,-24.533,-1.2,-3.249,3.35,-12.907,19.485
43.905,-6.587,-83.71,-38.222,34.34,-26.994,-16.157,-11.727,1.545,2.273,15.831,11.14
43.575,-13.145,-84.195,-32.586,29.61,-70.472,-38.942,-21.751,-8.46,11.103,-18.143,16.36
43.704,33.63,-80.658,-17.634,7.211,-64.312,-7.39,-9.316,4.147,9.208,8.897,3.15
42.792,32.326,-81.646,-28.553,0.852,-84.916,-9.365,-3.002,0.3,10.273,-16.886,9.963
44.189,18.952,-71.384,-28.296,22.154,-61.626,-7.844,-19.016,3.748,14.493,-11.29,21.166
44.145,20.319,-83.513,-28.422,23.126,-83.666,-26.275,-8.47,6.974,18.682,-3.683,5.91
44.012,31.473,-68.488,-13.419,8.012,-83.671,-13.79,-2.604,2.764,9.984,-17.642,4.516
43.847,23.274,-69.653,-20.214,16.057,-37.5,1.614,-4.503,1.678,11.532,12.094,13.471
45.209,17.613,-51.804,-13.712,26.403,-46.401,17.598,1.195,-9.018,13.811,11.435,27.72
44.914,20.052,-65.857,-23.334,11.445,-73.713,-19.46,-6.882,-4.423,8.317,-6.943,26.96
44.916,38.381,-69.394,-0.21,6.395,-56.215,-2.979,0.363,-5.01,8.659,18.593,14.048
44.563,31.784,-59.64,-18.987,2.294,-76.425,-2.655,-0.664,-3.014,17.801,-7.34,12.445
45.1,29.948,-54.325,-14.171,11.701,-86.617,-7.879,6.096,-6.406,6.851,-15.494,19.366
46.052,29.187,-71.93,-22.311,21.41,-38.135,-10.693,-15.161,-7.767,16.306,22.519,11.169
46.918,44.172,-51.922,-11.625,1.864,-63.33,0.799,-0.808,-4.103,9.023,2.05,8.436
46.685,32.959,-43.064,-35.533,6.195,-72.288,-9.798,-2.918,-3.089,11.12,-5.852,8.394
47.531,20.629,-43.764,-9.959,21.514,-71.963,-5.225,13.377,-0.733,5.915,-8.133,26.891
46.518,47.889,-56.452,-6.77,11.147,-83.249,-21.816,8.578,-2.782,4.309,-11.848,20.904
48.252,38.374,-45.945,-21.14,19.027,-63.458,-3.819,-4.718,-9.382,17.473,4.699,18.182
48.493,32.649,-42.798,-27.752,7.051,-72.311,-20.725,3.386,-15.078,-0.197,-12.349,22.578
48.649,33.127,-46.401,-12.039,15.893,-45.178,3.245,4.918,-3.122,15.152,5.796,13.257
48.78,42.247,-44.563,-21.026,16.878,-30.631,2.291,-2.952,3.735,5.939,20.389,-2.872
49.25,45.907,-42.742,-11.428,3.31,-89.513,-0.925,3.026,-7.28,7.206,-16.187,5.063
49.61,28.958,-35.971,-17.534,30.773,-43.855,7.966,-2.83,7.803,11.791,16.07,4.697
50.241,25.256,-37.6,-19.899,22.574,-39.415,-8.027,-1.838,-1.023,10.711,13.7,-5.482
40.697,33.326,-133.86,236.114,23.381,-56.357,-77.728,66.586,18.793,-29.875,-117.93,32.765
52.701,87.836,-19.439,-35.821,5.97,47.571,16.571,27.109,9.241,-14.613,60.659,-15.129
54.24,83.827,-34.981,-19.504,-10.883,-68.143,-16.069,-1.785,-6.717,0.366,-17.126,14.273
53.675,81.395,-25.107,-18.972,-12.779,-65.071,-23.187,-4.916,-9.634,2.875,-10.674,9.03
51.474,78.123,-40.083,-3.418,-44.567,-73.863,-24.553,-8.058,-1.293,23.964,5.495,2.127
53.628,82.058,-21.279,-10.289,-15.025,-17.025,-1.295,3.168,2.116,5.411,19.326,-4.384
53.472,83.357,-12.935,-47.555,-12.081,-11.21,1.641,2.808,1.262,-5.52,-11.581,-2.815
52.797,89.187,-21.212,-2.749,-29.309,-48.022,-4.617,-11.632,-3.59,8.591,11.952,-2.397
53.019,82.876,-40.584,-28.775,-20.067,-69.354,-40.662,4.499,-12.024,3.066,-9.974,5.487
52.466,83.941,-22.153,-10.197,-31.697,-59.976,-3.897,-2.841,-3.732,13.472,-10.735,-0.815
51.963,72.593,-2.525,-25.432,-28.337,-25.703,16.061,5.589,-2.032,1.564,-15.676,11.355
53.996,78.159,-27.855,-6.308,-19.974,-62.033,-19.012,1.244,-10.745,8.558,-12.622,8.948
52.361,67.318,-18.412,-27.036,-31.367,-21.655,-18.353,-1.512,5.505,1.885,-29.278,-7.471
53.164,75.611,-20.465,-19.03,-20.683,-12.75,-6.356,-1.137,-2.404,0.445,7.165,0.607
54.076,87.076,-18.664,-15.044,-17.989,-59.84,-20.88,3.605,-14.57,1.66,4.107,8.025
53.328,89.994,-12.752,-30.248,-26.651,-57.364,-15.225,-3.557,-5.861,6.857,-11.876,9.429
