0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
50.93,98.412,-13.435,-40.184,-35.558,44.973,28.301,9.882,-11.444,8.091,52.731,-12.646
54.681,88.537,-22.954,-3.356,-18.325,-34.236,-4.199,14.96,-24.1,3.95,-0.305,13.216
51.592,98.113,-12.938,-14.236,-43.191,-61.538,12.095,12.726,-5.697,8.76,-7.986,10.871
54.262,90.458,-8.746,7.158,-30.96,-61.457,-2.503,8.501,-17.409,-8.555,-13.208,13.602
49.875,119.383,-2.668,32.44,-18.241,-38.303,1.267,9.679,-0.628,-10.28,10.154,4.144
46.346,149.648,66.667,-4.478,2.242,-42.667,-1.604,-0.296,-8.425,-2.747,2.472,8.181
49.886,122.396,36.056,-55.678,-23.556,-11.137,23.262,-1.276,-16.918,19.115,-19.743,4.834
52.683,76.17,-29.883,-25.325,-28.251,-40.497,7.446,-9.305,-21.174,19.527,2.747,10.334
52.237,86.893,-12.565,-43.725,-27.59,-13.741,20.251,18.373,-9.985,-10.305,-3.046,0.467
52.435,93.65,-19.813,-22.915,-32.137,-42.707,22.716,1.184,-15.46,7.182,9.568,10.077
54.403,77.878,-9.98,12.809,-22.721,-42.135,3.463,18.586,-17.091,6.772,10.405,13.267
52.041,111.346,-7.417,-28.586,-27.872,-20.647,23.302,5.74,-12.301,12.358,5.072,0.721
54.136,90.259,-14.07,4.998,-19.5,-68.894,-0.985,9.378,-12.94,-8.962,-9.441,5.685
51.888,100.849,-4.496,-16.639,-34.58,-22.121,26.346,-3.509,-7.32,-4.372,-7.968,6.35
53.997,88.417,-8.132,4.249,-18.575,-64.799,4.344,10.25,-9.64,-10.557,-11.222,16.246
51.981,94.571,-14.771,-1.859,-40.631,-45.092,18.332,2.078,-15.915,11.824,4.186,9.351
52.161,60.534,-25.881,-25.27,-33.98,-14.078,13.698,-7.673,-18.087,23.372,2.459,10.876
52.432,55.471,-41.604,-32.026,-48.525,-58.179,-7.744,4.572,-17.72,12.46,-15.357,17.514
52.349,71.523,-20.709,-53.272,-38.427,-25.848,11.962,13.851,-0.255,-9.914,-4.627,3.34
53.837,81.815,-33.267,1.633,-25.371,-53.416,-10.61,7.006,-20.942,-4.572,-5.536,5.7
