0,1,2,3,4,5,6,7,8,9,10,11
26.856,47.825,171.254,-136.185,103.494,232.838,83.68,-1.592,-40.988,84.634,-11.547,-31.313
37.893,43.146,142.943,49.935,74.337,-62.636,7.433,-4.04,14.494,-0.412,-10.691,-27.789
43.384,22.955,76.617,77.897,44.008,-37.744,-15.134,-0.149,-8.121,17.11,-14.997,11.162
34.877,-13.917,77.26,18.025,22.864,-25.834,13.96,-10.893,0.937,4.572,-9.9,15.817
36.824,-32.689,78.678,99.562,54.083,-49.569,-14.85,-6.832,-4.691,-6.594,-15.92,-6.992
39.292,-44.116,68.299,94.176,43.816,-17.958,-34.064,-6.857,-19.657,-2.543,-7.997,-9.535
31.947,-71.638,83.506,22.257,15.093,-10.159,-7.464,4.584,-26.021,-27.59,-15.701,-3.83
34.054,-49.707,80.103,69.592,30.426,-30.477,-25.416,-15.549,-29.661,-7.557,-8.821,9.278
30.225,-67.646,98.963,-21.656,34.009,-15.421,-19.516,2.995,-17.948,-26.296,18.077,3.108
38.057,-22.243,57.565,67.192,28.713,18.23,-4.184,-21.116,-20.102,4.091,13.768,9.969
34.756,-82.838,41.434,89.972,29.583,-48.362,-22.35,8.096,-9.693,-22.932,-29.126,1.583
23.786,-117.557,27.771,-20.252,10.125,-37.176,13.357,4.971,-34.986,-13.312,6.119,13.026
23.571,-97.177,48.948,7.691,15.862,-33.003,8.238,-0.481,-35.725,-13.634,-4.983,1.711
22.186,-106.266,38.751,-9.163,24.504,-33.526,29.388,15.695,-25.981,-14.236,-8.478,-9.803
39.229,-9.368,60.435,141.429,43.064,-40.58,-17.888,-9.774,-21.283,2.114,-22.356,13.813
38.193,-35.108,43.69,76.19,39.265,-11.55,-32.385,-9.966,-2.989,-1.526,-4.518,4.249
41.452,42.785,104.351,64.085,32.41,-21.301,-27.4,-27.852,-40.651,-15.561,3.617,10.452
36.901,1.402,111.544,1.112,72.161,-26.189,-18.958,-5.441,-15.973,-25.114,7.903,21.422
34.696,-74.598,37.447,101.976,33.76,-20.556,-12.126,-8.269,-22.322,-28.334,-26.082,33.957
33.272,-88.729,117.276,30.248,64.934,7.566,9.708,11.552,-17.164,-6.766,33.127,-0.941
34.955,-22.743,119.469,24.296,69.207,-56.868,-6.369,-9.463,2.953,-3.359,-1.211,-1.943
43.447,19.057,71.377,107.921,53.686,-19.39,-14.048,-33.325,-15.31,12.584,0.787,14.257
38.683,-47.609,48.742,72.831,44.36,-56.766,-3.485,-7.188,-18.209,-6.162,-22.088,7.2
36.397,-59.244,74.882,-22.446,27.439,21.067,3.585,16.005,-14.543,-21.359,-36.55,3.52
33.104,-58.487,64.87,45.922,2.759,-45.616,-4.19,-13.077,-27.599,-8.135,-13.293,8.142
41.652,12.603,72.574,34.346,38.234,7.811,-3.301,-6.495,-15.376,-6.485,21.555,14.57
41.317,-20.404,79.869,65.823,40.728,-48.615,-21.767,3.985,-13.307,-11.278,-0.94,-4.058
43.252,46.52,70.628,94.884,61.376,-44.942,-40.67,-12.2,0.315,2.845,-18.333,-4.085
36.597,-58.9,78.07,4.129,26.576,-1.637,-13.477,-17.011,-29.988,-8.024,-26.466,24.917
40.084,-38.329,35.989,53.283,31.542,40.784,11.705,-7.786,-10.194,-16.747,14.091,27.602
42.82,-0.802,71.681,47.152,21.424,-14.525,7.844,-13.255,-17.052,-1.376,14.565,28.635
39.925,-8.594,85.099,4.854,11.574,-27.369,5.067,12.694,-6.832,-17.021,1.172,20.638
39.808,-15.739,67.751,64.882,29.991,-39.874,1.625,-16.368,-10.211,-4.531,-17.318,11.868
30.109,-94.634,23.708,67.824,1.316,-13.832,1.67,9.876,-27.106,-14.677,-33.622,16.821
30.183,12.667,23.16,-215.225,12.538,-5.309,-7.448,38.9,-4.703,-15.126,43.529,-22.06
48.126,79.985,-11.902,-87.453,-3.476,-16.406,-40.842,-61.356,-7.788,20.579,-5.965,-17.893
47.836,24.966,-37.444,6.505,1.369,2.205,-62.949,-39.069,-2.019,-29.259,-44.773,-16.5
49.628,-25.037,19.051,36.185,43.051,-3.32,-29.376,8.497,-24.316,-16.127,-43.131,10.258
40.801,38.469,2.399,-45.024,33.551,19.415,15.711,29.776,24.293,-57.31,-27.382,13.311
37.779,-26.642,12.542,-20.987,26.337,-30.782,19.857,6.406,4.473,-7.408,0.325,11.629
50.923,0.671,32.178,11.921,26.614,30.233,-14.959,-3.544,-11.332,16.482,5.797,-26.356
46.134,-15.951,-3.859,-65.364,26.402,36.694,-1.843,1.685,-12.558,-24.096,-3.839,8.701
46.481,-71.012,10.821,-9.132,50.589,-14.222,2.22,10.449,-14.903,-11.937,-20.627,18.576
43.302,-21.845,-28.089,5.826,43.906,26.897,-8.12,24.311,-22.185,-8.27,-46.399,9.746
34.783,39.358,14.391,-12.208,29.972,-36.515,8.808,-6.62,-26.246,-20.329,3.177,-9.999
40.601,41.07,30.89,112.565,10.916,-71.272,-48.734,-19.754,3.821,12.479,-15.25,3.41
