0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
15.167,190.064,106.984,-122.678,64.934,67.334,9.161,-6.895,-28.508,15.222,11.543,-21.177
33.278,87.935,54.359,-219.667,109.98,68.017,-1.34,-103.626,7.261,46.367,-37.919,5.808
44.197,49.656,178.691,-50.869,108.357,26.201,12.222,-18.852,-16.043,-12.013,8.387,-8.281
48.556,28.408,43.279,68.251,65.727,-3.722,-29.352,-75.617,-21.69,19.464,-5.074,-7.528
46.125,-48.639,78.016,-82.357,45.22,-27.387,6.019,16.158,-26.794,-4.719,8.296,8.768
44.891,-63.44,66.948,-25.765,75.229,-13.35,-9.384,3.675,-17.907,-17.591,-0.925,-3.692
45.089,31.392,85.179,40.616,106.749,-16.063,-34.136,83.82,3.19,-14.766,-21.372,-24.2
47.916,129.45,20.86,28.673,55.127,-44.956,-61.252,-37.339,-12.473,16.709,2.647,-13.622
43.702,50.275,21.861,64.456,85.423,-27.989,-64.971,49.354,10.759,3.31,-32.642,-22.467
41.108,-33.469,18.809,-77.186,72.989,49.396,-5.891,73.009,9.515,36.321,42.955,-16.16
47.676,97.386,193.643,27.287,107.317,11.563,43.601,-14.434,-47.892,10.343,-15.542,6.282
48.189,25.02,42.258,79.008,63.429,-42.061,-47.077,-57.824,-29.487,43.101,-43.011,-0.085
42.794,-29.42,28.496,-44.489,66.904,-9.247,-21.269,85.83,-5.025,-10.854,-20.399,-4.902
45.851,85.907,44.689,-17.251,122.009,-7.568,-14.003,-88.44,-3.632,77.77,-8.996,-7.044
46.583,-22.898,107.228,30.107,93.618,-56.399,-1.606,5.039,-29.884,-3.023,-11.855,8.514
44.717,78.174,31.777,71.821,123.35,-48.105,-60.048,75.307,17.832,-9.794,0.395,-12.393
48.042,93.007,7.941,42.025,80.211,-47.004,-65.62,-58.501,-4.639,33.092,-40.694,-1.023
37.016,182.884,33.117,24.843,111.649,-38.073,-26.983,51.195,-1.487,-35.667,-17.193,-15.835
45.788,34.324,13.579,-11.339,68.427,-11.361,26.876,25.882,-15.673,26.419,-4.99,-10.278
45.333,117.045,105.776,-65.754,119.895,4.618,-12.291,-102.888,-16.555,28.426,-26.262,9.546
50.77,65.699,85.245,61.105,74.966,-52.661,-22.032,-11.548,-28.523,24.235,-19.023,2.302
46.464,21.823,-8.071,13.942,94.865,-38.542,22.938,32.592,-14.197,5.976,-41.6,-23.445
44.949,68.839,130.229,52.171,132.955,36.119,14.35,-10.883,-15.131,3.891,-12.28,9.889
