0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.12,9.466,-28.492,57.493,-50.068,14.822,5.342,-27.234,0.968,-10.633,-7.218
38.24,79.238,-14.008,-16.393,34.781,183.105,42.23,-43.36,-29.638,60.7,58.467,-4.233
37.864,-52.998,-26.59,-49.714,17.451,-26.811,4.582,23.075,-16.314,6.208,-6.032,-2.501
44.391,8.868,-29.114,-36.772,12.087,25.371,-36.062,26.018,3.239,-25.799,-31.556,-10.04
44.719,25.018,-48.768,-13.972,22.624,16.506,-49.421,-25.37,23.314,-0.351,-19.337,-10.675
40.691,-40.287,-68.902,78.6,25.463,-21.947,-31.254,-23.894,4.77,2.167,-42.241,-5.504
43.517,9.755,-1.373,-39.219,50.188,36.826,8.635,28.891,-1.567,50.368,-6.803,-11.034
41.594,22.074,-19.15,-68.127,31.815,7.506,-3.557,-16.772,-18.047,36.842,-21.409,2.671
39.66,-20.226,31.938,-169.256,13.583,-17.792,7.678,-0.592,-8.341,19.622,6.411,-13.91
44.21,-19.118,14.554,26.197,33.688,-11.104,-9.729,23.958,34.246,-5.441,-57.206,-5.839
38.443,-0.926,-29.29,-74.492,-13.094,7.908,-33.738,-35.403,-9.548,-10.994,-20.582,-16.649
40.098,19.813,-27.343,-64.998,3.593,-29.177,-35.653,30.139,-14.619,-31.606,-2.442,-21.419
41.56,95.148,-41.694,24.537,-16.52,-23.721,-3.699,-58.001,-30.942,0.647,-15.163,-22.315
40.724,16.659,-21.485,-55.96,-31.058,1.022,-0.645,-34.816,-1.522,5.766,-36.96,2.813
40.671,3.046,-39.873,-64.487,-8.073,-18.131,10.488,10.919,-1.025,-30.457,-7.425,1.751
41.235,40.351,-91.098,-58.435,40.501,-24.232,2.165,20.08,3.542,-44.839,3.87,-23.778
48.346,12.133,28.444,-26.649,39.201,33.578,57.026,13.363,10.546,-5.514,6.921,-13.032
47.386,36.434,-17.609,49.732,12.546,-7.982,-14.747,-7.79,10.428,-24.549,-65.868,-14.219
45.741,54.027,-7.273,-96.347,50.786,37.484,35.262,-18.106,-7.394,28.556,-26.227,-9.896
43.214,-15.588,-18.106,0.992,-23.13,-27.636,-6.257,-5.193,2.334,-3.499,-20.54,10.86
38.892,-11.462,-44.157,-27.974,-9.951,-47.145,6.153,3.606,-17.01,-9.016,13.329,8.129
43.49,35.551,-25.999,-89.76,60.442,-5.365,49.362,-51.311,-23.939,0.1,-25.981,9.145
41.664,-33.784,-62.937,-21.36,52.174,-43.531,-8.688,1.154,-19.89,21.123,-26.972,14.538
41.347,-34.616,-65.83,-12.618,33.536,-24.393,-10.859,-10.8,-13.991,-15.624,-3.248,-20.778
38.389,-4.454,-53.083,-57.172,-22.638,-23.976,-39.357,9.049,20.442,-11.116,-1.506,-20.934
41.889,45.857,-37.536,-42.752,-2.568,19.659,2.663,-23.654,5.131,-17.682,-25.044,-3.255
40.038,23.393,-30.483,-33.853,-6.471,-27.939,2.452,5.447,-11.044,-20.134,-16.095,-3.025
43.996,123.071,-4.537,-127.832,-21.569,26.63,-5.235,58.398,1.233,-62.819,6.994,-29.091
47.549,2.151,23.231,73.769,44.539,-26.967,16.924,1.203,12.342,1.623,-46.738,-9.688
45.598,116.15,-17.186,-42.58,-21.226,43.63,-43.521,-25.175,6.987,-5.283,-8.095,-28.583
44.674,20.04,-63.079,-78.267,119.359,-48.579,7.975,-12.949,-20.839,-1.381,0.6,0.771
48.024,7.658,19.127,-27.008,91.077,-46.485,15.903,15.777,-14.686,7.289,4.641,10.639
45.688,2.549,-5.817,79.362,45.487,-8.269,-1.833,6.841,-22.096,-9.711,-80.389,22.503
43.584,64.905,-15.129,-39.032,24.969,-16.584,-29.551,45.448,-29.651,36.888,-40.812,0.898
44.925,10.319,-5.033,-14.421,48.323,7.36,-29.757,33.563,21.921,14.353,-30.06,-20.193
38.456,83.627,-67.529,-50.302,6.583,-24.28,-28.544,-16.736,-6.36,32.315,-34.608,4.985
37.765,14.357,-75.661,-43.279,-10.006,-23.4,-50.142,-2.95,-3.618,12.116,-1.185,-21.262
44.057,32.343,-46.342,9.882,-6.536,-14.971,-1.614,-17.364,-10.68,18.402,-8.216,6.554
