0,1,2,3,4,5,6,7,8,9,10,11
0.004,171.171,9.592,-28.586,57.373,-50.121,14.817,5.323,-27.237,0.965,-10.496,-7.331
37.921,147.559,141.288,-1.987,25.572,77.263,4.106,-22.36,-36.846,43.417,43.986,4.904
38.667,85.326,128.571,20.275,2.608,-7.915,-9.603,-8.727,-26.23,-7.304,-21.054,-4.856
39.01,54.727,124.637,26.27,9.17,-4.818,4.659,-2.292,-28.758,-5.251,-11.876,19.507
37.452,28.626,90.418,40.942,-0.304,-23.817,-14.085,-12.164,-27.432,-10.557,-5.098,4.319
37.498,45.837,95.975,8.697,3.791,-40.057,8.003,22.148,-28.705,7.196,10.642,-3.528
46.541,174.101,21.843,-41.764,29.194,6.865,1.067,-68.542,-81.012,26.376,-20.411,3.127
49.299,108.617,59.312,-19.666,19.111,-6.387,-24.693,-36.176,-57.916,-2.65,-12.542,5.928
49.384,63.498,98.011,46.19,70.948,-36.01,17.348,-6.924,-22.148,-9.718,-5.101,4.186
47.667,39.658,134.606,5.855,78.95,-28.383,23.993,18.185,-6.589,1.366,10.756,-2.494
48.333,129.511,78.153,41.758,25.564,-29.845,-40.431,10.527,-42.786,-8.721,-36.191,-12.622
47.264,35.132,111.649,-19.614,85.772,-47.373,7.041,41.023,-0.669,9.628,6.429,2.927
48.692,103.402,150.472,30.796,122.435,-34.347,-8.032,-5.135,29.205,6.045,-3.982,-26.113
48.831,83.745,144.253,32.999,129.868,-42.32,-4.783,-14.238,20.295,12.863,-13.896,-18.027
47.283,70.45,148.831,58.171,115.605,-35.56,18.112,-9.535,11.16,-3.901,-15.28,-28.483
46.23,98.648,109.775,39.644,90.227,-29.0,-6.594,40.652,6.808,-2.435,-16.537,-45.472
45.637,60.486,23.438,-14.522,35.101,-17.701,-2.508,-30.999,-54.238,30.016,-11.76,-17.326
46.884,18.109,72.139,-12.762,41.09,-21.202,29.554,3.671,-13.382,-18.461,4.423,9.057
48.367,95.453,117.954,3.698,59.96,-22.008,5.194,34.13,23.99,-20.17,-19.553,-13.71
48.575,59.227,90.233,-6.288,29.292,-9.473,-0.095,3.596,-34.974,9.467,-9.867,-4.248
50.034,102.246,118.544,10.308,41.472,0.633,-4.57,21.379,-33.183,-42.821,16.4,-4.392
48.895,119.145,81.884,-3.674,31.821,-1.213,-19.236,-42.439,-17.302,-22.126,-18.815,4.569
50.143,112.146,130.254,-6.945,16.581,-15.796,-25.757,17.224,-29.743,-25.225,2.686,-23.484
50.531,136.235,84.018,35.874,38.902,-11.764,-13.459,-28.491,-9.633,-10.797,-29.6,13.86
47.599,26.365,76.297,43.248,66.247,-22.284,-15.297,-39.849,0.489,1.525,-13.198,-17.538
46.046,3.548,102.275,-18.588,73.156,-33.045,-9.408,19.214,26.372,-4.759,4.137,-29.658
49.612,78.143,92.037,-30.681,46.779,-26.867,-9.555,5.714,-0.375,-8.21,3.18,-30.682
48.86,48.471,125.906,-5.658,44.764,-3.839,-10.915,9.591,-1.039,-25.072,-2.323,-38.767
49.926,105.566,112.663,36.002,50.625,-23.909,-0.13,-9.911,-19.056,-16.421,-3.74,-7.984
48.925,146.956,96.046,6.771,14.607,24.147,-8.244,-24.833,-14.37,-26.257,20.752,-27.27
48.01,123.656,93.939,58.803,60.524,-8.867,36.942,1.403,-40.689,-1.333,-5.054,30.879
47.415,146.6,119.803,-41.789,-0.987,22.931,4.036,29.854,-22.522,-25.532,-13.044,3.022
47.459,185.403,48.628,3.715,15.859,-2.983,-23.072,8.382,-69.951,-3.138,-20.302,23.228
49.842,106.537,138.068,38.533,30.348,-17.514,2.263,10.439,-54.299,15.937,-3.313,-26.586
49.694,148.48,141.448,61.571,54.518,-31.955,3.985,-12.925,-31.684,0.486,-4.171,-3.909
51.525,86.556,61.31,38.097,-23.895,-29.956,42.264,8.117,-31.706,18.458,8.501,-5.583
47.563,45.605,105.09,41.021,-8.76,-27.285,41.931,12.475,-12.215,6.991,-11.503,-18.619
