0,1,2,3,4,5,6,7,8,9,10,11
0.096,168.95,6.958,-31.3,55.627,-50.271,15.432,2.831,-27.647,1.118,-10.822,-5.885
7.849,0.996,-120.699,-138.083,23.212,-38.157,14.77,-62.344,-26.348,34.217,-6.8,-0.92
16.524,-163.879,-175.849,-113.484,50.851,-61.599,18.629,-5.985,5.408,14.934,-1.566,-0.691
16.789,-164.139,-187.617,-64.389,45.975,-73.505,1.743,46.597,10.346,-5.648,-13.888,-3.26
26.792,-12.152,-32.491,-75.098,20.866,218.991,53.593,27.084,-13.734,40.953,-65.22,-7.369
26.275,41.241,-156.419,107.452,1.834,-12.023,-33.962,16.739,-1.599,-4.871,-11.803,1.626
18.853,-75.607,-118.373,-98.276,33.039,13.91,16.457,13.458,14.096,-21.451,-52.057,-0.547
29.365,-67.357,103.589,-243.782,69.52,50.086,12.031,2.719,-16.058,9.476,-20.823,-4.925
37.896,-89.053,-112.517,118.135,-10.67,-74.208,-24.769,-8.846,-12.297,4.9,-56.884,7.576
22.634,-140.089,-88.202,-59.961,2.882,-43.785,-8.534,10.509,13.164,16.821,1.718,-10.809
22.176,-63.16,-10.39,6.25,27.289,-58.733,-42.877,-9.734,4.538,-1.625,0.915,-4.942
23.226,-100.142,-19.317,-75.52,33.413,-21.47,7.342,-5.131,23.048,17.969,-13.654,-9.885
35.084,-84.393,73.018,-173.767,39.133,62.624,30.201,-6.443,11.118,-23.401,-32.919,-8.521
40.272,-73.845,1.87,20.415,8.047,-43.954,-47.772,-15.398,-22.88,-7.505,-23.798,6.441
38.221,-95.181,-38.457,-62.435,27.55,-27.742,-22.207,9.269,15.404,-6.846,-15.902,10.705
37.087,-137.231,-42.321,-86.728,43.421,-45.677,22.529,9.801,-8.498,-3.034,7.873,-14.985
46.034,-22.711,6.975,-95.08,39.684,-12.167,14.157,-6.118,9.322,-33.113,-9.371,-12.246
48.019,-50.815,-8.126,19.857,16.775,-36.524,0.054,-1.599,-23.622,-30.319,0.141,3.797
47.086,-40.11,-26.33,21.952,-28.104,-39.155,-4.301,-35.652,-9.86,-9.415,-22.252,-3.284
43.431,-110.348,-28.078,-24.456,45.929,-38.87,3.764,23.891,-4.015,-20.104,-10.17,14.439
42.275,-103.765,14.324,-43.964,28.813,-39.073,4.633,4.795,-17.208,-6.915,14.719,8.084
48.43,-40.367,8.566,4.79,-2.602,-18.088,-33.371,-36.913,-18.241,10.454,17.077,3.728
48.824,-21.503,6.911,-25.41,6.174,19.59,-43.016,26.536,5.796,-38.13,-26.398,-3.002
52.309,66.728,28.314,-41.629,-4.148,46.734,-34.914,-9.827,8.0,-5.56,31.093,-32.858
52.831,7.227,60.215,1.57,14.541,-19.226,-31.285,-34.646,-2.39,3.223,-19.794,-7.864
51.868,-16.145,22.443,34.19,-6.876,2.483,-12.251,-28.627,-16.242,-29.748,-23.734,10.901
46.02,-64.742,12.362,-67.036,28.088,-19.542,-16.581,3.778,23.409,-3.029,-10.811,-6.234
