0,1,2,3,4,5,6,7,8,9,10,11
6.072,60.667,12.632,-171.487,52.332,-61.251,57.401,-153.213,-35.876,16.736,28.4,-5.362
27.491,-293.557,-142.252,-60.457,31.325,-70.44,4.362,31.334,-12.465,-13.53,-2.248,-2.41
43.503,-2.558,-164.192,168.867,-18.66,-37.273,-41.655,-22.919,14.347,24.909,-45.613,23.811
23.223,155.109,-111.149,116.629,-12.35,-55.4,-60.245,-20.845,-12.619,-3.494,-45.167,6.397
29.228,27.899,-8.268,-231.537,16.635,164.726,16.825,-5.936,-5.761,28.239,-130.045,27.263
24.983,174.438,-110.027,132.746,-2.728,-40.557,-39.429,-7.698,-0.024,-25.208,-43.69,17.908
23.351,27.454,-6.94,-229.956,4.806,80.081,18.713,-28.958,-6.748,58.075,-99.431,38.945
20.538,136.026,-83.641,104.711,2.798,-81.751,-40.198,-44.648,3.682,0.504,-32.939,17.384
45.419,81.189,-127.142,201.517,-34.047,-41.613,-44.546,54.706,8.769,-40.298,-82.909,36.471
27.728,174.556,-35.027,98.328,30.505,-12.861,-39.591,-32.121,-3.31,24.193,-16.312,6.01
29.065,-246.057,-141.147,-52.715,21.795,-71.625,-12.413,6.704,8.951,12.481,3.541,14.473
42.878,-4.25,-180.063,183.048,-8.778,-2.782,-32.616,-11.679,26.284,-15.827,-19.408,18.072
32.762,-146.047,-183.294,34.087,27.859,-20.995,-19.897,-46.772,21.833,-8.234,-6.647,8.133
46.873,22.828,-142.762,126.567,-24.723,-38.531,-49.125,-12.029,8.5,-25.662,-54.994,26.327
35.811,-80.427,-177.078,29.85,20.214,-34.397,-31.728,-98.528,24.01,15.807,-7.342,9.284
39.965,66.91,-170.093,185.359,-23.643,-44.268,-52.831,42.158,28.549,-21.373,-79.324,16.787
22.628,175.115,-102.554,134.581,-2.938,49.049,-18.48,-18.556,8.963,-15.779,-0.084,-7.402
29.031,112.388,-33.073,-147.904,8.998,241.902,27.465,75.655,-9.922,23.576,-140.69,33.836
34.758,-85.369,-182.841,30.141,15.907,-61.424,-42.565,-43.736,29.939,19.104,-22.701,15.644
29.462,-248.083,-124.643,-84.841,18.214,-64.218,-9.457,31.609,16.458,-8.455,4.883,7.572
42.326,-17.485,-173.091,116.85,3.586,-21.243,-33.375,-33.452,22.335,9.877,-55.633,23.029
22.988,156.533,-105.156,124.06,-10.172,-56.808,-53.763,-22.226,-10.438,-13.072,-46.531,11.563
39.373,-54.3,-112.817,-42.438,19.583,200.772,-1.477,111.479,36.263,-58.943,-49.723,9.393
26.595,133.416,-90.486,109.822,34.495,-22.744,-52.363,-51.681,-17.981,-17.604,-34.431,16.196
29.201,-66.183,-43.444,-180.097,34.719,127.152,-6.619,50.932,1.161,42.914,-106.573,30.288
19.727,149.437,-81.09,96.029,2.145,-72.247,-30.941,-11.789,1.019,1.099,-39.259,21.414
24.14,111.197,39.465,-226.352,-8.491,115.56,39.25,31.947,-18.526,34.208,-128.959,47.353
28.23,163.908,-35.557,59.216,32.176,-57.433,-42.414,-32.623,-6.499,24.338,-20.554,5.283
29.423,-216.411,-144.217,-37.87,6.361,-96.281,-33.852,30.575,21.772,23.607,-2.729,13.318
41.518,11.376,-181.156,115.89,3.783,-30.591,-40.29,-27.66,32.43,-14.653,-76.56,17.019
32.693,-144.917,-181.423,23.569,32.408,14.945,-9.137,-53.529,26.105,-8.88,22.622,1.02
44.746,10.721,-156.701,70.798,-1.879,41.15,-29.368,1.179,15.668,-35.144,-8.489,7.946
35.105,-107.055,-180.095,10.622,21.869,43.225,-12.718,-68.024,52.032,-60.649,-1.934,1.351
41.754,71.104,-162.247,190.671,-27.37,-0.2,-43.751,34.67,21.969,-1.212,-28.995,9.692
20.869,145.124,-92.862,75.793,15.109,83.923,-9.159,3.026,17.195,-58.545,-29.224,-13.362
43.79,100.444,-138.341,198.553,-27.463,10.277,-50.579,87.903,1.556,-7.965,-37.138,23.647
21.212,152.238,-67.701,124.819,-1.291,-69.374,-24.042,-15.427,-9.616,-0.779,-39.087,0.628
24.875,18.028,-25.279,-134.08,10.855,101.274,11.006,44.724,-22.849,74.895,-99.418,31.487
28.189,13.586,16.929,-252.887,7.766,132.818,26.633,-3.591,-16.626,83.221,-78.632,30.92
24.845,179.302,-103.5,125.954,-8.583,-25.7,-33.002,-6.535,-1.74,-25.704,-44.628,14.888
28.71,-55.768,-31.588,-172.388,29.473,94.445,7.452,19.923,7.099,41.194,-88.933,42.33
19.67,153.048,-97.429,114.841,-26.21,-97.708,-32.458,-4.834,3.963,-22.332,-31.327,32.431
28.514,88.287,-36.713,-151.135,18.51,241.469,32.48,70.898,-5.372,19.356,-137.138,28.503
28.29,188.794,-11.374,61.917,24.701,-47.99,-48.202,-30.095,-5.027,30.003,-11.966,3.951
36.862,-88.288,-56.779,-64.071,28.697,95.309,7.772,-5.614,7.815,59.312,-29.821,14.771
42.559,15.983,-137.195,85.507,6.161,69.943,-30.958,24.212,28.499,-32.421,-85.207,24.329
33.487,-141.626,-137.073,13.341,20.255,42.737,-8.899,-22.851,9.736,26.867,-42.738,18.58
46.1,8.794,-133.976,119.615,-6.685,48.318,-27.999,-2.71,12.823,-16.828,-10.175,9.844
37.834,-66.523,-135.773,29.139,30.457,-71.297,-11.433,-20.38,16.145,-15.448,4.778,16.053
36.419,-169.011,-112.096,72.007,-21.113,-122.781,-9.31,-27.374,-18.998,24.857,-15.995,16.975
39.862,63.146,-164.432,200.145,-34.973,-81.52,-67.967,35.279,28.04,-25.093,-93.012,21.397
21.957,161.975,-100.07,114.218,12.657,60.749,-20.905,-16.287,4.15,-16.622,-4.775,-9.032
25.657,101.667,0.353,-182.632,13.387,181.794,12.74,68.666,-14.908,20.993,-155.219,32.127
20.368,159.748,-65.109,118.694,1.022,-59.088,-28.659,-16.757,-7.755,0.551,-39.862,-0.221
27.403,14.328,-23.709,-34.508,11.814,79.427,-4.532,49.697,-13.856,47.642,-33.473,29.989
