0,1,2,3,4,5,6,7,8,9,10,11
0.082,170.99,7.516,-30.391,55.231,-50.765,16.707,5.965,-26.024,2.528,-10.272,-7.826
20.554,174.36,78.826,-205.319,55.556,121.101,53.277,-24.795,-36.742,61.154,-59.941,8.697
30.592,116.864,-22.478,-13.99,24.762,-80.268,-8.397,38.124,-6.417,-15.809,1.072,-15.789
26.536,44.27,-60.318,41.156,-3.26,-111.296,-13.735,-6.728,-33.076,14.597,-7.296,18.689
30.881,74.897,-13.132,44.418,25.855,-38.414,5.929,44.726,-7.487,-10.069,15.522,-3.194
29.51,128.406,5.485,9.748,48.588,-3.519,5.126,49.155,-12.994,27.27,11.436,-7.104
32.74,128.512,-4.841,49.419,33.245,-51.429,-7.876,44.185,-22.735,28.085,26.76,-6.666
28.327,181.749,34.841,-12.607,38.317,-30.398,4.875,9.843,-42.405,6.333,-5.068,9.29
30.011,90.74,-9.655,22.761,18.98,-5.043,19.198,-24.342,-29.255,12.711,-59.1,20.423
29.174,44.761,10.872,100.515,29.063,-74.69,-23.393,-0.364,-36.252,29.114,-21.09,-6.029
33.937,87.926,96.193,-19.482,59.455,38.945,29.617,48.299,-3.833,-21.536,19.739,-23.066
37.679,167.675,51.375,1.7,54.082,-37.147,-15.712,9.982,14.597,-19.134,17.406,2.227
37.718,99.499,31.647,0.499,35.915,-21.994,-0.576,4.117,-9.131,-11.519,-15.359,14.931
33.805,39.296,52.338,-3.539,62.038,-9.641,9.71,-6.058,-3.19,-17.761,-35.221,9.65
36.909,83.197,39.257,3.214,49.606,-9.133,17.551,-7.689,1.159,-9.687,-29.351,7.658
36.314,58.523,37.431,-13.53,52.649,9.682,35.456,6.759,18.016,-39.204,-8.359,2.626
37.97,85.059,32.148,-1.232,58.89,-15.891,25.312,9.652,24.628,-19.47,8.629,-8.629
36.251,60.073,32.481,-2.877,52.187,15.437,12.568,-3.829,6.93,-17.593,-15.668,6.565
37.28,86.48,34.884,2.128,60.26,2.574,26.718,5.761,12.269,-23.578,-7.587,1.195
38.11,90.275,54.97,-3.851,71.991,-31.017,-7.536,-1.912,6.854,-20.575,-7.372,-8.131
37.088,61.75,36.579,-2.072,55.589,-20.868,2.332,-2.863,16.26,-12.831,-27.004,-5.02
36.475,77.739,27.833,17.936,47.751,-2.205,17.244,-16.629,0.865,-0.794,-31.83,3.778
35.848,89.517,33.667,26.076,64.394,19.564,27.337,-8.194,6.226,-15.32,-16.155,-0.409
37.388,98.246,50.581,-1.09,59.72,-17.845,25.177,-6.932,15.229,-4.502,-5.786,-6.18
35.585,78.64,36.838,22.199,57.109,9.201,26.425,-5.188,5.409,-20.942,-42.448,11.533
35.551,85.321,32.742,4.697,67.43,49.217,28.874,7.845,6.272,-2.093,11.819,-11.3
37.339,115.108,68.103,-17.285,63.127,-10.479,27.805,-1.944,4.533,-7.669,7.925,-10.183
40.209,117.296,32.517,20.958,75.054,-25.563,-12.057,-0.292,2.312,-16.681,-18.151,-9.362
37.989,120.985,71.374,12.828,63.758,-40.306,7.941,6.712,8.857,9.958,-2.728,-16.075
39.24,134.221,29.712,-20.303,51.335,-40.668,4.14,18.61,-8.83,-8.094,10.665,-0.646
39.758,138.991,55.972,6.266,68.442,-48.688,8.829,-7.062,6.856,20.496,-10.11,-1.64
39.858,157.763,25.625,5.47,69.543,-45.205,-15.177,33.723,2.849,-2.36,-8.128,-0.541
39.203,142.17,41.648,13.322,73.483,-31.286,-3.136,-8.703,-3.286,16.689,-25.372,3.057
38.327,124.12,52.279,-5.474,71.63,-32.346,13.993,1.873,11.552,11.724,-0.184,-13.341
40.402,134.889,49.734,10.581,84.427,-35.444,-3.509,-9.276,0.663,-4.739,-8.627,-3.297
50.022,101.326,-75.8,97.135,-25.2,-51.015,-35.098,13.212,-18.551,9.78,23.27,-2.335
47.728,132.644,30.028,11.838,66.673,25.336,8.356,26.187,-20.844,13.095,-28.515,-26.067
46.779,152.944,75.892,29.45,69.358,11.12,-0.772,0.157,-44.315,40.17,-22.457,-14.123
48.415,117.914,128.251,-4.102,97.028,24.134,-6.898,27.597,-1.265,-3.315,16.04,5.532
47.649,184.802,101.064,12.737,90.024,-2.454,-31.238,-65.945,-26.511,-7.208,-25.808,-11.695
47.458,123.787,88.578,-39.237,66.631,-0.56,-6.017,-3.033,-31.96,-14.764,0.784,-10.19
47.76,171.454,92.4,25.066,111.401,-17.748,-36.757,-12.143,-14.342,6.866,-5.561,7.768
46.282,193.464,129.854,-10.987,119.584,18.302,9.539,-60.562,-44.37,29.828,-20.334,-14.375
50.414,118.187,96.92,-42.305,72.987,-27.098,29.559,8.264,-4.019,19.781,-21.363,-3.777
53.652,70.67,-20.772,-21.022,5.997,-46.12,26.313,-11.03,9.455,37.59,-5.09,7.003
54.772,74.84,-14.586,-26.518,10.444,-25.243,6.523,25.8,9.207,-1.873,-22.584,-6.489
54.146,91.872,-18.867,-23.743,8.033,-43.747,24.439,-4.592,8.162,25.457,-3.238,-4.174
53.306,59.74,-8.725,-31.175,8.929,-30.463,22.159,-5.979,19.152,15.159,-25.851,-10.312
53.049,87.945,-15.46,-35.388,26.4,-42.296,22.645,53.681,14.47,6.325,-18.052,0.93
53.857,111.119,-36.45,-2.372,30.586,-40.063,39.768,-2.085,-28.246,34.688,-8.53,6.523
52.835,63.105,-13.766,-26.403,2.612,-26.466,20.544,-14.878,6.362,24.639,2.854,3.11
54.708,105.033,-27.88,1.616,11.444,-61.919,-8.007,15.299,-8.081,-3.448,5.155,1.089
54.045,110.964,-25.076,-27.482,19.287,-32.25,30.897,-5.748,0.85,8.22,-13.83,-3.542
53.029,57.435,-22.667,-18.693,0.262,-38.339,24.137,-4.8,14.069,15.75,-11.171,-11.716
53.196,115.136,-13.645,-15.716,44.316,-39.971,25.945,25.834,-1.236,-12.232,-1.166,-13.527
53.522,106.993,-32.133,-7.594,27.613,-41.548,28.622,-7.645,-17.333,37.35,-23.883,5.339
52.41,72.679,-7.113,-16.807,-1.761,-38.646,32.868,-7.343,4.245,22.794,2.524,-1.246
54.445,114.991,-19.601,-14.438,19.037,-84.757,-12.51,55.988,-4.306,-5.438,-9.46,2.364
54.066,92.789,-27.089,-23.357,8.786,-49.705,25.042,-5.558,3.761,24.306,-9.012,2.14
52.385,42.683,-17.638,-12.671,4.516,-47.056,20.177,0.512,8.933,24.76,-3.313,-11.228
52.779,126.233,-31.755,-19.844,46.065,-38.691,19.465,26.825,4.921,-18.172,-16.194,-9.828
53.12,103.162,-36.745,-7.512,26.849,-43.915,28.628,6.302,-14.884,16.12,-7.885,0.086
52.071,64.84,-23.714,-31.276,0.157,-13.252,32.778,-7.941,1.216,24.755,4.53,10.77
