0,1,2,3,4,5,6,7,8,9,10,11
0.08,171.321,11.52,-30.511,56.751,-51.268,15.413,4.323,-27.158,0.756,-7.992,-8.058
13.766,160.763,155.939,28.661,49.651,11.019,60.571,33.838,-21.84,26.21,-22.586,-6.04
36.666,96.365,106.719,170.705,36.816,96.85,52.209,1.318,-36.291,52.011,41.985,19.667
41.142,306.324,163.232,43.663,81.049,-23.217,-42.026,-14.104,-0.895,24.129,17.847,14.158
47.121,178.029,162.603,-13.105,59.161,31.655,-1.467,-76.152,-26.7,65.947,-14.551,6.131
48.807,29.544,127.976,74.323,77.407,-31.885,-6.287,-24.242,-18.723,20.874,-24.267,13.164
47.4,26.84,161.783,18.879,118.998,-27.788,20.55,32.823,11.753,2.967,17.364,2.075
46.836,71.695,77.155,109.934,20.531,-4.706,-53.549,-31.554,-27.786,-11.499,-61.946,-28.203
42.192,114.352,57.915,-16.636,83.651,5.18,24.455,-73.697,-15.277,4.739,-34.631,12.836
49.644,161.318,78.995,-13.443,6.8,27.115,-51.731,58.564,1.491,-25.163,23.51,-3.579
50.784,198.41,103.371,-2.063,-13.195,7.127,-63.176,-42.677,-20.63,4.869,-13.007,-13.263
47.058,171.528,147.873,59.535,33.476,27.095,-25.325,-16.632,-0.13,-42.172,-7.832,-18.666
41.638,137.292,187.581,6.154,45.035,-12.147,-15.425,26.286,-0.399,-22.585,9.737,-16.642
43.362,173.831,169.788,30.785,25.723,-14.121,-25.201,-21.425,-17.581,-6.546,-3.572,-4.548
42.494,96.447,162.6,78.111,59.577,-17.255,-1.29,-27.752,-4.817,3.915,-5.085,-17.586
39.985,43.754,163.439,48.104,72.534,-25.319,-4.487,12.052,6.73,-17.841,-1.772,-18.756
46.356,114.071,73.82,50.948,40.068,18.312,-16.482,-2.066,-13.468,-25.123,17.035,-29.204
48.719,64.365,83.27,-33.146,51.226,-1.358,-31.602,48.639,-14.055,0.315,-13.809,-1.313
48.362,85.45,68.44,105.757,52.425,-13.359,-21.214,-2.187,-23.259,5.262,-0.877,7.247
49.198,69.028,166.82,52.709,79.607,39.161,20.26,1.98,-8.113,8.653,23.348,-18.532
48.316,39.333,146.222,35.882,67.873,-13.888,-6.691,15.06,-10.77,-3.836,-24.864,12.868
47.676,87.684,83.637,122.079,-17.433,-32.573,-22.362,-43.606,-36.411,-12.938,-18.377,-16.039
45.572,138.361,71.102,6.484,76.045,4.113,17.857,-89.731,-12.012,-31.884,-17.933,2.047
50.121,97.165,136.317,-25.688,50.745,-7.421,-31.361,62.102,23.02,-28.453,25.04,-18.663
46.07,127.868,113.704,80.296,23.644,-11.352,-23.647,-8.355,0.787,-43.22,-9.409,-12.485
42.446,148.505,181.399,7.858,41.339,-20.114,-37.77,12.476,-1.738,-11.676,3.61,-28.222
42.43,76.813,146.653,51.46,41.46,-11.372,5.172,-11.072,-12.451,-11.427,1.105,-1.998
41.147,39.616,133.937,32.025,40.079,-27.909,-15.021,-22.12,-22.534,11.344,-13.149,-4.596
41.136,32.674,138.846,28.929,49.748,-29.105,-13.497,3.163,-9.582,-7.227,-3.27,-13.2
40.146,44.67,132.296,46.133,47.647,-28.162,-18.036,-2.772,-21.315,-9.367,-0.359,-2.226
38.989,62.498,146.928,32.083,47.208,-16.419,-1.814,-5.725,-17.594,-14.091,-1.96,-4.67
38.983,71.347,152.554,41.715,49.455,-20.657,-5.981,-9.44,-17.751,-7.419,-2.393,-5.887
48.908,133.448,92.395,40.844,13.907,7.799,-19.338,5.975,-59.456,14.394,-17.685,-11.766
47.287,106.19,52.434,38.107,10.003,13.819,-4.319,-19.174,-34.507,-12.056,-34.739,-16.516
43.238,117.322,79.263,18.007,54.711,10.595,7.737,-38.303,-30.867,-18.713,-56.916,-6.891
48.359,86.921,136.987,14.947,69.645,59.32,7.824,-28.642,-12.619,14.626,24.782,-6.244
45.412,52.41,172.214,94.972,62.699,-17.126,12.924,13.896,-17.241,-9.603,-40.428,14.321
48.976,116.516,128.6,1.948,65.474,30.739,-14.484,-21.333,-39.644,27.902,5.691,-24.148
48.618,83.425,111.908,41.094,42.151,10.066,-21.361,67.367,-15.382,-22.957,-17.374,-9.972
47.235,53.732,142.295,15.037,91.641,25.515,23.706,-15.828,-37.626,46.353,0.324,0.56
45.329,75.355,189.084,98.086,69.427,-14.491,13.197,20.531,-13.357,-15.1,-30.906,4.296
