0,1,2,3,4,5,6,7,8,9,10,11
50.972,-2.545,0.699,39.339,7.217,-60.37,19.784,-12.123,-0.596,21.286,2.565,-14.231
50.783,-4.232,-21.28,26.41,15.271,-40.52,12.448,-9.593,8.086,-14.896,-14.72,-4.177
47.33,-48.34,-10.3,49.172,5.301,-0.938,26.849,-14.743,12.22,9.648,16.49,-22.645
46.052,-20.284,7.232,-35.582,18.114,4.0,24.468,32.824,18.23,-22.496,-43.452,-3.815
45.477,-50.52,-47.396,75.776,-14.456,-94.11,9.598,-33.038,-11.397,36.67,-15.528,-13.165
49.361,33.951,-50.208,47.208,8.646,-64.8,1.685,-4.185,-1.979,1.801,-30.133,3.639
43.98,-58.963,-58.321,95.098,-14.918,-25.693,25.166,-19.933,-1.657,16.977,18.316,-13.303
43.294,-14.432,24.53,-146.377,3.925,37.525,29.443,71.893,12.211,-32.187,-23.038,4.368
50.341,16.384,20.657,3.731,12.258,-66.35,0.61,-1.193,7.916,17.701,0.079,8.054
49.592,-21.029,-8.108,34.331,4.054,-60.73,25.141,-32.648,-6.643,10.225,-24.571,-4.277
49.901,-6.539,-32.478,32.371,20.752,-31.931,11.411,-6.711,14.969,-14.487,-15.063,-9.591
46.08,-58.642,-21.942,80.662,-13.429,-96.156,12.976,-27.852,-5.019,20.864,-25.907,-4.437
48.755,13.19,-52.464,45.145,12.271,-58.79,2.218,5.285,11.574,-22.32,-36.507,-5.138
44.583,-52.66,-53.267,98.305,-13.682,-87.268,14.08,-30.703,-12.232,29.575,-23.229,-12.341
47.507,23.589,-62.51,54.108,20.344,26.796,23.475,6.964,14.227,-7.947,37.176,-12.551
44.79,-55.241,-60.076,68.953,-26.318,-94.898,12.211,-13.913,-15.975,19.119,-20.629,1.257
46.296,-20.324,10.557,4.585,-31.274,16.556,7.74,0.109,-13.962,-13.957,15.455,-11.203
51.583,34.295,-15.643,5.287,-3.343,-19.29,10.956,10.943,-8.137,4.351,13.516,2.446
52.038,14.738,6.365,-11.721,-1.901,-51.653,11.123,-5.601,0.959,19.162,-6.913,12.765
50.884,-19.945,-6.902,22.055,0.828,-22.533,26.875,-28.852,-5.996,-3.084,-18.505,-7.817
48.74,-53.414,4.601,-30.887,2.389,-9.848,27.039,27.217,12.456,-28.219,-37.447,-8.545
