0,1,2,3,4,5,6,7,8,9,10,11
3.749,133.673,-33.716,-37.637,-2.323,-38.39,14.775,6.697,-31.422,3.691,-11.806,-1.052
5.512,219.321,-46.655,3.992,33.997,-64.667,-11.438,-54.956,-28.006,25.569,-16.37,23.751
5.983,152.914,62.017,-55.237,44.128,-27.52,-0.272,4.055,-67.148,-12.195,7.829,-3.011
11.264,158.214,83.662,-36.128,63.29,-27.832,2.079,-5.897,-47.1,-9.349,3.653,1.725
16.452,160.286,68.751,-14.465,58.78,-6.6,15.593,-8.655,-25.161,-12.708,-16.437,1.233
42.449,156.799,166.143,139.243,72.513,11.459,19.249,-17.036,-44.139,16.061,-30.23,12.951
43.152,137.514,142.475,32.739,96.886,77.805,-2.878,-4.943,-51.193,5.682,36.324,-32.555
40.582,100.888,121.109,89.832,63.852,8.761,-41.693,-7.155,-40.533,-20.081,-53.488,9.29
37.697,66.106,158.597,-42.58,68.649,14.69,-21.589,9.435,-60.261,-17.272,-13.641,-12.4
37.87,132.966,43.971,157.8,91.061,84.173,-39.317,-18.495,-12.884,-9.815,-49.545,18.282
36.876,159.222,24.011,128.105,66.243,23.804,-75.698,0.802,-80.934,58.552,-76.16,-1.258
42.695,130.431,137.341,59.386,66.158,81.676,2.673,6.193,-34.539,40.092,44.964,-32.955
45.29,119.828,83.963,-18.604,54.864,3.571,-24.434,7.46,-7.724,-49.241,2.171,-11.237
43.681,40.009,71.837,14.292,29.069,-18.032,-39.816,-1.154,-21.509,-4.38,-0.351,-1.243
44.692,56.97,102.62,-20.664,33.242,2.159,-41.1,13.537,-19.029,-10.469,-7.786,-6.332
44.253,44.794,85.109,2.404,15.428,-12.916,-56.075,-11.282,-19.287,-5.204,-13.291,-31.407
42.67,38.937,53.636,4.154,-1.337,-10.469,-44.079,-16.176,-10.209,-0.545,-6.487,-11.583
42.842,83.334,72.909,-10.999,22.6,-0.588,-37.005,-20.255,-13.042,-20.817,3.623,-19.82
42.306,64.813,82.852,21.881,15.874,-28.914,-42.187,-19.941,-19.253,-6.037,-2.252,-4.729
41.181,46.895,92.968,-27.454,18.485,-19.187,-40.382,8.657,-19.152,-9.855,-2.329,-11.842
46.603,99.282,96.159,42.41,57.637,-4.557,10.102,-10.958,-17.157,-13.088,8.345,6.778
43.663,36.398,82.585,-7.717,10.229,-18.741,-11.906,-10.474,-8.55,-16.467,2.111,-4.44
43.66,67.634,101.003,16.356,29.682,-23.499,-31.293,7.826,-8.287,-12.113,2.085,-13.196
43.855,54.834,63.212,-17.774,18.56,-22.995,-45.133,-9.64,-11.467,14.518,1.586,-0.437
44.03,60.583,79.448,15.965,16.968,-29.251,-40.771,-21.478,-13.881,-2.205,-14.731,-10.969
41.432,50.654,94.786,5.16,37.285,-14.683,-48.303,-18.222,-9.944,1.24,-5.141,-13.784
41.68,75.216,97.41,11.909,36.51,-8.895,-51.812,-22.276,-7.082,-10.756,-0.972,-15.895
41.36,70.732,95.088,-11.082,32.671,-0.862,-39.703,0.11,-5.392,-17.994,3.124,-12.661
42.601,83.37,83.07,-1.892,32.346,-5.288,-55.163,-13.64,-5.229,-13.126,-9.473,-11.513
46.329,124.722,117.742,63.639,52.797,-14.228,-22.712,-47.249,-32.066,12.63,-25.719,-18.685
44.454,70.444,105.363,6.315,62.675,15.321,-10.466,-8.777,-17.047,-12.206,10.289,13.956
44.287,104.62,84.151,36.945,77.697,-49.753,-29.009,0.669,-30.287,-16.464,3.528,1.879
45.536,73.088,107.942,53.449,61.58,-2.954,-26.082,-22.612,-37.751,14.368,-14.163,-4.337
44.203,104.339,108.179,-22.126,40.066,18.466,-30.141,8.522,-17.567,-34.408,-6.829,-7.837
44.63,135.67,91.258,-5.622,50.189,-1.538,-37.178,-36.694,-18.182,-24.305,-10.247,-13.321
44.77,165.176,29.162,-24.63,63.675,-41.432,-46.234,-14.179,-21.663,-16.434,0.649,-30.352
45.836,122.118,46.537,5.065,54.87,-21.786,-27.704,-46.036,-46.127,9.104,-15.807,-0.15
44.561,80.147,96.452,8.714,40.961,-0.471,-33.195,7.573,-21.584,-11.894,4.988,-8.195
41.422,79.699,103.998,-7.906,37.727,-9.717,-50.473,-8.677,-5.136,-10.692,-6.0,-24.979
42.304,85.053,82.883,12.358,36.068,-7.172,-51.006,-23.322,1.487,-13.929,-4.243,-13.447
41.444,63.253,93.339,9.756,7.314,-23.961,-25.888,-3.163,-23.78,-10.381,1.23,-7.854
44.076,68.046,85.728,-2.545,53.967,-8.655,-42.234,-8.869,-10.256,12.89,-3.948,-14.607
43.301,58.562,75.194,-34.84,23.911,-17.617,-29.668,-2.871,-25.04,-16.695,-5.227,-19.969
43.784,71.489,58.007,0.615,24.178,-13.106,-35.247,-15.201,-12.407,-12.53,-7.851,-9.24
41.318,40.29,68.685,7.932,12.206,-16.861,-46.022,-13.165,-28.968,-7.095,-6.426,-11.974
42.523,98.93,97.178,11.112,28.231,-9.63,-53.04,-13.294,-12.03,-19.488,-3.495,-8.932
41.412,84.355,101.981,9.215,26.48,-11.226,-42.908,-11.184,-11.919,-14.131,12.448,-17.195
44.169,49.993,84.212,-14.201,30.233,-13.284,-25.486,21.064,-7.401,-12.832,10.694,-8.405
45.035,92.211,79.11,-6.758,13.065,-11.944,-47.267,10.701,-16.051,-19.298,5.947,0.518
44.06,58.209,116.454,32.412,59.656,-38.495,-34.796,1.545,3.265,5.515,1.704,-11.967
43.763,57.549,86.114,-1.765,38.983,-15.683,-33.732,-0.403,-30.211,-3.466,1.258,0.798
42.999,94.753,109.36,-5.447,34.863,-6.345,-31.392,19.942,-26.908,-5.454,-0.205,-10.752
