0,1,2,3,4,5,6,7,8,9,10,11
0.083,170.947,10.693,-30.747,57.698,-51.208,14.956,4.24,-27.32,0.894,-8.397,-7.439
28.117,202.845,-39.347,158.321,85.284,-9.449,-42.329,52.867,-13.403,-28.17,-4.599,32.801
28.52,203.668,-38.14,157.61,85.079,-34.933,-47.708,46.527,-13.615,-34.854,-22.25,35.093
28.25,205.08,-50.605,147.527,91.605,-33.179,-43.857,52.626,-16.176,-32.258,-18.872,30.101
29.39,206.532,-28.418,126.891,92.545,0.189,-38.531,51.163,-15.673,-22.345,12.471,29.347
43.395,58.185,85.001,-198.344,44.85,145.275,25.931,42.303,-12.482,25.152,-5.611,-7.698
57.766,105.495,11.785,-27.667,-19.319,-36.942,-35.708,-23.959,-21.158,27.332,11.376,-22.21
56.009,71.826,-19.884,-13.662,0.575,-74.244,-49.295,-4.266,-8.027,0.188,-16.351,-13.588
56.272,91.248,23.327,-1.372,-3.319,-10.682,-49.058,-21.304,-22.182,6.792,-18.85,-28.06
55.79,99.416,8.315,-21.107,15.146,-8.997,-31.605,-24.658,-21.246,6.584,-21.667,-4.527
56.254,98.037,20.5,-39.399,-3.434,5.149,-49.686,-22.415,-6.382,-14.438,-9.557,-10.954
56.336,143.389,2.166,-50.634,25.342,-29.27,-53.575,33.428,2.214,-25.79,4.594,-6.866
57.114,163.309,-26.442,-39.077,14.859,-58.465,-22.969,1.499,2.769,15.024,-13.912,-3.031
57.318,80.27,15.833,-15.866,-3.704,-27.428,-37.824,-11.192,-38.394,14.428,-1.087,-14.224
56.241,69.242,8.149,-7.269,-9.161,-55.818,-38.334,-8.114,-37.501,6.933,-24.575,-18.223
56.822,113.667,-28.929,-26.001,10.42,-20.744,-37.464,18.545,9.132,-14.666,22.562,-5.868
55.604,115.037,29.698,-34.48,-0.503,-11.213,-50.233,-8.504,-4.51,-2.049,9.255,-14.363
56.604,98.284,-7.933,11.852,-6.433,-19.941,-34.628,-10.101,-18.691,1.355,-5.012,-7.264
55.22,116.725,26.288,-33.391,-6.451,-15.681,-49.612,-3.556,-2.455,-3.858,13.256,-15.677
56.104,90.615,7.132,-4.884,-17.022,-16.261,-40.645,-19.329,-35.1,14.349,-10.71,-10.918
56.637,110.187,-20.143,-16.747,1.453,-18.245,-36.07,-21.268,-5.527,-2.556,8.879,-6.326
56.849,63.907,20.212,10.178,1.037,-28.712,-16.019,-0.607,-26.03,13.406,5.196,5.288
55.897,137.693,-3.175,-39.707,17.891,-7.237,-44.062,-9.529,-14.046,-5.04,10.544,-6.373
57.472,103.798,2.932,-15.973,-41.523,-37.681,-56.94,-3.01,-20.79,-5.215,-14.307,-12.245
