0,1,2,3,4,5,6,7,8,9,10,11
16.004,118.889,109.341,-389.069,36.888,-25.528,71.113,-111.435,-41.42,62.858,50.924,2.332
43.937,52.717,-98.004,38.896,-44.685,-125.278,-26.316,-7.238,-17.289,31.493,-20.944,15.154
39.25,99.507,-113.67,-10.722,-5.018,-33.023,0.909,-10.744,3.437,-10.226,-0.798,10.573
51.363,82.151,-46.981,35.229,22.575,-12.606,-27.349,7.406,-3.713,27.003,59.941,-4.722
44.242,64.954,-77.105,39.153,-42.901,-130.463,-19.849,-6.985,-22.605,27.892,-18.348,15.125
44.666,58.685,-65.276,33.769,-21.209,-104.541,-32.397,-27.603,-22.664,21.225,-14.84,18.331
46.482,185.874,-30.38,-4.97,23.705,-56.549,-6.11,-1.383,-10.722,-6.457,-8.953,14.144
46.067,130.29,-87.604,2.484,-26.454,-115.522,-21.602,20.699,-17.435,0.293,-3.221,16.001
51.367,73.124,-57.716,42.356,5.368,-86.895,-42.636,11.164,-12.143,-8.237,-26.296,24.166
44.227,15.366,-92.942,14.39,-17.89,-30.194,0.216,-23.238,-11.159,23.777,6.706,8.6
44.121,51.341,-115.568,38.855,-44.223,-123.267,-31.961,-28.81,-23.749,34.122,-0.057,7.186
51.071,83.587,-39.314,13.653,-4.683,-101.76,-40.967,11.985,-11.703,-5.878,-17.918,17.531
52.18,78.231,-29.317,21.944,12.706,-83.717,-40.851,6.133,-13.44,-0.199,-2.661,19.543
51.869,85.641,-34.605,24.021,4.465,-94.449,-41.316,9.818,-12.555,-4.425,-9.463,12.207
51.391,70.7,-33.594,19.305,3.441,-99.813,-47.239,17.168,-10.783,-7.328,-12.964,19.147
54.436,77.854,30.692,-27.826,7.613,28.716,-2.275,4.982,0.819,13.215,11.213,4.535
56.074,89.88,18.237,-15.397,2.944,-4.302,-9.925,-0.566,16.951,1.51,-3.987,-4.431
55.77,89.594,30.607,-9.073,-2.072,-23.103,10.236,0.42,9.982,-9.882,-11.424,-6.821
55.231,64.019,36.14,-14.265,17.209,-28.5,-4.381,-11.769,-5.248,12.38,-10.927,11.697
55.558,91.135,29.546,-16.134,-22.226,-53.69,-3.399,-17.759,-0.694,8.017,-18.462,-11.057
56.732,67.774,20.978,-6.044,-7.924,-64.069,-22.491,-5.187,1.418,4.961,-18.841,-16.328
55.895,76.588,47.373,-4.932,7.373,-43.091,-12.825,-10.272,17.423,13.127,-8.673,-30.238
56.533,73.701,21.164,-4.575,-6.421,-58.554,-24.126,-7.979,3.504,2.722,-14.058,6.135
55.945,107.38,32.894,-12.732,-8.74,-40.819,7.454,-11.305,22.335,-5.29,-0.641,3.091
55.397,85.855,45.065,-13.047,-4.67,-33.752,-4.453,0.216,9.434,7.118,-9.029,4.205
56.509,81.397,24.012,-5.489,2.985,-64.281,-13.994,-4.97,5.343,4.598,-7.664,14.515
55.717,77.124,24.755,0.55,-14.032,-52.936,19.661,-2.05,2.404,17.247,-10.467,12.984
