0,1,2,3,4,5,6,7,8,9,10,11
32.311,3.556,41.824,-104.007,30.694,151.004,39.737,18.598,2.528,45.648,51.634,-11.065
33.208,-44.047,-30.914,125.451,16.847,-9.989,-40.844,13.265,-4.593,-4.143,-63.937,1.503
36.497,-10.232,-15.812,116.328,31.086,6.912,-31.434,-0.096,10.849,-1.868,-65.708,0.861
37.762,4.142,21.466,-4.076,23.319,36.185,17.341,7.174,11.661,28.076,71.533,-22.55
40.517,-4.061,46.003,-0.746,6.476,-28.333,-8.59,-10.351,-12.822,12.987,-17.82,-7.476
39.557,-41.277,27.209,-19.498,3.866,-35.239,-11.002,1.059,3.72,-0.5,-0.462,8.741
35.588,-28.222,32.361,99.486,5.677,-54.492,7.908,24.874,-13.361,-14.315,-11.148,33.508
37.431,-7.989,22.52,5.308,-10.136,-14.305,-14.008,-0.65,1.437,3.338,28.366,-14.382
33.335,-38.489,-9.269,86.692,16.749,-10.159,-27.264,1.307,-8.261,-10.418,-77.543,8.065
31.077,-18.599,37.692,-8.792,32.06,121.662,0.783,25.77,1.322,-9.243,-67.456,-4.118
32.642,-13.341,77.653,-171.925,43.174,104.751,9.782,13.679,8.449,-4.978,-27.577,-19.828
40.767,-14.307,51.106,-4.862,29.058,-39.365,-0.148,5.032,18.881,5.895,3.062,-7.095
36.088,-31.99,-4.642,110.67,14.85,-2.773,-12.735,12.736,0.311,-0.365,-96.9,17.942
29.878,-23.309,71.303,-166.067,36.193,80.744,31.268,19.875,4.706,-0.122,-24.683,-1.825
30.471,-33.064,-38.598,145.429,9.88,-31.67,-10.737,17.884,8.295,-21.752,-55.086,-1.357
26.051,-24.857,33.407,-88.033,41.945,116.909,3.145,25.244,1.291,-0.506,-102.253,1.474
38.72,4.517,34.243,11.373,23.733,-43.943,-14.754,2.345,9.811,10.063,11.638,-2.881
35.2,-25.313,16.592,50.476,28.039,0.055,-15.92,11.699,4.625,0.386,-58.784,4.549
35.144,8.911,29.571,-80.525,18.724,100.797,14.928,10.398,19.497,8.405,21.737,-26.854
35.761,14.584,2.349,96.712,9.604,10.623,-40.358,7.21,-0.96,-11.649,-72.684,-7.22
38.337,-2.957,31.977,4.993,10.58,-37.538,-4.155,-23.909,2.176,24.63,34.676,-15.414
39.058,-42.037,25.773,-11.709,28.956,-20.727,-9.96,-5.156,17.091,4.457,-9.201,-11.952
36.917,-76.832,4.397,-5.928,17.788,-26.956,-32.51,-22.222,-1.118,2.002,-15.151,-6.762
30.014,-56.881,-59.314,87.846,-30.758,-66.86,-33.955,3.936,0.712,-14.861,-37.94,-11.673
20.126,-17.775,-61.918,74.214,42.259,-24.079,-24.943,9.354,16.058,-23.976,-13.376,15.767
30.153,-11.225,40.539,-145.711,28.238,101.589,22.904,27.342,8.284,16.546,-9.361,-16.152
34.476,-19.444,-21.776,108.493,22.909,13.497,-24.971,7.965,5.392,-3.91,-74.612,-0.16
30.719,-15.804,9.059,2.616,41.986,150.094,11.395,19.482,8.721,6.465,-51.097,-6.322
33.277,-5.929,63.178,-100.847,44.036,136.101,20.308,9.757,7.603,2.198,-11.301,-16.505
28.853,-53.132,46.265,23.858,-10.622,-21.487,19.11,12.154,-23.134,-15.065,-16.553,-9.417
37.674,9.506,19.715,-7.059,3.762,-20.367,-14.301,8.449,8.032,9.569,32.255,-11.317
33.759,-27.899,-17.704,116.373,21.179,-2.097,-22.324,6.052,5.975,-7.962,-73.914,7.21
36.132,7.042,4.313,104.341,37.65,8.401,-14.803,-4.081,10.641,-11.884,-63.227,7.237
35.828,-21.481,17.231,-1.342,31.751,33.681,0.765,6.662,11.415,25.649,48.24,-11.717
41.678,-6.288,37.911,-10.238,14.499,-23.033,3.078,-9.512,17.513,-2.37,5.839,-4.072
35.315,-47.409,-29.699,113.52,9.709,-4.314,-20.555,24.575,-1.528,-11.971,-82.429,22.297
25.587,-13.095,73.256,-236.729,19.446,10.453,12.703,-13.735,-7.423,22.639,12.406,-4.954
34.472,-22.525,-16.525,135.262,18.408,-0.176,-26.448,10.809,5.292,-2.855,-71.056,-3.507
32.251,-25.181,-13.382,39.74,37.278,128.425,-7.635,19.296,6.576,16.148,-13.173,-13.638
31.998,-9.307,77.257,-162.105,42.818,99.63,20.004,24.551,7.988,-9.87,-19.9,-13.598
40.187,-0.966,53.124,13.891,14.703,-25.887,-3.162,0.083,-1.251,10.947,-9.77,-8.996
39.54,-15.962,53.666,-21.852,15.203,-33.847,-9.806,7.388,1.212,7.491,-6.291,-3.571
33.601,-24.271,-20.361,126.927,1.899,-26.396,-30.219,13.383,4.934,-26.693,-27.747,-0.104
33.741,-10.87,5.185,35.947,42.567,111.233,2.488,12.122,12.632,-4.737,-32.473,-7.314
36.636,-35.719,10.273,5.359,26.657,34.587,0.973,-35.76,6.943,22.472,45.953,-18.757
27.614,-98.588,-83.702,81.907,14.479,-19.269,-35.77,49.979,23.636,-36.391,-47.618,0.847
28.087,-11.609,65.632,-312.621,51.113,4.686,32.679,19.764,-20.22,33.375,41.631,-7.911
40.582,-26.231,-38.946,73.551,14.965,-25.902,-7.596,33.906,-2.187,-10.52,-50.546,7.787
29.324,71.29,-62.928,-0.138,54.787,-54.869,-14.66,-42.677,-3.914,-5.935,-10.138,4.575
42.824,28.284,-13.294,29.745,44.794,32.088,20.999,-11.62,-12.49,-20.18,-12.999,7.285
32.947,125.325,-48.893,-26.549,71.35,-21.405,-33.095,-4.41,-5.33,-38.232,-2.046,12.236
45.091,49.206,3.051,2.044,37.158,-7.232,18.952,-49.103,-23.015,11.358,7.162,-1.322
44.719,11.135,-4.593,-28.163,19.762,-30.622,-19.935,5.161,-11.446,-26.34,3.986,2.099
42.177,51.261,-61.234,72.275,58.676,-43.591,-7.399,-1.745,-33.136,-18.756,-35.604,3.114
40.099,33.727,10.789,-46.177,31.947,37.867,23.655,-33.672,-28.909,34.528,-2.248,14.071
40.878,4.745,-40.914,22.589,24.405,-2.91,9.483,47.195,-6.561,-31.447,-64.054,21.554
40.763,31.297,-4.409,20.53,45.332,27.189,-8.14,43.751,-21.489,30.529,-28.016,13.818
43.317,-6.817,36.266,-15.357,23.286,-5.543,7.323,-2.223,-11.638,12.242,23.468,9.084
45.19,-3.424,22.357,-20.059,35.497,-27.55,10.011,7.682,-6.846,-11.281,-13.953,14.006
47.225,25.842,16.013,6.082,37.581,-33.6,2.535,-18.453,-25.47,-1.455,-1.744,4.127
45.998,29.937,2.854,-29.397,28.701,-36.791,1.77,-0.085,-35.443,-17.847,0.712,9.26
42.239,64.524,-79.679,89.043,35.812,-65.093,-14.144,2.426,-28.635,-5.451,-25.903,10.094
30.444,62.134,-102.491,6.99,57.764,-30.685,-40.364,-50.316,-21.726,-14.668,-11.386,16.375
35.377,89.377,-30.336,-106.055,55.776,5.854,1.611,-86.917,-22.289,24.935,-39.06,21.78
29.068,82.484,-73.788,-11.114,50.263,-57.021,-24.602,-36.326,-8.858,-1.569,-12.47,-0.201
43.211,53.255,-20.456,56.565,55.182,12.321,12.663,-32.397,-17.679,1.12,-25.015,-0.719
31.72,115.809,-67.377,-12.796,67.733,-37.17,-27.725,-13.221,-10.14,-15.918,2.21,10.329
44.99,51.943,32.22,-7.197,42.128,12.742,16.292,-36.99,-20.265,-17.407,23.348,3.782
44.835,7.714,-5.19,-8.488,21.169,-48.778,-8.526,-16.024,-28.403,-2.659,0.764,10.598
41.345,39.449,-60.288,88.917,50.851,-56.144,-6.885,-13.117,-29.387,2.54,-36.667,20.126
42.756,15.72,8.097,-30.724,22.189,-12.876,3.78,-3.915,-4.236,23.505,14.036,-6.447
39.542,82.503,-67.339,89.534,39.847,-14.725,-12.244,5.845,-12.935,-65.994,-10.662,5.697
38.107,9.056,27.152,-89.001,48.44,82.78,22.895,2.043,-15.02,-5.88,22.338,11.598
43.641,-14.768,20.068,-49.536,11.135,-27.269,4.174,10.587,-13.271,2.763,-13.474,6.673
46.07,16.147,-51.485,-7.641,20.255,-50.11,16.185,-42.898,-8.873,11.078,-12.872,7.806
43.103,-6.929,-24.971,-9.13,31.355,-42.171,7.558,-21.998,-25.493,-4.393,-16.533,9.304
41.61,14.861,-103.449,-19.273,57.438,-68.293,-2.963,-28.835,-13.856,0.324,-12.136,9.426
39.171,-12.166,-116.03,-56.501,38.11,-42.066,-10.109,-15.401,-0.794,-14.506,-3.248,2.319
39.579,-3.63,-127.492,-35.259,42.9,-61.131,-17.154,-31.843,1.557,16.984,-4.403,7.102
38.934,-4.846,-109.479,-99.818,36.929,-36.038,-17.528,16.569,6.355,-16.924,-9.917,-1.212
39.369,46.16,-123.493,40.32,48.482,-19.204,-21.68,26.632,14.838,-28.682,-17.006,1.176
27.792,86.237,-136.854,11.701,46.907,-52.539,-34.869,-49.445,-2.683,-10.277,-22.966,12.691
30.815,127.776,-74.466,-63.814,53.116,-30.584,-22.687,-31.146,1.202,5.345,6.344,-2.198
42.991,42.666,4.269,-48.643,38.525,15.189,16.821,-4.285,-21.551,-9.726,3.436,4.006
41.92,-0.439,-62.268,44.159,29.744,-38.725,-4.269,29.087,-18.093,-0.252,-45.808,8.991
32.349,95.19,-66.117,-7.595,47.94,-54.589,-23.104,-33.812,5.982,-13.463,-15.4,-8.881
46.479,23.931,-42.621,64.778,42.998,54.578,3.509,7.473,-4.38,-12.9,-0.005,6.064
31.169,49.46,-93.672,-9.621,43.228,-65.952,-23.263,-35.031,-27.924,-0.966,-16.074,5.42
45.051,62.559,4.458,-16.213,57.409,9.794,18.54,-48.449,-32.924,45.978,10.469,1.152
45.771,-12.02,11.286,-17.948,34.047,-27.772,10.789,-6.645,-15.862,-28.895,-15.774,-4.399
45.066,-16.576,13.475,-21.193,14.728,-32.405,-4.847,1.277,-27.039,-24.317,-5.875,-2.915
45.992,51.3,-80.047,113.978,33.676,-87.614,-46.987,-4.315,-17.972,-28.435,-39.218,4.689
40.106,5.801,-13.937,-66.492,32.552,29.034,15.503,-39.402,-21.242,20.112,-22.198,1.926
37.674,45.567,-121.135,61.069,48.578,-49.887,-11.237,4.645,5.295,-42.885,-11.337,2.062
