0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
31.101,100.942,126.661,31.752,6.961,-45.549,44.317,0.337,-47.859,18.939,10.873,14.696
38.7,138.264,134.785,-28.841,20.911,4.119,20.271,2.546,-34.672,2.914,-11.6,8.991
40.731,60.193,38.421,43.316,16.266,-41.691,-13.781,-26.929,-8.278,3.787,-17.154,16.814
41.917,106.354,65.137,6.408,9.326,-14.948,14.475,-0.961,-11.112,-22.101,-1.578,36.729
40.669,59.137,42.258,34.069,38.026,-23.913,-7.385,-7.94,8.133,-2.803,-26.056,12.031
38.785,78.693,49.711,2.621,10.032,-17.854,4.951,18.194,-1.668,-18.292,-0.962,27.293
38.321,75.626,48.365,12.807,11.478,-14.294,5.79,-4.902,-8.991,-14.855,-16.872,25.083
37.749,50.955,55.506,-6.961,34.654,1.777,15.856,-4.368,6.092,-8.253,-10.823,20.98
35.515,49.506,41.462,36.294,8.533,-17.397,-2.307,15.253,-6.084,-16.753,-12.728,14.06
40.155,107.333,92.073,0.253,28.13,-10.442,18.151,-17.653,-20.249,20.166,-19.89,26.864
40.255,76.109,35.779,9.786,9.662,-10.053,-4.671,-17.279,-16.726,-10.581,-39.393,27.068
41.825,83.694,42.084,27.347,8.265,-11.879,7.823,-14.79,-13.238,-12.157,-30.944,28.816
41.943,89.33,48.523,-19.712,5.951,-16.04,9.563,6.107,-14.981,-27.397,-1.074,39.584
41.99,58.146,55.733,33.727,20.682,-18.772,-3.657,-1.478,-3.868,-4.456,-16.021,5.222
42.141,84.149,53.462,18.443,21.309,-14.734,8.93,-2.668,-2.885,-10.165,8.905,19.613
40.51,72.359,57.362,7.553,31.513,-36.061,-0.963,1.5,4.473,7.959,-10.534,9.056
38.709,87.098,66.984,5.072,32.883,-26.792,4.208,-15.474,2.739,-2.667,-15.411,17.626
35.521,76.999,59.394,38.859,34.199,-25.381,0.378,11.552,8.026,-11.819,-15.701,1.324
31.888,30.82,40.229,-4.437,4.291,-43.736,-8.013,0.908,-9.911,17.578,7.773,6.902
37.825,90.45,89.881,-59.75,25.49,31.389,15.782,-6.994,-14.447,-0.514,-38.236,18.515
42.357,95.342,35.166,12.217,13.44,-35.731,2.924,-15.472,1.909,-12.053,7.022,33.439
40.578,55.131,18.142,76.762,22.536,-17.249,-18.83,-29.0,-10.062,-11.976,-33.489,24.819
41.362,67.665,26.217,41.368,-8.185,-27.926,-8.171,-16.089,-25.334,-11.491,-13.865,27.55
40.633,70.831,23.669,-16.602,-2.557,5.822,0.605,-5.333,-10.978,-21.447,-5.289,23.406
40.444,55.786,27.02,20.077,5.803,-34.428,-6.487,-6.993,-17.692,-3.459,-3.981,32.41
41.564,77.097,42.264,-2.42,8.239,-20.436,6.249,1.612,-7.733,-7.913,3.681,21.767
40.208,54.911,15.178,7.276,5.814,-7.723,-4.189,-4.259,4.294,-24.54,-24.627,20.836
41.201,81.682,44.3,4.549,-4.21,-8.699,9.155,-0.816,-10.182,-18.176,-12.699,14.585
40.802,67.807,29.031,12.009,4.598,-30.271,-2.894,-16.995,4.33,-8.152,-18.602,12.884
41.375,105.248,66.03,2.529,17.828,-15.211,8.571,-7.274,-3.299,-22.457,3.777,21.884
40.93,83.984,60.761,-18.768,18.322,-13.206,-0.954,12.034,-12.154,-14.563,6.003,19.271
41.365,97.14,71.723,-5.088,18.133,-18.452,-2.978,-3.04,-2.028,-14.513,-2.485,5.368
40.868,61.698,36.414,51.56,23.075,-35.353,-5.663,-38.049,-4.454,4.457,-15.998,21.448
41.021,47.305,33.787,25.5,17.633,-31.543,-5.799,-8.847,-4.499,3.476,-4.29,22.385
40.047,54.406,31.903,-32.264,-1.596,-0.518,6.417,4.384,-0.175,-18.543,-12.387,15.984
39.784,58.101,15.51,31.559,-3.593,-23.178,4.413,-8.239,-10.735,-13.683,-31.554,30.949
41.0,98.336,50.96,7.133,6.334,-8.596,18.372,-13.422,0.627,-22.03,2.489,14.593
40.65,42.68,18.998,13.729,2.511,-22.791,-3.475,-17.247,-7.697,-3.232,-18.678,9.918
42.872,130.045,76.987,15.751,13.587,-19.435,15.907,11.483,-5.152,-24.016,4.032,9.881
41.168,80.592,55.744,22.061,19.787,-23.243,-6.305,-13.09,-2.508,5.923,-15.515,23.484
42.558,119.735,74.446,0.518,40.298,-36.875,3.876,-7.96,11.17,-9.398,4.164,26.326
46.707,74.3,36.521,-0.475,5.202,-7.349,-7.737,-3.65,-11.759,9.964,8.583,12.74
45.705,45.668,35.941,6.132,16.61,-28.967,-32.104,-14.176,-6.667,-4.927,-4.621,12.768
44.661,50.358,22.556,6.48,19.29,-43.551,-21.216,-10.161,-1.184,-7.426,-3.053,23.743
45.141,-9.611,49.656,2.698,64.276,-13.799,-6.434,6.082,40.899,-6.851,-8.789,-25.867
44.168,0.916,49.557,24.124,65.106,-26.793,15.876,-16.907,41.326,3.435,-30.359,-14.211
44.139,54.091,58.448,-25.236,29.538,-18.602,18.843,-1.039,23.815,-7.471,6.145,-7.972
45.297,50.017,83.281,-19.942,49.783,-28.469,28.01,14.965,28.066,2.463,-0.367,-0.237
44.875,57.434,94.015,4.711,60.275,-36.061,23.456,6.32,34.388,12.369,-10.989,7.05
48.917,40.506,34.018,4.338,15.695,-37.541,32.377,8.225,20.928,-8.038,-6.837,2.838
47.648,42.923,50.018,9.841,18.084,-32.319,25.174,-0.108,15.774,0.818,-2.958,18.981
45.807,20.619,67.104,16.365,40.125,-40.002,38.245,-6.704,17.01,4.453,-1.528,25.695
45.698,25.655,54.842,-6.238,19.814,-44.174,39.074,18.235,26.467,-12.679,-1.999,33.332
44.678,-3.864,65.865,31.584,36.321,-26.086,53.077,-2.507,15.854,-5.993,-11.501,35.012
44.855,55.672,83.44,15.705,47.693,-59.544,55.861,10.405,22.59,0.437,6.769,42.411
44.99,51.796,77.796,17.609,45.94,-26.978,51.976,-13.482,13.729,5.815,-12.961,40.125
44.937,57.194,82.087,-16.842,30.571,-17.338,52.54,10.329,21.355,-16.366,2.897,38.831
45.421,1.205,49.652,32.981,22.086,-41.222,65.388,-9.305,10.976,3.182,-1.103,41.559
45.762,41.885,80.48,-2.553,26.542,-37.98,69.973,14.535,13.707,-11.539,1.687,38.7
48.264,48.342,51.141,7.871,14.317,-32.144,47.718,12.775,19.057,-1.103,0.994,26.655
46.0,15.228,58.999,10.757,34.203,-37.811,47.834,6.223,11.4,-16.365,1.064,38.409
45.011,35.624,67.644,7.057,25.771,-28.164,45.478,10.302,6.052,-24.037,2.263,39.738
44.097,8.871,90.933,13.261,53.667,-41.096,43.387,0.891,-7.288,-11.295,-4.777,45.131
44.97,52.401,88.588,35.433,40.328,-19.733,67.398,10.387,2.334,-19.2,1.918,43.967
45.848,75.057,102.518,-3.262,25.745,-29.033,50.197,-16.713,-2.987,-0.212,-8.216,44.022
48.015,69.927,59.271,-3.203,9.825,-36.343,44.569,29.443,3.269,14.616,-8.368,42.661
47.33,68.168,66.112,-1.643,10.071,-30.96,51.328,-4.488,4.388,9.341,0.988,41.76
47.386,36.748,60.692,-0.557,23.259,-33.339,40.749,12.492,2.337,-3.069,0.255,36.454
46.789,40.854,58.213,-2.886,17.568,-26.523,39.419,3.271,0.666,-12.161,-6.301,36.661
46.042,46.306,69.932,-19.624,26.347,-27.24,49.934,27.458,1.467,-14.544,6.766,41.566
46.922,62.984,69.401,9.537,39.809,-64.144,28.439,5.867,7.257,7.453,-4.272,38.452
46.92,74.145,83.72,-1.648,35.326,-26.77,31.172,2.77,-4.112,2.508,-4.029,33.473
48.773,74.493,55.319,8.855,19.608,-22.146,23.237,12.003,6.741,5.361,3.879,21.707
47.938,90.094,81.465,16.688,23.609,-43.754,18.929,-6.401,-8.983,10.525,5.077,40.886
47.113,49.869,78.07,11.136,35.974,-34.999,17.466,9.68,4.295,13.347,2.908,26.136
46.771,48.642,64.729,2.001,36.484,-41.833,17.705,1.809,17.845,15.957,0.49,25.791
46.402,47.36,68.594,2.548,34.214,-27.393,21.808,2.579,7.777,-5.354,0.621,29.581
47.352,59.11,74.561,-6.495,29.446,-22.739,26.087,7.911,6.842,6.735,-3.503,21.811
47.702,54.248,72.014,4.828,31.682,-41.133,12.193,-0.573,7.584,3.59,-3.243,13.126
47.192,52.111,63.32,7.133,35.099,-32.976,21.174,-9.381,10.675,-3.167,-10.531,27.711
46.464,22.216,40.273,15.063,34.744,-38.145,9.76,-18.572,12.77,4.481,0.545,28.245
46.695,39.487,53.372,6.206,27.525,-32.291,19.438,-7.118,8.754,-0.223,-7.256,27.541
46.008,37.735,64.237,-15.431,32.748,-38.688,32.771,3.863,15.78,-5.928,3.715,21.038
47.221,60.996,63.417,-17.982,29.382,-29.864,15.819,13.229,10.908,-7.841,-3.187,27.085
47.326,60.52,59.644,16.338,22.479,-45.504,23.969,-7.684,17.66,5.537,-10.746,12.79
46.905,48.492,49.828,3.114,24.764,-36.913,30.475,-2.675,22.646,-6.385,-15.767,10.929
45.727,19.624,65.99,-25.894,44.017,-43.015,16.877,22.877,21.243,5.881,1.827,10.21
46.712,56.086,45.436,-6.402,35.222,-30.589,30.085,-12.075,37.236,0.48,-10.884,-1.042
47.422,53.339,60.253,-17.452,40.628,-23.416,11.84,13.065,20.523,9.56,0.389,-9.861
46.507,65.782,70.618,19.809,52.92,-35.02,20.11,-4.255,42.972,8.332,-5.295,-10.838
47.401,48.624,39.811,0.313,43.794,-31.818,16.064,13.681,38.43,7.997,2.287,-12.131
43.471,33.635,76.855,4.972,62.135,-37.368,8.945,-9.232,35.925,24.979,-2.047,-11.429
50.148,63.826,-11.997,-6.832,35.626,-48.996,-1.333,12.276,23.426,-13.559,1.258,-15.254
47.302,37.349,13.224,9.543,24.025,-59.304,12.211,0.28,27.584,1.804,-11.983,-19.32
45.869,0.956,21.547,-12.09,5.284,-48.72,17.631,3.091,25.167,3.13,-5.529,-10.521
46.271,-2.445,26.361,-13.328,17.204,-42.381,23.714,2.594,29.424,10.089,-11.955,-5.335
46.255,19.309,62.085,-30.098,33.107,-31.816,31.77,13.972,31.821,6.458,-6.566,-6.032
48.393,32.627,46.509,-9.033,18.232,-39.852,25.145,18.591,20.272,13.548,2.923,3.533
48.186,40.957,42.728,-9.007,19.043,-36.322,26.793,27.873,18.955,24.999,-7.926,9.997
48.408,49.084,69.058,-5.743,16.608,-32.281,38.546,14.72,2.884,19.915,-4.702,10.205
49.038,42.047,30.469,5.477,14.209,-57.199,22.973,18.869,10.878,21.909,3.297,3.081
48.569,37.402,32.89,-4.783,19.824,-56.589,37.194,15.859,23.637,-0.918,-10.685,-0.799
47.893,49.963,61.332,-7.551,25.932,-38.046,39.761,7.738,9.771,13.913,-6.144,17.809
48.202,40.025,21.69,-0.526,5.649,-54.127,-1.189,14.736,10.456,-6.805,5.55,17.024
48.402,51.577,11.62,-16.508,6.669,-34.437,2.979,20.288,1.516,9.773,16.367,10.664
47.961,61.722,11.28,-18.747,-3.893,-54.366,17.631,14.196,12.336,10.327,-7.702,10.776
50.517,104.217,-6.143,17.75,28.115,-8.025,16.473,-39.126,-13.667,17.913,-31.048,28.855
47.778,79.656,23.991,-30.564,9.298,2.969,11.657,36.132,4.632,-7.723,11.425,6.708
48.755,66.786,-11.147,-2.495,3.799,-15.144,-16.677,11.001,-1.834,13.262,16.37,5.263
45.893,80.693,37.596,-12.779,0.047,-29.163,11.843,3.53,2.799,5.743,-10.49,20.086
