0,1,2,3,4,5,6,7,8,9,10,11
21.78,50.083,56.997,-220.862,38.794,195.282,45.414,-45.062,-38.223,67.871,-93.968,25.976
40.838,-14.384,-29.959,55.076,-10.808,-36.532,-11.304,-21.643,-6.707,18.15,-14.315,24.731
40.473,-22.718,-28.67,29.158,-34.309,-60.303,-20.062,-19.823,-4.091,25.331,-12.104,4.457
52.044,47.588,78.377,18.563,57.969,-2.128,46.479,0.5,18.986,16.266,17.664,8.73
52.656,77.476,61.84,-16.971,24.214,-5.627,3.539,26.085,-18.149,3.152,-5.179,13.754
52.944,89.018,58.506,-38.514,49.302,-5.417,-4.012,3.886,-19.558,-1.236,3.772,0.437
52.947,145.335,37.047,-62.949,27.636,-17.83,-30.776,-1.607,-25.681,-19.48,2.822,-8.163
53.901,161.239,42.666,11.581,-8.236,-24.547,-39.864,1.038,-37.317,-12.114,-20.102,-8.511
54.033,91.759,81.882,17.507,47.236,-15.164,-36.482,-49.89,-24.483,26.53,-3.441,-22.319
54.258,166.46,56.933,12.02,8.008,-14.167,-45.273,-7.918,-18.413,-11.809,-24.623,-15.454
53.719,83.964,52.791,29.68,16.486,-3.801,-46.275,-11.811,-17.872,10.111,-17.061,-19.145
48.953,67.442,45.46,-23.369,27.83,-16.5,-21.777,-10.514,-9.403,-4.458,-16.698,-16.623
52.93,66.591,119.996,-16.845,53.223,-27.646,35.407,30.897,17.163,-3.839,11.703,-16.043
50.569,169.895,-8.148,-49.741,53.952,-49.633,-4.804,1.731,-15.791,-9.905,3.895,-6.607
54.011,104.551,51.171,-7.831,39.592,-1.891,6.92,-40.992,-22.16,22.688,-18.184,-4.482
53.254,76.945,128.836,15.747,44.567,-36.243,33.175,19.475,-4.108,-18.252,2.608,-13.996
53.075,75.161,103.238,31.192,38.427,-25.224,-7.617,9.424,-6.043,10.706,-35.077,-36.721
51.486,92.587,52.526,-37.119,5.036,34.935,-26.045,3.34,-18.586,-0.537,-27.102,-14.008
48.618,46.374,29.001,-10.484,8.337,-7.124,-7.173,-26.29,1.755,-5.252,-36.765,-5.222
54.41,116.206,87.597,-1.785,49.378,15.865,18.566,-22.46,2.04,-0.39,-9.004,-14.039
53.401,57.945,111.226,38.326,47.618,-31.86,0.559,-14.419,-6.194,1.467,-5.929,-31.194
52.332,11.885,101.129,24.878,42.814,-27.628,7.453,0.931,-29.722,-11.203,-2.799,22.006
53.264,53.921,82.808,16.879,40.561,-31.145,-27.757,-8.419,-28.962,0.96,-0.377,-31.43
52.788,48.231,97.902,8.491,42.081,-33.461,11.449,-6.353,-16.18,-1.887,-11.866,-23.137
52.053,77.124,70.05,39.08,32.067,-39.838,-9.114,24.737,7.686,-0.025,-17.34,-9.202
51.88,34.76,66.42,-44.438,33.464,12.525,-26.645,-10.153,-2.755,-8.556,-16.044,-18.135
54.289,41.339,67.764,-19.464,58.812,-7.246,-13.743,4.745,-29.022,-22.952,13.558,-11.565
54.73,43.002,95.53,-5.38,56.996,-23.917,-12.43,7.015,-10.424,-2.227,-6.945,-3.553
55.482,74.729,73.189,24.462,42.919,-1.218,-33.537,-13.57,-20.29,-28.871,-16.518,-12.308
50.692,46.21,59.361,-23.6,39.721,-15.555,-13.215,-7.88,4.561,-22.102,-14.192,-1.835
54.083,63.347,89.021,-3.056,88.859,0.653,18.639,7.015,16.345,-16.187,-1.054,-1.308
54.239,129.554,51.432,-20.528,60.773,-25.934,-12.818,-17.565,-2.094,12.922,-10.701,7.136
55.621,103.569,83.702,-22.49,65.614,-32.258,-35.189,-0.227,-17.062,-10.699,10.427,-0.695
55.692,100.674,65.412,35.859,35.989,-5.436,-41.078,-7.89,-9.587,8.631,-43.628,-20.312
55.268,71.677,89.641,-5.385,80.222,-23.126,5.264,13.303,-11.422,-5.7,18.857,-7.855
