0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
21.255,-28.174,56.819,-176.989,0.407,20.589,58.769,-31.18,-34.075,51.703,37.67,-10.853
37.448,-62.161,36.697,-58.552,-27.228,-29.971,25.826,3.944,-10.689,2.669,1.876,-4.213
41.558,-10.67,-4.59,-18.156,-9.695,-14.385,17.605,-14.14,2.474,-24.669,-6.612,3.763
41.469,-24.162,22.618,-56.193,-12.721,-14.366,13.887,26.334,8.879,-22.301,-16.297,5.492
42.772,7.407,2.565,6.788,-19.812,-25.195,10.355,-23.555,-5.558,3.247,-8.472,-1.618
41.563,2.51,-23.59,24.973,-7.677,-31.599,17.03,-60.588,1.557,-0.685,-7.195,10.341
41.092,-22.452,-2.103,-7.145,-18.132,4.559,14.236,-14.67,7.647,-33.71,-8.401,-0.331
39.349,-63.452,2.967,6.368,-23.123,-30.664,20.259,-20.311,-5.928,-10.603,-16.732,7.799
46.602,4.14,84.512,-133.814,12.073,38.597,27.039,62.516,3.583,-21.293,-0.719,-22.695
53.866,74.018,31.043,2.041,-3.38,-21.295,15.647,2.233,6.404,11.377,-17.379,-7.451
52.451,58.604,20.98,-19.388,-1.707,-37.718,18.091,-1.458,5.771,0.746,-15.789,-8.167
52.104,21.38,7.72,-12.132,4.045,-40.958,17.388,-2.028,-9.976,7.64,4.931,-5.308
52.047,47.371,1.053,-31.43,-19.06,-40.804,-4.75,27.727,1.225,3.071,-1.005,-11.621
51.516,55.678,-24.472,12.243,-24.839,-35.84,3.491,-12.311,-1.39,13.498,-18.378,-3.967
51.767,72.65,-0.534,-54.175,-5.982,-11.089,16.769,24.353,2.195,16.333,-4.898,-7.037
52.622,90.919,2.826,-33.203,-3.313,-31.392,3.41,-6.435,0.8,20.693,-14.896,-0.932
53.497,93.227,-7.229,-22.936,-1.685,-26.479,3.574,0.863,11.467,1.276,-5.099,-3.358
51.023,13.127,-18.376,20.473,-14.973,-63.662,2.65,-2.622,-1.741,-2.223,-29.344,5.922
47.501,6.596,2.931,-28.884,-16.757,-67.866,13.794,4.633,-1.389,9.709,3.015,-4.025
51.26,39.831,30.214,-57.099,-2.39,-36.329,20.365,37.069,-0.523,-0.486,1.159,-20.497
52.609,34.779,16.742,-17.917,5.584,-58.54,21.085,1.921,16.753,5.567,-9.875,-13.924
52.726,49.865,33.181,-26.202,5.895,-27.634,16.098,22.055,9.032,2.736,-8.614,-21.971
51.609,30.613,3.405,-11.358,-7.85,-34.897,9.664,12.135,-12.002,20.324,-13.285,-4.409
49.381,62.685,4.502,-37.358,7.444,-51.672,12.738,-16.365,-19.836,4.114,-6.55,-0.03
52.99,70.05,-6.815,-26.639,-9.834,-32.556,2.625,7.735,5.088,2.168,2.304,-5.817
52.944,74.788,-5.599,-27.169,0.532,-28.674,2.645,13.748,14.888,5.422,-3.989,-2.669
52.243,65.236,-13.283,-20.109,-22.405,-34.124,-9.328,-2.227,18.468,9.693,-15.919,-10.476
52.296,35.73,-3.173,-2.374,-18.994,-47.856,-0.589,6.44,-4.484,0.279,-23.429,-6.27
52.314,40.674,27.392,-13.821,-38.416,-33.728,21.163,4.874,-25.7,-5.213,-6.186,-15.769
53.401,57.252,-12.461,-20.116,2.618,-46.852,16.758,-1.309,25.815,0.472,-11.384,-17.173
52.189,44.398,24.111,-14.022,-2.195,-33.279,24.661,-7.305,6.977,9.672,-12.262,-1.061
53.368,54.901,7.921,-16.478,-1.05,-40.827,6.701,2.521,19.642,-9.893,-12.578,-28.803
52.058,27.191,10.353,-20.206,-3.226,-35.733,2.539,0.069,-2.26,10.701,-10.986,-18.569
52.034,20.42,2.17,15.289,-5.244,-62.801,9.608,3.694,-0.659,4.63,-24.57,5.278
51.172,68.275,-6.119,-62.108,6.589,-23.82,10.967,17.819,-5.674,21.652,-6.902,-6.891
53.353,62.824,0.834,-34.287,-16.985,-47.411,1.146,12.059,6.234,7.018,-10.263,-8.006
53.222,101.945,-8.473,-15.623,-19.958,-37.551,-1.46,14.497,20.097,-2.289,-7.562,-2.283
51.815,62.374,-14.642,-14.66,-28.107,-44.674,-13.007,-12.251,3.23,1.665,-14.566,-0.133
50.671,29.048,-22.211,10.419,-17.529,-34.712,-2.785,-1.865,-4.991,14.02,-6.667,4.886
46.928,21.966,-15.165,-18.305,-17.79,-37.392,23.343,-10.227,-1.064,3.15,4.667,-2.703
49.34,10.328,6.96,-41.439,-10.06,-21.821,30.11,5.069,7.874,5.159,-3.68,7.83
51.625,34.307,20.386,-61.043,-9.825,-34.906,6.966,30.55,7.551,-1.491,-4.862,-2.268
52.763,93.537,31.654,-16.478,20.016,-33.749,13.549,-8.824,-4.208,1.46,-10.762,-7.417
52.483,55.965,32.522,0.843,1.025,-43.109,28.797,5.72,-4.996,13.055,-12.482,-1.047
52.856,37.072,11.693,-5.618,5.912,-45.533,17.744,2.272,16.649,10.15,-4.654,-13.051
52.715,62.765,28.974,-31.946,0.505,-29.761,33.832,10.619,13.37,-7.616,-12.701,-4.208
52.518,32.802,-1.596,-6.231,-4.777,-28.572,16.008,-0.39,2.298,13.554,-11.001,-1.298
51.616,23.087,2.479,-0.482,-0.992,-63.011,0.706,8.401,-6.585,-6.192,-23.707,4.541
49.377,44.727,-10.629,-28.277,1.994,-26.052,12.553,30.016,-0.509,4.579,-10.767,1.488
24.768,112.053,-149.494,368.327,14.377,-224.339,-64.998,66.662,19.046,-74.91,30.256,-21.582
51.163,88.559,-5.155,-65.224,2.048,-18.326,14.996,0.08,-4.66,7.453,-9.576,-10.989
52.64,43.289,-3.293,-22.22,-5.185,-49.411,-0.843,-2.913,1.943,16.286,-12.752,-9.912
52.324,69.498,-3.97,-40.743,-13.71,-32.505,-8.464,11.719,15.545,-5.561,-5.683,-0.139
52.662,67.012,3.352,-18.481,-4.443,-27.565,-3.858,12.566,-5.351,10.737,3.499,3.537
51.99,67.461,8.106,-20.26,-11.569,-30.756,-6.743,4.261,-0.061,3.844,-6.147,-4.254
51.559,72.992,2.663,-30.392,-7.619,-30.766,-5.733,-5.726,7.548,14.451,-9.674,-6.338
45.159,49.632,-106.093,190.839,8.101,0.846,-37.387,64.288,-10.125,-13.494,-146.139,18.29
38.233,40.794,-51.685,54.699,34.852,179.559,3.022,92.852,-0.916,-21.862,-99.349,12.398
38.331,26.182,-16.992,-65.643,43.043,203.543,12.831,111.635,-6.456,21.891,-11.806,-5.491
38.568,-12.668,51.962,-191.531,28.738,127.505,38.014,28.091,-5.986,25.779,5.955,-3.062
52.471,66.189,-17.646,-3.51,6.3,-17.343,10.232,33.469,-3.212,-7.721,26.203,-16.478
51.684,50.128,26.784,-49.943,8.66,-43.392,17.003,-0.793,7.801,21.869,-4.256,-12.625
53.026,50.291,31.767,19.677,11.89,-40.938,30.942,6.522,21.223,-1.837,-12.478,-17.076
