0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
19.706,-89.252,117.392,60.562,135.462,-12.885,-10.928,18.563,-46.254,4.681,9.226,5.061
19.162,-75.45,92.292,9.307,90.894,-47.538,-16.665,3.571,-26.014,-14.188,0.394,-9.909
21.207,-134.101,58.048,-27.332,105.225,-24.832,-2.737,-15.938,-30.838,10.555,-2.665,10.643
22.961,-146.648,52.589,-24.129,97.685,-38.94,-17.434,5.76,-12.669,-6.925,6.284,8.797
23.306,-99.22,68.785,-18.399,76.171,-20.694,-27.633,-4.806,-4.25,3.278,-2.253,14.872
25.463,-127.258,97.129,-8.556,90.687,-16.632,-16.416,-4.914,-17.357,8.079,8.605,15.016
26.51,-117.283,77.771,-5.52,63.248,-27.845,12.434,-14.98,-6.342,7.979,-5.477,31.242
26.908,-163.39,40.757,-6.15,54.361,-33.17,7.677,10.873,-11.231,-2.619,-0.205,20.468
27.194,-133.486,56.481,-11.295,44.783,-33.829,13.045,1.529,-7.703,1.455,8.27,22.148
27.827,-118.63,68.32,0.343,70.317,-25.196,-23.328,-4.881,-1.28,4.264,2.401,11.192
28.341,-75.104,87.43,-1.836,90.379,-40.861,-23.044,8.965,21.987,2.087,10.946,15.018
30.403,-101.517,58.022,-8.818,75.672,-33.332,-36.092,9.307,3.576,13.792,11.462,22.24
28.956,-97.684,66.814,-19.627,75.441,-34.022,-33.908,5.013,7.066,-8.769,18.452,23.437
29.419,-153.311,69.104,14.335,78.12,-52.861,-35.48,24.067,-1.991,-15.108,7.318,19.517
28.958,-134.877,25.3,-53.653,49.634,-30.664,-18.576,23.035,7.5,-1.553,9.854,23.284
29.99,-120.032,-0.276,-17.627,40.762,-40.655,-33.285,-0.79,3.745,-6.115,19.891,32.486
30.617,-50.865,73.628,-13.324,66.142,-31.667,-47.954,-25.886,16.923,0.205,0.922,2.071
31.922,-88.287,78.213,9.649,68.349,-43.072,-35.475,-13.75,2.079,11.343,-0.095,7.915
31.472,-97.407,87.629,-3.59,99.24,-35.618,-56.431,29.973,17.494,3.83,9.626,1.606
31.349,-60.859,77.981,-12.407,60.212,-15.488,-36.834,-11.165,-8.13,-2.591,5.826,14.292
31.405,-103.484,91.961,-18.043,71.908,-16.713,-31.741,4.5,-20.124,8.308,15.377,16.628
34.312,-84.699,83.887,1.51,75.275,-22.578,-41.22,21.851,-1.117,-20.311,12.162,18.669
32.3,-59.922,65.615,-27.719,57.119,-18.843,-49.438,-8.427,-4.512,-11.89,0.55,16.276
34.049,-95.77,48.903,-21.721,41.157,-22.633,-24.468,4.574,-9.093,-8.269,-2.306,24.441
35.24,-31.898,92.444,-1.188,60.603,-25.668,-38.698,-3.404,0.544,-1.899,4.199,4.835
37.508,-23.695,89.95,2.148,52.302,-17.517,-41.879,22.404,3.559,-4.281,6.623,0.118
36.585,23.409,108.742,37.911,54.924,-10.33,-29.742,-18.125,-0.483,-9.148,-17.807,11.391
