0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
31.308,-31.786,93.235,-167.678,19.692,138.3,49.055,22.793,-43.83,54.773,44.3,-9.977
41.61,10.417,103.528,53.648,-3.803,-20.635,18.137,5.76,-26.936,-12.958,-3.038,3.633
40.7,-38.852,57.064,-4.474,-25.326,-31.499,19.611,2.3,-21.668,0.493,-3.626,-1.034
41.474,-47.729,43.916,-22.08,-34.055,-34.993,24.375,-3.811,-17.771,-2.224,-7.253,2.186
41.865,-5.227,56.747,28.886,-36.303,-25.784,28.251,-7.258,-31.081,-13.537,14.202,9.464
40.251,-20.955,68.491,15.899,-13.382,-7.581,23.989,0.401,-22.397,-6.083,-10.797,9.553
39.254,-27.675,36.53,-20.187,-44.941,-17.12,27.459,-3.005,-30.116,2.874,-17.302,10.89
40.175,-49.986,51.128,-5.768,-20.206,-10.16,30.538,13.566,-12.168,-1.94,1.792,1.5
41.441,-50.31,58.645,-4.718,-19.025,-23.818,15.973,10.757,-21.987,-15.129,-5.988,1.546
43.363,-20.793,52.639,-15.45,-18.376,-16.078,20.308,-0.875,-15.214,-5.951,-8.809,-1.012
42.872,-51.927,37.483,-4.647,-4.684,-31.258,11.2,8.093,-7.919,1.944,-6.266,-1.0
43.317,-42.928,62.552,-2.892,4.691,-25.098,-4.536,-0.503,-13.708,-4.82,-4.696,-10.256
44.842,-30.656,60.619,17.652,5.734,-7.887,3.272,-5.078,-6.328,-16.164,-0.75,-14.389
46.535,-32.922,54.448,-9.486,41.981,-29.976,17.752,-5.894,9.38,-2.4,-0.861,-8.939
48.793,-29.888,53.384,-39.967,47.513,-34.201,-8.785,17.747,12.707,-3.83,4.048,8.832
50.629,-10.518,46.377,11.798,38.664,-40.345,-19.423,-18.954,2.805,-3.78,1.369,30.834
49.921,-52.555,38.926,-1.362,34.906,-38.808,-16.775,-1.987,0.598,-6.734,3.583,18.234
50.075,-35.763,30.156,-34.152,44.642,-23.832,-20.939,-17.055,8.202,0.157,0.445,27.174
50.255,-57.406,38.403,-10.14,39.216,-27.095,-14.971,-30.436,3.765,-10.792,-7.071,20.661
50.852,-33.861,69.079,-28.477,41.097,-12.492,-8.901,16.373,5.1,-12.346,-8.366,8.688
50.491,-33.776,57.755,24.494,37.325,-31.03,19.743,-30.566,3.696,10.456,-10.004,19.017
48.971,-90.888,70.841,-20.072,44.718,-10.241,-27.766,22.752,12.895,-23.096,12.288,-27.706
49.893,-76.036,60.633,16.069,46.767,-34.195,-27.718,-10.495,-1.181,10.188,1.487,-28.076
50.578,-64.72,69.03,-2.717,42.571,-22.008,-28.614,-2.464,-1.651,-4.251,1.705,-25.805
54.284,46.142,-6.725,-18.706,-7.721,-52.097,21.139,30.474,4.717,-0.084,22.954,23.652
56.715,117.864,23.561,-24.356,-4.982,-39.852,23.734,-2.586,9.334,15.282,-19.987,38.748
57.318,115.751,2.38,-12.903,9.04,-28.724,11.451,1.872,22.907,-7.49,-15.837,18.596
56.665,48.962,7.899,-19.531,17.153,-67.627,-11.052,3.114,22.646,10.087,-11.476,2.06
54.145,60.604,-10.225,-20.4,31.6,-43.594,8.453,9.505,26.989,26.686,-12.923,-12.607
53.48,1.726,-13.923,-23.317,27.841,-44.237,-4.841,-0.371,17.336,12.008,-12.918,-2.818
53.369,-4.879,29.277,-1.484,40.045,-59.683,24.853,-9.053,11.597,21.37,-11.158,-6.59
55.538,12.86,3.117,1.194,24.405,-49.409,-0.946,-6.027,7.292,-0.756,-29.629,-9.188
55.055,48.256,1.082,20.869,40.596,-36.119,50.727,-24.987,-1.237,-21.309,-2.749,3.463
53.873,-8.365,3.649,-12.801,23.741,-57.287,23.153,22.57,-20.535,13.848,-17.979,19.21
52.983,0.04,50.165,5.269,14.458,-5.754,62.984,-12.874,-21.179,-17.841,-10.552,19.625
54.528,37.665,8.374,33.022,42.195,-44.741,46.244,-50.728,-20.217,5.34,-34.425,3.291
54.977,1.802,12.069,-11.91,25.688,-49.672,8.0,-6.589,4.383,11.715,11.236,-7.523
53.276,8.073,-15.877,-27.842,42.526,-63.873,23.082,-15.268,23.562,-5.99,-30.0,-11.387
52.126,75.191,-27.599,9.831,46.223,-56.371,4.903,-28.223,14.064,14.812,-29.423,-3.748
51.868,0.143,-13.034,-32.373,26.656,-16.695,8.665,-19.522,0.297,13.072,17.696,-9.085
52.432,-12.48,-7.975,-29.031,19.171,-80.893,15.783,-21.428,18.23,5.202,-18.395,-12.676
51.642,-35.292,26.534,12.025,37.361,-75.07,22.43,-30.109,7.37,26.481,-15.221,-9.444
54.193,1.145,27.934,-19.51,30.083,-1.276,15.721,13.814,23.807,-26.363,-22.59,-18.293
53.951,5.693,-24.099,-14.089,19.378,-39.604,6.612,8.986,-3.289,-2.171,19.06,-16.86
54.066,23.071,-6.343,-25.176,18.433,-58.781,43.522,17.59,-22.718,-5.623,-19.051,26.773
52.69,5.01,7.736,-8.38,27.552,-31.97,51.294,1.801,-24.522,-15.574,-24.938,14.56
55.11,76.739,7.929,17.761,64.637,-50.155,25.077,-25.906,-6.467,13.229,-17.374,-9.402
54.591,8.197,0.777,-2.227,28.203,-41.25,9.526,-2.627,-3.265,8.635,17.721,-4.744
52.513,-24.32,47.737,-7.994,30.519,-25.853,12.007,1.436,28.298,-4.465,-19.625,-9.426
53.2,-7.391,16.555,-26.457,27.171,-38.287,11.935,33.264,25.774,-5.141,-16.596,-10.352
53.244,16.583,-18.199,-32.912,14.082,-41.92,9.556,-11.18,5.687,19.115,-4.149,-8.444
54.177,26.079,-19.125,-4.477,45.235,-40.251,23.742,-23.317,31.024,-10.678,3.681,-10.758
56.193,28.683,3.145,9.567,28.578,-55.104,3.145,4.148,-4.442,-9.242,-33.25,-3.861
56.658,94.95,14.465,-4.914,43.146,-51.959,37.588,11.535,-11.856,3.6,-5.975,2.869
56.06,65.39,-12.404,5.327,45.531,-40.226,24.594,-9.417,-9.041,2.961,-28.825,0.389
54.101,20.291,19.308,25.093,23.577,-26.097,56.32,-5.928,-25.934,-16.01,-12.524,25.411
55.213,72.241,3.494,15.856,59.113,-59.804,25.181,-22.186,-0.76,16.513,-25.723,-8.219
54.774,7.554,7.257,7.125,26.081,-49.621,12.988,-7.751,-3.239,8.341,5.946,-4.122
53.128,-26.097,15.18,-18.697,8.284,-73.875,18.566,-20.071,25.658,30.329,-24.064,-6.414
54.029,5.251,39.873,-34.49,28.119,-37.688,26.417,47.392,20.013,-9.705,-12.071,-6.83
54.149,0.114,5.708,-14.755,14.016,-42.702,24.529,17.074,-12.948,-17.039,-22.473,24.149
54.981,58.539,12.658,13.198,65.242,-52.413,24.187,-25.072,-4.968,14.584,-22.259,-8.554
54.446,4.207,6.704,-6.659,20.057,-47.548,1.942,8.3,-9.735,1.66,16.076,0.668
55.659,55.194,-7.725,-57.882,25.643,-37.016,11.157,5.134,24.958,-14.227,-27.454,-10.694
53.631,28.787,-54.657,0.785,-13.513,-30.98,-26.205,-11.765,-15.554,9.312,-3.4,18.134
50.577,2.883,-61.433,2.052,-20.215,-78.17,-18.966,-5.175,-4.756,21.948,-26.103,21.492
54.144,51.937,-20.03,-50.453,12.748,-25.439,18.346,22.093,16.88,17.899,11.364,6.682
55.536,72.69,-23.352,-23.566,3.753,-36.507,-25.087,17.815,-0.9,20.712,0.465,12.199
55.094,66.581,-19.549,-5.345,19.791,-51.205,-13.732,-20.34,2.569,16.607,-14.308,10.069
55.226,45.765,1.249,47.962,35.376,-40.917,-13.276,6.394,43.61,1.796,-7.204,12.061
53.174,41.902,-5.028,-62.097,29.875,-15.396,-6.272,-9.602,12.613,11.185,-29.93,15.907
56.688,29.956,4.153,-17.3,66.856,-45.567,11.088,-3.187,2.099,27.893,-5.383,11.795
55.423,29.404,-23.314,-14.195,11.817,-29.168,-16.132,7.145,-22.668,-21.814,-30.567,9.704
54.318,14.789,-30.688,11.324,48.437,7.644,6.701,-16.833,-16.751,-2.471,-39.093,4.364
54.979,41.444,-23.159,-1.164,2.013,0.137,-5.335,6.073,-16.935,2.898,-33.433,-0.221
56.27,40.944,-3.093,-21.982,13.317,-9.859,-12.022,7.059,2.269,9.952,-8.658,-0.114
54.193,55.092,-46.987,17.44,28.421,-17.131,-5.126,49.995,9.749,-6.809,7.671,-16.793
57.963,40.809,25.415,-32.877,12.982,-34.269,0.342,12.379,-23.143,-2.588,-1.697,-0.579
58.057,55.185,37.184,12.142,33.698,-32.044,4.103,-3.27,-19.454,5.094,-27.061,-6.974
56.623,20.83,-9.141,7.105,16.144,-14.901,-18.97,7.172,-6.283,-18.405,-39.143,9.287
55.143,42.069,6.059,-92.788,10.662,6.261,-14.52,11.742,17.642,-3.301,24.588,-7.967
57.231,50.473,7.957,-25.692,9.759,-27.501,-30.41,-16.755,-4.655,16.433,-16.638,-14.64
55.083,27.702,-4.013,-21.695,6.83,31.374,3.241,13.078,-4.212,-17.161,-20.827,-0.258
56.908,55.81,15.988,-47.524,-17.814,-11.179,-13.702,-0.033,-5.421,-9.934,-17.022,-21.316
57.685,46.404,4.991,-6.334,-12.994,-22.74,-27.82,-14.132,-8.716,-7.929,-18.612,-22.784
57.351,43.444,17.933,-23.849,20.661,-31.421,13.124,11.088,10.067,-1.556,-6.069,-5.08
56.425,42.415,26.045,-14.782,25.661,-33.478,35.362,1.319,26.783,18.412,-14.176,10.301
53.25,10.662,-51.269,19.568,10.669,-54.746,-13.616,-9.243,-11.319,-27.846,-35.955,12.413
53.176,46.897,-51.651,1.094,31.154,-50.988,14.499,-26.875,-8.899,-1.039,-17.002,-7.933
52.04,-20.814,-29.564,84.863,0.342,-21.352,0.334,-31.427,-6.625,-2.344,-33.654,-9.029
56.253,48.993,-22.334,16.371,22.974,-17.351,-7.295,9.939,-11.044,35.532,-9.847,-2.582
55.833,30.625,-12.684,20.844,28.726,15.047,0.876,-25.434,-13.42,4.068,-33.984,-5.383
55.601,48.115,-14.959,-20.384,-16.145,58.197,-15.767,-11.962,-9.648,-23.532,10.734,-17.381
54.87,41.88,-30.618,36.84,-10.301,-5.829,-19.741,-10.088,-8.579,-9.251,-2.545,-10.821
54.587,36.027,-19.724,-1.517,-15.448,6.346,-2.11,-1.869,-15.186,-2.571,-37.068,-13.56
53.904,0.067,5.318,-57.519,11.323,21.408,9.126,14.538,14.147,-9.856,-15.621,-3.871
51.297,26.222,-78.907,-14.421,19.431,-64.614,-12.516,-15.432,3.051,-16.411,-25.53,7.081
49.869,1.668,-66.64,35.255,10.738,-74.208,3.522,11.096,-8.586,13.865,-24.188,7.02
52.509,57.027,-18.302,-108.9,43.644,31.045,34.991,18.839,17.344,-0.882,-16.477,7.789
54.821,34.09,-30.317,-11.48,50.63,41.249,15.07,-19.842,9.377,-6.249,-39.118,9.811
55.301,27.963,-16.802,-21.045,23.535,14.559,7.264,1.296,2.648,17.398,-1.08,5.646
53.33,-13.375,4.131,-60.508,39.602,16.069,36.898,23.954,29.488,-10.061,-20.291,2.031
56.424,56.654,6.556,-17.903,-9.471,-5.174,-26.814,2.558,-26.711,13.303,-21.877,-15.573
57.734,85.298,10.13,-25.874,-21.421,-21.851,-48.904,-11.547,-16.41,-5.567,7.63,-35.438
56.522,44.303,17.736,-12.937,12.448,-24.776,19.131,-6.023,12.617,8.814,-32.383,-5.139
55.651,26.253,-18.965,-16.195,11.29,0.636,-2.963,-2.813,9.27,-7.84,14.694,7.796
56.283,44.399,9.338,-52.198,17.869,-17.479,7.223,1.717,17.822,5.262,4.25,6.299
56.832,50.861,20.266,-5.659,32.51,-29.56,14.643,-5.2,24.662,14.383,-20.067,19.306
54.095,17.567,-23.184,19.68,4.339,-43.252,-7.299,-13.498,-13.434,-26.057,-30.139,9.467
