0,1,2,3,4,5,6,7,8,9,10,11
0.022,170.781,8.448,-28.677,56.663,-50.212,15.661,5.597,-26.917,1.209,-10.741,-7.69
36.525,-66.219,-18.985,-92.512,30.381,254.339,102.676,-11.747,-14.659,103.095,71.672,-4.062
40.415,-96.827,-56.819,30.489,-22.219,-42.845,15.014,0.924,7.058,-4.227,-23.183,29.884
46.161,65.907,-44.011,-0.987,-42.584,47.765,22.703,2.302,1.444,-42.715,43.664,9.998
43.309,-87.389,-40.444,5.922,-29.243,-67.703,17.119,7.171,-0.768,1.274,-0.049,23.815
40.114,-92.711,-54.675,18.662,-14.981,-51.888,15.782,-12.42,12.965,10.099,-2.743,24.843
40.174,-47.026,-52.455,34.67,-41.294,-83.525,-0.772,-16.452,-0.106,10.322,3.397,23.735
44.247,12.534,-60.981,-3.717,-20.639,73.73,19.6,-20.055,20.328,-58.046,-20.284,14.016
38.619,-90.154,-88.946,19.909,-26.057,-1.017,8.313,-17.522,-4.582,-4.715,24.093,17.254
45.455,61.252,-42.628,-11.533,-33.495,24.079,9.735,11.089,6.731,-30.875,19.785,15.56
42.929,-108.412,-29.651,19.849,-21.043,-69.699,21.25,-10.958,1.744,10.746,-11.72,26.552
35.991,-86.31,-48.527,66.94,-29.009,-81.213,9.046,1.338,1.292,4.642,-15.401,20.535
46.225,77.627,-67.287,25.429,-44.676,40.8,9.386,-4.013,-6.466,-22.634,69.335,6.944
44.425,-73.595,-20.786,0.05,-27.899,-47.61,24.587,14.171,-7.547,16.125,10.451,25.308
40.21,-90.514,-68.621,11.032,-34.301,-76.374,-9.962,-22.375,-0.682,11.991,-18.801,18.757
37.865,-93.897,-29.775,0.675,-38.706,-90.56,4.115,-3.801,-8.761,2.69,10.687,5.55
44.086,19.49,-61.035,7.998,-19.509,43.021,2.881,-18.17,24.986,-43.058,-35.935,12.832
41.974,20.585,-24.796,-66.559,-30.784,53.988,22.678,14.453,10.939,-32.223,3.778,10.561
43.272,-113.765,-45.831,15.474,-21.808,-48.994,17.374,-10.174,5.511,-1.778,-15.118,25.127
37.167,-78.346,-80.675,52.555,-36.562,-54.7,-0.137,9.18,1.949,3.079,-14.413,27.82
46.489,90.994,-48.045,-14.284,-43.238,31.275,6.718,14.068,7.877,-11.871,44.212,14.097
44.409,-75.119,-39.995,12.531,-32.676,-60.323,8.759,-20.475,-1.723,20.505,-13.331,18.133
41.414,-85.037,-43.866,-13.709,-24.244,-8.651,19.32,1.373,12.459,-29.51,-24.86,20.116
39.609,-85.499,-55.839,23.323,-31.05,-81.895,5.351,-19.345,-3.811,9.707,-10.648,23.458
45.982,75.03,-43.038,-23.938,-32.627,37.889,4.881,22.16,20.073,-34.924,24.327,12.258
42.796,-48.897,-60.097,40.419,-25.146,-49.384,11.262,-17.462,-6.946,24.847,-18.852,36.093
39.128,-83.793,-81.654,36.418,-37.451,-114.314,-17.095,-39.221,-15.073,28.529,-11.471,25.292
