0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
36.447,49.147,-19.851,-92.494,61.494,170.659,42.276,2.367,-6.993,45.581,83.814,-6.619
41.654,-61.252,-25.922,39.794,26.045,-57.472,-8.532,-3.178,27.65,5.099,-23.818,-4.525
38.213,-80.26,-18.536,64.657,42.462,-35.58,-1.831,-16.674,20.885,-4.932,-25.776,6.356
37.972,-51.033,-0.684,33.041,46.223,-14.031,-12.958,7.552,26.31,-26.678,-0.421,-7.709
36.381,-57.566,34.742,-32.472,46.891,29.277,-4.227,32.064,11.858,2.875,-6.617,-13.937
40.187,10.434,83.141,-38.627,27.325,-2.789,-5.767,-8.244,-10.573,8.511,-11.015,-3.423
44.516,49.718,114.629,-34.472,-2.062,-14.505,11.86,-12.99,-40.042,-11.36,7.566,-2.681
50.563,46.106,45.016,-20.466,18.619,-6.824,-3.981,49.788,-16.235,-0.967,-39.046,6.871
50.449,77.212,-45.291,-11.644,-15.276,-34.119,2.259,28.35,-24.754,25.11,-3.793,0.228
51.219,45.925,-29.362,-6.002,-10.954,-38.736,10.41,-8.521,-7.029,9.853,-17.584,-5.647
49.975,8.434,-20.508,1.408,-12.196,-43.697,5.082,-8.801,-1.146,12.626,-8.13,-9.762
51.596,58.872,-17.496,-42.787,-8.152,-49.896,4.342,28.436,6.189,0.209,7.261,-19.372
51.733,80.043,-8.163,-26.261,28.656,-39.74,2.631,-5.997,-6.905,11.96,-21.122,-3.276
50.899,50.954,15.56,-9.464,31.074,-33.233,1.821,1.47,-0.882,3.745,-17.847,-13.613
53.031,49.723,-26.22,28.22,7.431,-54.172,-7.287,-5.119,-6.459,29.088,10.283,1.051
47.123,20.849,-2.563,5.761,25.094,-16.594,12.667,26.248,-13.638,-1.95,-13.7,7.448
46.438,-9.573,15.366,3.365,16.443,-4.551,4.088,-8.563,-12.965,13.463,-3.404,7.378
50.921,50.054,-21.184,-32.734,-16.838,-49.989,13.194,22.925,0.798,-11.212,-6.981,-4.656
50.862,47.823,24.492,-5.62,-21.913,-29.55,19.62,-8.019,-19.676,10.358,-17.773,-0.504
50.027,13.198,38.099,28.232,8.317,-33.112,5.915,-0.491,2.087,5.386,-24.312,-9.249
52.435,32.379,-20.92,6.038,-2.986,-78.353,-6.939,10.118,-6.604,-3.646,-28.869,-11.843
51.001,25.74,39.842,1.684,-0.193,-34.812,4.543,8.053,3.857,2.783,-7.546,-23.056
50.12,15.024,46.754,-6.481,5.036,-29.514,-8.224,-0.142,16.526,8.155,-10.715,-16.695
