0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
43.209,59.791,38.257,47.066,22.7,41.086,-19.182,-5.96,-0.245,2.809,9.932,5.975
40.981,30.561,77.459,6.292,29.315,5.402,-25.638,-11.989,-2.326,-15.196,4.839,-1.095
39.406,72.411,-34.837,188.375,27.592,35.373,-61.558,-0.902,15.123,-28.938,-88.119,16.155
31.849,59.149,1.693,129.492,16.872,51.166,-18.006,-16.965,-0.608,33.923,-13.056,12.183
42.976,94.374,63.647,47.017,10.426,-9.061,-16.928,-2.818,8.979,-1.954,-0.496,-21.4
40.263,82.623,50.749,63.662,5.339,15.867,-3.525,-14.299,8.655,-5.536,-51.962,15.224
45.156,99.846,83.635,43.763,22.556,-0.277,-15.971,15.898,16.536,-16.602,13.336,-15.438
46.581,127.449,61.421,41.371,18.518,-0.708,-22.888,-13.301,22.667,-10.484,8.316,-9.808
44.915,81.131,74.376,11.855,3.019,-1.825,-20.757,-3.671,-3.937,0.903,5.548,-15.357
41.977,34.927,35.627,116.192,34.324,-21.605,-27.301,-38.772,14.776,6.123,-31.478,-8.928
40.817,66.87,81.491,-30.633,23.727,29.854,-19.729,16.77,19.142,-13.601,18.13,-2.855
42.685,73.051,37.548,112.676,24.658,-2.164,-40.578,5.685,16.971,2.187,-36.865,-3.337
32.301,87.84,20.763,162.38,22.258,35.507,-11.608,-28.309,-3.594,36.732,-22.89,6.7
36.099,10.656,36.444,152.109,27.029,-21.425,-46.377,-6.82,6.034,-2.587,-14.412,-16.923
33.967,62.356,48.937,85.649,36.601,21.72,-38.198,-41.322,13.641,16.562,-29.811,-14.545
43.804,62.553,85.089,52.036,42.435,9.888,-18.982,-13.899,6.97,9.74,13.354,-8.907
44.24,85.433,85.611,63.661,22.436,-3.603,-22.899,-4.034,4.183,-11.622,-10.885,-6.81
40.25,99.462,91.178,-1.203,22.117,72.878,-16.025,-3.389,-2.221,-7.311,0.6,-16.042
44.359,62.622,43.365,27.576,29.329,-14.02,-47.327,-1.393,20.721,-8.132,-8.507,3.934
42.521,91.741,52.083,7.761,22.935,1.214,-33.215,-2.503,18.038,1.072,7.445,-1.87
43.829,77.061,33.1,78.366,6.892,-15.465,-15.993,-2.882,24.394,-1.884,-45.77,-2.355
29.765,49.395,0.182,128.156,-19.851,-32.649,-30.262,-6.98,-11.875,0.372,-16.633,-3.315
33.334,80.7,8.971,159.462,13.671,31.267,-32.407,-24.133,1.49,23.197,-30.541,-4.433
39.66,70.489,20.791,129.293,-0.768,-16.622,-29.679,-3.034,8.483,3.143,-2.58,-19.257
34.797,45.231,24.112,94.563,5.038,-35.406,-20.583,-30.69,-11.327,25.238,-22.627,-5.587
44.542,95.621,90.306,64.515,27.277,-23.724,-26.98,-9.542,4.727,-7.537,6.195,-16.768
45.624,93.361,89.947,18.646,34.343,-3.428,-23.124,11.089,20.316,-20.076,-5.104,-16.821
45.554,94.978,83.573,40.256,13.761,8.767,-17.488,-14.707,4.692,-17.385,-8.851,-9.654
51.97,82.015,-43.19,63.302,9.857,-1.571,-32.329,22.665,4.996,9.948,10.335,6.075
46.578,48.55,-54.185,33.929,-34.532,-57.098,-15.67,-20.195,7.722,36.492,21.981,-4.866
52.919,86.647,-41.168,63.91,-1.397,-38.267,-42.023,30.081,7.937,-0.432,-41.012,8.797
44.72,40.547,-77.592,29.202,-46.788,-93.869,-30.193,-2.657,1.496,21.244,10.754,4.943
54.465,73.18,-31.52,30.856,-15.454,-45.36,-30.018,9.868,2.13,-16.038,-34.622,12.908
50.22,126.956,63.727,-28.775,-6.057,-7.827,-1.141,21.096,-5.728,-4.282,14.29,-12.469
52.767,92.771,1.924,-22.863,-54.187,-34.569,-7.731,-0.444,-8.696,16.543,-0.377,-8.86
54.756,88.897,-6.856,20.223,-29.345,-44.343,-26.981,14.219,-8.883,-10.556,-2.553,0.739
52.001,131.079,13.439,-64.955,-13.431,-11.98,-28.113,18.768,-7.095,2.181,-8.043,-0.78
53.083,109.577,-24.601,-38.949,-36.413,-32.567,-23.776,-6.538,-14.376,10.563,5.303,-8.828
55.147,109.382,-14.527,0.112,-23.574,-50.595,-37.275,12.183,-5.547,-16.022,-10.954,0.108
52.125,109.588,8.193,-28.099,-43.098,-24.776,-25.67,-7.222,-26.885,2.014,2.412,6.957
54.634,105.291,-7.946,-8.841,-35.541,-46.738,-27.924,7.393,-13.388,-4.23,3.496,2.665
54.544,108.969,-8.533,-7.023,-38.547,-32.986,-22.599,-4.164,-12.637,5.693,1.492,-0.511
54.455,99.47,-11.818,-3.974,-21.305,-4.76,-24.393,11.368,-6.385,-2.12,8.64,-1.208
53.749,109.413,-15.888,-34.47,-37.304,-39.72,-21.668,10.706,-4.224,-21.098,-11.654,1.776
54.973,116.614,-8.526,-0.11,-22.972,-44.306,-26.373,17.735,-1.834,-19.348,-5.89,3.39
52.868,115.245,7.657,-10.974,-36.888,-16.432,-6.92,-0.745,-39.524,-5.645,-10.228,19.553
54.26,110.288,-8.2,-7.767,-28.489,-44.614,-27.457,2.487,-6.832,-8.446,-1.003,-2.542
53.91,111.184,1.364,-17.143,-36.776,-15.016,-14.441,3.012,-16.987,14.515,0.131,2.053
54.947,106.814,1.35,-7.75,-26.731,-52.951,-33.377,12.999,-11.65,-23.063,-7.714,5.785
52.644,118.88,-6.685,-26.88,-40.309,-25.115,-22.104,-5.267,-13.645,11.997,0.675,-3.907
52.715,116.005,-17.551,-44.698,-33.675,-26.614,-17.108,20.445,-4.13,1.805,-3.258,-4.238
52.686,121.301,-20.19,-49.14,-38.753,-24.303,-9.055,-9.225,-7.186,9.315,0.386,-4.582
54.704,107.386,-14.939,-5.087,-24.415,-46.504,-33.408,5.554,-2.217,-20.482,-0.602,-6.977
53.049,107.249,4.142,-44.96,-32.278,-17.547,-14.875,7.35,-12.082,6.153,-8.87,3.756
54.384,101.473,-7.558,-10.163,-33.914,-41.728,-29.853,5.42,-12.751,4.973,-10.084,-6.062
52.601,102.035,-5.596,-22.997,-49.832,-26.472,-12.638,1.327,-10.682,13.299,-12.632,-9.205
54.166,113.487,2.953,-27.844,-21.753,-2.348,-20.138,19.524,-10.063,8.24,-14.627,-6.468
52.431,100.649,-17.145,-29.959,-48.705,-26.776,-27.425,3.609,-9.632,-3.833,-7.849,-10.26
52.314,129.26,2.967,-36.35,-27.945,-31.101,-20.996,-0.536,-5.791,-2.763,-12.97,-9.364
54.679,109.06,-12.656,2.174,-14.856,-34.496,-24.579,13.154,-5.532,-4.468,3.371,-6.101
51.855,107.326,-2.935,-2.407,-30.283,-31.933,-26.763,-12.205,-25.675,-2.434,-0.162,0.994
53.56,95.299,4.037,-47.307,-15.252,-0.259,-30.716,6.674,-3.986,-1.61,-20.501,-1.986
53.418,123.992,-8.937,-19.736,-49.553,-37.732,-13.753,19.673,-4.902,5.243,6.408,-1.754
53.903,117.54,3.466,-22.42,-26.548,-11.516,-16.484,4.016,-24.39,19.324,-13.582,-0.216
52.662,113.909,3.079,-24.002,-50.916,-18.247,-16.901,1.99,-30.861,3.539,-10.225,17.298
55.012,113.339,-3.048,-4.547,-29.912,-43.66,-36.198,19.404,-9.769,-20.47,-2.934,-3.926
52.404,108.363,-2.121,-31.825,-35.675,-16.234,-23.969,0.185,-9.915,-0.473,-1.623,-5.887
53.173,112.078,-22.406,-39.982,-34.059,-37.175,-17.948,11.01,2.602,-10.409,-4.589,-5.341
54.52,112.939,-7.456,5.568,-26.946,-49.297,-28.216,10.426,-3.828,-28.037,-4.538,-1.48
53.906,93.223,-19.167,-6.096,-20.917,2.392,-24.695,10.458,-10.188,-0.502,-2.146,1.002
52.772,123.882,-19.676,-38.922,-50.789,-34.66,-11.082,18.824,-15.737,-12.25,4.328,5.189
54.208,127.608,3.948,-4.127,-23.358,-21.629,-17.94,-4.3,-30.731,21.658,-8.651,11.931
54.443,111.074,-8.304,4.053,-23.95,-25.506,-23.239,11.741,-7.225,5.507,10.677,-3.035
52.96,124.548,-20.537,-44.499,-34.622,-26.155,-12.901,3.694,-5.284,7.74,0.6,-0.64
55.15,112.984,-6.611,3.781,-20.38,-35.657,-33.449,10.366,-1.364,-10.624,-0.013,-8.61
53.048,116.402,7.096,-23.697,-24.029,-28.134,-14.143,-14.417,-29.23,-0.52,-9.209,8.5
55.085,97.517,-9.837,-7.299,-32.806,-49.6,-25.436,8.857,-8.115,-13.374,6.623,2.104
54.07,112.574,-5.809,-9.326,-26.292,-23.301,-19.298,4.174,-12.991,11.507,0.447,-3.267
54.507,104.691,-6.506,-4.901,-32.865,-30.02,-32.92,14.731,-8.069,-12.308,10.205,-8.836
53.287,120.191,-20.019,-44.714,-40.627,-41.984,-19.303,6.069,-2.468,-16.331,-19.098,-6.245
54.77,113.159,-18.376,0.717,-20.706,-30.474,-32.057,6.175,-5.409,-8.852,0.356,-8.023
54.304,105.676,-6.737,-5.575,-33.683,-54.147,-24.448,21.438,-10.803,-8.104,8.203,-1.029
54.124,108.69,-10.678,-10.844,-36.793,-46.865,-19.404,-0.77,-11.641,-17.69,-6.675,7.406
53.024,105.061,-7.451,-23.247,-51.578,-31.695,-11.655,6.226,-23.558,-0.282,5.763,-2.842
54.95,107.074,-10.909,6.339,-27.249,-48.037,-28.797,0.224,-2.91,-21.269,-4.121,1.121
53.079,117.878,-18.144,-37.789,-40.347,-36.122,-21.857,16.333,-2.53,-15.081,-14.876,-0.876
52.623,102.101,-15.292,-38.207,-42.336,-39.332,-20.546,5.335,-11.778,-11.824,-4.362,-3.91
54.983,114.287,-3.493,2.503,-16.394,-48.279,-36.653,11.413,-2.308,-13.568,-11.916,-13.556
52.863,103.46,-8.179,-34.363,-44.523,-26.853,-8.231,10.018,-17.555,-4.665,-9.463,6.782
52.925,133.848,-3.066,-26.903,-34.205,-35.04,-14.403,2.341,-14.195,-19.233,-3.999,-4.248
54.012,107.604,25.563,-24.558,-12.638,7.414,-26.773,10.369,-16.122,20.349,-4.064,4.888
54.731,94.454,5.268,4.199,-27.914,-58.385,-27.738,9.379,-15.934,-14.576,0.466,2.652
55.376,107.523,16.941,6.03,-27.072,-15.863,-29.904,12.407,-12.516,1.81,8.242,-13.376
55.236,91.412,6.463,2.896,-31.195,-53.7,-31.667,2.05,-10.896,-5.633,4.583,-8.418
55.013,108.329,11.631,-0.273,-35.481,-55.657,-27.014,16.366,-14.124,-24.366,7.809,0.69
