0,1,2,3,4,5,6,7,8,9,10,11
0.057,170.133,10.625,-29.721,58.385,-50.872,15.794,3.365,-26.629,0.69,-9.255,-7.593
47.491,-14.478,81.746,-42.422,63.473,84.58,-37.025,-24.131,-33.742,33.239,33.777,5.087
50.674,7.952,82.896,30.177,56.937,-18.154,-82.862,-16.988,-23.602,-12.761,8.678,-11.582
48.023,-60.721,79.82,37.811,78.804,-14.166,-76.686,-39.705,-17.137,5.326,1.868,-15.855
47.016,-45.094,101.593,-9.979,71.132,2.164,-81.882,-3.012,-6.015,-30.06,-1.265,-27.257
47.021,-48.961,59.528,25.515,47.675,-29.588,-84.862,-39.859,-24.587,-5.386,-7.591,-8.518
47.628,-57.294,17.493,-7.752,22.864,-2.259,-48.607,-20.945,-13.583,-3.449,16.58,2.017
48.604,-31.429,0.496,-4.387,19.707,-19.573,-56.801,-14.651,2.784,0.615,8.073,-4.846
49.92,36.895,16.303,-48.007,52.964,-0.568,-32.599,13.229,34.271,-32.815,-4.733,-1.929
50.076,-14.465,19.521,-7.956,33.697,2.294,-45.316,-16.721,-1.49,4.981,-4.693,-3.975
47.71,-41.18,4.852,-32.894,43.877,-11.667,-56.565,-23.362,0.168,-11.206,-4.131,7.556
47.974,-4.106,58.228,-81.121,54.506,-9.809,-47.756,44.66,11.984,-28.98,5.56,4.592
49.161,-6.357,8.014,3.483,34.725,-18.212,-45.516,-20.874,-10.782,-2.541,1.825,3.896
48.256,-7.251,-3.635,-3.846,7.386,-10.122,-59.725,-26.829,-5.701,-12.844,14.335,-9.307
46.975,-52.238,32.432,-33.813,38.028,-30.458,-50.173,-6.759,9.454,3.216,6.805,-3.621
50.393,29.532,39.227,-16.968,67.734,10.367,-40.351,1.313,-2.691,-34.091,8.972,-0.624
48.38,-37.797,30.684,23.02,44.484,-52.646,-56.372,-12.863,-14.491,-2.553,-12.531,-13.325
51.866,12.094,38.811,15.584,9.873,-0.585,-53.933,-8.238,-5.596,-2.584,22.063,-38.436
48.517,8.522,69.633,-14.478,41.493,-10.472,-68.015,1.211,1.502,-6.57,-13.435,-25.529
52.513,29.193,16.888,34.909,54.668,-5.056,-51.52,-35.631,-27.65,-16.788,-5.023,9.692
50.176,-7.842,0.867,30.564,19.816,1.317,-60.295,-48.899,6.495,-7.984,18.535,-10.803
52.482,57.264,24.763,10.697,53.707,-14.174,-21.303,2.705,-5.213,-18.715,17.948,9.381
50.256,-19.332,4.777,6.696,38.757,-34.105,-41.531,-19.243,-13.23,9.866,-4.497,16.941
48.903,-32.252,-6.707,-4.983,31.674,-22.852,-30.366,-39.059,-0.69,0.624,8.162,1.089
52.696,57.6,-11.172,-19.622,35.801,-12.692,-64.29,-10.2,-4.193,-22.07,14.916,-1.055
51.216,60.683,1.099,-14.219,50.318,-41.512,-46.383,-16.255,-3.077,-8.234,4.376,0.445
50.53,-2.5,25.422,-4.755,31.215,-28.513,-34.303,-31.093,-20.942,-3.162,-9.527,22.405
49.649,1.214,26.229,23.931,19.554,-45.053,-63.732,-28.45,1.55,11.589,1.354,4.228
49.753,11.867,48.477,-69.369,63.706,-1.761,-52.113,33.898,12.835,-33.405,-6.307,5.085
50.418,-30.039,13.174,5.887,53.183,-26.741,-50.208,-41.016,3.879,10.303,-3.643,0.685
50.569,9.643,31.342,-10.616,9.668,19.393,-48.873,-16.082,0.419,-19.17,12.013,-31.848
48.109,-5.514,56.863,-0.101,20.793,-8.455,-62.606,-1.693,-9.927,-21.026,-3.956,-27.521
51.691,68.206,6.664,14.756,66.588,-8.689,-63.351,-13.052,-11.825,-6.608,10.594,8.206
49.967,-13.506,21.378,22.678,14.376,-28.513,-41.697,-11.924,-1.871,15.503,-0.819,-7.114
51.303,29.046,15.818,-2.161,15.854,-37.436,-42.618,-11.583,21.364,17.797,2.323,-11.874
51.523,72.313,21.053,9.499,42.935,-21.16,-24.449,-18.569,23.848,-2.316,-3.137,-19.447
49.875,3.856,33.464,24.213,29.666,-41.246,-71.885,-12.338,-1.012,5.459,-18.783,-22.197
49.743,-7.694,-10.145,-28.878,16.505,-11.055,-38.579,-17.983,28.201,15.291,11.282,-10.476
50.835,6.89,36.413,-71.88,37.413,-27.733,-24.888,33.851,19.739,-10.512,4.046,-4.673
51.184,48.441,49.911,15.466,62.167,-59.444,-39.659,-19.378,-18.174,21.287,-9.364,5.146
51.667,8.448,41.981,21.055,7.689,-17.814,-34.048,-6.816,-22.833,3.402,-1.156,-21.351
50.891,4.181,24.794,-5.336,9.866,-26.043,-45.101,-6.972,-5.538,7.053,4.163,-5.64
52.321,29.609,20.22,-22.242,40.054,3.845,-18.602,-1.661,-22.49,-16.716,3.773,12.449
49.621,-34.998,19.743,3.97,36.187,-17.147,-28.786,-34.046,-16.204,2.182,-13.722,-3.566
51.421,-11.932,34.197,-3.774,40.688,11.723,-57.8,-8.249,0.387,-21.052,-4.565,-24.591
49.84,-32.364,36.126,-28.454,24.949,-21.679,-55.167,-32.322,-2.878,5.33,-12.578,-11.258
51.308,-3.115,45.526,-36.117,51.284,-16.874,-52.792,13.588,-7.697,-31.386,-4.035,-4.424
50.612,-6.559,20.43,6.999,10.478,-42.592,-49.465,-17.105,-24.474,1.146,1.507,11.89
48.917,-29.807,7.497,-9.777,27.316,-4.513,-59.026,-32.911,-9.704,-21.613,1.474,-4.093
51.472,32.216,23.461,-0.821,40.908,10.065,-38.012,-9.45,-10.427,-17.698,13.052,16.189
