0,1,2,3,4,5,6,7,8,9,10,11
33.51,161.564,-8.731,-260.52,32.698,218.726,-4.329,9.349,-6.212,73.939,53.582,-25.936
45.171,180.348,6.751,26.451,63.51,3.399,-105.53,19.496,-32.19,34.876,-49.722,3.22
46.089,140.087,89.177,16.25,67.693,25.703,-46.842,-29.622,-33.687,39.695,28.393,-24.052
45.566,125.255,84.139,57.827,41.046,-18.252,-64.645,-25.059,-11.644,-15.579,-7.181,2.233
45.604,122.553,80.854,56.437,75.39,-4.56,-45.404,7.311,3.876,1.725,-25.57,5.544
45.192,158.864,97.19,-47.859,75.313,67.439,-0.818,-52.931,-30.704,34.115,-1.352,-19.766
48.566,149.665,76.415,12.31,37.158,-25.414,-29.259,34.731,-5.716,-2.768,-3.492,-21.818
48.275,136.431,60.361,9.607,23.082,-30.328,-53.399,11.55,-42.747,7.909,-10.768,-3.054
48.653,121.265,91.285,31.881,49.889,-29.984,-10.385,-17.492,-13.382,28.757,-21.823,7.565
46.593,96.03,101.251,19.833,63.629,-18.655,7.629,32.418,-3.488,19.06,-45.954,-20.851
48.517,150.496,83.745,-1.763,46.208,-12.198,-32.885,10.412,-23.123,29.273,-13.309,-16.978
49.167,136.717,98.548,-4.445,16.21,-18.108,-49.61,-7.861,-32.531,-10.5,6.42,-11.128
49.068,136.987,100.144,11.858,42.074,-20.703,-35.229,-8.627,-37.131,0.185,-14.612,-22.532
48.128,96.533,99.713,-3.908,64.389,-30.615,-14.926,-10.487,-3.92,7.965,-12.043,-25.395
48.031,84.412,106.125,16.245,73.458,-27.963,-16.998,3.499,26.811,10.26,-19.926,-13.313
47.747,92.849,90.24,28.768,50.857,-16.967,-20.392,11.279,11.848,11.138,-16.48,-7.845
42.738,84.952,66.699,33.673,4.39,-44.525,-19.951,-9.535,-17.726,8.429,-9.299,-3.497
46.419,157.245,55.623,-49.717,49.84,16.903,-1.064,-5.732,-35.298,0.417,-16.065,-5.748
49.387,136.324,83.992,7.511,28.864,-13.636,7.643,-20.243,-29.478,6.361,5.889,1.807
47.789,142.212,68.741,5.779,24.434,-9.536,-29.858,-26.452,-38.187,8.804,-20.839,10.833
47.489,139.708,99.945,-18.904,28.336,-22.057,-22.135,-12.503,-24.07,-2.383,-12.367,-2.259
48.447,139.368,121.958,-1.119,17.868,-20.228,-31.813,-7.033,-15.554,20.202,-5.676,-35.061
47.594,115.067,115.123,12.643,55.893,-27.593,-6.514,8.666,-1.977,30.026,-14.721,-9.298
48.915,101.101,93.902,20.028,64.616,-26.609,-1.465,-5.132,-6.019,11.212,-2.69,6.886
48.673,145.419,75.826,-12.122,31.011,-9.135,-30.342,-26.109,-24.143,1.428,11.272,-1.714
49.233,106.292,51.776,5.359,65.366,-33.256,-25.895,4.156,-33.456,8.759,-10.196,31.782
48.817,74.552,99.045,18.997,79.333,-31.301,-7.587,-16.587,8.729,12.895,-6.258,-3.732
48.053,62.119,115.598,29.703,74.033,-38.392,-17.636,2.104,23.683,17.802,-24.644,-29.461
47.869,80.72,94.517,18.993,60.613,-27.324,-29.46,18.001,14.497,2.552,-9.504,-17.718
45.062,121.959,70.973,-1.914,20.41,-22.879,-22.729,3.028,-17.081,-6.792,-16.629,8.569
44.105,183.965,0.752,3.384,54.364,-37.868,1.055,22.231,-29.579,-12.562,-8.519,-7.876
46.638,144.863,76.78,-39.314,54.498,20.371,17.354,-53.602,-30.305,24.138,-29.278,-11.645
48.139,120.788,105.634,23.901,45.342,-27.057,-25.765,15.206,-0.463,-15.072,-15.317,-39.934
47.896,150.848,52.733,-32.037,79.247,-7.682,-17.42,-11.519,-35.361,21.758,-18.39,-0.942
48.839,105.352,75.063,18.959,62.332,-23.166,-29.368,-5.815,-11.6,31.067,-18.52,-15.832
46.901,158.407,70.169,-24.461,46.993,-22.467,-13.597,13.697,-39.602,-15.501,4.474,-12.838
48.653,137.373,80.731,9.541,53.468,-54.928,-19.846,-7.28,-18.975,14.595,-2.341,-3.267
46.629,129.328,52.447,55.662,43.032,-44.467,-39.097,35.692,-15.337,11.561,-29.854,9.441
47.857,91.68,107.425,28.916,48.806,-19.92,-7.517,-12.484,-16.187,7.102,-4.816,1.92
46.827,85.423,94.704,34.253,24.18,-38.248,-10.62,24.61,-10.317,11.728,-18.078,11.354
46.481,170.791,39.597,-12.809,45.118,-26.556,-12.982,-5.267,-27.857,-29.884,1.613,7.937
48.557,112.478,87.001,27.251,45.542,-3.733,-15.38,-43.918,-14.758,24.692,0.459,-3.137
48.335,104.53,118.725,4.049,46.824,-27.845,-9.114,-14.982,-2.639,-11.894,-11.165,-38.953
48.77,128.283,79.788,3.865,55.5,-9.833,3.222,-39.817,-11.695,0.444,-1.143,-16.729
