0,1,2,3,4,5,6,7,8,9,10,11
0.007,170.982,9.242,-28.689,57.287,-50.1,14.972,5.204,-27.217,1.015,-10.699,-7.179
22.242,103.516,84.714,-341.751,27.142,121.357,54.639,-37.248,-19.957,57.591,-50.931,22.616
38.838,-55.852,-92.552,7.958,-19.368,-70.147,-30.521,-15.93,4.078,39.615,-5.462,36.567
37.407,-16.583,-53.474,-1.434,-17.973,-47.587,-17.939,-18.445,-29.882,8.397,0.504,14.179
35.77,-16.825,-14.145,-8.61,-24.001,-45.01,4.782,6.696,-13.923,0.073,-3.369,42.584
40.902,33.402,-21.464,-84.984,-25.691,-24.039,-14.687,62.915,2.987,-2.419,-12.873,29.471
42.889,22.767,-14.444,-17.327,30.099,26.361,31.076,11.508,10.425,27.102,16.495,10.666
43.33,49.142,-9.495,4.919,41.724,-45.895,20.763,-2.459,7.882,4.33,-8.167,41.804
40.481,45.442,-42.829,28.991,-9.734,4.179,-7.565,10.437,10.384,-28.978,-39.564,47.672
45.691,47.009,-3.5,-21.665,10.488,-6.755,3.726,-8.352,-5.352,14.196,12.93,34.935
43.715,24.391,-19.149,18.962,12.241,-32.575,-11.411,-12.67,18.699,-3.052,-27.842,45.834
37.595,-58.322,-53.042,-28.136,-2.119,-52.542,-0.492,20.778,17.618,10.096,9.141,40.381
38.023,6.321,-58.615,-2.135,-18.257,-50.035,-17.295,0.092,8.93,6.799,3.058,34.341
35.668,-26.007,-47.761,-6.1,-6.166,-56.526,-18.044,-0.84,-5.594,21.862,-2.983,39.659
38.153,-66.664,-70.735,-32.052,-9.68,-40.135,-4.464,4.066,1.827,24.022,4.491,42.273
38.668,47.961,-42.781,-16.775,-28.541,-36.134,-13.077,-17.963,-6.549,-1.058,-17.992,39.1
37.634,37.728,-37.351,-18.258,-24.759,-4.862,-1.036,-27.138,-15.091,2.692,-4.133,14.49
40.215,-22.143,-57.826,-38.401,-27.442,-9.533,-7.224,-13.19,-17.875,14.017,4.634,11.634
40.308,26.784,-10.014,30.276,-26.553,-34.418,4.801,10.713,9.358,-13.974,-21.219,40.286
