0,1,2,3,4,5,6,7,8,9,10,11
31.94,66.158,-24.603,-37.962,43.793,203.304,59.524,-55.556,-32.571,60.159,54.38,8.077
34.655,-34.459,-1.1,-73.016,22.448,23.817,17.049,17.32,-10.193,-50.892,-33.906,25.22
38.675,31.82,-34.221,-9.298,41.466,-10.676,28.497,-20.692,-28.448,-21.949,-1.573,10.809
38.79,17.65,-14.005,-15.244,17.043,-24.659,22.366,11.066,-16.806,-6.94,2.198,18.512
38.274,25.136,-22.162,18.127,31.954,-3.08,21.748,-35.011,-38.364,0.522,-33.893,28.926
43.522,43.209,-48.621,20.642,22.354,-30.668,-1.834,-20.939,-25.468,27.935,3.197,24.884
39.36,26.352,-29.106,-12.212,20.366,-33.773,23.148,8.818,-13.643,-13.801,3.846,29.309
40.644,46.833,-21.252,-22.873,24.485,-31.326,23.535,9.014,-21.722,7.961,-5.627,28.087
40.514,43.419,-23.444,37.713,21.143,-37.4,25.407,-7.829,-29.9,7.02,-14.582,23.448
36.96,-2.063,28.103,-80.468,26.713,-21.355,40.203,30.518,-7.427,-4.665,-20.649,17.419
41.08,36.84,-24.823,-3.928,16.425,-45.153,25.221,-5.776,-15.792,6.656,0.014,21.346
41.939,41.519,-30.712,-0.737,32.647,-2.587,19.863,-21.675,-27.374,-3.01,-8.801,17.682
40.09,6.771,-41.815,2.47,32.496,-18.369,15.206,-23.55,-29.748,-8.879,-11.715,17.159
38.042,15.26,-11.913,-39.342,15.808,-8.574,30.986,-16.486,-22.241,-32.23,-5.597,12.215
43.244,21.238,-33.955,-9.191,23.159,-32.682,19.883,-3.363,-19.512,16.943,3.527,22.329
40.24,4.174,-26.804,5.346,28.272,-32.47,31.299,-7.115,-25.857,-19.534,-9.579,25.999
39.576,9.085,-38.329,-2.771,19.976,-47.857,-1.695,-17.182,-11.522,18.127,-13.624,27.021
38.036,-2.011,-33.961,-17.125,18.183,-5.497,20.433,-7.338,-25.605,-30.7,-18.743,24.577
38.614,12.328,-49.47,29.477,6.5,-16.146,7.409,-50.388,-24.006,25.169,-2.704,18.701
35.203,-27.13,-45.717,-13.162,21.741,-9.108,12.17,-18.288,-5.178,-28.627,1.575,16.433
42.461,45.203,-49.821,42.089,23.59,-10.014,11.314,-34.07,-15.555,18.366,9.022,15.97
37.083,5.854,30.903,-19.734,14.798,-36.643,1.379,-7.637,-44.705,-4.798,4.746,16.344
42.876,40.646,-48.129,1.686,33.357,-25.395,1.794,-21.0,-40.143,20.012,-2.646,24.648
41.707,11.734,-25.753,-21.177,23.375,-28.132,21.809,0.844,-21.839,-13.212,0.582,28.876
42.888,55.801,1.704,-10.575,11.046,-21.322,26.673,-20.489,-47.959,-19.303,5.667,6.339
40.788,12.685,-19.583,28.971,-16.337,-36.893,1.241,-23.198,-53.065,-4.792,-22.523,10.261
42.391,14.531,-39.86,52.787,16.009,-24.596,15.146,-36.362,-26.389,24.092,-2.926,17.562
40.5,34.417,-15.149,-28.317,38.276,-1.567,47.656,11.137,-23.884,-42.622,7.422,30.543
41.966,43.241,-46.396,-9.435,11.443,-22.109,8.344,-21.751,-20.122,9.424,9.748,18.799
42.071,43.72,-29.347,-13.664,29.25,-17.684,20.079,-12.55,-30.546,-7.535,3.063,7.124
39.799,8.75,1.615,18.554,22.652,-38.496,27.923,-8.293,-21.028,-6.78,-23.73,23.197
42.51,42.558,-28.491,13.767,26.442,0.19,24.678,-12.09,-8.227,-0.354,28.804,3.942
40.122,25.919,5.8,-19.107,35.944,-35.335,37.678,14.974,-12.13,-4.442,-8.5,13.805
43.149,62.488,-27.056,15.944,38.859,-12.953,29.605,-12.0,-34.406,2.788,-2.803,20.772
42.104,57.855,-11.648,-12.92,33.109,-14.035,20.354,-23.143,-29.786,10.849,-1.841,26.476
41.257,47.177,3.147,5.493,27.8,-51.393,17.157,-0.214,-30.473,-0.676,-9.418,13.581
40.164,36.29,-8.567,5.67,28.152,-17.18,26.477,-12.795,-43.061,-19.763,-16.157,16.988
42.539,36.355,-37.346,22.982,14.788,-31.057,14.46,-6.661,-26.499,14.416,-2.845,18.648
41.524,37.663,-51.712,16.956,17.709,-27.937,-1.144,-26.387,-21.078,6.031,-7.287,21.434
39.761,17.96,-45.618,27.788,22.44,-44.313,1.502,-26.757,-20.57,14.08,-18.307,18.571
36.411,-24.151,-38.233,-4.928,19.149,-34.074,11.294,-14.133,-15.584,11.658,-13.242,26.514
38.752,0.87,-14.196,-59.223,17.997,42.63,29.46,4.338,-5.07,-54.991,-22.943,18.807
37.517,-23.806,13.849,-12.561,4.488,-38.838,26.717,-3.487,-24.388,-10.67,-1.064,9.393
42.523,60.324,-11.403,-62.204,38.843,16.318,36.272,11.29,-26.685,-48.533,4.258,17.527
42.002,54.129,-24.19,-4.476,13.678,-38.572,15.881,-0.415,-34.859,-12.261,3.862,26.546
42.415,53.057,-40.798,-10.75,25.917,-24.981,5.913,-8.315,-35.389,6.796,-8.73,31.156
39.906,25.791,-41.203,18.383,17.711,-42.859,10.955,-18.626,-18.172,0.602,-19.707,21.5
43.428,22.565,-41.075,20.101,27.995,-40.713,14.066,-1.233,-33.648,13.451,5.845,24.386
40.825,50.263,-21.439,-9.222,27.671,-35.319,15.274,1.093,-26.991,-13.427,7.473,28.302
42.235,68.218,-28.151,-4.083,28.735,-32.404,21.97,-21.745,-42.641,-3.302,-3.729,30.78
42.228,39.084,-10.974,2.728,25.397,-15.723,30.811,-0.654,-27.466,-5.9,7.974,28.323
42.03,81.014,-18.484,-1.099,48.831,-47.704,12.718,-9.243,-25.045,17.518,-6.478,15.504
40.303,39.687,2.927,17.316,19.794,-43.049,22.207,-7.966,-28.069,15.815,-13.629,11.281
44.954,91.937,-24.41,24.592,31.955,-20.887,7.33,-0.527,-6.464,6.798,15.093,13.774
41.847,54.685,7.893,4.646,29.508,-28.446,23.714,-10.551,-25.882,19.793,-7.395,21.54
42.316,58.373,-29.793,-3.274,35.489,-20.633,18.296,-24.595,-36.978,10.296,-4.391,21.94
42.826,60.494,-21.174,-20.608,29.537,-25.475,18.608,-15.966,-38.173,4.767,6.08,24.867
40.118,39.68,10.426,-38.054,21.873,-22.751,18.075,4.475,-29.755,-16.158,-20.928,23.405
42.335,35.606,-31.425,27.384,14.261,-41.233,4.934,-8.035,-31.599,6.008,-9.848,11.396
40.891,20.749,-43.84,34.664,14.44,-17.948,12.18,-27.38,-24.125,16.094,-4.566,25.757
38.681,27.881,-48.963,45.66,9.502,-20.446,-5.172,-54.647,-29.428,19.296,-3.825,20.176
35.351,-16.531,-39.552,-10.326,42.183,-13.545,6.827,-37.051,-3.094,-6.343,-6.014,13.863
