0,1,2,3,4,5,6,7,8,9,10,11
0.055,170.093,7.335,-29.888,55.625,-50.337,16.662,4.584,-26.839,1.756,-11.416,-7.584
5.143,56.773,-106.914,-87.88,18.058,-39.236,-6.322,-9.857,-33.224,16.773,-8.001,0.088
5.975,39.046,-117.477,-82.253,20.576,-49.171,-15.379,-0.136,-25.423,4.749,-7.388,-3.929
6.303,31.728,-121.017,-87.309,21.12,-51.384,-16.083,-4.936,-22.356,3.343,-6.349,-7.223
6.765,22.428,-128.687,-80.802,23.156,-48.132,-17.115,9.037,-18.174,8.768,-10.189,-10.917
7.053,15.272,-128.796,-91.636,24.771,-50.479,-19.45,-6.248,-18.825,6.667,-8.147,-10.182
7.373,9.544,-132.535,-81.688,27.912,-48.945,-18.508,9.586,-13.73,9.281,-10.339,-11.552
7.635,3.011,-133.215,-93.764,28.339,-50.002,-19.135,-6.953,-15.175,10.146,-7.05,-11.041
7.958,-2.569,-138.002,-83.779,29.421,-50.893,-17.96,9.502,-9.898,8.898,-11.715,-11.38
8.318,-10.692,-136.887,-93.97,32.621,-50.385,-16.948,-5.416,-11.02,12.384,-5.895,-8.869
8.813,-18.632,-138.396,-88.368,34.05,-54.401,-12.569,5.22,-5.972,8.48,-5.637,-9.714
28.083,-58.623,73.255,-295.689,49.962,31.38,33.586,3.457,-26.968,37.334,6.172,-16.663
44.531,-1.434,2.447,-18.339,16.39,-36.325,-30.989,-15.377,8.542,2.656,-7.73,-0.707
46.77,45.294,32.089,-31.469,17.795,-11.188,6.013,16.046,7.61,-3.329,21.301,4.935
47.86,68.152,19.924,-20.041,16.343,-34.508,7.735,-14.798,4.674,6.911,-6.022,35.536
46.162,12.556,24.253,-10.532,21.672,-25.542,-11.195,-4.099,3.685,-4.882,-7.782,18.969
47.652,45.886,18.2,-22.391,8.878,-33.392,-3.313,8.622,-0.75,-1.334,6.063,3.106
46.42,14.694,-2.641,-21.081,-1.302,-40.363,-20.754,-11.558,5.133,8.884,-5.344,0.833
46.656,32.042,17.175,-17.371,15.527,-40.651,-7.954,0.602,6.562,0.618,-10.09,26.339
47.678,46.148,8.555,-26.245,4.564,-41.757,8.24,-3.195,4.267,-0.913,-11.236,28.713
42.308,-9.569,-73.207,102.752,-1.685,-33.145,-16.419,-15.734,5.878,7.118,-41.372,22.136
44.524,17.734,-6.478,-34.612,30.964,74.755,2.913,-2.389,17.498,-25.708,37.531,-7.734
46.401,34.357,23.249,-35.976,25.7,-5.755,-20.503,7.954,6.972,-15.015,-7.717,-1.845
46.492,29.107,-1.882,-25.825,23.668,-30.469,-25.892,-4.864,19.085,-0.257,-13.016,-9.557
47.561,50.763,13.366,-28.57,20.803,-28.548,-12.193,-6.017,0.33,-0.098,8.807,18.315
47.225,15.332,2.904,-7.925,7.081,-36.573,8.426,-6.562,3.13,2.636,-11.31,19.975
47.352,54.79,26.234,-36.82,16.311,-16.681,-2.96,15.639,15.798,-17.626,0.298,-0.791
46.928,46.425,26.936,-20.339,21.565,-33.599,-9.115,-0.39,9.241,-6.748,-6.264,21.275
45.298,38.208,-21.94,54.546,8.719,1.588,-21.463,-9.408,-8.888,-19.326,-64.983,30.658
44.787,10.61,-2.193,-23.1,28.165,63.974,-13.328,-2.237,18.924,-14.566,43.491,-16.285
50.464,105.449,7.162,-29.444,-0.834,29.161,-45.854,-16.218,23.41,-28.927,3.492,-21.938
48.907,48.845,17.869,13.06,-8.695,2.754,-47.319,-28.014,-6.083,-0.899,-32.264,-19.36
50.264,152.907,-13.341,-51.379,69.185,-40.794,-17.545,-27.539,-10.279,-12.707,-0.027,-11.0
50.669,76.959,46.422,3.188,-21.657,-18.122,-9.017,8.533,-10.136,-11.789,-21.441,3.635
50.509,92.961,51.52,-11.345,-19.739,-17.096,-4.059,-14.787,-21.226,17.474,-9.088,14.774
51.487,60.014,52.297,-10.268,-7.52,-18.714,6.309,-3.617,-22.877,-5.401,-8.703,8.745
51.737,57.696,65.091,0.141,9.277,-13.431,-20.359,3.742,-30.383,-11.253,0.341,32.438
51.379,117.389,13.372,-5.279,39.521,-27.123,-6.084,-30.978,5.982,-25.212,-0.046,15.737
49.723,51.368,34.85,-3.85,-5.99,-52.134,-18.213,-32.923,-23.812,17.631,5.963,5.289
49.363,34.327,17.849,-0.895,5.299,-59.268,2.026,20.349,-2.237,-0.213,7.924,18.989
50.287,74.924,-21.924,-48.537,26.407,-39.742,12.083,2.604,-21.135,0.158,-3.248,26.772
51.204,131.794,-1.327,-9.72,38.566,-40.256,12.732,-29.443,3.589,-9.148,-10.264,6.042
49.134,43.221,21.365,13.535,19.92,-24.067,-19.24,-9.569,-9.827,-6.232,-30.692,-1.736
46.819,31.284,14.273,-15.81,15.463,-41.174,-8.628,0.888,6.425,2.612,-6.97,24.063
47.581,46.438,11.373,-26.216,5.259,-41.379,7.926,-3.598,4.534,1.186,-7.286,28.275
42.931,-3.181,-66.302,89.71,-0.948,-30.69,-13.846,-13.271,5.962,6.288,-37.554,22.328
43.474,14.293,1.046,-70.772,28.275,81.612,2.107,8.414,16.781,-24.2,12.268,-2.16
48.759,28.621,15.56,-53.749,6.132,-4.266,-16.256,6.509,-4.88,-15.421,12.981,1.966
51.195,67.412,45.467,-19.103,-10.217,-23.322,-30.933,9.196,-17.162,-4.849,-12.44,-22.823
51.247,66.585,30.244,-3.43,-0.107,-20.395,-22.593,-40.398,-15.331,2.911,-8.986,-15.015
51.159,139.865,-13.453,-46.216,47.067,-31.581,-17.115,-3.744,2.06,-9.265,15.334,10.921
52.426,72.676,43.641,2.071,11.497,-35.738,-6.835,-1.938,-3.822,-4.483,-12.115,23.522
50.404,112.053,-27.77,-68.615,55.211,-39.68,-3.131,42.704,0.255,-30.402,5.147,20.522
51.7,158.691,-36.301,-43.139,64.053,-37.843,0.287,-15.679,-8.626,-1.668,-17.009,1.501
51.843,77.193,43.313,0.581,-19.287,-27.023,-6.646,6.906,-27.249,-9.563,-16.68,-9.544
51.254,53.311,53.677,-3.472,25.448,-1.693,-6.241,-3.745,-24.089,0.282,-18.058,2.52
50.219,127.123,3.509,-32.275,55.477,-11.824,12.381,-5.638,-6.104,-41.95,-3.315,18.699
49.214,42.255,20.192,40.283,6.834,2.797,-32.193,-3.148,-21.016,-12.898,-43.627,11.369
40.427,1.616,39.203,-142.538,15.074,48.711,-7.026,25.998,-4.877,-0.863,-24.123,-4.936
47.025,34.457,23.682,-50.095,21.924,-28.398,-27.58,11.153,3.344,-12.423,-1.814,-1.849
49.834,58.634,19.344,-38.832,25.173,-8.579,-13.466,-20.477,5.483,-10.067,-11.239,-29.607
50.879,37.047,44.354,-16.498,12.711,-26.2,-6.252,-8.18,-5.397,16.632,-14.806,17.727
51.498,93.431,48.695,-42.917,4.571,-11.174,-16.507,1.535,-18.361,-20.255,4.016,10.08
50.395,46.364,26.703,13.125,-10.658,-18.331,-15.583,1.897,-21.796,-0.431,-17.708,16.886
50.254,47.533,19.01,-22.296,7.725,-36.709,-5.89,-16.268,-23.402,15.124,4.545,28.551
52.305,75.948,39.12,-5.294,-22.101,-1.014,-18.088,5.393,-24.517,-20.837,-9.784,-4.853
51.112,78.489,20.512,3.13,17.038,-6.778,-7.434,21.518,-10.79,-17.955,3.743,15.592
49.682,71.591,51.932,-20.099,18.198,-17.39,12.547,-8.656,-18.176,12.557,-4.858,24.224
49.449,94.592,32.21,-14.77,12.753,-25.817,9.006,7.459,-6.176,6.136,-7.828,21.77
50.411,73.794,37.028,-9.793,3.912,-2.738,-10.079,-12.135,-30.63,-0.919,-17.135,13.952
48.773,58.054,0.537,-23.493,3.911,-11.489,-16.51,-10.081,-16.301,-15.134,-21.328,4.358
48.218,61.98,17.713,-11.812,4.941,-29.227,6.142,1.349,-10.675,-8.766,-0.012,32.845
48.003,54.346,7.364,-10.462,8.768,-40.406,5.019,-4.013,-6.775,-6.169,-9.425,30.003
44.567,22.507,-44.474,39.509,-3.25,-36.704,-23.726,-7.338,6.567,-0.417,0.916,7.47
44.893,50.91,4.694,-111.876,-0.161,-7.783,-8.506,1.5,-1.899,14.451,-3.92,-5.132
50.142,45.846,19.98,-31.351,29.977,-33.227,-25.487,9.544,10.497,0.02,2.19,18.217
51.308,54.077,22.47,-15.257,22.714,-18.339,-19.676,-11.068,6.535,1.153,-14.434,12.125
49.287,56.677,-9.92,10.803,1.637,-29.537,-43.595,-50.153,-7.965,21.836,-8.662,-9.499
51.863,91.017,37.664,8.259,28.014,-16.167,-32.556,-22.111,-16.104,1.881,-23.023,-15.494
50.422,40.564,31.44,-13.649,29.461,-34.696,-23.769,44.063,-18.544,-3.465,-0.355,-10.902
51.918,77.639,63.566,-7.838,4.453,-7.207,-40.401,5.119,-10.852,-6.365,0.338,-34.186
50.993,113.283,-5.164,-20.685,40.782,-33.101,-5.956,-4.491,-3.516,-35.847,-2.947,18.949
51.318,46.024,76.795,-2.647,42.108,-42.274,22.55,2.829,1.677,5.909,-1.698,19.066
52.186,67.359,65.332,4.219,22.183,-30.026,16.811,1.347,-6.678,-2.107,-5.622,7.402
50.96,74.185,23.001,16.826,6.686,-21.954,-21.556,-17.918,-11.13,-8.086,-32.127,-6.378
47.859,54.625,14.966,-41.838,21.131,-24.934,-3.871,13.324,-8.896,-9.275,-0.735,7.59
50.151,59.127,32.877,-50.379,22.41,-21.245,7.731,11.11,0.255,-2.373,-3.224,4.167
49.907,88.954,35.0,-25.393,16.622,-28.634,-16.604,-36.382,-0.224,14.332,-24.707,-6.932
48.963,23.209,27.671,-14.207,5.789,-14.347,-27.332,26.968,-43.721,-5.2,-19.066,5.026
50.066,64.657,24.046,-45.334,0.194,-0.341,-18.329,-0.43,-18.868,0.705,-10.001,-15.313
49.963,84.452,-13.466,-20.03,27.554,-18.451,4.692,-31.766,4.456,-36.025,-7.369,24.51
50.893,121.384,22.401,-4.187,1.011,7.348,-25.298,-20.53,18.933,-17.132,-4.155,1.203
49.633,62.664,21.212,1.297,4.913,-9.362,-25.357,9.049,-18.835,3.357,-27.531,-10.195
47.106,31.184,2.884,0.291,14.001,-5.914,-11.919,-16.223,11.496,-8.795,-3.354,-9.481
47.79,66.962,12.155,-5.648,-0.501,-24.901,-16.714,-13.552,-1.068,-1.488,-8.708,-8.83
46.892,43.348,14.099,-24.865,25.594,-12.064,-28.295,-0.769,13.301,-11.132,-6.361,-8.138
47.798,44.293,11.306,-12.93,21.0,-29.092,-19.346,-7.518,5.48,-2.071,-7.982,1.404
48.103,54.744,17.657,-13.512,24.872,-32.273,-23.485,-6.349,7.91,0.001,-9.472,6.823
48.091,25.004,-4.652,-36.454,-1.571,-31.676,-42.415,-15.318,-14.875,-1.343,-1.076,-16.781
50.695,41.267,31.177,-50.469,11.205,-14.436,-12.833,-7.171,-3.528,-2.687,0.68,3.01
49.825,40.731,53.708,-53.986,31.206,-8.474,8.295,2.161,1.73,-11.227,-7.172,0.93
51.872,67.741,29.927,-9.305,10.436,-13.752,-14.026,-15.702,-21.146,-10.898,-7.302,4.536
51.156,77.637,18.828,-20.142,34.998,-9.92,2.476,1.56,-22.061,-21.85,4.261,8.926
50.5,89.466,2.637,11.209,52.503,-16.894,-12.753,-54.898,-8.077,1.721,-30.631,8.677
48.278,25.447,58.347,-76.976,28.804,-15.075,7.138,-3.395,0.041,-17.203,6.286,-4.698
50.918,46.032,41.592,24.466,21.331,-40.102,-9.066,11.858,-35.032,-5.493,-9.542,9.435
48.893,73.607,6.645,-30.342,35.559,-27.286,-18.442,-23.719,-14.368,-8.172,-5.664,-2.348
49.634,99.222,-14.456,-29.728,40.596,-3.872,-17.224,-18.869,6.511,-36.478,-3.479,-8.751
51.299,104.093,42.653,-44.17,12.447,-12.804,-12.91,0.878,-16.424,-6.836,-11.24,1.236
51.827,57.302,59.517,2.002,14.104,-20.42,15.665,-4.218,-14.029,-1.674,-7.253,2.577
50.672,70.198,22.994,-33.147,34.396,-10.064,13.642,5.318,-19.288,-14.76,-2.73,6.329
51.151,116.916,1.944,-29.588,40.442,-46.635,-39.542,31.973,-24.744,32.433,-9.952,3.103
51.541,77.359,53.453,-26.171,-2.415,-12.346,-37.199,11.506,-18.242,-0.59,-9.29,-15.888
51.259,89.055,44.072,-7.89,-2.741,-17.48,-22.46,-0.664,-12.681,-6.242,-21.083,-19.006
51.032,105.41,26.899,-26.626,18.704,-11.76,-17.185,3.651,-14.537,-8.688,-9.773,-8.206
49.571,43.096,36.539,-34.697,23.438,-16.332,-3.272,11.579,9.409,14.393,-10.595,8.405
50.795,56.422,33.206,-9.867,12.751,-1.995,-0.051,-1.674,-17.734,-1.572,-24.471,-1.114
51.092,38.6,42.073,-17.5,30.224,-7.445,-10.244,-9.211,-7.707,17.858,-2.622,15.789
51.896,49.212,29.836,-26.884,46.544,-28.631,-38.65,-23.926,24.409,15.651,-0.024,3.926
52.298,71.054,42.599,5.645,48.325,-40.75,-15.928,34.567,14.232,-1.099,-5.877,15.116
51.095,59.507,26.328,5.962,14.927,-22.899,-27.844,-35.232,-18.086,27.266,-18.325,14.686
51.093,28.269,39.713,-42.156,52.743,-31.529,-23.336,-7.987,16.666,-3.686,19.892,6.342
53.781,72.175,63.697,9.048,21.952,-21.835,-15.921,-0.219,-9.078,-4.017,-25.067,12.478
52.667,147.556,23.413,-45.167,6.827,-16.887,-38.831,9.902,11.968,-23.19,-5.446,-12.977
51.305,54.188,37.013,7.258,-5.866,-16.154,-34.058,6.382,-17.994,-10.563,-26.931,-7.966
51.297,41.44,55.082,-25.841,-8.203,2.75,-19.522,7.442,-29.973,5.112,-5.051,-7.432
51.629,31.741,56.942,23.371,4.41,-19.776,10.512,-23.796,-27.578,9.09,-9.545,0.806
51.614,56.49,34.151,-15.214,14.553,-4.492,-10.76,1.627,-5.654,-12.968,-3.925,-4.708
51.196,27.115,35.073,-6.775,33.933,-44.841,-30.878,-18.015,17.652,23.765,0.157,16.374
52.005,31.06,41.711,-16.272,49.72,-27.808,-6.374,-14.065,38.11,2.238,3.065,20.733
51.667,51.696,32.005,13.469,28.147,-28.664,-14.361,8.305,9.35,-13.944,-18.975,29.725
49.334,41.671,21.639,-58.665,27.467,-33.983,-17.452,-15.229,1.791,12.863,5.794,12.999
