0,1,2,3,4,5,6,7,8,9,10,11
20.369,115.503,185.513,-384.779,49.453,76.235,80.659,-84.682,-49.262,67.734,-18.657,2.947
42.32,20.599,98.035,11.732,-1.89,-26.683,28.135,-10.416,-21.231,0.024,-10.104,-7.289
47.103,146.127,102.018,21.312,-6.775,13.148,-15.548,-3.34,-26.049,-32.986,-2.278,-24.516
46.459,132.677,101.975,-3.944,-7.624,-29.174,-3.747,5.981,-32.335,-1.05,-0.463,-24.719
47.578,149.735,94.803,10.357,-18.221,-20.146,-9.734,-3.654,-46.097,-9.936,-6.447,-29.77
46.859,156.117,65.703,40.844,-18.506,-31.891,-6.198,-29.335,-24.246,1.363,1.259,-25.096
46.196,153.318,108.726,35.753,6.605,-2.772,16.195,-19.315,-21.762,-32.154,-4.401,-27.933
45.294,127.871,123.254,25.639,2.581,-28.724,37.077,3.272,-28.106,8.697,-0.578,-49.612
42.724,147.629,109.368,105.52,-23.379,-25.428,5.08,6.642,-17.371,-31.999,-30.429,-37.982
43.889,158.799,127.81,9.858,-8.433,11.376,25.886,17.049,-46.821,11.767,12.301,-43.305
42.884,166.485,87.479,103.527,-16.711,-18.542,1.391,-13.382,-27.54,-7.62,5.172,-46.886
39.442,37.807,112.971,-34.927,-5.231,1.73,23.446,-29.564,-16.651,21.51,-37.062,-28.386
44.864,182.832,98.582,51.407,-6.696,-28.923,14.757,-3.665,-14.846,-20.719,25.688,-50.391
44.565,181.899,130.682,56.623,-0.711,7.939,18.483,-43.257,-31.311,-6.855,-21.34,-37.892
44.355,106.466,94.54,48.38,-6.338,-28.243,-9.153,-46.783,-29.947,8.688,4.554,-29.488
45.36,133.455,86.348,9.503,-18.205,-46.18,-33.739,-3.212,-42.724,13.36,-12.837,-8.674
45.371,133.555,104.292,14.131,-14.786,-17.661,-6.737,8.629,-41.234,-9.776,-10.388,-4.716
44.57,147.858,114.909,30.661,-2.387,2.956,25.627,-18.091,-18.684,-23.876,-9.806,-28.264
43.185,141.213,121.76,68.081,-9.16,6.457,12.361,4.908,-35.33,-0.534,-33.753,-34.342
44.562,118.026,109.016,5.701,4.121,-29.04,32.67,-2.423,-30.968,-2.585,-4.696,-24.473
43.726,102.656,99.248,49.771,1.937,-16.053,18.867,0.44,-8.687,-0.33,-38.904,-18.931
41.659,30.626,72.198,31.605,-0.07,1.939,20.477,-18.359,1.919,-4.903,-4.731,-43.48
45.116,158.138,101.089,18.631,-9.09,-41.837,2.977,-16.465,-19.093,9.518,-11.656,-32.88
48.024,126.514,67.66,-49.498,26.474,1.724,-11.911,56.959,6.985,-9.417,-4.488,-26.864
48.963,106.501,25.368,1.549,-3.805,-49.576,-20.308,12.079,-15.505,-20.179,4.42,-19.934
49.537,117.8,16.447,21.324,-24.27,-56.769,-17.71,10.956,-20.464,-17.688,0.594,-37.283
46.525,105.925,40.758,3.801,-49.81,-26.509,-6.621,9.441,-38.212,21.38,-3.772,-20.182
47.988,112.233,46.414,37.459,-8.966,9.244,2.648,16.358,-33.124,-15.506,8.899,-18.83
46.072,88.444,52.052,-18.986,-41.965,-18.272,14.857,26.489,-43.552,2.926,17.913,-18.175
45.691,99.96,-2.553,83.612,-25.147,-9.934,-5.944,28.526,-31.969,-9.433,-9.308,-12.317
43.8,158.524,94.171,-25.803,-0.842,27.855,12.915,-14.064,-43.988,-2.765,14.48,-33.801
48.385,94.444,24.775,18.846,-13.04,-58.404,-0.214,4.596,-20.528,-13.974,-0.959,-25.37
49.154,100.175,36.961,1.437,-33.66,-53.089,3.404,17.399,-31.399,-25.474,11.669,-28.326
47.526,107.052,37.758,10.585,-61.689,-38.139,-0.41,13.033,-41.522,-0.281,7.634,-38.831
48.687,99.887,42.19,40.276,-12.429,-51.664,-8.464,-0.471,-24.367,-21.459,0.804,-28.876
45.782,63.535,53.941,20.268,-45.028,-24.322,18.803,12.551,-29.317,11.099,9.555,-35.329
44.699,80.494,95.345,22.194,-9.619,-15.82,11.88,-3.457,-23.024,-2.646,-15.698,-40.065
46.823,78.731,34.346,0.985,-13.133,18.103,5.116,29.221,-7.729,-28.037,12.767,-21.94
46.074,129.691,97.913,12.062,-13.093,-28.041,-2.255,4.459,-38.683,-1.75,-2.484,26.317
47.903,102.119,15.806,32.704,-26.467,-39.164,0.708,0.332,-25.497,-26.281,14.506,-11.614
44.602,55.321,30.857,-0.245,-51.523,-41.728,5.47,7.359,-44.62,-8.215,9.486,-18.706
47.86,93.557,35.036,47.364,-11.556,5.421,3.077,10.928,-23.197,-24.018,31.271,-21.132
46.054,76.075,41.605,-15.001,-49.138,-34.62,9.109,46.125,-18.19,-44.651,2.787,-41.702
43.855,116.439,43.595,52.235,-1.686,-12.008,4.626,3.816,-19.23,3.184,-61.876,-26.441
46.143,64.924,49.72,-23.226,-0.302,3.199,32.655,9.016,-26.142,11.804,28.774,-22.627
47.008,58.63,-20.677,74.251,-3.972,-63.547,2.535,-18.256,-12.434,-13.152,-24.137,-14.887
41.708,9.733,70.908,21.0,0.661,-24.071,5.665,-3.532,1.804,-2.297,-12.875,-39.699
49.182,90.049,-15.751,13.066,-19.082,-49.955,-0.911,23.484,-23.523,-15.824,-3.244,-4.552
47.963,121.656,49.568,-26.093,-29.837,10.258,-4.748,-16.12,-31.275,33.432,-10.913,-11.853
49.778,67.733,19.224,47.799,-13.673,-53.283,16.515,-7.027,-16.23,-1.495,12.575,-19.7
48.541,63.076,-2.358,14.326,-15.023,-34.655,-5.407,4.855,-21.385,-16.712,5.504,-17.249
48.589,58.849,9.068,5.238,-14.738,-54.226,1.625,3.39,-6.292,-10.073,8.447,-11.044
