0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
33.076,1.931,17.971,-98.439,77.244,123.393,45.18,-6.609,-20.858,112.781,12.08,30.615
39.265,-33.478,-57.85,-49.051,10.817,-45.903,29.669,23.497,-0.64,35.101,1.863,18.047
44.417,-16.215,14.141,-65.627,24.365,-13.94,44.154,11.763,2.919,3.794,-4.461,8.143
46.481,3.843,33.342,-13.628,37.483,-43.349,37.292,7.782,17.88,10.069,-13.05,4.553
45.685,-10.722,14.376,17.664,31.892,-33.759,35.797,-2.59,4.306,7.014,-27.519,1.208
46.525,-4.269,7.499,-66.195,19.144,5.671,58.755,6.938,14.967,2.137,-1.068,4.512
45.03,-4.66,-26.194,3.602,-4.366,-40.982,33.628,-14.605,-0.48,1.937,-20.33,16.881
46.182,-1.578,24.455,-42.515,24.337,-37.278,47.645,24.61,1.224,11.268,-12.787,18.288
46.668,-6.432,1.069,-21.977,38.911,-34.572,44.585,1.925,27.342,-6.518,-27.274,3.694
46.243,5.42,17.235,-53.229,12.93,-4.417,55.251,10.22,19.924,-0.602,-2.478,8.335
47.264,-5.325,4.733,8.118,20.625,-51.088,44.025,12.249,15.368,-4.947,-36.817,4.051
42.0,-47.547,-22.691,-31.743,5.768,-58.72,36.522,0.322,-5.061,11.314,-1.495,-2.322
44.761,-43.755,7.885,-53.927,18.836,-31.382,35.324,27.207,7.941,3.843,-6.128,6.629
47.261,12.361,-16.207,-8.84,25.485,-35.054,38.261,-4.844,7.659,16.766,-17.158,10.118
44.688,-19.136,13.136,-59.2,1.035,-23.144,44.886,7.552,1.746,7.653,-24.703,6.172
43.975,-20.956,-12.734,-33.522,5.79,-48.052,33.333,-2.544,-7.138,2.399,-8.388,-0.772
45.83,-15.113,-1.792,-37.866,23.944,-38.804,41.876,13.181,8.136,14.128,-6.013,5.466
47.164,-8.106,10.391,-30.34,22.809,-48.62,37.012,18.091,4.62,15.522,-9.547,7.547
46.644,-8.437,-11.752,-7.564,30.388,-38.419,30.353,13.09,23.491,7.465,-25.873,-2.735
46.43,11.36,15.435,-52.34,25.716,-21.226,48.143,12.032,19.682,3.701,-0.129,-1.64
