0,1,2,3,4,5,6,7,8,9,10,11
1.073,146.868,-20.414,-48.587,42.189,-42.785,14.114,-4.159,-34.916,9.362,-13.109,4.841
6.338,98.72,13.683,-93.814,28.821,-28.214,-7.439,-25.361,-46.787,-2.543,18.813,1.497
13.062,59.625,-8.919,1.341,32.431,-4.093,-13.849,23.0,-6.874,-15.233,-37.14,1.71
37.26,-41.852,15.787,-342.061,35.125,14.89,15.211,27.736,-12.118,16.339,81.001,-35.386
55.191,143.565,45.162,33.333,44.999,-11.093,-88.867,46.269,1.497,6.245,-29.093,-25.861
48.642,245.58,16.405,-19.314,50.146,-16.498,-54.231,-15.826,3.124,0.889,-2.058,-37.872
52.797,-11.737,23.229,-22.562,61.134,-56.791,-8.747,4.702,-61.374,33.748,1.73,3.523
54.505,67.969,61.783,14.648,33.865,-3.895,-25.482,1.459,-6.062,-4.911,-27.247,1.713
48.371,-21.644,-3.358,-50.375,-0.865,-15.331,-47.715,-1.047,7.351,6.396,-1.769,-6.8
52.922,123.477,-35.219,23.792,-12.301,-13.756,-87.298,-43.051,-9.122,-1.54,-25.417,-23.596
48.631,129.425,-45.041,-89.512,42.327,0.685,-16.958,-116.201,-13.072,17.826,-32.813,-15.992
51.954,51.458,35.52,-11.932,26.742,20.53,-10.387,22.404,2.001,-4.401,-31.987,-37.267
45.118,100.913,-20.267,60.577,57.166,-7.265,-15.893,-48.705,-16.569,13.085,-74.174,-11.26
36.789,38.107,-96.422,179.167,-44.989,-33.373,-36.016,6.576,-31.404,24.665,-32.448,-0.562
37.405,211.868,-77.999,197.089,-12.956,88.341,-6.278,11.276,-45.556,-1.495,38.38,-9.627
32.537,91.561,8.032,-110.07,-2.785,88.77,11.154,-8.143,-32.85,26.395,-60.615,11.58
42.63,47.382,-12.623,-216.381,7.95,9.699,2.451,1.313,-28.419,2.325,67.482,-30.443
52.209,151.766,-66.768,12.724,-9.511,-26.624,-76.175,-9.505,-16.379,-9.173,-8.369,-10.888
49.617,10.942,-15.92,-74.538,32.2,-2.941,-51.491,42.071,22.386,3.425,-12.72,-0.527
49.942,39.897,-17.257,-101.332,3.932,14.957,-61.686,22.95,8.914,-28.687,1.999,-23.245
49.011,40.252,-22.41,61.881,-9.177,-44.752,-76.227,10.167,-17.552,7.82,-25.826,-11.637
48.37,157.731,-37.24,-85.345,-7.852,7.691,-37.641,-90.284,-24.363,13.576,-19.074,-14.429
49.077,2.413,-1.522,-28.694,-1.65,-17.112,-42.606,-31.074,-15.624,0.598,-4.926,3.512
50.69,-1.159,5.17,-24.698,15.658,-25.223,-54.057,-8.866,18.885,-0.179,5.398,0.68
55.31,87.95,53.424,35.758,48.413,-30.426,-11.471,-30.743,9.208,1.193,31.94,-11.903
